#Object   Rise  Fade   PeakMag
ZTF18aayhylv  6.17  8.68  -16.01
ZTF18abmxelh  7.48  10.49  -16.20
ZTF18abttsrb  7.80  -99    -16.43
ZTF18acsodbf  -99   12.24  -15.56
ZTF19aaznwze  9.49  12.65  -16.25
ZTF19abgqruu  4.94  17.45  -16.60
ZTF19abwtqsk  -99   13.07  -16.74
SN2005E       -99   8.90   -15.53
SN2007ke      -99   10.29  -16.59
PTF09dav      6.26  9.28   -16.37
PTF10iuv      6.30  9.62   -15.79
PTF11bij      -99   9.46   -15.70
SN2012hn      -99   15.23  -15.55
PTF11kmb      -99   11.35  -15.80
PTF12bho      6.97  10.29  -16.06
iPTF16hgs     -99   9.43   -15.57
