name,z,z_unc,Ia subtype,E_B_V_SandF
ZTF18aailmnv,0.08,0.005,normal,0.0083
ZTF18aansqun,0.059676,0.0001,normal,0.0127
ZTF18aaoxryq,0.094029,0.0001,normal*,0.0455
ZTF18aapqwyv,0.055999999999999994,0.0001,normal*,0.039
ZTF18aapsedq,0.071993,0.0001,normal*,0.0188
ZTF18aaqcozd,0.07320499999999999,0.0001,normal,0.0203
ZTF18aaqcqkv,0.11745,0.0001,normal,0.0086
ZTF18aaqcqvr,0.071644,0.0001,normal,0.0284
ZTF18aaqcugm,0.061864999999999996,0.0001,normal,0.008
ZTF18aaqffyp,0.064,0.005,normal,0.0188
ZTF18aaqnrum,0.069,0.005,normal,0.066
ZTF18aaqqoqs,0.08,0.005,99aa-like,0.0137
ZTF18aarldnh,0.107707,0.0001,normal,0.0124
ZTF18aarqnje,0.115,0.005,normal,0.0201
ZTF18aasdted,0.01815,0.0001,normal,0.0257
ZTF18aasesgl,0.085851,0.0001,normal,0.0115
ZTF18aaslhxt,0.05505,0.0001,normal,0.048
ZTF18aatzygk,0.07400000000000001,0.005,normal,0.0335
ZTF18aauhxce,0.083079,0.0001,normal*,0.0167
ZTF18aaumeys,0.036518,0.0001,99aa-like,0.0082
ZTF18aaumlfl,0.087375,0.0001,normal,0.02
ZTF18aaunfqq,0.071095,0.0001,normal*,0.0086
ZTF18aauocnw,0.1,0.005,normal,0.0315
ZTF18aavrwhu,0.062042999999999994,0.0001,normal,0.0106
ZTF18aavrzxp,0.07,0.005,normal,0.0232
ZTF18aawjywv,0.0509,0.0001,normal*,0.0228
ZTF18aawurud,0.053073,0.0001,normal,0.0481
ZTF18aaxakhh,0.12,0.005,91T-like*,0.0586
ZTF18aaxcntm,0.026922,0.0001,normal,0.0081
ZTF18aaxdrjn,0.033987,0.0001,normal,0.0179
ZTF18aaxqyki,0.10033500000000001,0.0001,normal,0.0155
ZTF18aaxrvzj,0.11,0.005,normal,0.0113
ZTF18aaxsioa,0.031518,0.0001,normal*,0.0171
ZTF18aaxvpsw,0.091556,0.0001,normal,0.0109
ZTF18aaxwjmp,0.08,0.005,normal,0.0304
ZTF18aaydmkh,0.08,0.005,normal*,0.0249
ZTF18aayjvve,0.047372000000000004,0.0001,normal,0.0126
ZTF18aaytovs,0.0746,0.0001,99aa-like,0.0523
ZTF18aazabmh,0.07,0.005,normal,0.0128
ZTF18aazblzy,0.06532,0.0001,normal,0.0116
ZTF18aazcoob,0.084498,0.0001,normal*,0.0311
ZTF18aazixbw,0.059427,0.0001,normal,0.0091
ZTF18aazjztm,0.072138,0.0001,normal,0.036000000000000004
ZTF18aazsabq,0.05,0.005,normal,0.0506
ZTF18abatffv,0.14,0.005,normal,0.0094
ZTF18abauprj,0.024166999999999998,0.0001,99aa-like,0.023
ZTF18abaxlpi,0.0642,0.0001,normal,0.0438
ZTF18abbpeqo,0.066741,0.0001,normal*,0.0173
ZTF18abbvsiv,0.051,0.005,normal,0.0272
ZTF18abcecfi,0.08,0.005,normal,0.0197
ZTF18abcflnz,0.0273,0.0001,normal,0.0765
ZTF18abckujg,0.07400000000000001,0.005,normal,0.0153
ZTF18abckujq,0.063789,0.0001,normal,0.0167
ZTF18abclalx,0.1,0.005,normal,0.0227
ZTF18abcrxoj,0.030869,0.0001,normal,0.0191
ZTF18abcsgvj,0.06,0.005,normal,0.0491
ZTF18abcysdx,0.067,0.005,normal*,0.0639
ZTF18abdbuty,0.06,0.005,normal,0.0344
ZTF18abdefet,0.07,0.005,normal,0.0383
ZTF18abdfazk,0.08,0.005,normal,0.0091
ZTF18abdfwur,0.07,0.005,normal,0.0226
ZTF18abdfydj,0.08,0.005,normal,0.0178
ZTF18abdkimx,0.08,0.005,normal,0.0133
ZTF18abdmgab,0.080282,0.0001,86G-like,0.0186
ZTF18abealop,0.066637,0.0001,normal*,0.0067
ZTF18abeecwe,0.0393,0.0001,normal,0.0711
ZTF18abeegsl,0.07,0.005,normal,0.0398
ZTF18abetehf,0.064875,0.0001,normal,0.0229
ZTF18abetewu,0.0745,0.005,normal,0.0125
ZTF18abfgygp,0.07,0.005,normal,0.0351
ZTF18abfhaji,0.09,0.005,normal,0.0386
ZTF18abfhryc,0.0323,0.0001,normal,0.0769
ZTF18abfwuwn,0.1046,0.005,99aa-like*,0.0223
ZTF18abfzkno,0.09,0.005,normal,0.0324
ZTF18abgmcmv,0.018522999999999998,0.0001,91T-like,0.0397
ZTF18abgxvra,0.106,0.005,normal,0.0324
ZTF18abimsyv,0.084,0.005,normal*,0.0332
ZTF18abixjey,0.1218,0.0001,91T-like*,0.0243
ZTF18abjdjge,0.133,0.005,99aa-like,0.0216
ZTF18abjstcm,0.079,0.0001,normal,0.0526
ZTF18abjtgdo,0.074071,0.0001,normal,0.0111
ZTF18abjtger,0.106,0.005,normal,0.0206
ZTF18abjvhec,0.05696900000000001,0.0001,normal,0.0207
ZTF18abkhcrj,0.03829,0.0001,normal,0.045
ZTF18abkhcwl,0.031662,0.0001,normal,0.0275
ZTF18abkhdxe,0.105,0.005,normal,0.0386
ZTF18abkifng,0.08800000000000001,0.0001,normal,0.0301
ZTF18abkigee,0.09364,0.0001,normal*,0.0295
ZTF18abklljv,0.141,0.005,99aa-like,0.0116
ZTF18abkudjo,0.092147,0.0001,normal*,0.0129
ZTF18abmmkaz,0.065,0.005,99aa-like*,0.0943
ZTF18abmxdhb,0.07,0.005,normal,0.0195
ZTF18abnvoel,0.0654,0.005,normal,0.0387
ZTF18aboaeqy,0.115,0.005,normal*,0.0163
ZTF18abokpvh,0.08,0.005,normal*,0.0531
ZTF18abpamut,0.07200000000000001,0.005,normal*,0.0126
ZTF18abpaywm,0.045,0.005,normal,0.0656
ZTF18abpmmpo,0.08,0.005,99aa-like,0.0155
ZTF18abptsco,0.12,0.005,normal*,0.0269
ZTF18abpttky,0.086,0.005,normal,0.0319
ZTF18abqbavl,0.1392,0.0001,normal*,0.0198
ZTF18abqjvyl,0.083475,0.0001,normal,0.0157
ZTF18abrzeym,0.06,0.005,normal*,0.0685
ZTF18abrzrnb,0.12,0.005,99aa-like*,0.0125
ZTF18absdgon,0.062,0.0001,normal*,0.023
ZTF18abslxhz,0.13,0.005,normal,0.0744
ZTF18abssdpi,0.1,0.005,normal,0.0359
ZTF18abssuxz,0.064928,0.0001,normal,0.0073
ZTF18abtcdfv,0.14,0.005,normal,0.0491
ZTF18abtnlik,0.09,0.005,normal,0.0517
ZTF18abtogdl,0.105,0.005,normal,0.0308
ZTF18abucvbf,0.05486,0.0001,normal,0.0421
ZTF18abukmty,0.102,0.005,normal*,0.1146
ZTF18abuqugw,0.031330000000000004,0.0001,normal,0.0064
ZTF18abvbayb,0.13,0.005,normal,0.054000000000000006
ZTF18abwdcdv,0.0538,0.0001,normal,0.0332
ZTF18abwmuua,0.06425299999999999,0.0001,normal*,0.0205
ZTF18abwnsoc,0.1,0.005,normal,0.0489
ZTF18abwtops,0.104,0.005,normal,0.0789
ZTF18abxxssh,0.064,0.005,normal,0.0255
ZTF18abxygvv,0.08,0.005,normal*,0.0938
