jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458297.7616551,b'r',2.03,6.2,25.949518,2.37491e-05,2.0,822.0,4.0,3.0,2.0,277.905,-21.4959,-0.999985,359.563,1.228,0.0,0.0,11.148995102071762,0.6712152361869812,ztf_20180628261620_000822_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180628261620_000822_zr_c04_o_q3_diffimgpsf.fits',-4.647337162736097,42.38064488980281,-1.938192825079194e-10,1.7675038193166233e-09,2458187.0133912037,2458217.964386574,8220432.0,10.5923,0.7749485400123165,0.9828397848140195,0.0,0.0,297.7616551001556,p48r
2458297.7621181,b'r',1.876,6.2,26.148676,1.2569e-05,2.0,792.0,14.0,2.0,2.0,277.909,-21.4964,-0.999985,359.563,1.222,0.0,0.0,11.153460681438446,0.4674100875854492,ztf_20180628262106_000792_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180628262106_000792_zr_c14_o_q2_diffimgpsf.fits',-32.499895278841755,41.23220538687251,-1.1282661574567368e-09,1.4314169795967488e-09,2458184.8932407405,2458217.9549074075,7921422.0,11.6316,-17.147332433921953,1.0044013568147703,0.0,0.0,297.7621181001887,p48r
2458297.762581,b'r',2.126,6.2,25.958552,2.39069e-05,1.0,822.0,4.0,3.0,2.0,277.913,-21.4969,-0.999985,359.556,1.229,0.0,0.0,11.822961898136139,-0.14820504188537598,ztf_20180628262569_000822_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180628262569_000822_zr_c04_o_q3_diffimgpsf.fits',10.538947978534122,47.07652685441816,4.358895534191179e-10,1.9470791875185754e-09,2458187.0133912037,2458217.964386574,8220432.0,10.6591,0.7749485400123165,0.9828397848140195,0.0,0.0,297.76258100010455,p48r
2458297.7630324,b'r',1.875,6.2,26.137817,1.30555e-05,1.0,792.0,14.0,2.0,2.0,277.917,-21.4973,-0.999985,359.549,1.225,0.0,0.0,10.783005803823471,-0.16320276260375977,ztf_20180628263032_000792_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180628263032_000792_zr_c14_o_q2_diffimgpsf.fits',22.0217033913651,39.383865334973514,7.721898857247209e-10,1.3809931926075772e-09,2458184.8932407405,2458217.9549074075,7921422.0,11.6765,-17.147332433921953,1.0044013568147703,0.0,0.0,297.76303240004927,p48r
2458297.7814468,b'r',2.39,6.2,25.956925,2.61179e-05,2.0,822.0,4.0,3.0,2.0,278.066,-21.5142,-0.999967,359.347,1.274,0.0,0.0,11.121485296535491,-0.7505524158477783,ztf_20180628281447_000822_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180628281447_000822_zr_c04_o_q3_diffimgpsf.fits',50.94502396928816,48.443252180301,2.110239611261675e-09,2.0066114748232894e-09,2458187.0133912037,2458217.964386574,8220432.0,10.9065,0.7749485400123165,0.9828397848140195,0.0,0.0,297.78144680010155,p48r
2458297.785787,b'r',2.019,6.2,26.135603,1.39086e-05,2.0,792.0,14.0,2.0,2.0,278.101,-21.5176,-0.999962,359.298,1.303,0.0,0.0,11.881247546386716,0.06279480457305908,ztf_20180628285775_000792_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180628285775_000792_zr_c14_o_q2_diffimgpsf.fits',-40.05029666157555,47.35220621631183,-1.407228225321234e-09,1.663791948554209e-09,2458184.8932407405,2458217.9549074075,7921422.0,11.9638,-17.147332433921953,1.0044013568147703,0.0,0.0,297.7857869998552,p48r
2458297.8,b'r',2.04,6.2,26.132475,1.7608e-05,2.0,792.0,14.0,2.0,2.0,278.214,-21.5274,-0.999944,359.144,1.363,0.0,0.0,12.045455952167512,-0.36354589462280273,ztf_20180628299977_000792_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180628299977_000792_zr_c14_o_q2_diffimgpsf.fits',64.44753525650711,48.9120781911497,2.2709957044942116e-09,1.723558846017015e-09,2458184.8932407405,2458217.9549074075,7921422.0,12.214,-17.147332433921953,1.0044013568147703,0.0,0.0,297.79999999981374,p48r
2458297.8013889,b'r',2.808,6.2,25.948908,3.32743e-05,2.0,822.0,4.0,3.0,2.0,278.225,-21.5282,-0.999941,359.123,1.333,0.0,0.0,11.29942948102951,-0.6671941876411438,ztf_20180628301377_000822_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180628301377_000822_zr_c04_o_q3_diffimgpsf.fits',-5.393555430660577,53.36039760494047,-2.250670644259539e-10,2.2266699953304063e-09,2458187.0133912037,2458217.964386574,8220432.0,11.733,0.7749485400123165,0.9828397848140195,0.0,0.0,297.8013888997957,p48r
2458298.6840509,b'g',3.111,6.2,26.286423,2.55005e-05,2.0,792.0,14.0,2.0,1.0,290.056,-21.2657,-0.991581,349.471,1.086,0.0,0.0,9.89295974369049,-0.01528167724609375,ztf_20180629184039_000792_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180629184039_000792_zg_c14_o_q2_diffimgpsf.fits',19.60947550519028,45.11866710117187,5.996485360365761e-10,1.3797076147899958e-09,2458202.8078125,2458227.8494937154,7921421.0,10.1849,-2.1956161491185986,0.9127523119597498,0.0,0.0,298.6840508999303,p48g
2458298.6845023,b'g',2.679,6.2,26.105797,3.14685e-05,2.0,822.0,4.0,3.0,1.0,290.061,-21.2661,-0.99157,349.464,1.139,0.0,0.0,9.052797461032863,-0.19941067695617676,ztf_20180629184502_000822_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180629184502_000822_zg_c04_o_q3_diffimgpsf.fits',75.98995392057304,42.66472989691644,2.744336622199903e-09,1.5408139477327184e-09,2458202.807349537,2458229.8286572685,8220431.0,9.27583,8.045947229381882,0.9924494965537032,0.0,0.0,298.684502299875,p48g
