jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458312.7108681,b'r',2.734,6.2,25.542823,9.8073e-06,2.0,633.0,2.0,3.0,2.0,112.987,19.6494,0.000113431,178.78,1.01,0.0,0.0,5.912744952678681,0.6480532884597778,ztf_20180713210833_000633_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180713210833_000633_zr_c02_o_q3_diffimgpsf.fits',-13.338307467165002,45.15242950884877,-8.090428503614047e-10,2.738747053225322e-09,2458156.016574074,2458217.982453704,6330232.0,5.85997,-19.595433957172446,1.8938391345824392,0.0,0.0,312.71086810017005,p48r
2458312.7333449,b'r',2.228,6.2,26.102875,3.072e-06,2.0,633.0,2.0,3.0,2.0,113.446,19.5994,0.000182759,178.451,1.02,0.0,0.0,4.936251578569412,-0.04423165321350098,ztf_20180713233310_000633_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180713233310_000633_zr_c02_o_q3_diffimgpsf.fits',66.40134598287858,35.41986243236226,2.404511634440578e-09,1.2826166405129518e-09,2458156.016574074,2458217.982453704,6330232.0,5.09897,-19.595433957172446,1.8938391345824392,0.0,0.0,312.73334489995614,p48r
2458312.8267477,b'g',1.792,6.2,26.064451,3.1753e-06,2.0,633.0,2.0,3.0,1.0,115.429,19.4326,0.000633745,177.115,1.274,0.0,0.0,3.7987976923942566,-0.20129388570785522,ztf_20180713326725_000633_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180713326725_000633_zg_c02_o_q3_diffimgpsf.fits',79.3386312322999,23.66667912710612,2.9764891491245737e-09,8.878854163084091e-10,2458203.8983564815,2458227.856717095,6330231.0,4.39214,0.3247783954047011,1.5838416050389155,21.315739240855414,0.32387463681710793,312.82674770010635,p48g
2458312.8375694,b'g',1.743,6.2,25.949826,3.2357e-06,2.0,633.0,2.0,3.0,1.0,115.662,19.418,0.000699899,176.968,1.336,0.0,0.0,3.981401830792427,0.16441434621810913,ztf_20180713337558_000633_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180713337558_000633_zg_c02_o_q3_diffimgpsf.fits',14.177826642876747,24.835665377111358,5.911249111983745e-10,1.0354887854405237e-09,2458203.8983564815,2458227.856717095,6330231.0,4.73379,0.3247783954047011,1.5838416050389155,0.0,0.0,312.8375694002025,p48g
2458313.7071412,b'r',1.659,6.2,26.090119,2.5084e-06,2.0,633.0,2.0,3.0,2.0,128.812,17.872,0.0180927,164.54,1.01,0.0,0.0,4.704204333758353,-0.2555750608444214,ztf_20180714207002_000633_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180714207002_000633_zr_c02_o_q3_diffimgpsf.fits',32.5187244610059,31.37342497214291,1.1914776554708921e-09,1.14951417835691e-09,2458156.016574074,2458217.982453704,6330232.0,5.31365,-19.595433957172446,1.8938391345824392,0.0,0.0,313.7071412000805,p48r
2458313.7330093,b'g',2.74,6.2,26.153635,4.6672e-06,2.0,633.0,2.0,3.0,1.0,129.301,17.7733,0.0189651,164.169,1.023,0.0,0.0,4.165442810201644,-0.4434412717819214,ztf_20180714232975_000633_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180714232975_000633_zg_c02_o_q3_diffimgpsf.fits',-22.673636424549485,29.946890141286417,-7.835508361090976e-10,1.0348984331331307e-09,2458203.8983564815,2458227.856717095,6330231.0,4.16009,0.3247783954047011,1.5838416050389155,0.0,0.0,313.7330093001947,p48g
2458313.817338,b'g',1.649,6.2,26.065058,3.2016e-06,2.0,633.0,2.0,3.0,1.0,130.992,17.4787,0.0219349,162.966,1.24,0.0,0.0,4.064954632759094,0.2805163860321045,ztf_20180714317326_000633_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180714317326_000633_zg_c02_o_q3_diffimgpsf.fits',4.936328261497524,23.418197031620153,1.8508909510951962e-10,8.780722569622863e-10,2458203.8983564815,2458227.856717095,6330231.0,4.54423,0.3247783954047011,1.5838416050389155,0.0,0.0,313.8173380000517,p48g
2458313.8538079,b'g',2.126,6.2,26.034107,4.2328e-06,2.0,633.0,2.0,3.0,1.0,131.752,17.3668,0.023259,162.455,1.473,0.0,0.0,4.618496119678021,-1.0202001929283142,ztf_20180714353808_000633_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180714353808_000633_zg_c02_o_q3_diffimgpsf.fits',60.273159344955324,29.951971521246623,2.3253115914381717e-09,1.1555336956590672e-09,2458203.8983564815,2458227.856717095,6330231.0,4.86858,0.3247783954047011,1.5838416050389155,0.0,0.0,313.85380790010095,p48g
2458314.7080093,b'r',2.038,6.2,25.928298,2.6842e-06,1.0,584.0,13.0,1.0,2.0,144.207,14.8126,0.0653843,150.369,1.039,0.0,0.0,5.044224702119827,0.13434076309204102,ztf_20180715207963_000584_zr_c13_o_q1_scimrefdiffimg.fits,b'ztf_20180715207963_000584_zr_c13_o_q1_diffimgpsf.fits',21.924887190734047,22.05422835028224,9.324341424786425e-10,9.37934837291959e-10,2458158.9702314814,2458229.918262072,5841312.0,5.58717,-999.0,-999.0,0.0,0.0,314.70800929982215,p48r
2458314.7084606,b'r',1.627,6.2,26.10512,2.2131e-06,1.0,633.0,2.0,3.0,2.0,144.215,14.8104,0.0654145,150.362,1.01,0.0,0.0,4.86869434967041,0.5377699732780457,ztf_20180715208449_000633_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180715208449_000633_zr_c02_o_q3_diffimgpsf.fits',17.58334936081636,31.237702869827668,6.354093558052998e-10,1.1288366198080302e-09,2458156.016574074,2458217.982453704,6330232.0,5.5135,-19.595433957172446,1.8938391345824392,0.0,0.0,314.70846060011536,p48r
