jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458218.8895139,b'r',2.104,5.68826819320618,26.275,3.1007e-06,2.0,633.0,5.0,1.0,2.0,316.309,-17.3618,-0.308656,247.5,1.095,0.0,0.0,5.348011991214751,0.6562168598175049,ztf_20180410389421_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180410389421_000633_zr_c05_o_q1_diffimgpsf.fits',29.887163234496438,22.612924683004508,9.23601640343525e-10,6.98806178641605e-10,2458156.016574074,2458217.982453704,6330512.0,6.28853,-999.0,-999.0,0.0,0.0,218.88951390003785,p48r
2458218.9063889,b'r',2.064,5.7032018590284,26.275,2.956e-06,2.0,633.0,5.0,1.0,2.0,316.519,-17.3447,-0.307191,247.318,1.059,0.0,0.0,5.386922055292128,0.5060899257659912,ztf_20180410406204_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180410406204_000633_zr_c05_o_q1_diffimgpsf.fits',-25.601750010943913,29.297196686836905,-7.911697112317478e-10,9.053699310704066e-10,2458156.016574074,2458217.982453704,6330512.0,6.32833,-999.0,-999.0,0.0,0.0,218.90638889977708,p48r
2458218.9498611,b'r',2.056,5.57472508774615,26.275,2.799e-06,2.0,633.0,5.0,1.0,2.0,317.021,-17.2987,-0.303312,246.835,1.011,0.0,0.0,6.083392896080015,-0.06308269500732422,ztf_20180410449676_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180410449676_000633_zr_c05_o_q1_diffimgpsf.fits',-62.972761035023765,30.208497762579128,-1.9460443579930386e-09,9.335318266014338e-10,2458156.016574074,2458217.982453704,6330512.0,6.94359,-999.0,-999.0,0.0,0.0,218.94986109994352,p48r
2458219.003287,b'r',2.597,5.51578577083596,26.275,4.5146e-06,2.0,633.0,5.0,1.0,2.0,317.565,-17.233,-0.298553,246.241,1.033,0.0,0.0,7.135703365993497,-0.8594582080841064,ztf_20180410503252_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180410503252_000633_zr_c05_o_q1_diffimgpsf.fits',16.314400060598466,30.65943192378968,5.04163159914669e-10,9.474670243778058e-10,2458156.016574074,2458217.982453704,6330512.0,7.6305,-999.0,-999.0,0.0,0.0,219.00328700011596,p48r
2458219.8809491,b'r',2.93,5.91633446328377,26.275,3.3415e-06,2.0,633.0,5.0,1.0,2.0,328.442,-14.5863,-0.223407,236.414,1.111,0.0,0.0,5.366816163063049,-0.2675884962081909,ztf_20180411380891_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180411380891_000633_zr_c05_o_q1_diffimgpsf.fits',115.55126376872786,27.773466910314383,3.57087542645673e-09,8.582821794504788e-10,2458156.016574074,2458217.982453704,6330512.0,5.97875,-999.0,-999.0,21.118063250845488,0.2609634682923573,219.88094910001382,p48r
2458219.8818866,b'r',2.958,5.93236332720144,26.275,3.5184e-06,1.0,633.0,5.0,1.0,2.0,328.455,-14.5844,-0.223356,236.407,1.108,0.0,0.0,5.446543785309791,-0.4083248972892761,ztf_20180411381863_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180411381863_000633_zr_c05_o_q1_diffimgpsf.fits',73.38636999894379,30.60635625384797,2.267855640164885e-09,9.458268294000535e-10,2458156.016574074,2458217.982453704,6330512.0,0.0,-999.0,-999.0,0.0,0.0,219.88188660005108,p48r
2458219.903206,b'r',3.295,5.82065243823057,26.275,3.8168e-06,2.0,633.0,5.0,1.0,2.0,328.741,-14.5422,-0.221579,236.162,1.06,0.0,0.0,5.473335820937157,0.10436218976974487,ztf_20180411403183_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180411403183_000633_zr_c05_o_q1_diffimgpsf.fits',57.38356719955691,29.894879718351923,1.7733217561812748e-09,9.238401025126945e-10,2458156.016574074,2458217.982453704,6330512.0,6.22415,-999.0,-999.0,0.0,0.0,219.90320600010455,p48r
2458219.9724306,b'r',3.4,5.68828214455386,26.275,4.1345e-06,2.0,633.0,5.0,1.0,2.0,329.581,-14.4041,-0.215977,235.386,1.01,0.0,0.0,7.056349892854691,0.06910812854766846,ztf_20180411472431_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180411472431_000633_zr_c05_o_q1_diffimgpsf.fits',38.52554971567932,41.29406887921923,1.1905533032143912e-09,1.276108724481582e-09,2458156.016574074,2458217.982453704,6330512.0,6.49353,-999.0,-999.0,0.0,0.0,219.9724305998534,p48r
2458220.0161921,b'r',3.168,5.70777752649778,26.275,3.7971e-06,2.0,633.0,5.0,1.0,2.0,330.041,-14.3113,-0.212372,234.882,1.057,0.0,0.0,7.674138156461712,-0.6919012069702148,ztf_20180411516169_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180411516169_000633_zr_c05_o_q1_diffimgpsf.fits',38.891812639889665,42.975783648279176,1.2018719096322543e-09,1.328078679176346e-09,2458156.016574074,2458217.982453704,6330512.0,7.50919,-999.0,-999.0,0.0,0.0,220.0161921000108,p48r
2458222.8864352,b'r',2.532,5.70947427521327,26.275,3.1645e-06,1.0,633.0,5.0,1.0,2.0,5.02296,-2.73659,-0.033416,201.066,1.077,0.0,0.0,6.0688092887878415,0.2027517557144165,ztf_20180414386354_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180414386354_000633_zr_c05_o_q1_diffimgpsf.fits',37.55897755092417,29.677809178493703,1.160683367755015e-09,9.171319815193296e-10,2458156.016574074,2458217.982453704,6330512.0,0.0,-999.0,-999.0,0.0,0.0,222.8864351999946,p48r
2458222.8873843,b'r',2.631,5.72684139914178,26.275,3.1167e-06,2.0,633.0,5.0,1.0,2.0,5.03822,-2.73245,-0.0333722,201.052,1.075,0.0,0.0,6.41621855406761,0.1715456247329712,ztf_20180414387361_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180414387361_000633_zr_c05_o_q1_diffimgpsf.fits',-19.533281441673914,32.024752695537984,-6.036361042120741e-10,9.896594698255007e-10,2458156.016574074,2458217.982453704,6330512.0,6.36993,-999.0,-999.0,0.0,0.0,222.88738430012017,p48r
2458222.9104745,b'r',2.871,5.76284937858652,26.275,3.4039e-06,2.0,633.0,5.0,1.0,2.0,5.40432,-2.63175,-0.0325008,200.772,1.035,0.0,0.0,6.593070697593687,-0.2877997159957886,ztf_20180414410428_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180414410428_000633_zr_c05_o_q1_diffimgpsf.fits',81.66766248706156,34.708081770527095,2.5237720436782797e-09,1.0725822656968654e-09,2458156.016574074,2458217.982453704,6330512.0,6.33481,-999.0,-999.0,0.0,0.0,222.9104745001532,p48r
2458222.9326505,b'r',2.458,6.2,26.195769,3.0044e-06,2.0,633.0,5.0,1.0,2.0,5.74542,-2.53511,-0.0316619,200.499,1.014,0.0,0.0,5.571561682724953,-0.16926968097686768,ztf_20180414432627_000633_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180414432627_000633_zr_c05_o_q1_diffimgpsf.fits',57.41711479708255,27.41575219975922,1.908682824460079e-09,9.113654618338928e-10,2458156.016574074,2458217.982453704,6330512.0,5.8179,-999.0,-999.0,0.0,0.0,222.93265049997717,p48r
