jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458218.7828704,b'r',2.14,5.38899942074771,26.275,1.22362e-05,2.0,758.0,10.0,2.0,2.0,314.798,-17.4776,-0.318226,248.682,1.126,0.0,0.0,6.9306152747392655,-0.25978779792785645,ztf_20180410282836_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410282836_000758_zr_c10_o_q2_diffimgpsf.fits',4.05143506166265,26.29498175209469,1.2520131266181508e-10,8.125926200664897e-10,2458155.9718171298,2458199.8365972224,7581022.0,7.03518,0.5215927249799285,0.9615372385910462,0.0,0.0,218.78287040023133,p48r
2458218.8064352,b'r',2.467,5.82111443208944,26.275,1.33339e-05,2.0,758.0,10.0,2.0,2.0,315.157,-17.4493,-0.316124,248.423,1.08,0.0,0.0,6.642921984195709,-0.8952076435089111,ztf_20180410306389_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410306389_000758_zr_c10_o_q2_diffimgpsf.fits',1.5500709073511612,26.030846486861105,4.790177045059493e-11,8.044300600283087e-10,2458155.9718171298,2458199.8365972224,7581022.0,6.07333,0.5215927249799285,0.9615372385910462,0.0,0.0,218.8064351999201,p48r
2458218.8313773,b'r',2.302,5.54722058531446,26.275,1.46811e-05,2.0,758.0,10.0,2.0,2.0,315.522,-17.4216,-0.313913,248.15,1.049,0.0,0.0,6.367526352405548,-0.28510022163391113,ztf_20180410331377_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410331377_000758_zr_c10_o_q2_diffimgpsf.fits',60.55877801031082,26.028022472457405,1.8714451508386808e-09,8.043427900380252e-10,2458155.9718171298,2458199.8365972224,7581022.0,6.5544,0.5215927249799285,0.9615372385910462,0.0,0.0,218.83137729996815,p48r
2458218.8474653,b'r',2.079,5.69518262167528,26.275,1.30124e-05,2.0,758.0,10.0,2.0,2.0,315.75,-17.4046,-0.312441,247.968,1.037,0.0,0.0,6.072765533161162,0.01346445083618164,ztf_20180410347465_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410347465_000758_zr_c10_o_q2_diffimgpsf.fits',2.968862988880886,22.48870288141242,9.174663734297254e-11,6.949673579767104e-10,2458155.9718171298,2458199.8365972224,7581022.0,6.08859,0.5215927249799285,0.9615372385910462,0.0,0.0,218.8474653000012,p48r
2458218.8483796,b'r',2.104,5.76149879030029,26.275,1.20158e-05,3.0,758.0,10.0,2.0,2.0,315.762,-17.4036,-0.312384,247.961,1.037,0.0,0.0,6.400428074169156,-0.6211574077606201,ztf_20180410348380_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410348380_000758_zr_c10_o_q2_diffimgpsf.fits',-36.826283002148244,23.89881748555792,-1.1380409415799166e-09,7.385440652883467e-10,2458155.9718171298,2458199.8365972224,7581022.0,6.03245,0.5215927249799285,0.9615372385910462,0.0,0.0,218.8483795998618,p48r
2458218.8720718,b'r',2.29,5.78040871974193,26.275,1.43755e-05,2.0,758.0,10.0,2.0,2.0,316.083,-17.3794,-0.310236,247.696,1.032,0.0,0.0,5.752060660767555,0.638792872428894,ztf_20180410372072_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410372072_000758_zr_c10_o_q2_diffimgpsf.fits',19.395650053139075,21.953677320594537,5.99382887698477e-10,6.784334875535214e-10,2458155.9718171298,2458199.8365972224,7581022.0,6.06581,0.5215927249799285,0.9615372385910462,0.0,0.0,218.87207179982215,p48r
2458218.8814352,b'r',2.563,5.82812521955821,26.275,1.34909e-05,2.0,758.0,10.0,2.0,2.0,316.205,-17.37,-0.30939,247.591,1.033,0.0,0.0,5.973997504544258,0.01699352264404297,ztf_20180410381424_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410381424_000758_zr_c10_o_q2_diffimgpsf.fits',-17.058861937030233,24.091134093926296,-5.271692312788449e-10,7.444872165741459e-10,2458155.9718171298,2458199.8365972224,7581022.0,5.90144,0.5215927249799285,0.9615372385910462,0.0,0.0,218.88143520010635,p48r
2458218.9451157,b'r',2.15,5.46849742173776,26.275,1.57434e-05,2.0,758.0,10.0,2.0,2.0,316.969,-17.3039,-0.303761,246.891,1.103,0.0,0.0,7.073122092819212,0.19640547037124634,ztf_20180410445116_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180410445116_000758_zr_c10_o_q2_diffimgpsf.fits',-21.214713187135803,25.978792268754486,-6.555973126429164e-10,8.028214309597966e-10,2458155.9718171298,2458199.8365972224,7581022.0,7.37195,0.5215927249799285,0.9615372385910462,0.0,0.0,218.94511569989845,p48r
2458219.7834144,b'r',2.316,5.45851807198015,26.275,1.37283e-05,2.0,758.0,10.0,2.0,2.0,326.981,-14.7927,-0.23144,237.512,1.118,0.0,0.0,7.777701780891419,-0.1938105821609497,ztf_20180411283391_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180411283391_000758_zr_c10_o_q2_diffimgpsf.fits',-0.6914732646754124,31.681032494178844,-2.136856671531689e-11,9.790375001407932e-10,2458155.9718171298,2458199.8365972224,7581022.0,7.03522,0.5215927249799285,0.9615372385910462,0.0,0.0,219.78341440018266,p48r
2458219.7995486,b'r',2.393,3.65475236635849,26.275,2.08896e-05,2.0,758.0,10.0,2.0,2.0,327.237,-14.7562,-0.230154,237.337,1.087,0.0,0.0,12.406072441291801,0.8622046709060669,ztf_20180411299514_000758_zr_c10_o_q2_scimrefdiffimg.fits,b'ztf_20180411299514_000758_zr_c10_o_q2_diffimgpsf.fits',2.502487169500231,50.3597066169632,7.733424669830431e-11,1.5562637134119705e-09,2458155.9718171298,2458199.8365972224,7581022.0,13.073,0.5215927249799285,0.9615372385910462,0.0,0.0,219.799548599869,p48r
