jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458218.7459606,b'r',1.916,6.06475933345763,26.275,1.80024e-05,2.0,756.0,10.0,4.0,2.0,314.212,-17.5271,-0.321586,249.094,1.091,0.0,0.0,6.117275758790969,0.5769288539886475,ztf_20180410245926_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410245926_000756_zr_c10_o_q4_diffimgpsf.fits',37.97070092528662,19.742132166843255,1.1734068363875287e-09,6.100902089429849e-10,2458155.943587963,2458198.9077199074,7561042.0,5.88329,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.7459606002085,p48r
2458218.7521065,b'r',1.913,6.27943417079756,26.275,1.79624e-05,2.0,756.0,10.0,4.0,2.0,314.311,-17.5183,-0.321016,249.024,1.08,0.0,0.0,5.717091298913956,-0.03541278839111328,ztf_20180410252072_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410252072_000756_zr_c10_o_q4_diffimgpsf.fits',18.771095978595845,18.310359918195942,5.800823216592899e-10,5.658442163101915e-10,2458155.943587963,2458198.9077199074,7561042.0,5.63235,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.7521064998582,p48r
2458218.784294,b'r',1.951,5.90277575162209,26.275,1.22162e-05,2.0,756.0,10.0,4.0,2.0,314.82,-17.4758,-0.318056,248.661,1.043,0.0,0.0,5.881348848152159,-0.7851223945617676,ztf_20180410284259_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410284259_000756_zr_c10_o_q4_diffimgpsf.fits',20.45395426363513,19.45230124334094,6.320876143775355e-10,6.011335768838202e-10,2458155.943587963,2458198.9077199074,7561042.0,6.04204,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.78429399989545,p48r
2458218.7852315,b'r',2.002,5.73863026652443,26.275,1.56179e-05,3.0,756.0,10.0,4.0,2.0,314.834,-17.4746,-0.317999,248.654,1.042,0.0,0.0,6.743728651714324,0.17069530487060547,ztf_20180410285208_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410285208_000756_zr_c10_o_q4_diffimgpsf.fits',3.162024305456733,22.084952731101975,9.771589268649905e-11,6.824902855234775e-10,2458155.943587963,2458198.9077199074,7561042.0,6.38393,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.7852314999327,p48r
2458218.8097569,b'r',2.401,6.09700743662428,26.275,1.10317e-05,3.0,756.0,10.0,4.0,2.0,315.206,-17.4455,-0.315784,248.381,1.032,0.0,0.0,5.999184399843216,-0.15081477165222168,ztf_20180410309734_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410309734_000756_zr_c10_o_q4_diffimgpsf.fits',-19.779931315161445,20.36395335073876,-6.112583139867599e-10,6.29306320307726e-10,2458155.943587963,2458198.9077199074,7561042.0,5.56432,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.80975690018386,p48r
2458218.8106713,b'r',2.358,6.1569375584014,26.275,1.09947e-05,2.0,756.0,10.0,4.0,2.0,315.22,-17.4444,-0.315727,248.374,1.032,0.0,0.0,5.760521633982659,-0.3080998659133911,ztf_20180410310660_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410310660_000756_zr_c10_o_q4_diffimgpsf.fits',10.349543739662051,20.307185114314272,3.1983147747277277e-10,6.275520140680915e-10,2458155.943587963,2458198.9077199074,7561042.0,5.51772,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.81067130016163,p48r
2458218.8534954,b'r',2.364,6.00778794082057,26.275,8.9351e-06,2.0,756.0,10.0,4.0,2.0,315.833,-17.3983,-0.311875,247.898,1.049,0.0,0.0,6.059188638067245,0.4589211344718933,ztf_20180410353495_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410353495_000756_zr_c10_o_q4_diffimgpsf.fits',-23.035415217362434,23.228363802879322,-7.118623843226922e-10,7.178250656719254e-10,2458155.943587963,2458198.9077199074,7561042.0,5.68161,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.8534953999333,p48r
2458218.8568519,b'r',2.21,6.04840841911486,26.275,9.7501e-06,2.0,756.0,10.0,4.0,2.0,315.879,-17.3949,-0.311649,247.87,1.052,0.0,0.0,5.848417256355285,0.3015722632408142,ztf_20180410356840_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410356840_000756_zr_c10_o_q4_diffimgpsf.fits',-19.331698071763167,21.299967069099367,-5.974065825390152e-10,6.582319094851395e-10,2458155.943587963,2458198.9077199074,7561042.0,5.67816,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.8568518999964,p48r
2458218.8804282,b'r',2.364,6.14845168709752,26.275,1.19574e-05,2.0,756.0,10.0,4.0,2.0,316.192,-17.371,-0.309503,247.605,1.084,0.0,0.0,5.84092517929077,0.2530784606933594,ztf_20180410379919_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180410379919_000756_zr_c10_o_q4_diffimgpsf.fits',-27.705722927247617,20.128821376566403,-8.561886901656042e-10,6.220400476903197e-10,2458155.943587963,2458198.9077199074,7561042.0,5.60172,-1.2598692385196792,0.9238732250215415,0.0,0.0,218.88042820012197,p48r
2458219.7373032,b'r',2.03,4.94721860339353,26.275,1.08957e-05,3.0,756.0,10.0,4.0,2.0,326.226,-14.904,-0.235312,238.037,1.102,0.0,0.0,9.411005117702476,0.26867228746414185,ztf_20180411237280_000756_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180411237280_000756_zr_c10_o_q4_diffimgpsf.fits',-12.789525289750843,32.98876730269807,-3.9523411586934104e-10,1.0194503692055315e-09,2458155.943587963,2458198.9077199074,7561042.0,8.8444,-1.2598692385196792,0.9238732250215415,0.0,0.0,219.73730320017785,p48r
