jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458227.7657986,b'r',2.526,4.71716462630375,26.275,1.57593e-05,2.0,756.0,3.0,1.0,2.0,69.2044,17.0591,0.126758,138.287,1.039,0.0,0.0,8.135799050712583,0.5232954025268555,ztf_20180419265775_000756_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419265775_000756_zr_c03_o_q1_diffimgpsf.fits',-49.837588741508284,55.48262752611725,-1.5401287285537387e-09,1.7145771044238614e-09,2458155.943587963,2458184.8982175924,7560312.0,7.75318,6.280996751200522,1.4511766572327998,0.0,0.0,227.7657985999249,p48r
2458227.7783102,b'r',2.56,5.04024748331814,26.275,1.3092e-05,2.0,756.0,3.0,1.0,2.0,69.4197,17.0746,0.127694,138.126,1.033,0.0,0.0,7.149693058991432,0.7524787187576294,ztf_20180419278299_000756_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419278299_000756_zr_c03_o_q1_diffimgpsf.fits',-16.718157792702865,45.5968891034217,-5.166404666683118e-10,1.4090785813450998e-09,2458155.943587963,2458184.8982175924,7560312.0,7.05312,6.280996751200522,1.4511766572327998,0.0,0.0,227.77831020019948,p48r
2458227.7792245,b'r',2.652,5.11429757753942,26.275,1.50142e-05,3.0,756.0,3.0,1.0,2.0,69.4356,17.0757,0.127775,138.112,1.033,0.0,0.0,7.236106345653534,-0.16214710474014282,ztf_20180419279225_000756_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419279225_000756_zr_c03_o_q1_diffimgpsf.fits',15.185673174098394,47.42472024587311,4.692821644956045e-10,1.4655639636549332e-09,2458155.943587963,2458184.8982175924,7560312.0,6.90559,6.280996751200522,1.4511766572327998,0.0,0.0,227.77922450006008,p48r
2458227.7801505,b'r',2.487,5.36842529927528,26.275,1.38685e-05,1.0,756.0,3.0,1.0,2.0,69.4517,17.0769,0.127898,138.091,1.033,0.0,0.0,6.800823508739471,0.7849419116973877,ztf_20180419280139_000756_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419280139_000756_zr_c03_o_q1_diffimgpsf.fits',38.41510285318574,44.65383377818551,1.1871401688673977e-09,1.3799353857727938e-09,2458155.943587963,2458184.8982175924,7560312.0,6.3932,6.280996751200522,1.4511766572327998,0.0,0.0,227.78015050012618,p48r
2458227.8039005,b'g',3.108,6.18171143798223,26.325,1.76361e-05,1.0,756.0,3.0,1.0,1.0,69.873,17.1078,0.129697,137.783,1.034,0.0,0.0,4.5722807896614075,0.0919153094291687,ztf_20180419303889_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419303889_000756_zg_c03_o_q1_diffimgpsf.fits',22.10283773358283,25.91674715794795,6.523009865485969e-10,7.648574334505501e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.03072,-10.307794382562012,1.050309100216027,0.0,0.0,227.80390049982816,p48g
2458227.8048148,b'g',2.875,6.20360191527745,26.325,1.47964e-05,3.0,756.0,3.0,1.0,1.0,69.8896,17.1091,0.129779,137.769,1.034,0.0,0.0,4.648075698399543,0.012232720851898193,ztf_20180419304815_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419304815_000756_zg_c03_o_q1_diffimgpsf.fits',-4.913701288369413,24.94865758950191,-1.4501360579318342e-10,7.362870847134371e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.01144,-10.307794382562012,1.050309100216027,0.0,0.0,227.80481480015442,p48g
2458227.8057292,b'g',2.965,6.19094321460492,26.325,1.60409e-05,2.0,756.0,3.0,1.0,1.0,69.9061,17.1103,0.129861,137.755,1.034,0.0,0.0,4.67912782728672,0.25274181365966797,ztf_20180419305729_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419305729_000756_zg_c03_o_q1_diffimgpsf.fits',-43.532735378660774,25.37684354312414,-1.2847421031153006e-09,7.489237483219058e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.0197,-10.307794382562012,1.050309100216027,0.0,0.0,227.8057292001322,p48g
2458227.8160995,b'g',3.163,6.23463299720304,26.325,1.79932e-05,2.0,756.0,3.0,1.0,1.0,70.0948,17.1247,0.130683,137.615,1.039,0.0,0.0,4.54426732108593,0.33520686626434326,ztf_20180419316088_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419316088_000756_zg_c03_o_q1_diffimgpsf.fits',2.822896448917872,25.586889581048453,8.330958045970211e-11,7.551226461341053e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.0171,-10.307794382562012,1.050309100216027,0.0,0.0,227.81609949981794,p48g
2458227.8532755,b'g',2.884,6.14782944287634,26.325,1.72995e-05,2.0,756.0,3.0,1.0,1.0,70.7904,17.1807,0.133576,137.126,1.08,0.0,0.0,4.423091882967949,0.3791351914405823,ztf_20180419353218_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180419353218_000756_zg_c03_o_q1_diffimgpsf.fits',-7.638836317096317,24.352908033435245,-2.2543804220008956e-10,7.187052688532976e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.06257,-10.307794382562012,1.050309100216027,0.0,0.0,227.85327549977228,p48g
2458229.7796991,b'g',2.953,6.2390309508532,26.325,2.41335e-05,3.0,756.0,3.0,1.0,1.0,99.3782,19.8498,0.316699,111.506,1.032,0.0,0.0,5.556190844631193,0.23325252532958984,ztf_20180421279688_000756_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180421279688_000756_zg_c03_o_q1_diffimgpsf.fits',-26.57827396342169,26.44967417267121,-7.843804734971717e-10,7.80585224801783e-10,2458166.9477199074,2458204.8945138888,7560311.0,4.82939,-10.307794382562012,1.050309100216027,0.0,0.0,229.77969910018146,p48g
