jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458226.7696412,b'r',2.071,5.95092011712325,26.275,1.13915e-05,2.0,791.0,7.0,4.0,2.0,54.9662,14.0226,0.060714,151.471,1.096,0.0,0.0,5.814146223020549,-0.07666587829589844,ztf_20180418269630_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418269630_000791_zr_c07_o_q4_diffimgpsf.fits',41.436994855728216,24.380540867320214,1.2805255593974612e-09,7.534307409646951e-10,2458182.874259259,2458218.8758449075,7910742.0,5.86202,-2.370435880731918,0.9877094058111239,0.0,0.0,226.7696412000805,p48r
2458226.7836921,b'r',2.067,5.93546616338002,26.275,1.18157e-05,3.0,791.0,7.0,4.0,2.0,55.2147,14.0588,0.0615034,151.282,1.084,0.0,0.0,5.724322454643249,0.17307287454605103,ztf_20180418283646_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418283646_000791_zr_c07_o_q4_diffimgpsf.fits',-10.520006154345342,22.35688498296564,-3.250992696878829e-10,6.90893795489963e-10,2458182.874259259,2458218.8758449075,7910742.0,5.81758,-2.370435880731918,0.9877094058111239,0.0,0.0,226.78369210008532,p48r
2458226.7846065,b'r',2.15,5.93205884246789,26.275,1.1833e-05,2.0,791.0,7.0,4.0,2.0,55.231,14.0611,0.0615621,151.268,1.083,0.0,0.0,5.983168817901611,0.3157074451446533,ztf_20180418284595_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418284595_000791_zr_c07_o_q4_diffimgpsf.fits',-11.132579200471678,24.078850899388907,-3.4402958655313444e-10,7.441076295550198e-10,2458182.874259259,2458218.8758449075,7910742.0,5.84612,-2.370435880731918,0.9877094058111239,0.0,0.0,226.7846065000631,p48r
2458226.7869444,b'r',2.102,5.94212936665142,26.275,1.24635e-05,1.0,791.0,7.0,4.0,2.0,55.2728,14.0672,0.0617089,151.233,1.082,0.0,0.0,6.035228235626221,-0.2556324005126953,ztf_20180418286921_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418286921_000791_zr_c07_o_q4_diffimgpsf.fits',6.465339782944785,23.45185173790849,1.9979810000882686e-10,7.247315031000748e-10,2458182.874259259,2458218.8758449075,7910742.0,5.86868,-2.370435880731918,0.9877094058111239,0.0,0.0,226.78694440005347,p48r
2458226.8084259,b'r',1.933,6.01520697517707,26.275,1.34126e-05,2.0,791.0,7.0,4.0,2.0,55.6621,14.1244,0.062889,150.953,1.074,0.0,0.0,5.554086961507797,-0.24136698246002197,ztf_20180418308414_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418308414_000791_zr_c07_o_q4_diffimgpsf.fits',-20.962228924015967,19.7414221815568,-6.477948029919085e-10,6.10068268042361e-10,2458182.874259259,2458218.8758449075,7910742.0,5.70567,-2.370435880731918,0.9877094058111239,0.0,0.0,226.80842590006068,p48r
2458226.8305787,b'r',2.055,5.94755465996898,26.275,1.34308e-05,2.0,791.0,7.0,4.0,2.0,56.0722,14.1857,0.0641095,150.666,1.077,0.0,0.0,5.51975718152523,0.1778249740600586,ztf_20180418330567_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418330567_000791_zr_c07_o_q4_diffimgpsf.fits',-21.15056632581289,20.75015901664156,-6.536149851173536e-10,6.412412163815553e-10,2458182.874259259,2458218.8758449075,7910742.0,5.72589,-2.370435880731918,0.9877094058111239,0.0,0.0,226.83057870017365,p48r
2458226.8528819,b'r',2.216,5.9655409329826,26.275,1.29624e-05,2.0,791.0,7.0,4.0,2.0,56.4924,14.2501,0.0654012,150.366,1.091,0.0,0.0,5.66551744852066,0.2453765869140625,ztf_20180418352847_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180418352847_000791_zr_c07_o_q4_diffimgpsf.fits',-0.09432015977189323,22.05999244618562,-2.9147715893703388e-12,6.817189389773186e-10,2458182.874259259,2458218.8758449075,7910742.0,5.71632,-2.370435880731918,0.9877094058111239,0.0,0.0,226.85288190003484,p48r
2458227.7653241,b'r',2.712,4.64233942993751,26.275,1.64224e-05,2.0,791.0,7.0,4.0,2.0,69.1963,17.0585,0.126718,138.294,1.097,0.0,0.0,8.245632976293564,0.29516083002090454,ztf_20180419265324_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180419265324_000791_zr_c07_o_q4_diffimgpsf.fits',-74.7572270222367,37.464690502696556,-2.3102191721419976e-09,1.1577696199375106e-09,2458182.874259259,2458218.8758449075,7910742.0,9.34155,-2.370435880731918,0.9877094058111239,0.0,0.0,227.7653240999207,p48r
2458227.7769329,b'r',2.984,5.62744241987286,26.275,1.629e-05,2.0,791.0,7.0,4.0,2.0,69.3958,17.0728,0.127612,138.14,1.087,0.0,0.0,6.193892262053489,-1.1683903932571411,ztf_20180419276921_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180419276921_000791_zr_c07_o_q4_diffimgpsf.fits',59.655685970257736,29.16909524703568,1.8435369387735265e-09,9.014112185490526e-10,2458182.874259259,2458218.8758449075,7910742.0,7.08813,-2.370435880731918,0.9877094058111239,0.0,0.0,227.77693289984018,p48r
2458227.7778472,b'r',2.978,5.26629949206754,26.275,1.80501e-05,3.0,791.0,7.0,4.0,2.0,69.4117,17.074,0.127694,138.126,1.086,0.0,0.0,7.15403114259243,0.04020345211029053,ztf_20180419277836_000791_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180419277836_000791_zr_c07_o_q4_diffimgpsf.fits',-65.68567380138653,33.53999257925712,-2.029881377300025e-09,1.0364848592915426e-09,2458182.874259259,2458218.8758449075,7910742.0,7.63069,-2.370435880731918,0.9877094058111239,0.0,0.0,227.77784720016643,p48r
