jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458224.925544,b'r',2.877,4.21939390515203,26.275,1.21942e-05,2.0,677.0,9.0,1.0,2.0,30.876,6.56843,0.00155892,175.474,1.019,0.0,0.0,9.36150802936554,-0.8788466453552246,ztf_20180416425509_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180416425509_000677_zr_c09_o_q1_diffimgpsf.fits',-4.282277241280169,46.355704247002855,-1.3233501799485011e-10,1.4325282110554096e-09,2458155.0652199076,2458214.8501273147,6770912.0,9.64573,2.012190852372952,0.9329712378517966,0.0,0.0,224.92554400023073,p48r
2458224.9264815,b'r',2.827,4.8640083853051,26.275,8.4765e-06,3.0,677.0,9.0,1.0,2.0,30.8923,6.57286,0.00156856,175.46,1.02,0.0,0.0,7.292059504628181,-0.3334081768989563,ztf_20180416426458_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180416426458_000677_zr_c09_o_q1_diffimgpsf.fits',28.29497639334472,35.62199603886421,8.743983631143309e-10,1.1008249165803602e-09,2458155.0652199076,2458214.8501273147,6770912.0,7.86779,2.012190852372952,0.9329712378517966,0.0,0.0,224.92648149980232,p48r
2458224.926956,b'r',3.976,4.86717500493052,26.275,1.36255e-05,2.0,678.0,12.0,2.0,2.0,30.9005,6.57511,0.0015734,175.453,1.004,0.0,0.0,8.069005105686188,0.15801477432250977,ztf_20180416426933_000678_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180416426933_000678_zr_c12_o_q2_diffimgpsf.fits',41.22018416820006,54.21726223190951,1.2738254686235773e-09,1.6754735784628782e-09,2458160.9891319443,2458217.9673263887,6781222.0,8.59873,-5.917898757069789,1.1183602560846033,0.0,0.0,224.92695599980652,p48r
2458224.9507755,b'r',2.105,3.82784108381953,26.275,1.47546e-05,2.0,677.0,9.0,1.0,2.0,31.3099,6.68861,0.00179347,175.146,1.055,0.0,0.0,9.308472025489806,-0.5146774053573608,ztf_20180416450752_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180416450752_000677_zr_c09_o_q1_diffimgpsf.fits',-10.501176351440865,36.18008231330912,-3.245173731487745e-10,1.118071431216547e-09,2458155.0652199076,2458214.8501273147,6770912.0,10.1062,2.012190852372952,0.9329712378517966,0.0,0.0,224.9507754999213,p48r
2458226.7459606,b'r',2.777,5.86315542802666,26.275,1.03201e-05,2.0,677.0,9.0,1.0,2.0,54.5581,13.9632,0.0594665,151.771,1.327,0.0,0.0,19.92605996656418,4.267948150634766,ztf_20180418245949_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180418245949_000677_zr_c09_o_q1_diffimgpsf.fits',-62.02176909426358,79.08730568411487,-1.916655897484154e-09,2.444031395322164e-09,2458155.0652199076,2458214.8501273147,6770912.0,0.0,2.012190852372952,0.9329712378517966,0.0,0.0,226.7459606002085,p48r
2458226.7975231,b'r',2.072,5.64759858433583,26.275,6.1126e-06,2.0,677.0,9.0,1.0,2.0,55.4634,14.0951,0.0622976,151.093,1.111,0.0,0.0,5.674923817157745,0.4379703998565674,ztf_20180418297500_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180418297500_000677_zr_c09_o_q1_diffimgpsf.fits',-54.00679814679538,20.865922528443274,-1.668969616377253e-09,6.448186509167665e-10,2458155.0652199076,2458214.8501273147,6770912.0,6.18579,2.012190852372952,0.9329712378517966,0.0,0.0,226.7975230999291,p48r
2458226.7984606,b'r',1.904,5.66386089649778,26.275,6.8072e-06,3.0,677.0,9.0,1.0,2.0,55.4804,14.0976,0.0623272,151.086,1.109,0.0,0.0,5.16517826786041,-0.11135947704315186,ztf_20180418298449_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180418298449_000677_zr_c09_o_q1_diffimgpsf.fits',-4.212217926605022,17.77216900303266,-1.3016997819339372e-10,5.492125269599209e-10,2458155.0652199076,2458214.8501273147,6770912.0,6.18625,2.012190852372952,0.9329712378517966,0.0,0.0,226.79846059996635,p48r
2458226.8168634,b'r',2.037,5.86842743186769,26.275,6.2053e-06,2.0,678.0,12.0,2.0,2.0,55.8173,14.1475,0.063364,150.841,1.118,0.0,0.0,6.115456864237785,-0.5032421946525574,ztf_20180418316794_000678_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180418316794_000678_zr_c12_o_q2_diffimgpsf.fits',26.298275201086422,26.39576487685319,8.126943973690284e-10,8.157071163796452e-10,2458160.9891319443,2458217.9673263887,6781222.0,6.22733,-5.917898757069789,1.1183602560846033,0.0,0.0,226.8168633999303,p48r
2458226.8178472,b'r',1.927,5.69886936778431,26.275,6.9368e-06,2.0,677.0,9.0,1.0,2.0,55.8355,14.1502,0.0634235,150.827,1.063,0.0,0.0,4.829792909240721,-0.1031336784362793,ztf_20180418317824_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180418317824_000677_zr_c09_o_q1_diffimgpsf.fits',7.729505203646604,16.82282948786165,2.388645462641914e-10,5.198751312851783e-10,2458155.0652199076,2458214.8501273147,6770912.0,6.05551,2.012190852372952,0.9329712378517966,0.0,0.0,226.8178472002037,p48r
2458226.838125,b'r',1.912,5.68958531250728,26.275,6.7918e-06,3.0,677.0,9.0,1.0,2.0,56.2137,14.2072,0.0645587,150.561,1.029,0.0,0.0,4.460723802447319,-0.4865695834159851,ztf_20180418338090_000677_zr_c09_o_q1_scimrefdiffimg.fits,b'ztf_20180418338090_000677_zr_c09_o_q1_diffimgpsf.fits',6.792177144304865,14.796485123146434,2.0989834005868535e-10,4.5725510393503256e-10,2458155.0652199076,2458214.8501273147,6770912.0,5.95326,2.012190852372952,0.9329712378517966,0.0,0.0,226.83812499977648,p48r
