jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458226.8576505,b'r',2.18,6.07770509385658,26.275,2.9568e-06,2.0,633.0,10.0,3.0,2.0,56.583,14.2642,0.0656731,150.303,1.123,0.0,0.0,5.209066333580015,-0.2154843807220459,ztf_20180418357593_000633_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180418357593_000633_zr_c10_o_q3_diffimgpsf.fits',-24.04524496114751,18.374826313045613,-7.430691067710462e-10,5.6783641828796e-10,2458156.016574074,2458217.982453704,6331032.0,5.60855,-0.6881430978259486,0.8754814253149665,0.0,0.0,226.8576504997909,p48r
2458226.879919,b'r',2.113,6.09793775974551,26.275,3.0494e-06,2.0,633.0,10.0,3.0,2.0,57.0088,14.332,0.0669488,150.009,1.068,0.0,0.0,5.538191127014155,-0.2981027364730835,ztf_20180418379861_000633_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180418379861_000633_zr_c10_o_q3_diffimgpsf.fits',-9.238232060314655,19.699116882795504,-2.854886634049101e-10,6.087609092750714e-10,2458156.016574074,2458217.982453704,6331032.0,5.70585,-0.6881430978259486,0.8754814253149665,0.0,0.0,226.87991899996996,p48r
2458226.9183218,b'r',2.31,6.12978509661853,26.275,2.6964e-06,2.0,633.0,10.0,3.0,2.0,57.7494,14.4562,0.0691622,149.505,1.016,0.0,0.0,5.633210763406751,-0.02303290367126465,ztf_20180418418310_000633_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180418418310_000633_zr_c10_o_q3_diffimgpsf.fits',-2.1235824854322036,20.975097174593703,-6.562497255297001e-11,6.481924699517772e-10,2458156.016574074,2458217.982453704,6331032.0,5.51888,-0.6881430978259486,0.8754814253149665,0.0,0.0,226.91832179995254,p48r
2458226.9598148,b'r',2.279,6.06191648164405,26.275,2.8203e-06,2.0,633.0,10.0,3.0,2.0,58.5485,14.6011,0.0715976,148.96,1.013,0.0,0.0,5.726213235092162,-0.0524137020111084,ztf_20180418459803_000633_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180418459803_000633_zr_c10_o_q3_diffimgpsf.fits',-30.564048746020802,21.13634339127127,-9.445194023895087e-10,6.531754544254525e-10,2458156.016574074,2458217.982453704,6331032.0,5.67387,-0.6881430978259486,0.8754814253149665,0.0,0.0,226.95981479994953,p48r
2458226.9996644,b'r',2.515,6.09600376012346,26.275,3.0124e-06,1.0,633.0,10.0,3.0,2.0,59.3034,14.7506,0.0740079,148.428,1.062,0.0,0.0,5.888368438220024,-0.1131332516670227,ztf_20180418499618_000633_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180418499618_000633_zr_c10_o_q3_diffimgpsf.fits',-8.479432001269634,23.812455218864404,-2.620394998383314e-10,7.358752159982703e-10,2458156.016574074,2458217.982453704,6331032.0,6.11731,-0.6881430978259486,0.8754814253149665,0.0,0.0,226.99966439977288,p48r
2458227.8359375,b'g',2.565,5.54526877005799,26.325,4.6009e-06,2.0,633.0,10.0,3.0,1.0,70.4626,17.1536,0.132209,137.356,1.189,0.0,0.0,4.909982718729972,0.5448980331420898,ztf_20180419335926_000633_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180419335926_000633_zg_c10_o_q3_diffimgpsf.fits',-33.99438074001912,21.057994870730184,-1.0032453009475465e-09,6.214654875904657e-10,2458203.8983564815,2458207.0077083334,6331031.0,4.7495,-8.403985293855131,0.8878406666856793,0.0,0.0,227.8359375,p48g
2458227.856713,b'g',2.789,5.71594349868604,26.325,5.1373e-06,2.0,633.0,10.0,3.0,1.0,70.8561,17.1862,0.133867,137.077,1.118,0.0,0.0,4.476835803699493,0.09701955318450928,ztf_20180419356690_000633_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180419356690_000633_zg_c10_o_q3_diffimgpsf.fits',-20.998031254895174,20.377919179505998,-6.196958358127588e-10,6.01395031035349e-10,2458203.8983564815,2458207.0077083334,6331031.0,4.44663,-8.403985293855131,0.8878406666856793,0.0,0.0,227.85671300021932,p48g
2458228.9622917,b'g',3.523,5.90370055170968,26.325,6.47e-06,2.0,633.0,10.0,3.0,1.0,87.7002,19.1102,0.23227,122.375,1.019,0.0,0.0,4.81420780172348,0.3637874126434326,ztf_20180420462245_000633_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180420462245_000633_zg_c10_o_q3_diffimgpsf.fits',-34.410413454528836,26.0526601139681,-1.015523296804108e-09,7.688685090992763e-10,2458203.8983564815,2458207.0077083334,6331031.0,4.32879,-8.403985293855131,0.8878406666856793,0.0,0.0,228.96229169983417,p48g
2458228.9991551,b'g',3.321,5.83836758986809,26.325,6.8174e-06,2.0,633.0,10.0,3.0,1.0,88.4502,19.1466,0.235837,121.892,1.072,0.0,0.0,5.242509172344207,-0.35855549573898315,ztf_20180420499074_000633_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180420499074_000633_zg_c10_o_q3_diffimgpsf.fits',1.4375149490469052,27.893954812300937,4.2424073810980926e-11,8.232089681028219e-10,2458203.8983564815,2458207.0077083334,6331031.0,5.19181,-8.403985293855131,0.8878406666856793,0.0,0.0,228.99915509996936,p48g
2458229.8531019,b'g',2.251,5.75402519257721,26.325,4.3965e-06,2.0,633.0,10.0,3.0,1.0,100.603,19.733,0.324618,110.534,1.113,0.0,0.0,4.934024686288833,0.27468782663345337,ztf_20180421353079_000633_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180421353079_000633_zg_c10_o_q3_diffimgpsf.fits',-30.525735803010683,17.279352667573033,-9.008783315262569e-10,5.099498502466882e-10,2458203.8983564815,2458207.0077083334,6331031.0,4.59221,-8.403985293855131,0.8878406666856793,0.0,0.0,229.8531018998474,p48g
