jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458229.77875,b'g',2.892,5.84131759036049,26.325,2.74119e-05,3.0,790.0,9.0,2.0,1.0,99.3635,19.8513,0.316642,111.513,1.074,0.0,0.0,5.599288984298704,0.3445552587509155,ztf_20180421278738_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180421278738_000790_zg_c09_o_q2_diffimgpsf.fits',-3.5462567592310683,25.833404700996397,-1.046574566797078e-10,7.623978231024535e-10,2458166.9372685184,2458227.8170538773,7900921.0,5.22354,-999.0,-999.0,0.0,0.0,229.77875000005588,p48g
2458229.780162,b'g',2.882,5.84314449128747,26.325,2.30486e-05,2.0,790.0,9.0,2.0,1.0,99.3854,19.849,0.316756,111.499,1.074,0.0,0.0,5.222054153680801,-0.10213863849639893,ztf_20180421280150_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180421280150_000790_zg_c09_o_q2_diffimgpsf.fits',-32.58269167100779,24.138626500840026,-9.615834028910431e-10,7.123813727757928e-10,2458166.9372685184,2458227.8170538773,7900921.0,5.1931,-999.0,-999.0,0.0,0.0,229.78016200009733,p48g
2458229.8106944,b'g',2.488,5.843704475075,26.325,2.61817e-05,2.0,790.0,9.0,2.0,1.0,99.8756,19.7994,0.320054,111.094,1.088,0.0,0.0,5.1378858247756956,-0.19528615474700928,ztf_20180421310683_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180421310683_000790_zg_c09_o_q2_diffimgpsf.fits',-12.677901155663218,21.355583832267726,-3.741513886535778e-10,6.302479605309414e-10,2458166.9372685184,2458227.8170538773,7900921.0,4.67603,-999.0,-999.0,0.0,0.0,229.8106944002211,p48g
2458230.7606134,b'r',2.641,6.00055751442759,26.275,2.29694e-05,1.0,790.0,9.0,2.0,2.0,114.279,19.3897,0.42612,98.4972,1.076,0.0,0.0,6.745860101413724,-0.42767155170440674,ztf_20180422260613_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422260613_000790_zr_c09_o_q2_diffimgpsf.fits',51.60925686517825,36.35715052493921,1.594878507658811e-09,1.1235433625709122e-09,2458184.8944791667,2458219.857511574,7900922.0,6.84687,-11.030196294470956,1.2892931170715731,0.0,0.0,230.76061340002343,p48r
2458230.7616088,b'r',2.055,5.96761072325477,26.275,1.7462e-05,3.0,790.0,9.0,2.0,2.0,114.292,19.3869,0.42624,98.4832,1.075,0.0,0.0,7.455505804681778,0.25643253326416016,ztf_20180422261562_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422261562_000790_zr_c09_o_q2_diffimgpsf.fits',-48.71378290541435,34.71084800928185,-1.5053998081306065e-09,1.072667750890814e-09,2458184.8944791667,2458219.857511574,7900922.0,6.88631,-11.030196294470956,1.2892931170715731,0.0,0.0,230.7616087999195,p48r
2458230.762581,b'r',2.046,6.08839144670584,26.275,1.85891e-05,2.0,790.0,9.0,2.0,2.0,114.305,19.3842,0.426301,98.4762,1.075,0.0,0.0,6.395937956047058,-0.3893257975578308,ztf_20180422262546_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422262546_000790_zr_c09_o_q2_diffimgpsf.fits',2.430076942348414,29.94959790340263,7.5096556755959e-11,9.25531056065931e-10,2458184.8944791667,2458219.857511574,7900922.0,6.71897,-11.030196294470956,1.2892931170715731,0.0,0.0,230.76258100010455,p48r
2458230.8037384,b'g',2.161,1.94746910416964,26.325,0.0005224387,2.0,790.0,9.0,2.0,1.0,114.889,19.2665,0.431013,97.9306,1.085,0.0,0.0,22.881621844577786,0.9273697137832642,ztf_20180422303576_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422303576_000790_zg_c09_o_q2_diffimgpsf.fits',38.518742012072394,84.54159878289867,1.1367686682561036e-09,2.494999523612759e-09,2458166.9372685184,2458227.8170538773,7900921.0,23.4493,-999.0,-999.0,0.0,0.0,230.80373839987442,p48g
2458230.8213194,b'g',2.668,2.35499442807914,26.325,0.0001750327,1.0,790.0,9.0,2.0,1.0,115.155,19.2154,0.433069,97.6928,1.101,0.0,0.0,17.982630133628845,1.7033599615097046,ztf_20180422321273_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422321273_000790_zg_c09_o_q2_diffimgpsf.fits',87.20078508138816,81.78112270558225,2.5734776150474565e-09,2.4135320746157244e-09,2458166.9372685184,2458227.8170538773,7900921.0,21.7565,-999.0,-999.0,0.0,0.0,230.8213193998672,p48g
2458230.8265278,b'g',2.461,4.74442624179907,26.325,4.57915e-05,2.0,790.0,9.0,2.0,1.0,115.236,19.2002,0.433674,97.6229,1.107,0.0,0.0,7.458435425376892,0.6871840953826904,ztf_20180422326528_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422326528_000790_zg_c09_o_q2_diffimgpsf.fits',-38.085761499826866,32.54470317187399,-1.123990507429046e-09,9.604622839694005e-10,2458166.9372685184,2458227.8170538773,7900921.0,7.83461,-999.0,-999.0,0.0,0.0,230.82652779994532,p48g
2458230.8274421,b'g',2.303,4.84133244645132,26.325,5.62033e-05,3.0,790.0,9.0,2.0,1.0,115.25,19.1976,0.433734,97.6159,1.108,0.0,0.0,7.843917106056212,0.08894836902618408,ztf_20180422327442_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422327442_000790_zg_c09_o_q2_diffimgpsf.fits',-10.653762096030015,31.794935859835356,-3.144148099651244e-10,9.383350808492755e-10,2458166.9372685184,2458227.8170538773,7900921.0,7.55398,-999.0,-999.0,0.0,0.0,230.82744209980592,p48g
2458230.8431481,b'g',2.462,5.81241548487614,26.325,3.40803e-05,2.0,790.0,9.0,2.0,1.0,115.499,19.152,0.43555,97.4061,1.131,0.0,0.0,5.204524382948875,0.18953198194503784,ztf_20180422343148_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180422343148_000790_zg_c09_o_q2_diffimgpsf.fits',-12.705786653664138,22.051365333785952,-3.749743480434828e-10,6.507819284430426e-10,2458166.9372685184,2458227.8170538773,7900921.0,5.10669,-999.0,-999.0,0.0,0.0,230.84314810018986,p48g
2458231.6847569,b'r',2.065,6.12798779304443,26.275,2.26227e-05,2.0,790.0,9.0,2.0,2.0,128.393,17.9043,0.532088,86.3204,1.158,0.0,0.0,7.451565670776366,-0.3486945629119873,ztf_20180423184745_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180423184745_000790_zr_c09_o_q2_diffimgpsf.fits',-39.252056226573735,32.18514169838843,-1.2130045007374752e-09,9.946159641744542e-10,2458184.8944791667,2458219.857511574,7900922.0,7.74392,-11.030196294470956,1.2892931170715731,0.0,0.0,231.68475690018386,p48r
2458231.781412,b'r',2.161,6.02160196916834,26.275,2.08511e-05,2.0,790.0,9.0,2.0,2.0,129.481,17.5658,0.543165,85.0475,1.075,0.0,0.0,7.360023835086823,-0.22502946853637695,ztf_20180423281377_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180423281377_000790_zr_c09_o_q2_diffimgpsf.fits',9.550367934715235,38.16693142737485,2.9513458407474756e-10,1.1794709386443783e-09,2458184.8944791667,2458219.857511574,7900922.0,7.30794,-11.030196294470956,1.2892931170715731,0.0,0.0,231.78141199983656,p48r
2458231.8191319,b'r',2.175,6.08928359395169,26.275,2.23433e-05,2.0,790.0,9.0,2.0,2.0,129.974,17.4205,0.54742,84.5579,1.101,0.0,0.0,6.874103203415871,0.323153018951416,ztf_20180423319132_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180423319132_000790_zr_c09_o_q2_diffimgpsf.fits',-72.12729527478407,36.064372077562425,-2.228946511472244e-09,1.1144956440215425e-09,2458184.8944791667,2458219.857511574,7900922.0,7.21734,-11.030196294470956,1.2892931170715731,0.0,0.0,231.81913190009072,p48r
2458231.8200463,b'r',2.221,6.03137490934321,26.275,1.96466e-05,3.0,790.0,9.0,2.0,2.0,129.986,17.4169,0.547602,84.5369,1.102,0.0,0.0,6.869382835292814,-0.23880469799041748,ztf_20180423320046_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180423320046_000790_zr_c09_o_q2_diffimgpsf.fits',-25.46818613502043,36.97925805427594,-7.870421928745963e-10,1.1427683227174469e-09,2458184.8944791667,2458219.857511574,7900922.0,7.27741,-11.030196294470956,1.2892931170715731,0.0,0.0,231.8200463000685,p48r
2458231.8449421,b'r',2.927,6.04611923839196,26.275,2.91953e-05,2.0,790.0,9.0,2.0,2.0,130.336,17.3191,0.550336,84.2222,1.139,0.0,0.0,8.024097025680538,-0.31045234203338623,ztf_20180423344942_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180423344942_000790_zr_c09_o_q2_diffimgpsf.fits',63.7210264192251,54.11563195518925,1.9691679689840923e-09,1.6723329034253612e-09,2458184.8944791667,2458219.857511574,7900922.0,7.1123,-11.030196294470956,1.2892931170715731,0.0,0.0,231.84494209988043,p48r
2458232.6659144,b'g',3.242,4.29239227986858,26.325,5.70347e-05,2.0,790.0,9.0,2.0,1.0,142.808,15.1686,0.642064,73.4932,1.195,0.0,0.0,15.672653449440002,0.9963895678520203,ztf_20180424165903_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180424165903_000790_zg_c09_o_q2_diffimgpsf.fits',43.19996293894364,73.63437271440026,1.2749212921705657e-09,2.1731044025773137e-09,2458166.9372685184,2458227.8170538773,7900921.0,15.549,-999.0,-999.0,0.0,0.0,232.66591440001503,p48g
2458232.6838426,b'g',2.81,3.25444775925107,26.325,8.92625e-05,3.0,790.0,9.0,2.0,1.0,142.971,15.1031,0.644053,73.2554,1.154,0.0,0.0,21.693989743614196,1.4632297158241272,ztf_20180424183843_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180424183843_000790_zg_c09_o_q2_diffimgpsf.fits',6.056404288150647,92.95914822910045,1.787371621561208e-10,2.7434189596070536e-09,2458166.9372685184,2458227.8170538773,7900921.0,23.1807,-999.0,-999.0,0.0,0.0,232.6838425998576,p48g
2458232.7209606,b'r',1.709,3.72480059276739,26.275,3.14785e-05,3.0,790.0,9.0,2.0,2.0,143.32,14.9594,0.648022,72.7798,1.098,0.0,0.0,21.350050423526763,-0.8267672657966614,ztf_20180424220961_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180424220961_000790_zr_c09_o_q2_diffimgpsf.fits',-48.031264577418824,85.25835346816275,-1.4843079754144928e-09,2.634735003414375e-09,2458184.8944791667,2458219.857511574,7900922.0,24.2854,-11.030196294470956,1.2892931170715731,0.0,0.0,232.72096059983596,p48r
2458232.7585764,b'g',2.687,4.0644917783576,26.325,5.04023e-05,2.0,790.0,9.0,2.0,1.0,143.696,14.8034,0.652098,72.2902,1.075,0.0,0.0,15.955408775615691,-0.058540165424346924,ztf_20180424258565_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180424258565_000790_zg_c09_o_q2_diffimgpsf.fits',56.97518317220742,70.58793038674735,1.681456862688262e-09,2.0831975159489257e-09,2458166.9372685184,2458227.8170538773,7900921.0,16.0687,-999.0,-999.0,0.0,0.0,232.75857640011236,p48g
2458233.6823727,b'r',1.955,6.1983719219998,26.275,2.33088e-05,2.0,790.0,9.0,2.0,2.0,156.972,11.4145,0.747341,60.3513,1.151,0.0,0.0,9.023842906379699,-0.2640780210494995,ztf_20180425182373_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180425182373_000790_zr_c09_o_q2_diffimgpsf.fits',12.741224900094867,38.8153992169184,3.9374149113391614e-10,1.1995105091421297e-09,2458184.8944791667,2458219.857511574,7900922.0,9.97832,-11.030196294470956,1.2892931170715731,0.0,0.0,233.68237269995734,p48r
2458233.6966551,b'r',1.87,6.10780634069316,26.275,2.27336e-05,1.0,790.0,9.0,2.0,2.0,157.093,11.3547,0.748771,60.1624,1.126,0.0,0.0,9.618621556472778,-0.29642534255981445,ztf_20180425196597_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180425196597_000790_zr_c09_o_q2_diffimgpsf.fits',-3.8149882138873945,42.236811543665276,-1.1789440652469402e-10,1.3052422579755959e-09,2458184.8944791667,2458219.857511574,7900922.0,9.9706,-11.030196294470956,1.2892931170715731,0.0,0.0,233.6966551002115,p48r
2458233.6975694,b'r',1.762,6.09601553180845,26.275,2.11653e-05,3.0,790.0,9.0,2.0,2.0,157.101,11.3508,0.748824,60.1554,1.125,0.0,0.0,9.034857884311673,0.2148139476776123,ztf_20180425197569_000790_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180425197569_000790_zr_c09_o_q2_diffimgpsf.fits',25.77437644363043,38.008198764285865,7.965043779963704e-10,1.1745656304960424e-09,2458184.8944791667,2458219.857511574,7900922.0,9.97715,-11.030196294470956,1.2892931170715731,0.0,0.0,233.6975694000721,p48r
2458233.7412847,b'g',1.902,5.78070152832263,26.325,2.41248e-05,2.0,790.0,9.0,2.0,1.0,157.48,11.1596,0.753048,59.5959,1.08,0.0,0.0,9.044784924125668,-0.5606907606124878,ztf_20180425241285_000790_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180425241285_000790_zg_c09_o_q2_diffimgpsf.fits',6.878365494984131,31.919389690753412,2.0299495713180898e-10,9.420079736599138e-10,2458166.9372685184,2458227.8170538773,7900921.0,9.77966,-999.0,-999.0,0.0,0.0,233.74128470011055,p48g
