jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458231.8074769,b'r',2.038,5.82311699601514,26.275,2.9362e-06,2.0,680.0,14.0,3.0,2.0,129.817,17.4658,0.546083,84.7118,1.272,0.0,0.0,6.608749706292151,0.04797041416168213,ztf_20180423307465_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423307465_000680_zr_c14_o_q3_diffimgpsf.fits',-57.55963785121853,27.10150772780574,-1.778762859487571e-09,8.375166554685135e-10,2458155.066736111,2458217.981921296,6801432.0,7.39112,2.855962520964008,1.0464092712178343,0.0,0.0,231.80747690005228,p48r
2458231.8579398,b'r',2.501,5.93790426257233,26.275,3.5205e-06,2.0,680.0,14.0,3.0,2.0,130.527,17.2679,0.551853,84.0473,1.088,0.0,0.0,6.125875696945188,-0.2138042449951172,ztf_20180423357917_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423357917_000680_zr_c14_o_q3_diffimgpsf.fits',-44.08174920569369,29.462724359540545,-1.3622562822756487e-09,9.104852251876655e-10,2458155.066736111,2458217.981921296,6801432.0,6.37742,2.855962520964008,1.0464092712178343,0.0,0.0,231.8579397997819,p48r
2458231.879838,b'g',2.471,6.01706952137908,26.325,4.0648e-06,2.0,680.0,14.0,3.0,1.0,130.859,17.1816,0.554342,83.7606,1.044,0.0,0.0,4.54571801047325,0.1864680051803589,ztf_20180423379815_000680_zg_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423379815_000680_zg_c14_o_q3_diffimgpsf.fits',9.670537863449727,25.761583386244332,2.8539780569439513e-10,7.602782258309495e-10,2458203.8992824075,2458207.0067476854,6801431.0,4.57049,5.544257797582703,1.222889282746721,0.0,0.0,231.87983800005168,p48g
2458231.921169,b'g',2.489,6.0574820378128,26.325,3.8497e-06,2.0,680.0,14.0,3.0,1.0,131.526,17.0207,0.559011,83.222,1.003,0.0,0.0,3.9915558523178087,0.16828668117523193,ztf_20180423421123_000680_zg_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423421123_000680_zg_c14_o_q3_diffimgpsf.fits',-26.23179016598217,22.654617486579525,-7.741550116982326e-10,6.685851615355472e-10,2458203.8992824075,2458207.0067476854,6801431.0,4.00164,5.544257797582703,1.222889282746721,0.0,0.0,231.9211690002121,p48g
2458231.9762616,b'g',2.357,6.02294193416926,26.325,4.0548e-06,2.0,680.0,14.0,3.0,1.0,132.486,16.8152,0.56531,82.4946,1.024,0.0,0.0,4.015173732614516,-0.05042862892150879,ztf_20180423476238_000680_zg_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423476238_000680_zg_c14_o_q3_diffimgpsf.fits',-9.5390912878933,22.276035323579233,-2.8151854222843686e-10,6.574124098057753e-10,2458203.8992824075,2458207.0067476854,6801431.0,4.13164,5.544257797582703,1.222889282746721,0.0,0.0,231.9762615999207,p48g
2458231.9982755,b'g',2.426,6.02118685904673,26.325,4.7448e-06,2.0,680.0,14.0,3.0,1.0,132.889,16.7372,0.56779,82.2079,1.057,0.0,0.0,5.1476161994695655,0.12584519386291504,ztf_20180423498252_000680_zg_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180423498252_000680_zg_c14_o_q3_diffimgpsf.fits',12.074874051626544,29.944333756758127,3.5635479711994834e-10,8.837199406945964e-10,2458203.8992824075,2458207.0067476854,6801431.0,5.23097,5.544257797582703,1.222889282746721,0.0,0.0,231.9982754997909,p48g
2458232.8805787,b'r',2.843,5.32418748411418,26.275,4.7417e-06,2.0,680.0,14.0,3.0,2.0,145.16,14.2524,0.665236,70.7026,1.038,0.0,0.0,8.094762508916855,-0.6533615589141846,ztf_20180424380521_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180424380521_000680_zr_c14_o_q3_diffimgpsf.fits',-8.905673226796816,39.75126264211439,-2.7521161296228785e-10,1.2284314537963309e-09,2458155.066736111,2458217.981921296,6801432.0,8.31398,2.855962520964008,1.0464092712178343,0.0,0.0,232.88057869998738,p48r
2458232.9019329,b'r',3.114,5.09075615767566,26.275,5.4141e-06,2.0,680.0,14.0,3.0,2.0,145.462,14.153,0.667481,70.4298,1.013,0.0,0.0,6.8626019157409655,-0.5992586612701416,ztf_20180424401910_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180424401910_000680_zr_c14_o_q3_diffimgpsf.fits',-47.6419095563564,37.83303402186377,-1.4722757549823385e-09,1.16915252238202e-09,2458155.066736111,2458217.981921296,6801432.0,7.46713,2.855962520964008,1.0464092712178343,0.0,0.0,232.90193289984018,p48r
2458232.9329514,b'r',3.599,2.01584464880301,26.275,2.82611e-05,2.0,680.0,14.0,3.0,2.0,145.924,14.0092,0.670812,70.0241,1.0,0.0,0.0,20.203122582054135,-1.1496154069900513,ztf_20180424432928_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180424432928_000680_zr_c14_o_q3_diffimgpsf.fits',37.32964875293455,119.99150949866593,1.1535964303853035e-09,3.708092137562965e-09,2458155.066736111,2458217.981921296,6801432.0,21.0204,2.855962520964008,1.0464092712178343,0.0,0.0,232.93295140005648,p48r
2458232.9342708,b'r',3.556,2.10615958999283,26.275,2.32897e-05,1.0,680.0,14.0,3.0,2.0,145.944,14.0031,0.670927,70.0101,1.0,0.0,0.0,19.113860893249516,1.6591905355453491,ztf_20180424434248_000680_zr_c14_o_q3_scimrefdiffimg.fits,b'ztf_20180424434248_000680_zr_c14_o_q3_diffimgpsf.fits',109.81550062361184,113.63452021968081,3.3936233999634117e-09,3.511642388862042e-09,2458155.066736111,2458217.981921296,6801432.0,19.2994,2.855962520964008,1.0464092712178343,0.0,0.0,232.93427080009133,p48r
