jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458235.8628472,b'g',2.1,6.2474418322673,26.325,9.4825e-06,1.0,825.0,2.0,2.0,1.0,184.882,1.57331,0.92064,32.7245,1.217,0.0,0.0,11.237500160980225,0.2543375492095947,ztf_20180427362813_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180427362813_000825_zg_c02_o_q2_diffimgpsf.fits',-32.42882431850036,48.5560589451602,-9.570424553870168e-10,1.4329908917195164e-09,2458203.8945370372,2458231.9954029745,8250221.0,11.1645,-2.9504335180791768,1.0571986556522937,0.0,0.0,235.86284720012918,p48g
2458235.8876852,b'g',1.926,6.20845626504896,26.325,8.4864e-06,2.0,825.0,2.0,2.0,1.0,185.115,1.45319,0.922053,32.4238,1.178,0.0,0.0,10.484199499130249,-0.37101471424102783,ztf_20180427387685_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180427387685_000825_zg_c02_o_q2_diffimgpsf.fits',1.9554894220422914,43.099022628551765,5.7710584249797366e-11,1.271942332416935e-09,2458203.8945370372,2458231.9954029745,8250221.0,11.4314,-2.9504335180791768,1.0571986556522937,0.0,0.0,235.88768520019948,p48g
2458235.9516088,b'g',3.121,6.31427437709674,26.325,1.20876e-05,2.0,825.0,2.0,2.0,1.0,185.785,1.14479,0.925743,31.6264,1.14,0.0,0.0,10.038979566383363,-0.306907057762146,ztf_20180427451562_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180427451562_000825_zg_c02_o_q2_diffimgpsf.fits',7.532837910087068,61.75371081965488,2.223098074323132e-10,1.8224812115202162e-09,2458203.8945370372,2458231.9954029745,8250221.0,9.7842,-2.9504335180791768,1.0571986556522937,0.0,0.0,235.9516087998636,p48g
2458235.9525231,b'g',2.885,6.3078203551779,26.325,1.13207e-05,1.0,825.0,2.0,2.0,1.0,185.795,1.1404,0.925806,31.6125,1.14,0.0,0.0,9.775572218704223,0.7854706048965454,ztf_20180427452512_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180427452512_000825_zg_c02_o_q2_diffimgpsf.fits',-1.5460596830594873,56.78146330250461,-4.5627456016220734e-11,1.675739784019774e-09,2458203.8945370372,2458231.9954029745,8250221.0,9.73207,-2.9504335180791768,1.0571986556522937,0.0,0.0,235.95252310018986,p48g
2458235.970081,b'g',2.709,6.26747300080321,26.325,8.8839e-06,2.0,825.0,2.0,2.0,1.0,185.999,1.05607,0.926827,31.3886,1.144,0.0,0.0,8.551705837249756,-0.22876137495040894,ztf_20180427470081_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180427470081_000825_zg_c02_o_q2_diffimgpsf.fits',4.233648904417095,46.82180557297343,1.2494383709181784e-10,1.3818094461617683e-09,2458203.8945370372,2458231.9954029745,8250221.0,8.85418,-2.9504335180791768,1.0571986556522937,0.0,0.0,235.97008100012317,p48g
2458236.8597685,b'g',2.128,5.89574721027289,26.325,1.28662e-05,2.0,825.0,2.0,2.0,1.0,197.5,-3.14352,0.968638,20.4009,1.217,0.0,0.0,13.039212916564939,-1.8180912733078003,ztf_20180428359699_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180428359699_000825_zg_c02_o_q2_diffimgpsf.fits',78.69243077313693,59.36680744616429,2.322378277664879e-09,1.7520386991446145e-09,2458203.8945370372,2458231.9954029745,8250221.0,14.0715,-2.9504335180791768,1.0571986556522937,0.0,0.0,236.85976850008592,p48g
2458236.8845718,b'g',1.817,5.92525627587183,26.325,9.2037e-06,2.0,825.0,2.0,2.0,1.0,197.709,-3.25548,0.969568,20.0932,1.178,0.0,0.0,12.259930612182615,-0.14247524738311768,ztf_20180428384537_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180428384537_000825_zg_c02_o_q2_diffimgpsf.fits',-66.03307150541504,47.28051642710238,-1.9487740989190236e-09,1.3953469633099521e-09,2458203.8945370372,2458231.9954029745,8250221.0,13.6872,-2.9504335180791768,1.0571986556522937,0.0,0.0,236.88457180000842,p48g
2458236.9100116,b'g',2.654,6.06919114840423,26.325,1.20632e-05,2.0,825.0,2.0,2.0,1.0,197.937,-3.36904,0.970504,19.7784,1.153,0.0,0.0,12.415268786382676,-0.8065871596336365,ztf_20180428410012_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180428410012_000825_zg_c02_o_q2_diffimgpsf.fits',100.78663520202123,66.21680184417433,2.9744244773286465e-09,1.9541963659081103e-09,2458203.8945370372,2458231.9954029745,8250221.0,13.0996,-2.9504335180791768,1.0571986556522937,0.0,0.0,236.91001159977168,p48g
2458236.9563542,b'g',2.047,6.11837138752858,26.325,1.11248e-05,2.0,825.0,2.0,2.0,1.0,198.391,-3.5728,0.972134,19.2189,1.141,0.0,0.0,11.107683242321013,-0.575663685798645,ztf_20180428456308_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180428456308_000825_zg_c02_o_q2_diffimgpsf.fits',33.22858148874629,47.243942555105455,9.806449627862406e-10,1.3942675917634475e-09,2458203.8945370372,2458231.9954029745,8250221.0,12.171,-2.9504335180791768,1.0571986556522937,0.0,0.0,236.95635419990867,p48g
2458236.9762037,b'g',2.212,6.04482692795924,26.325,1.04499e-05,2.0,825.0,2.0,2.0,1.0,198.603,-3.65895,0.972833,18.9741,1.149,0.0,0.0,11.850614418411254,0.5970780849456787,ztf_20180428476157_000825_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180428476157_000825_zg_c02_o_q2_diffimgpsf.fits',58.94660872356023,55.22701385103722,1.7396377554566447e-09,1.6298647284701383e-09,2458203.8945370372,2458231.9954029745,8250221.0,11.6737,-2.9504335180791768,1.0571986556522937,0.0,0.0,236.9762037000619,p48g
