jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458229.7896875,b'g',2.888,5.92593562391746,26.325,1.79201e-05,2.0,718.0,7.0,1.0,1.0,99.5352,19.8335,0.317778,111.373,1.024,0.0,0.0,5.29155486934185,-0.46398258209228516,ztf_20180421289676_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421289676_000718_zg_c07_o_q1_diffimgpsf.fits',62.107773753649695,31.856945524749253,1.8329303494947964e-09,9.401651161472177e-10,2458166.9694675924,2458204.897071759,7180711.0,4.92249,5.716176365650765,1.2902698437664508,0.0,0.0,229.78968749986961,p48g
2458229.7986227,b'g',2.532,5.96922128092984,26.325,1.59793e-05,2.0,718.0,7.0,1.0,1.0,99.6783,19.8189,0.318802,111.247,1.017,0.0,0.0,5.079756168079374,0.03992867469787598,ztf_20180421298611_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421298611_000718_zg_c07_o_q1_diffimgpsf.fits',23.88109771799858,28.355711039959516,7.047811592827908e-10,8.368363605624298e-10,2458166.9694675924,2458204.897071759,7180711.0,4.67472,5.716176365650765,1.2902698437664508,0.0,0.0,229.7986226999201,p48g
2458229.8300347,b'g',2.468,5.90504817773084,26.325,1.55648e-05,1.0,718.0,7.0,1.0,1.0,100.201,19.7685,0.322163,110.835,1.008,0.0,0.0,4.7031750363826745,0.5548152923583984,ztf_20180421330023_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421330023_000718_zg_c07_o_q1_diffimgpsf.fits',29.698154575531664,26.000217228086264,8.764546779827371e-10,7.673208098914565e-10,2458166.9694675924,2458204.897071759,7180711.0,4.40944,5.716176365650765,1.2902698437664508,0.0,0.0,229.8300347002223,p48g
2458229.8309491,b'g',2.464,5.92505240081328,26.325,1.64376e-05,3.0,718.0,7.0,1.0,1.0,100.217,19.7671,0.322277,110.821,1.008,0.0,0.0,4.653340680599212,0.1803668737411499,ztf_20180421330938_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421330938_000718_zg_c07_o_q1_diffimgpsf.fits',55.890039615056935,26.335636412463234,1.649432005907061e-09,7.772197321070936e-10,2458166.9694675924,2458204.897071759,7180711.0,4.40945,5.716176365650765,1.2902698437664508,0.0,0.0,229.8309491002001,p48g
2458229.8318634,b'g',2.77,5.91355118267024,26.325,1.6838e-05,2.0,718.0,7.0,1.0,1.0,100.232,19.7657,0.322334,110.814,1.008,0.0,0.0,4.645116726994514,0.15695703029632568,ztf_20180421331852_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421331852_000718_zg_c07_o_q1_diffimgpsf.fits',22.82028450629099,29.26872852981731,6.734743419011803e-10,8.637814169630517e-10,2458166.9694675924,2458204.897071759,7180711.0,4.42102,5.716176365650765,1.2902698437664508,0.0,0.0,229.83186340006068,p48g
2458229.8635764,b'r',1.992,6.40570747317322,26.275,8.7358e-06,2.0,718.0,7.0,1.0,2.0,100.791,19.7176,0.325819,110.387,1.026,0.0,0.0,4.946870017981528,-0.13840991258621216,ztf_20180421363542_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421363542_000718_zr_c07_o_q1_diffimgpsf.fits',-3.1503083928942743,29.95549093351967,-9.73538363757041e-11,9.257131681059129e-10,2458155.972800926,2458184.862962963,7180712.0,5.09661,-96.9884052887454,1.5337589128279505,0.0,0.0,229.86357640009373,p48r
2458229.8807407,b'r',2.166,6.34179161911274,26.275,1.03469e-05,2.0,718.0,7.0,1.0,2.0,101.105,19.6932,0.327651,110.163,1.048,0.0,0.0,5.034768849611282,-0.22726303339004517,ztf_20180421380706_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180421380706_000718_zr_c07_o_q1_diffimgpsf.fits',19.9435736296969,31.696564827708947,6.163153449585085e-10,9.795174951520083e-10,2458155.972800926,2458184.862962963,7180712.0,5.24554,-96.9884052887454,1.5337589128279505,0.0,0.0,229.88074069982395,p48r
2458230.7545718,b'r',1.83,6.32304435297987,26.275,1.17768e-05,3.0,718.0,7.0,1.0,2.0,114.198,19.4065,0.425395,98.5811,1.069,0.0,0.0,4.830410504961014,-0.32166165113449097,ztf_20180422254514_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180422254514_000718_zr_c07_o_q1_diffimgpsf.fits',9.596713790208796,26.53864711713661,2.9656680793022443e-10,8.201225997180814e-10,2458155.972800926,2458184.862962963,7180712.0,7.46762,-96.9884052887454,1.5337589128279505,0.0,0.0,230.75457180012017,p48r
2458230.7564352,b'r',1.827,6.37271896183252,26.275,1.11806e-05,2.0,718.0,7.0,1.0,2.0,114.222,19.4014,0.425637,98.5531,1.066,0.0,0.0,5.635654542541501,-0.5835895538330078,ztf_20180422256412_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180422256412_000718_zr_c07_o_q1_diffimgpsf.fits',-18.386035973970166,35.028122749751795,-5.68182829923906e-10,1.0824724774466469e-09,2458155.972800926,2458184.862962963,7180712.0,7.39409,-96.9884052887454,1.5337589128279505,0.0,0.0,230.75643520010635,p48r
2458230.7740278,b'r',1.646,2.58757047343762,26.275,5.78404e-05,2.0,718.0,7.0,1.0,2.0,114.462,19.3519,0.427629,98.3223,1.038,0.0,0.0,23.22393856468201,-8.266115188598633,ztf_20180422274005_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180422274005_000718_zr_c07_o_q1_diffimgpsf.fits',107.72316049897591,111.64715399592956,3.3289639086591385e-09,3.450226905025419e-09,2458155.972800926,2458184.862962963,7180712.0,24.2623,-96.9884052887454,1.5337589128279505,0.0,0.0,230.77402780018747,p48r
