jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458233.8082639,b'g',1.919,5.76530163797878,26.325,7.9385e-06,2.0,824.0,1.0,2.0,1.0,158.115,10.8465,0.759494,58.7356,1.267,0.0,0.0,8.585347696256637,0.38191354274749756,ztf_20180425308264_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180425308264_000824_zg_c01_o_q2_diffimgpsf.fits',-42.02683749187718,33.34592965787697,-1.240299905736369e-09,9.841081528227334e-10,2458202.870023148,2458230.9128279863,8240121.0,8.94227,21.03675397277648,1.1657330996234123,0.0,0.0,233.80826390022412,p48g
2458234.8228009,b'g',2.247,5.19405430528389,26.325,1.4212e-05,2.0,824.0,1.0,2.0,1.0,171.603,6.43643,0.848604,45.7965,1.228,0.0,0.0,12.382918878746029,-0.2016141414642334,ztf_20180426322789_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426322789_000824_zg_c01_o_q2_diffimgpsf.fits',26.116025787334856,60.49927696018438,7.707385626744e-10,1.7854602437439185e-09,2458202.870023148,2458230.9128279863,8240121.0,12.1881,21.03675397277648,1.1657330996234123,0.0,0.0,234.8228008998558,p48g
2458234.8496181,b'g',2.062,4.73504259774726,26.325,1.38168e-05,2.0,824.0,1.0,2.0,1.0,171.859,6.30336,0.850699,45.4608,1.183,0.0,0.0,13.3505458404541,-0.034540653228759766,ztf_20180426349606_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426349606_000824_zg_c01_o_q2_diffimgpsf.fits',-47.72486237789806,61.25393383175598,-1.4084605419103644e-09,1.807731747027765e-09,2458202.870023148,2458230.9128279863,8240121.0,14.166,21.03675397277648,1.1657330996234123,0.0,0.0,234.84961810009554,p48g
2458234.8647338,b'g',1.868,4.70242295297686,26.325,1.29416e-05,2.0,824.0,1.0,2.0,1.0,172.011,6.22778,0.851915,45.265,1.164,0.0,0.0,13.136843979358673,0.05831503868103027,ztf_20180426364664_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426364664_000824_zg_c01_o_q2_diffimgpsf.fits',24.974821127701276,56.27441798708748,7.370592254641471e-10,1.660775815910974e-09,2458202.870023148,2458230.9128279863,8240121.0,14.0861,21.03675397277648,1.1657330996234123,0.0,0.0,234.86473379982635,p48g
2458234.8912963,b'g',2.058,4.80930500341101,26.325,1.48456e-05,2.0,824.0,1.0,2.0,1.0,172.292,6.09426,0.85399,44.9293,1.145,0.0,0.0,12.726341784000397,-0.0030627846717834473,ztf_20180426391250_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426391250_000824_zg_c01_o_q2_diffimgpsf.fits',26.06936825191545,57.41834997832599,7.693616011841674e-10,1.6945356423926092e-09,2458202.870023148,2458230.9128279863,8240121.0,13.3254,21.03675397277648,1.1657330996234123,0.0,0.0,234.89129630010575,p48g
2458234.9101505,b'g',2.03,4.90506379064189,26.325,1.18653e-05,2.0,824.0,1.0,2.0,1.0,172.503,5.99913,0.855409,44.6984,1.14,0.0,0.0,11.0561141374588,-0.6367247104644775,ztf_20180426410150_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426410150_000824_zg_c01_o_q2_diffimgpsf.fits',-23.21790812000168,49.3468224651906,-6.852090466764146e-10,1.4563279776786396e-09,2458202.870023148,2458230.9128279863,8240121.0,12.1956,21.03675397277648,1.1657330996234123,0.0,0.0,234.91015050001442,p48g
2458234.9549769,b'g',2.043,4.62756637762511,26.325,1.15362e-05,2.0,824.0,1.0,2.0,1.0,173.047,5.77263,0.858912,44.1249,1.156,0.0,0.0,9.43631241531372,-0.640479564666748,ztf_20180426454965_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180426454965_000824_zg_c01_o_q2_diffimgpsf.fits',115.60313577861045,44.83138647821747,3.4116904094140263e-09,1.323068014684219e-09,2458202.870023148,2458230.9128279863,8240121.0,9.73357,21.03675397277648,1.1657330996234123,0.0,0.0,234.95497690001503,p48g
2458235.8075463,b'g',1.877,5.82232351760637,26.325,9.6641e-06,2.0,824.0,1.0,2.0,1.0,184.408,1.84041,0.917343,33.4169,1.255,0.0,0.0,10.814772064685823,0.0724794864654541,ztf_20180427307535_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180427307535_000824_zg_c01_o_q2_diffimgpsf.fits',-38.359067472267824,45.59259528620198,-1.1320563385047542e-09,1.3455328788007883e-09,2458202.870023148,2458230.9128279863,8240121.0,11.8489,21.03675397277648,1.1657330996234123,0.0,0.0,235.80754629988223,p48g
2458235.8084606,b'g',1.858,5.76774362674367,26.325,1.16065e-05,1.0,824.0,1.0,2.0,1.0,184.415,1.836,0.91741,33.403,1.253,0.0,0.0,11.220040366268154,0.6141324639320374,ztf_20180427308449_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180427308449_000824_zg_c01_o_q2_diffimgpsf.fits',-25.572088869708736,47.03096422140215,-7.546858461741732e-10,1.387982155515635e-09,2458202.870023148,2458230.9128279863,8240121.0,11.9863,21.03675397277648,1.1657330996234123,0.0,0.0,235.8084606002085,p48g
2458235.84875,b'g',2.298,5.89694545288868,26.325,1.40614e-05,1.0,824.0,1.0,2.0,1.0,184.756,1.64148,0.91978,32.9064,1.18,0.0,0.0,11.309698516368867,0.8055946826934814,ztf_20180427348704_000824_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180427348704_000824_zg_c01_o_q2_diffimgpsf.fits',-45.18273725346477,56.829086693920345,-1.3334371106846847e-09,1.6771452500301295e-09,2458202.870023148,2458230.9128279863,8240121.0,11.5221,21.03675397277648,1.1657330996234123,0.0,0.0,235.84874999988824,p48g
