jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458242.7094676,b'g',2.831,5.82775673447498,26.325,1.96287e-05,2.0,789.0,3.0,3.0,1.0,272.324,-20.831,-0.837853,312.509,1.074,0.0,0.0,4.835919899058341,0.43550175428390503,ztf_20180504209005_000789_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504209005_000789_zg_c03_o_q3_diffimgpsf.fits',-30.94427860125103,21.461194124178927,-9.132304052054737e-10,6.333647413607383e-10,2458166.881712963,2458230.844122512,7890331.0,4.54981,5.1055391110614545,1.0695073306259726,0.0,0.0,242.70946760009974,p48g
2458242.762963,b'r',2.713,5.75538480262622,26.275,1.64216e-05,1.0,754.0,14.0,2.0,2.0,272.972,-20.9529,-0.834056,311.922,1.084,0.0,0.0,7.211702508544921,0.006681680679321289,ztf_20180504262940_000754_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180504262940_000754_zr_c14_o_q2_diffimgpsf.fits',21.477045222563284,26.001581336646325,6.637041475517517e-10,8.035256804903929e-10,2458155.8415972223,2458186.865451389,7541422.0,7.00638,2.3741485301239567,0.9038871834294994,0.0,0.0,242.76296300021932,p48r
2458242.7639005,b'r',2.695,5.7552557962352,26.275,1.38636e-05,3.0,754.0,14.0,2.0,2.0,272.982,-20.955,-0.833965,311.908,1.086,0.0,0.0,7.661577117824553,0.5456786155700684,ztf_20180504263889_000754_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180504263889_000754_zr_c14_o_q2_diffimgpsf.fits',11.613529790286215,28.333562940025928,3.5889238066282023e-10,8.755908014159773e-10,2458155.8415972223,2458186.865451389,7541422.0,7.09323,2.3741485301239567,0.9038871834294994,0.0,0.0,242.7639004997909,p48r
2458242.7643634,b'r',1.831,5.48450616658427,26.275,1.47774e-05,1.0,789.0,3.0,3.0,2.0,272.988,-20.956,-0.833965,311.908,1.108,0.0,0.0,7.160542934846877,-0.6649502515792847,ztf_20180504264352_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504264352_000789_zr_c03_o_q3_diffimgpsf.fits',-13.21591394436782,21.530974703776536,-4.0841078498772564e-10,6.653707278696825e-10,2458160.8116319445,2458219.7721527778,7890332.0,7.12406,-6.008728094613279,0.8908058930884574,0.0,0.0,242.76436340017244,p48r
2458242.7662616,b'r',1.757,5.51951005888708,26.275,1.57185e-05,3.0,789.0,3.0,3.0,2.0,273.009,-20.9602,-0.833783,311.88,1.11,0.0,0.0,6.7318095016717905,-0.18931162357330322,ztf_20180504266215_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504266215_000789_zr_c03_o_q3_diffimgpsf.fits',20.443954020528608,20.53775661184207,6.317785773215744e-10,6.346773545824191e-10,2458160.8116319445,2458219.7721527778,7890332.0,7.15354,-6.008728094613279,0.8908058930884574,0.0,0.0,242.76626159995794,p48r
2458242.7691088,b'r',1.847,5.41658198294494,26.275,1.80959e-05,2.0,789.0,3.0,3.0,2.0,273.041,-20.9664,-0.833602,311.852,1.114,0.0,0.0,7.037592848539352,-0.24323344230651855,ztf_20180504269062_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504269062_000789_zr_c03_o_q3_diffimgpsf.fits',26.102081153132875,22.249304105782286,8.066314216662563e-10,6.875692286784855e-10,2458160.8116319445,2458219.7721527778,7890332.0,7.41779,-6.008728094613279,0.8908058930884574,0.0,0.0,242.7691088002175,p48r
2458242.7861806,b'r',1.757,5.47251734249852,26.275,1.56113e-05,2.0,789.0,3.0,3.0,2.0,273.227,-21.0032,-0.832372,311.663,1.142,0.0,0.0,6.783860248374939,0.48403966426849365,ztf_20180504286169_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504286169_000789_zr_c03_o_q3_diffimgpsf.fits',-33.042656468377984,20.039909874127964,-1.0211157036234419e-09,6.192924196940586e-10,2458160.8116319445,2458219.7721527778,7890332.0,8.4026,-6.008728094613279,0.8908058930884574,0.0,0.0,242.7861806000583,p48r
2458242.7949769,b'r',1.852,5.46272192723248,26.275,2.50309e-05,2.0,789.0,3.0,3.0,2.0,273.32,-21.0216,-0.831779,311.572,1.159,0.0,0.0,8.220944987106318,0.48423540592193604,ztf_20180504294942_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180504294942_000789_zr_c03_o_q3_diffimgpsf.fits',31.6099690899467,24.889101157592858,9.76841431005581e-10,7.691467565964753e-10,2458160.8116319445,2458219.7721527778,7890332.0,8.65514,-6.008728094613279,0.8908058930884574,0.0,0.0,242.79497689986601,p48r
2458243.6664005,b'r',2.414,5.515481370886,26.275,9.9457e-06,2.0,789.0,3.0,3.0,2.0,284.397,-20.9403,-0.765299,302.046,1.091,0.0,0.0,6.528078547096253,-0.886300802230835,ztf_20180505166389_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180505166389_000789_zr_c03_o_q3_diffimgpsf.fits',-23.799780994622633,22.18360709089718,-7.354835450250612e-10,6.855389967298628e-10,2458160.8116319445,2458219.7721527778,7890332.0,6.67814,-6.008728094613279,0.8908058930884574,0.0,0.0,243.66640050010756,p48r
2458243.6817477,b'r',2.52,5.80703031077164,26.275,3.06092e-05,3.0,789.0,3.0,3.0,2.0,284.623,-20.9596,-0.764056,301.878,1.08,0.0,0.0,6.407281674575802,-1.0732322931289673,ztf_20180505181701_000789_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180505181701_000789_zr_c03_o_q3_diffimgpsf.fits',20.29644883268527,22.400331779614458,6.272202312389312e-10,6.922364300791614e-10,2458160.8116319445,2458219.7721527778,7890332.0,6.27585,-6.008728094613279,0.8908058930884574,0.0,0.0,243.68174770008773,p48r
