jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458237.7359491,b'g',2.739,5.6011878509478,26.325,4.43774e-05,2.0,822.0,4.0,2.0,1.0,209.105,-7.15195,0.9928,9.73487,1.238,0.0,0.0,16.510971100234983,-1.407895267009735,ztf_20180429235903_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429235903_000822_zg_c04_o_q2_diffimgpsf.fits',168.85983232463553,102.3119582170624,4.983406951698039e-09,3.019439957755239e-09,2458202.807349537,2458229.8286572685,8220421.0,15.9664,-6.527492923740575,1.1625426551881988,0.0,0.0,237.7359490999952,p48g
2458237.8103935,b'g',2.278,4.85284378782062,26.325,3.55826e-05,2.0,822.0,4.0,2.0,1.0,209.672,-7.48961,0.994071,8.83263,1.144,0.0,0.0,19.083420212364196,1.3258976936340332,ztf_20180429310382_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429310382_000822_zg_c04_o_q2_diffimgpsf.fits',118.28962025505058,99.11091645459415,3.4909741871556876e-09,2.924970513279128e-09,2458202.807349537,2458229.8286572685,8220421.0,20.0082,-6.527492923740575,1.1625426551881988,0.0,0.0,237.8103935001418,p48g
2458237.8429398,b'g',3.177,5.75042793936182,26.325,4.54142e-05,2.0,822.0,4.0,2.0,1.0,209.917,-7.62993,0.994575,8.44795,1.14,0.0,0.0,16.28842769937514,0.248710036277771,ztf_20180429342928_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429342928_000822_zg_c04_o_q2_diffimgpsf.fits',-9.300889502454297,99.40856711234649,-2.744887091584769e-10,2.9337548047388863e-09,2458202.807349537,2458229.8286572685,8220421.0,15.5431,-6.527492923740575,1.1625426551881988,0.0,0.0,237.84293980011716,p48g
2458237.928912,b'g',2.981,5.50549271668166,26.325,4.03213e-05,2.0,822.0,4.0,2.0,1.0,210.619,-7.97842,0.995821,7.41282,1.238,0.0,0.0,17.486103892326355,0.4532216191291809,ztf_20180429428866_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429428866_000822_zg_c04_o_q2_diffimgpsf.fits',-118.72829400572208,111.30164569963414,-3.5039203673604686e-09,3.28474443989663e-09,2458202.807349537,2458229.8286572685,8220421.0,16.5703,-6.527492923740575,1.1625426551881988,0.0,0.0,237.9289119997993,p48g
2458237.9298264,b'g',2.722,5.56904012514859,26.325,4.41468e-05,3.0,822.0,4.0,2.0,1.0,210.627,-7.98196,0.995837,7.39884,1.24,0.0,0.0,16.261332116889953,0.48704421520233154,ztf_20180429429815_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429429815_000822_zg_c04_o_q2_diffimgpsf.fits',-42.00122132623964,97.53043304802588,-1.2395439190925557e-09,2.878327139362295e-09,2458202.807349537,2458229.8286572685,8220421.0,16.3832,-6.527492923740575,1.1625426551881988,0.0,0.0,237.92982639977708,p48g
2458237.9562037,b'g',2.495,5.40815057771574,26.325,3.89315e-05,2.0,822.0,4.0,2.0,1.0,210.87,-8.08284,0.996183,7.0841,1.307,0.0,0.0,18.305592735290517,0.4514022469520569,ztf_20180429456204_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429456204_000822_zg_c04_o_q2_diffimgpsf.fits',22.751522561708747,102.22807678499039,6.71445033048234e-10,3.0169644344183054e-09,2458202.807349537,2458229.8286572685,8220421.0,17.9687,-6.527492923740575,1.1625426551881988,0.0,0.0,237.95620370004326,p48g
2458237.9656366,b'g',2.973,5.43303855168081,26.325,4.83802e-05,2.0,822.0,4.0,2.0,1.0,210.961,-8.11832,0.996303,6.9722,1.337,0.0,0.0,17.82507264137268,0.5068317651748657,ztf_20180429465625_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180429465625_000822_zg_c04_o_q2_diffimgpsf.fits',-86.89253696042466,111.85129124220715,-2.564380568060556e-09,3.3009656292633057e-09,2458202.807349537,2458229.8286572685,8220421.0,18.1256,-6.527492923740575,1.1625426551881988,0.0,0.0,237.96563659980893,p48g
2458238.673044,b'g',2.703,5.34142424626795,26.325,3.72898e-05,1.0,822.0,4.0,2.0,1.0,221.085,-11.0556,-0.999834,358.523,1.424,0.0,0.0,19.039138522911067,-0.03869438171386719,ztf_20180430172986_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180430172986_000822_zg_c04_o_q2_diffimgpsf.fits',77.33384201644832,105.52644494826536,2.2822834809250322e-09,3.114306180872696e-09,2458202.807349537,2458229.8286572685,8220421.0,19.2648,-6.527492923740575,1.1625426551881988,0.0,0.0,238.67304399982095,p48g
2458238.6739699,b'g',2.683,5.35211078877031,26.325,4.6046e-05,2.0,822.0,4.0,2.0,1.0,221.094,-11.06,-0.999832,358.516,1.42,0.0,0.0,18.00302559652328,1.1388819813728333,ztf_20180430173958_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180430173958_000822_zg_c04_o_q2_diffimgpsf.fits',-81.63648022879993,99.36715387591515,-2.409263336838027e-09,2.932532615241842e-09,2458202.807349537,2458229.8286572685,8220421.0,19.0754,-6.527492923740575,1.1625426551881988,0.0,0.0,238.67396989976987,p48g
2458238.6791782,b'g',3.153,5.37790783305263,26.325,6.06884e-05,3.0,822.0,4.0,2.0,1.0,221.145,-11.0846,-0.999818,358.453,1.399,0.0,0.0,18.80000478715896,0.1853950023651123,ztf_20180430179120_000822_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180430179120_000822_zg_c04_o_q2_diffimgpsf.fits',77.19501990628525,121.4138564267853,2.278186550001247e-09,3.5831769355815557e-09,2458202.807349537,2458229.8286572685,8220421.0,19.1821,-6.527492923740575,1.1625426551881988,0.0,0.0,238.67917820019647,p48g
