jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458236.8621528,b'g',2.414,5.9016074620082,26.325,2.20986e-05,2.0,761.0,14.0,2.0,1.0,197.519,-3.15433,0.968745,20.3659,1.05,0.0,0.0,12.935955998134613,0.30086833238601685,ztf_20180428362130_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180428362130_000761_zg_c14_o_q2_diffimgpsf.fits',-67.30048564152965,61.41639357192554,-1.986178141844112e-09,1.8125262742312301e-09,2458203.8832175927,2458207.0024421294,7611421.0,13.3552,13.497510941442801,0.992527834865298,0.0,0.0,236.86215279996395,p48g
2458236.9118866,b'g',2.712,5.93603239377965,26.325,1.92958e-05,2.0,761.0,14.0,2.0,1.0,197.955,-3.37736,0.970566,19.7574,1.033,0.0,0.0,12.815433011007308,0.5119513273239136,ztf_20180428411875_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180428411875_000761_zg_c14_o_q2_diffimgpsf.fits',-106.05959273661429,68.97819771381991,-3.1300404866077575e-09,2.0356909360784758e-09,2458203.8832175927,2458207.0024421294,7611421.0,12.8779,13.497510941442801,0.992527834865298,0.0,0.0,236.91188659984618,p48g
2458236.9729051,b'g',2.494,5.92307584399519,26.325,1.84193e-05,2.0,761.0,14.0,2.0,1.0,198.567,-3.64468,0.972714,19.0161,1.095,0.0,0.0,11.532899569416047,-0.5192781090736389,ztf_20180428472882_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180428472882_000761_zg_c14_o_q2_diffimgpsf.fits',55.114064942204436,56.98955382878198,1.6265313697652435e-09,1.6818809710573816e-09,2458203.8832175927,2458207.0024421294,7611421.0,12.0211,13.497510941442801,0.992527834865298,0.0,0.0,236.9729050998576,p48g
2458236.9886458,b'g',2.061,5.87431674994043,26.325,1.79618e-05,2.0,761.0,14.0,2.0,1.0,198.742,-3.71265,0.973268,18.8202,1.128,0.0,0.0,10.976184962320328,-0.4401705861091614,ztf_20180428488611_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180428488611_000761_zg_c14_o_q2_diffimgpsf.fits',-62.92908949296921,46.49970022263203,-1.8571690953736572e-09,1.3723034436864612e-09,2458203.8832175927,2458207.0024421294,7611421.0,11.443,13.497510941442801,0.992527834865298,0.0,0.0,236.9886457999237,p48g
2458237.8288657,b'g',2.08,5.49861527081162,26.325,2.37423e-05,2.0,761.0,14.0,2.0,1.0,209.81,-7.56982,0.994358,8.61581,1.092,0.0,0.0,15.961560119342806,-1.1376984119415283,ztf_20180429328854_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429328854_000761_zg_c14_o_q2_diffimgpsf.fits',-11.92912762692038,67.1039236246791,-3.520535151864836e-10,1.9803771854816606e-09,2458203.8832175927,2458207.0024421294,7611421.0,17.7779,13.497510941442801,0.992527834865298,0.0,0.0,237.8288656999357,p48g
2458237.8387616,b'g',2.32,5.75100051294271,26.325,2.51927e-05,2.0,761.0,14.0,2.0,1.0,209.885,-7.61218,0.994512,8.49691,1.075,0.0,0.0,16.011650560188293,-0.8041846752166748,ztf_20180429338727_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429338727_000761_zg_c14_o_q2_diffimgpsf.fits',13.841805538628389,74.05306166206314,4.0850064219322043e-10,2.1854607884203134e-09,2458203.8832175927,2458207.0024421294,7611421.0,16.4392,13.497510941442801,0.992527834865298,0.0,0.0,237.8387616002001,p48g
2458237.8703704,b'g',2.43,6.09628442009941,26.325,2.29346e-05,2.0,761.0,14.0,2.0,1.0,210.13,-7.74456,0.994988,8.11923,1.041,0.0,0.0,14.08241324687004,-0.71808922290802,ztf_20180429370370_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429370370_000761_zg_c14_o_q2_diffimgpsf.fits',-67.53637603642731,68.24260824911173,-1.993139760943152e-09,2.013982151605656e-09,2458203.8832175927,2458207.0024421294,7611421.0,14.5436,13.497510941442801,0.992527834865298,0.0,0.0,237.8703704001382,p48g
2458237.8839352,b'g',3.018,6.23563814617776,26.325,3.1629e-05,2.0,761.0,14.0,2.0,1.0,210.239,-7.80003,0.995193,7.95137,1.034,0.0,0.0,15.023718025636672,-0.7319610118865967,ztf_20180429383924_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429383924_000761_zg_c14_o_q2_diffimgpsf.fits',94.68005996699158,76.72019659299508,2.7942066655591265e-09,2.264173522032251e-09,2458203.8832175927,2458207.0024421294,7611421.0,14.6125,13.497510941442801,0.992527834865298,0.0,0.0,237.88393520005047,p48g
2458237.9265625,b'g',2.944,6.11510472278767,26.325,2.28458e-05,2.0,761.0,14.0,2.0,1.0,210.599,-7.9693,0.99579,7.4408,1.041,0.0,0.0,13.476180590534208,-0.6535473465919495,ztf_20180429426551_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429426551_000761_zg_c14_o_q2_diffimgpsf.fits',78.46701182077747,75.76968581018062,2.315725692744192e-09,2.236121959177085e-09,2458203.8832175927,2458207.0024421294,7611421.0,14.1078,13.497510941442801,0.992527834865298,0.0,0.0,237.92656250018626,p48g
2458237.9504514,b'g',2.336,6.02357627006668,26.325,2.20883e-05,2.0,761.0,14.0,2.0,1.0,210.816,-8.06105,0.996107,7.15404,1.064,0.0,0.0,13.306105464696884,-0.34921616315841675,ztf_20180429450428_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429450428_000761_zg_c14_o_q2_diffimgpsf.fits',-71.72749410892729,62.60736458571611,-2.1168284241992535e-09,1.8476743207281906e-09,2458203.8832175927,2458207.0024421294,7611421.0,14.4268,13.497510941442801,0.992527834865298,0.0,0.0,237.950451400131,p48g
2458237.9684144,b'g',2.253,5.98116340218685,26.325,1.99976e-05,2.0,761.0,14.0,2.0,1.0,210.989,-8.12872,0.99634,6.93723,1.092,0.0,0.0,14.274028491020202,1.1760151386260986,ztf_20180429468391_000761_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180429468391_000761_zg_c14_o_q2_diffimgpsf.fits',-25.60884830368035,63.574389003206164,-7.557706939812138e-10,1.876213234111042e-09,2458203.8832175927,2458207.0024421294,7611421.0,14.5694,13.497510941442801,0.992527834865298,0.0,0.0,237.96841439977288,p48g
