jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458242.8082639,b'r',1.644,6.0009542217594,26.275,8.3124e-06,2.0,721.0,5.0,3.0,2.0,273.456,-21.0486,-0.830819,311.425,1.045,0.0,0.0,7.047777235507965,0.163324236869812,ztf_20180504308206_000721_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504308206_000721_zr_c05_o_q3_diffimgpsf.fits',-30.755069410585868,40.03787063454436,-9.5042250526172e-10,1.2372884875164213e-09,2458160.988136574,2458217.966828704,7210532.0,7.67868,16.03650477796711,1.7049206280198628,0.0,0.0,242.80826390022412,p48r
2458242.8332407,b'r',1.92,6.02771480143969,26.275,6.8076e-06,2.0,721.0,5.0,3.0,2.0,273.699,-21.0962,-0.828985,311.145,1.018,0.0,0.0,7.887695989131928,-0.0219879150390625,ztf_20180504333206_000721_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504333206_000721_zr_c05_o_q3_diffimgpsf.fits',-13.794925565388922,50.694078494800756,-4.263039546658637e-10,1.5665967922819631e-09,2458160.988136574,2458217.966828704,7210532.0,7.75848,16.03650477796711,1.7049206280198628,0.0,0.0,242.83324069995433,p48r
2458242.8449653,b'r',1.735,6.05743041968043,26.275,6.1983e-06,3.0,721.0,5.0,3.0,2.0,273.809,-21.117,-0.82811,311.012,1.011,0.0,0.0,7.242814276456832,-0.20585370063781738,ztf_20180504344931_000721_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504344931_000721_zr_c05_o_q3_diffimgpsf.fits',20.633602920617363,42.45194737404056,6.376392886188295e-10,1.3118905907180995e-09,2458160.988136574,2458217.966828704,7210532.0,7.68025,16.03650477796711,1.7049206280198628,0.0,0.0,242.84496530005708,p48r
2458242.8459259,b'r',1.815,6.02769130699771,26.275,6.9332e-06,1.0,721.0,5.0,3.0,2.0,273.818,-21.1187,-0.828064,311.005,1.011,0.0,0.0,7.42131895675659,-0.11654090881347656,ztf_20180504345891_000721_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504345891_000721_zr_c05_o_q3_diffimgpsf.fits',-17.130604773186494,42.926455727303285,-5.293862968677376e-10,1.32655430068513e-09,2458160.988136574,2458217.966828704,7210532.0,7.71192,16.03650477796711,1.7049206280198628,0.0,0.0,242.84592590015382,p48r
2458242.846875,b'r',1.804,6.01239892259594,26.275,7.7338e-06,2.0,721.0,5.0,3.0,2.0,273.826,-21.1203,-0.828018,310.998,1.01,0.0,0.0,7.151666361904144,-0.4643920063972473,ztf_20180504346852_000721_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504346852_000721_zr_c05_o_q3_diffimgpsf.fits',-55.044981210724686,41.9606251858502,-1.70105254018299e-09,1.2967072836290877e-09,2458160.988136574,2458217.966828704,7210532.0,7.73053,16.03650477796711,1.7049206280198628,0.0,0.0,242.84687499981374,p48r
2458242.8807639,b'g',2.002,5.94287407854669,26.325,1.19616e-05,1.0,721.0,5.0,3.0,1.0,274.125,-21.1733,-0.82557,310.628,1.012,0.0,0.0,7.7029018253088,-0.036286771297454834,ztf_20180504380741_000721_zg_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504380741_000721_zg_c05_o_q3_diffimgpsf.fits',-13.319598300474512,34.113387488175455,-3.930892139985035e-10,1.0067574390888065e-09,2458166.9888310186,2458206.0045023146,7210531.0,8.07422,9.853748472427938,1.2023324478134643,0.0,0.0,242.8807639000006,p48g
2458242.8817477,b'g',2.144,5.96640518453038,26.325,1.35473e-05,2.0,721.0,5.0,3.0,1.0,274.134,-21.1747,-0.825524,310.621,1.013,0.0,0.0,8.292936174678802,-1.3392478227615356,ztf_20180504381713_000721_zg_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504381713_000721_zg_c05_o_q3_diffimgpsf.fits',65.36869213278993,39.10327795296034,1.9291668735740433e-09,1.1540195471278159e-09,2458166.9888310186,2458206.0045023146,7210531.0,8.05864,9.853748472427938,1.2023324478134643,0.0,0.0,242.88174769980833,p48g
2458242.8955556,b'g',1.903,5.94603954085771,26.325,1.06136e-05,3.0,721.0,5.0,3.0,1.0,274.25,-21.1931,-0.824457,310.46,1.023,0.0,0.0,8.103891386604307,0.4924468994140625,ztf_20180504395509_000721_zg_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504395509_000721_zg_c05_o_q3_diffimgpsf.fits',-40.920197186008124,34.788839227470774,-1.2076406349235524e-09,1.0266914331991248e-09,2458166.9888310186,2458206.0045023146,7210531.0,8.1664,9.853748472427938,1.2023324478134643,0.0,0.0,242.8955556000583,p48g
2458242.9027199,b'g',2.03,5.92929331302217,26.325,9.6137e-06,2.0,721.0,5.0,3.0,1.0,274.309,-21.2019,-0.823946,310.383,1.03,0.0,0.0,8.297907063484185,0.708020806312561,ztf_20180504402697_000721_zg_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504402697_000721_zg_c05_o_q3_diffimgpsf.fits',-63.46962910588445,37.288131001524135,-1.8731215503037985e-09,1.1004507626934177e-09,2458166.9888310186,2458206.0045023146,7210531.0,8.23442,9.853748472427938,1.2023324478134643,0.0,0.0,242.90271990001202,p48g
2458242.9274537,b'g',1.953,5.89982223342034,26.325,9.3871e-06,2.0,721.0,5.0,3.0,1.0,274.508,-21.2281,-0.822176,310.117,1.066,0.0,0.0,7.83038604259491,0.2828555107116699,ztf_20180504427419_000721_zg_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180504427419_000721_zg_c05_o_q3_diffimgpsf.fits',-10.818944530725886,38.340242140006744,-3.1928968921870114e-10,1.131500763565482e-09,2458166.9888310186,2458206.0045023146,7210531.0,8.42049,9.853748472427938,1.2023324478134643,0.0,0.0,242.92745369998738,p48g
