jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458244.7775579,b'g',2.665,2.03842847625545,26.325,1.34832e-05,2.0,725.0,10.0,1.0,1.0,298.461,-20.2842,-0.670969,289.995,1.542,0.0,0.0,17.9085733294487,-0.7874301671981812,ztf_20180506277535_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506277535_000725_zg_c10_o_q1_diffimgpsf.fits',-28.343630515525717,81.14933455959725,-8.364798389464254e-10,2.3948866489237404e-09,2458203.997974537,2458230.905260694,7251011.0,18.8095,-4.262472066262006,1.0705155925968508,0.0,0.0,244.77755790017545,p48g
2458244.850787,b'r',2.014,5.21739595494966,26.275,1.8991e-06,2.0,725.0,10.0,1.0,2.0,299.304,-20.3078,-0.664414,289.198,1.15,0.0,0.0,9.131456434726715,0.26571446657180786,ztf_20180506350764_000725_zr_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506350764_000725_zr_c10_o_q1_diffimgpsf.fits',47.28794692159875,41.88549862676662,1.461337263847618e-09,1.2943856509510358e-09,2458156.052002315,2458220.0028125,7251012.0,10.2733,-7.088590556123802,1.1733262461962903,0.0,0.0,244.8507869997993,p48r
2458244.8619329,b'r',2.426,4.21241672047501,26.275,5.1825e-06,1.0,725.0,10.0,1.0,2.0,299.418,-20.3097,-0.663434,289.079,1.118,0.0,0.0,13.71836608777046,-0.32170379161834717,ztf_20180506361921_000725_zr_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506361921_000725_zr_c10_o_q1_diffimgpsf.fits',-0.2518812046592158,69.67960178203168,-7.78387336294396e-12,2.153305551263785e-09,2458156.052002315,2458220.0028125,7251012.0,14.4026,-7.088590556123802,1.1733262461962903,0.0,0.0,244.86193289980292,p48r
2458244.8691088,b'r',2.012,4.01653846794732,26.275,9.9125e-06,2.0,725.0,10.0,1.0,2.0,299.49,-20.3106,-0.662799,289.002,1.1,0.0,0.0,15.349342813110352,3.865861177444458,ztf_20180506369109_000725_zr_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506369109_000725_zr_c10_o_q1_diffimgpsf.fits',-25.96504329603302,72.2342838333586,-8.023965470274851e-10,2.2322527740232057e-09,2458156.052002315,2458220.0028125,7251012.0,16.5026,-7.088590556123802,1.1733262461962903,0.0,0.0,244.86910879984498,p48r
2458244.9297222,b'g',2.107,5.28343924887173,26.325,3.4679e-06,2.0,725.0,10.0,1.0,1.0,300.049,-20.304,-0.657364,288.344,1.014,0.0,0.0,7.440661162137985,-0.5215148329734802,ztf_20180506429711_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506429711_000725_zg_c10_o_q1_diffimgpsf.fits',34.770056619609775,33.57064346327939,1.0261371190750517e-09,9.90739927345e-10,2458203.997974537,2458230.905260694,7251011.0,8.52903,-4.262472066262006,1.0705155925968508,0.0,0.0,244.9297222001478,p48g
2458244.9307292,b'g',2.062,5.19212078038736,26.325,3.6621e-06,1.0,725.0,10.0,1.0,1.0,300.058,-20.3037,-0.657306,288.337,1.013,0.0,0.0,7.951696210527418,-0.28096866607666016,ztf_20180506430671_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506430671_000725_zg_c10_o_q1_diffimgpsf.fits',-16.2845262826797,34.512655242625016,-4.805904421733566e-10,1.0185406658892008e-09,2458203.997974537,2458230.905260694,7251011.0,8.65267,-4.262472066262006,1.0705155925968508,0.0,0.0,244.9307292001322,p48g
2458244.9418866,b'g',1.953,5.77707590075583,26.325,2.8231e-06,2.0,725.0,10.0,1.0,1.0,300.152,-20.2992,-0.656263,288.211,1.009,0.0,0.0,6.849809806919097,-0.09549927711486816,ztf_20180506441840_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506441840_000725_zg_c10_o_q1_diffimgpsf.fits',3.7282035957665514,28.768583167049165,1.1002708850717059e-10,8.490210808071972e-10,2458203.997974537,2458230.905260694,7251011.0,7.52258,-4.262472066262006,1.0705155925968508,0.0,0.0,244.94188660010695,p48g
2458244.9637269,b'r',2.842,5.53132065232801,26.275,3.2598e-06,2.0,725.0,10.0,1.0,2.0,300.33,-20.2871,-0.65429,287.974,1.009,0.0,0.0,8.58553031797409,-0.38396841287612915,ztf_20180506463611_000725_zr_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180506463611_000725_zr_c10_o_q1_diffimgpsf.fits',14.80323674030353,51.560137670480344,4.5746374884977397e-10,1.593360579429166e-09,2458156.052002315,2458220.0028125,7251012.0,9.76118,-7.088590556123802,1.1733262461962903,0.0,0.0,244.96372690005228,p48r
2458245.9754398,b'g',2.866,2.73902837066047,26.325,1.74261e-05,2.0,725.0,10.0,1.0,1.0,312.903,-18.4683,-0.560873,276.993,1.017,0.0,0.0,18.08240646123886,-1.572462797164917,ztf_20180507475428_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180507475428_000725_zg_c10_o_q1_diffimgpsf.fits',17.486487188635532,101.48089611370598,5.160628233308481e-10,2.9949135694228785e-09,2458203.997974537,2458230.905260694,7251011.0,18.9059,-4.262472066262006,1.0705155925968508,0.0,0.0,245.97543979994953,p48g
2458245.9837616,b'g',2.758,4.20798355449752,26.325,7.3956e-06,2.0,725.0,10.0,1.0,1.0,312.97,-18.4566,-0.560025,276.895,1.023,0.0,0.0,10.140060037374496,0.07539236545562744,ztf_20180507483750_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180507483750_000725_zg_c10_o_q1_diffimgpsf.fits',9.53634245600046,56.16139534461762,2.814374184479898e-10,1.6574402812360523e-09,2458203.997974537,2458230.905260694,7251011.0,11.359,-4.262472066262006,1.0705155925968508,0.0,0.0,245.9837616002187,p48g
2458246.841875,b'g',2.247,5.69927020866389,26.325,2.464e-06,2.0,725.0,10.0,1.0,1.0,323.804,-16.103,-0.478146,267.495,1.161,0.0,0.0,4.793733133983611,-0.4087038040161133,ztf_20180508341863_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180508341863_000725_zg_c10_o_q1_diffimgpsf.fits',10.566616712495085,22.572663792989445,3.1184296736562773e-10,6.661665365634639e-10,2458203.997974537,2458230.905260694,7251011.0,5.10859,-4.262472066262006,1.0705155925968508,0.0,0.0,246.8418749999255,p48g
2458246.8641088,b'g',2.294,5.77962273083519,26.325,2.3825e-06,2.0,725.0,10.0,1.0,1.0,324.069,-16.0687,-0.475951,267.243,1.099,0.0,0.0,4.652546584033967,0.1326136589050293,ztf_20180508364086_000725_zg_c10_o_q1_scimrefdiffimg.fits,b'ztf_20180508364086_000725_zg_c10_o_q1_diffimgpsf.fits',9.07473231554696,22.621205895924597,2.6781433739169845e-10,6.675991155839869e-10,2458203.997974537,2458230.905260694,7251011.0,4.96036,-4.262472066262006,1.0705155925968508,0.0,0.0,246.86410879995674,p48g
