jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458246.7469444,b'r',3.818,5.49699002679679,26.275,2.3012e-05,3.0,718.0,16.0,4.0,2.0,322.516,-16.2515,-0.487235,268.537,1.021,0.0,0.0,5.433949277114868,-0.228892982006073,ztf_20180508246944_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508246944_000718_zr_c16_o_q4_diffimgpsf.fits',1.708514248348254,31.544140447054104,5.279813778055002e-11,9.748071314616278e-10,2458155.972800926,2458198.880486111,7181642.0,5.79336,-6.098390498546421,1.0024265045694776,0.0,0.0,246.74694440001622,p48r
2458246.7479051,b'r',3.563,5.46360134349314,26.275,3.49163e-05,2.0,718.0,16.0,4.0,2.0,322.53,-16.2499,-0.487113,268.523,1.02,0.0,0.0,5.466090964770316,-0.05573141574859619,ztf_20180508247870_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508247870_000718_zr_c16_o_q4_diffimgpsf.fits',-24.906113371188027,30.735584438222354,-7.696724839264807e-10,9.498203623732576e-10,2458155.972800926,2458198.880486111,7181642.0,5.80274,-6.098390498546421,1.0024265045694776,0.0,0.0,246.74790510023013,p48r
2458246.7570949,b'r',3.412,5.49932179127965,26.275,2.61184e-05,2.0,718.0,16.0,4.0,2.0,322.665,-16.2348,-0.486258,268.425,1.014,0.0,0.0,5.417629243898392,-0.4763139486312866,ztf_20180508257095_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508257095_000718_zr_c16_o_q4_diffimgpsf.fits',6.607222812658582,27.84026010834423,2.0418270479558425e-10,8.603462865420863e-10,2458155.972800926,2458198.880486111,7181642.0,5.76624,-6.098390498546421,1.0024265045694776,0.0,0.0,246.75709490012378,p48r
2458246.8018403,b'g',2.918,5.75884045547219,26.325,2.03972e-05,2.0,718.0,16.0,4.0,1.0,323.291,-16.1641,-0.481927,267.929,1.014,0.0,0.0,4.4333050348281855,-0.4552731513977051,ztf_20180508301817_000718_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508301817_000718_zg_c16_o_q4_diffimgpsf.fits',-41.003452007088285,23.244131225482125,-1.2100976588849145e-09,6.859829457615671e-10,2458166.9694675924,2458204.897071759,7181641.0,4.26429,-1.293119566579192,1.0510610283908128,0.0,0.0,246.8018403002061,p48g
2458246.803669,b'g',2.97,5.78308299263927,26.325,1.80158e-05,3.0,718.0,16.0,4.0,1.0,323.316,-16.1613,-0.481805,267.915,1.015,0.0,0.0,4.259613548111915,-0.23731881380081177,ztf_20180508303669_000718_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508303669_000718_zg_c16_o_q4_diffimgpsf.fits',-1.9497465981803876,23.707981956763692,-5.754110150211367e-11,6.996721509650646e-10,2458166.9694675924,2458204.897071759,7181641.0,4.22449,-1.293119566579192,1.0510610283908128,0.0,0.0,246.80366900004447,p48g
2458246.8329051,b'g',2.597,5.716585839719,26.325,2.19382e-05,2.0,718.0,16.0,4.0,1.0,323.693,-16.1167,-0.478939,267.586,1.046,0.0,0.0,4.485314884018898,-0.2172529697418213,ztf_20180508332847_000718_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508332847_000718_zg_c16_o_q4_diffimgpsf.fits',21.47251524819771,22.541568562346978,6.336988512021583e-10,6.652488513705412e-10,2458166.9694675924,2458204.897071759,7181641.0,4.35994,-1.293119566579192,1.0510610283908128,0.0,0.0,246.83290510019287,p48g
2458246.8537731,b'g',2.363,5.700259441565,26.325,1.78831e-05,2.0,718.0,16.0,4.0,1.0,323.947,-16.0847,-0.476987,267.362,1.083,0.0,0.0,4.101236379694939,-0.04475128650665283,ztf_20180508353738_000718_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180508353738_000718_zg_c16_o_q4_diffimgpsf.fits',-11.781389246322863,19.239453967110123,-3.476934464669622e-10,5.677965406664674e-10,2458166.9694675924,2458204.897071759,7181641.0,4.44174,-1.293119566579192,1.0510610283908128,0.0,0.0,246.85377309983596,p48g
2458247.7494097,b'r',2.66,5.3837013726385,26.275,2.07561e-05,2.0,718.0,16.0,4.0,2.0,334.519,-13.1542,-0.390711,257.374,1.017,0.0,0.0,5.0842844118118276,-0.10300576686859131,ztf_20180509249398_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180509249398_000718_zr_c16_o_q4_diffimgpsf.fits',27.89025866172169,20.91472162346038,8.618913895394118e-10,6.463266872627512e-10,2458155.972800926,2458198.880486111,7181642.0,5.43722,-6.098390498546421,1.0024265045694776,0.0,0.0,247.74940969981253,p48r
2458247.7599769,b'r',2.85,5.37763398057197,26.275,2.2118e-05,3.0,718.0,16.0,4.0,2.0,334.68,-13.1266,-0.389698,257.256,1.011,0.0,0.0,5.019721947455405,0.5986683368682861,ztf_20180509259942_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180509259942_000718_zr_c16_o_q4_diffimgpsf.fits',38.21336517252962,21.521124436522822,1.1809058785364227e-09,6.650663259225209e-10,2458155.972800926,2458198.880486111,7181642.0,5.31778,-6.098390498546421,1.0024265045694776,0.0,0.0,247.75997690018266,p48r
2458247.7609028,b'r',2.765,5.42461223953802,26.275,2.25035e-05,2.0,718.0,16.0,4.0,2.0,334.694,-13.1242,-0.389639,257.249,1.01,0.0,0.0,5.115267673254013,-0.09066224098205566,ztf_20180509260891_000718_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180509260891_000718_zr_c16_o_q4_diffimgpsf.fits',-2.346005701320151,21.406617456320056,-7.24985070344051e-11,6.615277215100226e-10,2458155.972800926,2458198.880486111,7181642.0,5.27058,-6.098390498546421,1.0024265045694776,0.0,0.0,247.7609028001316,p48r
