jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458244.7775579,b'g',2.703,2.69926895271359,26.325,5.95018e-05,2.0,725.0,15.0,4.0,1.0,298.461,-20.2842,-0.670969,289.995,1.542,0.0,0.0,13.689709287643431,3.666095018386841,ztf_20180506277535_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506277535_000725_zg_c15_o_q4_diffimgpsf.fits',69.40401164862337,144.07831285833547,2.048257595450789e-09,4.2520524641821365e-09,2458203.997974537,2458229.993381308,7251541.0,14.5183,8.946679391409331,1.910620461799958,0.0,0.0,244.77755790017545,p48g
2458244.850787,b'r',2.066,4.89806804777242,26.275,4.0572e-06,2.0,725.0,15.0,4.0,2.0,299.304,-20.3078,-0.664414,289.198,1.15,0.0,0.0,10.197117613220215,-0.08134782314300537,ztf_20180506350764_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506350764_000725_zr_c15_o_q4_diffimgpsf.fits',63.55507618992043,117.39931405463877,1.9640396166276443e-09,3.627985640040213e-09,2458156.052002315,2458218.9997453704,7251542.0,10.8355,-26.368274074530675,2.609731942847558,0.0,0.0,244.8507869997993,p48r
2458244.8619329,b'r',2.204,3.99579112230799,26.275,5.2631e-06,1.0,725.0,15.0,4.0,2.0,299.418,-20.3097,-0.663434,289.079,1.118,0.0,0.0,14.097641609239577,-0.142189621925354,ztf_20180506361921_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506361921_000725_zr_c15_o_q4_diffimgpsf.fits',6.448424992027558,162.31402397129432,1.992753829976926e-10,5.015982869114018e-09,2458156.052002315,2458218.9997453704,7251542.0,14.6618,-26.368274074530675,2.609731942847558,0.0,0.0,244.86193289980292,p48r
2458244.8691088,b'r',2.011,3.88877897593328,26.275,2.10848e-05,2.0,725.0,15.0,4.0,2.0,299.49,-20.3106,-0.662799,289.002,1.1,0.0,0.0,16.133953675746916,-0.06745433807373047,ztf_20180506369109_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506369109_000725_zr_c15_o_q4_diffimgpsf.fits',-202.85914063150608,353.85787964022506,-6.268946757371757e-09,1.0935253892788993e-08,2458156.052002315,2458218.9997453704,7251542.0,16.4111,-26.368274074530675,2.609731942847558,0.0,0.0,244.86910879984498,p48r
2458244.9297222,b'g',2.111,5.60322119118594,26.325,4.3381e-06,2.0,725.0,15.0,4.0,1.0,300.049,-20.304,-0.657364,288.344,1.014,0.0,0.0,7.160244034290313,0.7357691526412964,ztf_20180506429711_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506429711_000725_zg_c15_o_q4_diffimgpsf.fits',65.23731120917887,56.49308576901863,1.925289547634354e-09,1.6672291596615818e-09,2458203.997974537,2458229.993381308,7251541.0,7.96067,8.946679391409331,1.910620461799958,0.0,0.0,244.9297222001478,p48g
2458244.9307292,b'g',2.133,5.61192822448357,26.325,4.3173e-06,1.0,725.0,15.0,4.0,1.0,300.058,-20.3037,-0.657306,288.337,1.013,0.0,0.0,7.265806369495392,1.2257197499275208,ztf_20180506430671_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506430671_000725_zg_c15_o_q4_diffimgpsf.fits',16.48996764074264,59.4453085924497,4.866534464878989e-10,1.7543554320017513e-09,2458203.997974537,2458229.993381308,7251541.0,7.90503,8.946679391409331,1.910620461799958,0.0,0.0,244.9307292001322,p48g
2458244.9418866,b'g',1.987,6.18026744989168,26.325,4.1948e-06,2.0,725.0,15.0,4.0,1.0,300.152,-20.2992,-0.656263,288.211,1.009,0.0,0.0,6.679996058344841,0.43096643686294556,ztf_20180506441840_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506441840_000725_zg_c15_o_q4_diffimgpsf.fits',73.48912240447666,68.91660860658247,2.1688177609970727e-09,2.0338733119202868e-09,2458203.997974537,2458229.993381308,7251541.0,6.9473,8.946679391409331,1.910620461799958,0.0,0.0,244.94188660010695,p48g
2458244.9637269,b'r',2.944,5.58727422537338,26.275,3.6126e-06,2.0,725.0,15.0,4.0,2.0,300.33,-20.2871,-0.65429,287.974,1.009,0.0,0.0,9.491578079891202,0.21404492855072021,ztf_20180506463611_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180506463611_000725_zr_c15_o_q4_diffimgpsf.fits',-250.5932189295466,268.3916380333534,-7.744070798768564e-09,8.294094531433156e-09,2458156.052002315,2458218.9997453704,7251542.0,9.2436,-26.368274074530675,2.609731942847558,0.0,0.0,244.96372690005228,p48r
2458245.9754398,b'g',2.728,3.06206195696389,26.325,1.51712e-05,2.0,725.0,15.0,4.0,1.0,312.903,-18.4683,-0.560873,276.993,1.017,0.0,0.0,15.2485380736351,1.0248868465423584,ztf_20180507475428_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180507475428_000725_zg_c15_o_q4_diffimgpsf.fits',-170.84912202583888,153.15538989620947,-5.0421150529050765e-09,4.519935998302922e-09,2458203.997974537,2458229.993381308,7251541.0,16.4685,8.946679391409331,1.910620461799958,0.0,0.0,245.97543979994953,p48g
2458245.9837616,b'g',2.665,4.69751866953927,26.325,8.2023e-06,2.0,725.0,15.0,4.0,1.0,312.97,-18.4566,-0.560025,276.895,1.023,0.0,0.0,9.478083007335664,0.974013090133667,ztf_20180507483750_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180507483750_000725_zg_c15_o_q4_diffimgpsf.fits',-13.228496813501664,87.2100935098461,-3.904006185093305e-10,2.573752326248655e-09,2458203.997974537,2458229.993381308,7251541.0,10.2235,8.946679391409331,1.910620461799958,0.0,0.0,245.9837616002187,p48g
2458246.841875,b'g',2.227,6.10260134011929,26.325,3.107e-06,2.0,725.0,15.0,4.0,1.0,323.804,-16.103,-0.478146,267.495,1.161,0.0,0.0,4.433548081350326,0.3752340078353882,ztf_20180508341863_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508341863_000725_zg_c15_o_q4_diffimgpsf.fits',39.69216390450563,37.13420969882873,1.1713988034133165e-09,1.0959082228866055e-09,2458203.997974537,2458229.993381308,7251541.0,4.63397,8.946679391409331,1.910620461799958,0.0,0.0,246.8418749999255,p48g
2458246.8641088,b'g',2.258,6.17263650745951,26.325,3.0805e-06,2.0,725.0,15.0,4.0,1.0,324.069,-16.0687,-0.475951,267.243,1.099,0.0,0.0,4.43424505085945,0.1815040111541748,ztf_20180508364086_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508364086_000725_zg_c15_o_q4_diffimgpsf.fits',22.94871421705613,57.27592968248091,6.772645713750621e-10,1.6903325214494224e-09,2458203.997974537,2458229.993381308,7251541.0,4.55136,8.946679391409331,1.910620461799958,0.0,0.0,246.86410879995674,p48g
2458246.8856597,b'r',2.788,6.00732614183171,26.275,3.2733e-06,2.0,725.0,15.0,4.0,2.0,324.311,-16.0347,-0.473878,267.005,1.056,0.0,0.0,5.9839553629398345,0.21014708280563354,ztf_20180508385637_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508385637_000725_zr_c15_o_q4_diffimgpsf.fits',-230.27958688569316,315.812421041065,-7.116319555539744e-09,9.759536822766208e-09,2458156.052002315,2458218.9997453704,7251542.0,6.25262,-26.368274074530675,2.609731942847558,0.0,0.0,246.8856596997939,p48r
2458246.9112269,b'r',3.66,6.11164640686149,26.275,5.0405e-06,2.0,725.0,15.0,4.0,2.0,324.582,-15.9925,-0.471441,266.726,1.023,0.0,0.0,7.127267091751097,-0.11714458465576172,ztf_20180508411204_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508411204_000725_zr_c15_o_q4_diffimgpsf.fits',-967.7210219253218,472.319359799068,-2.990543854003208e-08,1.4596063603408326e-08,2458156.052002315,2458218.9997453704,7251542.0,6.32587,-26.368274074530675,2.609731942847558,0.0,0.0,246.91122689982876,p48r
2458246.928044,b'r',3.745,6.16114658212836,26.275,5.1877e-06,2.0,725.0,15.0,4.0,2.0,324.75,-15.9635,-0.469796,266.537,1.012,0.0,0.0,7.06829118180275,-0.5982663631439209,ztf_20180508428044_000725_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508428044_000725_zr_c15_o_q4_diffimgpsf.fits',-808.4839852847659,350.0498625408355,-2.4984543669858985e-08,1.081757491427824e-08,2458156.052002315,2458218.9997453704,7251542.0,6.24574,-26.368274074530675,2.609731942847558,0.0,0.0,246.92804400017485,p48r
2458246.9769329,b'g',2.428,6.2873206417984,26.325,3.9072e-06,2.0,725.0,15.0,4.0,1.0,325.198,-15.8708,-0.465106,265.998,1.02,0.0,0.0,5.298289895057678,0.6497507095336914,ztf_20180508476898_000725_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180508476898_000725_zg_c15_o_q4_diffimgpsf.fits',-22.249960966065657,73.58739601640411,-6.566429009602e-10,2.1717180209009394e-09,2458203.997974537,2458229.993381308,7251541.0,5.648,8.946679391409331,1.910620461799958,0.0,0.0,246.97693290002644,p48g
