jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458244.9312731,b'g',2.404,5.29237232163537,26.325,2.5841e-06,1.0,683.0,5.0,1.0,1.0,300.062,-20.3035,-0.657248,288.33,1.016,0.0,0.0,7.563140388274193,0.5531847476959229,ztf_20180506431181_000683_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180506431181_000683_zg_c05_o_q1_diffimgpsf.fits',-28.942594807459265,46.57155786049041,-8.541565283944053e-10,1.3744241125825729e-09,2458204.975034722,2458230.903298808,6830511.0,8.74083,15.94843432189681,1.3666359696235895,0.0,0.0,244.93127309996635,p48g
2458244.9553472,b'g',2.029,5.94905671484272,26.325,2.1896e-06,1.0,684.0,8.0,2.0,1.0,300.263,-20.2922,-0.655044,288.065,1.014,0.0,0.0,6.196253332519531,0.11427736282348633,ztf_20180506455324_000684_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180506455324_000684_zg_c08_o_q2_diffimgpsf.fits',7.942965778805782,25.556218128404375,2.344135389350701e-10,7.542174673926067e-10,2458204.9755092594,2458231.985901539,6840821.0,7.9226,-999.0,-999.0,0.0,0.0,244.9553471999243,p48g
2458244.9621296,b'r',2.723,5.94326272620832,26.275,2.1274e-06,1.0,683.0,5.0,1.0,2.0,300.317,-20.2881,-0.654464,287.995,1.0,0.0,0.0,6.729621059608458,-0.6025528311729431,ztf_20180506462130_000683_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180506462130_000683_zr_c05_o_q1_diffimgpsf.fits',77.10524378692426,31.647733730194084,2.3827798269757906e-09,9.780084699693952e-10,2458187.0233680555,2458218.0105555556,6830512.0,8.42662,-999.0,-999.0,0.0,0.0,244.96212959988043,p48r
2458244.974919,b'r',2.62,6.07878533443886,26.275,2.4654e-06,1.0,684.0,8.0,2.0,2.0,300.419,-20.2791,-0.653303,287.855,1.002,0.0,0.0,6.329483572363852,-0.14272648096084595,ztf_20180506474896_000684_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180506474896_000684_zr_c08_o_q2_diffimgpsf.fits',7.303216523061302,29.9551765267299,2.2569096663874137e-10,9.257034520070596e-10,2458187.0239814813,2458227.0048842593,6840822.0,8.7248,-999.0,-999.0,0.0,0.0,244.97491900017485,p48r
2458246.8404977,b'g',2.306,5.58093409791645,26.325,2.088e-06,2.0,683.0,5.0,1.0,1.0,323.787,-16.1051,-0.478268,267.509,1.23,0.0,0.0,4.234551170158387,0.11185622215270996,ztf_20180508340475_000683_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180508340475_000683_zg_c05_o_q1_diffimgpsf.fits',-20.103669051633055,25.96191823671432,-5.933013359502703e-10,7.661905264223468e-10,2458204.975034722,2458230.903298808,6830511.0,5.50453,15.94843432189681,1.3666359696235895,0.0,0.0,246.84049770003185,p48g
2458246.8631713,b'g',2.322,5.67835470229617,26.325,2.3692e-06,2.0,683.0,5.0,1.0,1.0,324.058,-16.0702,-0.476012,267.25,1.142,0.0,0.0,3.9036171586751935,-0.0623319149017334,ztf_20180508363148_000683_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180508363148_000683_zg_c05_o_q1_diffimgpsf.fits',-11.373587059753397,24.551294654533468,-3.3565835071037687e-10,7.245600731110141e-10,2458204.975034722,2458230.903298808,6830511.0,5.34707,15.94843432189681,1.3666359696235895,0.0,0.0,246.8631712999195,p48g
2458246.9121644,b'r',3.367,6.15263810235061,26.275,2.9344e-06,2.0,683.0,5.0,1.0,2.0,324.591,-15.991,-0.471319,266.712,1.032,0.0,0.0,5.692531992959975,-0.5509717464447021,ztf_20180508412153_000683_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180508412153_000683_zr_c05_o_q1_diffimgpsf.fits',48.64193380379328,31.39028443942767,1.5031794586249086e-09,9.700525262931653e-10,2458187.0233680555,2458218.0105555556,6830512.0,6.71917,-999.0,-999.0,0.0,0.0,246.91216439986601,p48r
2458246.9296644,b'r',3.35,6.03650205982801,26.275,2.899e-06,2.0,683.0,5.0,1.0,2.0,324.766,-15.9606,-0.469613,266.516,1.012,0.0,0.0,5.731069862842558,-0.7618844509124756,ztf_20180508429537_000683_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180508429537_000683_zr_c05_o_q1_diffimgpsf.fits',6.115053116828075,32.22271671624908,1.8897320716511804e-10,9.95777142914167e-10,2458187.0233680555,2458218.0105555556,6830512.0,6.82697,-999.0,-999.0,0.0,0.0,246.92966439994052,p48r
2458247.8398148,b'g',2.382,5.62751096788833,26.325,1.801e-06,2.0,683.0,5.0,1.0,1.0,335.811,-12.9265,-0.382092,256.36,1.221,0.0,0.0,4.26090440788269,-0.1613309383392334,ztf_20180509339792_000683_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180509339792_000683_zg_c05_o_q1_diffimgpsf.fits',-31.967058517753316,25.67343446249259,-9.4341478046978e-10,7.576767666608462e-10,2458204.975034722,2458230.903298808,6830511.0,4.94863,15.94843432189681,1.3666359696235895,0.0,0.0,247.83981479983777,p48g
2458247.8660301,b'g',2.042,5.70632510000981,26.325,2.3277e-06,2.0,683.0,5.0,1.0,1.0,336.145,-12.8623,-0.379543,256.06,1.125,0.0,0.0,3.680874407887459,0.06922435760498047,ztf_20180509366019_000683_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180509366019_000683_zg_c05_o_q1_diffimgpsf.fits',-23.85637182753838,21.019362704506023,-7.04051446522154e-10,6.203253715236921e-10,2458204.975034722,2458230.903298808,6830511.0,4.80419,15.94843432189681,1.3666359696235895,0.0,0.0,247.86603009980172,p48g
2458247.8664931,b'g',2.001,5.80945103015058,26.325,1.9575e-06,1.0,684.0,8.0,2.0,1.0,336.15,-12.8612,-0.379543,256.06,1.2,0.0,0.0,3.9039927326202393,0.07664400339126587,ztf_20180509366481_000684_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180509366481_000684_zg_c08_o_q2_diffimgpsf.fits',23.13467626548853,16.242799477763207,6.827527005064969e-10,4.793589968582485e-10,2458204.9755092594,2458231.985901539,6840821.0,4.74333,-999.0,-999.0,0.0,0.0,247.86649309983477,p48g
