jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458249.8692708,b'g',3.887,5.68421986444629,26.325,1.10634e-05,2.0,722.0,5.0,2.0,1.0,0.234112,-4.79173,-0.197583,232.783,1.008,0.0,0.0,4.915263420581818,-0.012650012969970703,ztf_20180511369259_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180511369259_000722_zg_c05_o_q2_diffimgpsf.fits',-19.20885298831661,32.83844722597311,-5.668934417279824e-10,9.691312844441073e-10,2458167.064247685,2458206.004027778,7220521.0,3.68114,4.050785641945827,0.9850971180356847,0.0,0.0,249.8692708001472,p48g
2458249.8843519,b'g',3.603,5.59792535122034,26.325,9.5096e-06,3.0,722.0,5.0,2.0,1.0,0.445632,-4.73024,-0.196321,232.601,1.012,0.0,0.0,5.0082968224287026,0.3062170147895813,ztf_20180511384317_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180511384317_000722_zg_c05_o_q2_diffimgpsf.fits',-14.023776757150682,31.99167405372389,-4.138709935841276e-10,9.441412364454959e-10,2458167.064247685,2458206.004027778,7220521.0,3.66443,4.050785641945827,0.9850971180356847,0.0,0.0,249.8843518998474,p48g
2458252.8932523,b'r',1.901,5.95659801108697,26.275,4.0698e-06,2.0,722.0,5.0,2.0,2.0,38.6748,9.10252,-0.0163046,194.672,1.024,0.0,0.0,6.356211807012556,-0.5407048463821411,ztf_20180514393229_000722_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180514393229_000722_zr_c05_o_q2_diffimgpsf.fits',19.377134774686116,29.039004635162815,5.988107108941279e-10,8.973910338906539e-10,2458155.058738426,2458218.9608101854,7220522.0,4.87964,-0.3102507946607502,1.1558992323558734,0.0,0.0,252.89325230009854,p48r
2458252.9277431,b'g',2.24,5.71285260979473,26.325,5.139e-06,2.0,722.0,5.0,2.0,1.0,39.2685,9.27197,-0.015315,194.218,1.073,0.0,0.0,4.5198700799942015,0.42933356761932373,ztf_20180514427720_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180514427720_000722_zg_c05_o_q2_diffimgpsf.fits',24.279661271723693,19.166950089904766,7.165436036544558e-10,5.656567995339789e-10,2458167.064247685,2458206.004027778,7220521.0,4.07453,4.050785641945827,0.9850971180356847,0.0,0.0,252.92774310009554,p48g
2458254.871412,b'r',2.187,5.89864300760435,26.275,5.8474e-06,1.0,722.0,5.0,2.0,2.0,66.4873,16.418,0.0107679,168.088,1.012,0.0,0.0,5.9088838121414184,-0.29669463634490967,ztf_20180516371412_000722_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516371412_000722_zr_c05_o_q2_diffimgpsf.fits',17.283412113832522,27.988327628823463,5.341084951362673e-10,8.649220103552544e-10,2458155.058738426,2458218.9608101854,7220522.0,4.95856,-0.3102507946607502,1.1558992323558734,0.0,0.0,254.8714120001532,p48r
2458254.8723727,b'r',2.297,5.91182652967781,26.275,4.8962e-06,2.0,722.0,5.0,2.0,2.0,66.5067,16.4209,0.0107931,168.074,1.013,0.0,0.0,6.368074044585228,0.15995466709136963,ztf_20180516372338_000722_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516372338_000722_zr_c05_o_q2_diffimgpsf.fits',15.26888910940738,33.777202032401874,4.718537827435816e-10,1.0438153316403723e-09,2458155.058738426,2458218.9608101854,7220522.0,4.94866,-0.3102507946607502,1.1558992323558734,0.0,0.0,254.87237269990146,p48r
2458254.8733333,b'r',2.192,5.94442942016999,26.275,4.6047e-06,3.0,722.0,5.0,2.0,2.0,66.526,16.4237,0.0108309,168.053,1.013,0.0,0.0,5.94274365901947,-0.9072433710098267,ztf_20180516373299_000722_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516373299_000722_zr_c05_o_q2_diffimgpsf.fits',-28.42280576852616,28.74955855709935,-8.783486684569737e-10,8.884462949656712e-10,2458155.058738426,2458218.9608101854,7220522.0,4.93376,-0.3102507946607502,1.1558992323558734,0.0,0.0,254.8733332999982,p48r
2458254.9068056,b'g',2.202,5.72130424702706,26.325,5.3951e-06,2.0,722.0,5.0,2.0,1.0,67.1981,16.5276,0.0116545,167.605,1.046,0.0,0.0,4.8065212815999985,0.3238460421562195,ztf_20180516406782_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516406782_000722_zg_c05_o_q2_diffimgpsf.fits',-51.06506871299293,21.255870125018966,-1.5070370194613794e-09,6.273052003824826e-10,2458167.064247685,2458206.004027778,7220521.0,4.13584,4.050785641945827,0.9850971180356847,0.0,0.0,254.90680560003966,p48g
2458254.9077662,b'g',2.016,5.72036747815768,26.325,4.857e-06,1.0,722.0,5.0,2.0,1.0,67.2173,16.5307,0.0116939,167.584,1.048,0.0,0.0,4.369332046318054,0.5558870434761047,ztf_20180516407732_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516407732_000722_zg_c05_o_q2_diffimgpsf.fits',-4.682037345456551,18.617537085151582,-1.3817671813507985e-10,5.494424722353781e-10,2458167.064247685,2458206.004027778,7220521.0,4.15213,4.050785641945827,0.9850971180356847,0.0,0.0,254.9077662001364,p48g
2458254.9087153,b'g',1.942,5.71046488410556,26.325,5.2824e-06,3.0,722.0,5.0,2.0,1.0,67.2363,16.5338,0.011707,167.577,1.049,0.0,0.0,4.255286732792854,0.5963540077209473,ztf_20180516408692_000722_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180516408692_000722_zg_c05_o_q2_diffimgpsf.fits',-22.562588688519373,17.616521335596076,-6.65869199150371e-10,5.19900403083858e-10,2458167.064247685,2458206.004027778,7220521.0,4.16623,4.050785641945827,0.9850971180356847,0.0,0.0,254.9087152997963,p48g
