jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458249.7409375,b'r',3.913,5.77438092707203,26.275,2.08706e-05,3.0,789.0,9.0,2.0,2.0,358.233,-5.3209,-0.208384,234.322,1.102,0.0,0.0,6.971201503658293,-1.5266015529632568,ztf_20180511240926_000789_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180511240926_000789_zr_c09_o_q2_diffimgpsf.fits',-3.517561659952842,44.174892670041025,-1.0870304731337196e-10,1.3651346905016586e-09,2458160.8116319445,2458218.794953704,7890922.0,5.66636,-3.7651809335339794,0.983541668509779,0.0,0.0,249.7409374997951,p48r
2458254.677963,b'r',2.116,6.11254633971328,26.275,1.40739e-05,3.0,789.0,9.0,2.0,2.0,62.7715,15.9654,0.00654767,170.717,1.073,0.0,0.0,6.270740186119079,-0.5240926742553711,ztf_20180516177951_000789_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180516177951_000789_zr_c09_o_q2_diffimgpsf.fits',-10.05666500349307,22.622345721819812,-3.107806592661392e-10,6.990973165804386e-10,2458160.8116319445,2458218.794953704,7890922.0,5.70738,-3.7651809335339794,0.983541668509779,0.0,0.0,254.6779629997909,p48r
2458254.6784491,b'r',2.044,6.15492478092226,26.275,1.35925e-05,1.0,790.0,12.0,2.0,2.0,62.78,15.9663,0.00654767,170.717,1.082,0.0,0.0,5.485250080490111,-0.5746222734451294,ztf_20180516178414_000790_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180516178414_000790_zr_c12_o_q2_diffimgpsf.fits',-23.218724887292552,18.575956087447985,-7.175271946798984e-10,5.740519225864179e-10,2458182.8725,2458218.856388889,7901222.0,6.22935,5.598826572115778,0.8824440500241463,0.0,0.0,254.67844909988344,p48r
2458254.6807639,b'r',1.988,6.16371797035588,26.275,1.57244e-05,3.0,790.0,12.0,2.0,2.0,62.8201,15.9706,0.00658711,170.689,1.081,0.0,0.0,5.4227516651153564,-1.0647215247154236,ztf_20180516180718_000790_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180516180718_000790_zr_c12_o_q2_diffimgpsf.fits',34.55504880004843,18.22536402038195,1.0678530947707395e-09,5.632175920931713e-10,2458182.8725,2458218.856388889,7901222.0,6.21153,5.598826572115778,0.8824440500241463,0.0,0.0,254.68076389981434,p48r
2458254.6831366,b'r',2.145,6.13689526944866,26.275,1.3241e-05,2.0,790.0,12.0,2.0,2.0,62.8614,15.9751,0.00664649,170.647,1.08,0.0,0.0,5.668220445513725,-1.4149476885795593,ztf_20180516183125_000790_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180516183125_000790_zr_c12_o_q2_diffimgpsf.fits',-2.71335915566962,19.70070820305013,-8.385081405534763e-11,6.088100857725476e-10,2458182.8725,2458218.856388889,7901222.0,6.20692,5.598826572115778,0.8824440500241463,0.0,0.0,254.6831366000697,p48r
2458254.6836227,b'r',1.905,6.14223479136178,26.275,1.38091e-05,1.0,789.0,9.0,2.0,2.0,62.8699,15.976,0.00664649,170.647,1.074,0.0,0.0,6.052924731922139,-0.12870383262634277,ztf_20180516183576_000789_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180516183576_000789_zr_c09_o_q2_diffimgpsf.fits',22.935458557055256,20.612095019575754,7.087734282147264e-10,6.369746309990999e-10,2458160.8116319445,2458218.794953704,7890922.0,5.64351,-3.7651809335339794,0.983541668509779,0.0,0.0,254.68362270016223,p48r
2458254.7011227,b'r',2.349,6.07246015520857,26.275,1.53044e-05,2.0,790.0,12.0,2.0,2.0,63.1794,16.0094,0.00698798,170.41,1.074,0.0,0.0,6.443940439367294,0.006904959678649902,ztf_20180516201111_000790_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180516201111_000790_zr_c12_o_q2_diffimgpsf.fits',-12.741144484625439,24.594668162886126,-3.9373900605833736e-10,7.600479068998087e-10,2458182.8725,2458218.856388889,7901222.0,6.15329,5.598826572115778,0.8824440500241463,0.0,0.0,254.70112269977108,p48r
2458255.6782292,b'g',2.304,5.9597597901297,26.325,2.90796e-05,2.0,790.0,12.0,2.0,1.0,77.8146,18.5561,0.0396457,157.03,1.081,0.0,0.0,5.87583190870285,0.009227633476257324,ztf_20180517178171_000790_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180517178171_000790_zg_c12_o_q2_diffimgpsf.fits',13.939948012928806,24.454603386605264,4.11397031950053e-10,7.217065115742784e-10,2458166.9372685184,2458229.8106990163,7901221.0,5.25538,-1.0763038709470905,1.0082429642581565,0.0,0.0,255.67822920018807,p48g
2458255.7019213,b'g',2.453,5.81122642638324,26.325,1.80969e-05,3.0,789.0,9.0,2.0,1.0,78.2188,18.5656,0.0407487,156.708,1.082,0.0,0.0,5.857203675270081,-0.009768486022949219,ztf_20180517201887_000789_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180517201887_000789_zg_c09_o_q2_diffimgpsf.fits',8.42503619248647,23.57970096478184,2.486404454626434e-10,6.95886310505326e-10,2458166.881712963,2458230.844122512,7890921.0,4.83949,10.276209815373726,0.8844159448644368,0.0,0.0,255.70192130003124,p48g
2458255.7028356,b'g',2.587,6.00608389459831,26.325,2.49531e-05,2.0,790.0,12.0,2.0,1.0,78.2347,18.566,0.0407969,156.694,1.073,0.0,0.0,5.362747631311417,0.03164565563201904,ztf_20180517202836_000790_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180517202836_000790_zg_c12_o_q2_diffimgpsf.fits',8.87005701633306,25.511455871203097,2.617739410765908e-10,7.528964395519076e-10,2458166.9372685184,2458229.8106990163,7901221.0,5.09315,-1.0763038709470905,1.0082429642581565,0.0,0.0,255.70283559989184,p48g
