jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458256.7609375,b'r',2.171,5.87858679831596,26.275,5.8146e-06,2.0,794.0,15.0,3.0,2.0,94.7293,19.8161,0.105172,142.153,1.118,0.0,0.0,5.787168731689453,-0.06916528940200806,ztf_20180518260937_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180518260937_000794_zr_c15_o_q3_diffimgpsf.fits',-2.325362543561498,23.58883002405841,-7.186057247306287e-11,7.289645368169735e-10,2458198.8627083334,2458219.976712963,7941532.0,5.3338,9.3264681984744,1.0188076751843256,0.0,0.0,256.76093749981374,p48r
2458257.7534144,b'r',1.993,5.46353504461067,26.275,6.7214e-06,2.0,794.0,15.0,3.0,2.0,110.142,19.6939,0.188259,128.571,1.126,0.0,0.0,5.933317853260039,-0.06232929229736328,ztf_20180519253403_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519253403_000794_zr_c15_o_q3_diffimgpsf.fits',4.913647075154486,23.975650998847343,1.518462111333368e-10,7.409184477333751e-10,2458198.8627083334,2458219.976712963,7941532.0,6.06212,9.3264681984744,1.0188076751843256,0.0,0.0,257.7534143999219,p48r
2458257.8024884,b'r',2.434,5.62578272213074,26.275,7.9146e-06,3.0,794.0,15.0,3.0,2.0,110.991,19.5711,0.192861,127.899,1.077,0.0,0.0,5.2972048958063125,-0.21428370475769043,ztf_20180519302477_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519302477_000794_zr_c15_o_q3_diffimgpsf.fits',-30.08396355787969,24.56866557107871,-9.296833517482096e-10,7.592443500028309e-10,2458198.8627083334,2458219.976712963,7941532.0,5.3398,9.3264681984744,1.0188076751843256,0.0,0.0,257.8024884001352,p48r
2458257.8034028,b'r',2.313,5.60951914996369,26.275,7.1748e-06,2.0,794.0,15.0,3.0,2.0,111.007,19.5688,0.19291,127.892,1.077,0.0,0.0,5.187376308441161,0.2356048822402954,ztf_20180519303391_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519303391_000794_zr_c15_o_q3_diffimgpsf.fits',20.81489566698022,23.274294964668528,6.432417700791593e-10,7.19244474255453e-10,2458198.8627083334,2458219.976712963,7941532.0,5.31937,9.3264681984744,1.0188076751843256,0.0,0.0,257.80340280011296,p48r
2458257.8265046,b'r',2.62,5.6701790947981,26.275,8.1218e-06,2.0,794.0,15.0,3.0,2.0,111.431,19.5139,0.19513,127.571,1.074,0.0,0.0,5.239214984893799,-0.48139774799346924,ztf_20180519326505_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519326505_000794_zr_c15_o_q3_diffimgpsf.fits',-2.3219814594073007,25.225041974462016,-7.175608698387626e-11,7.795283199866208e-10,2458198.8627083334,2458219.976712963,7941532.0,5.16979,9.3264681984744,1.0188076751843256,0.0,0.0,257.82650459976867,p48r
2458257.8523264,b'r',2.739,5.64634159727771,26.275,1.11335e-05,2.0,794.0,15.0,3.0,2.0,111.92,19.4555,0.197555,127.221,1.084,0.0,0.0,5.166629904174803,-0.5553802251815796,ztf_20180519352280_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519352280_000794_zr_c15_o_q3_diffimgpsf.fits',19.197025288885754,26.52551600188434,5.932447956809157e-10,8.197168094794668e-10,2458198.8627083334,2458219.976712963,7941532.0,5.32005,9.3264681984744,1.0188076751843256,0.0,0.0,257.85232640011236,p48r
2458257.8690856,b'r',2.5,5.64726848549642,26.275,8.3691e-06,2.0,794.0,15.0,3.0,2.0,112.246,19.4198,0.199161,126.99,1.099,0.0,0.0,5.20729329009056,0.08632004261016846,ztf_20180519369074_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519369074_000794_zr_c15_o_q3_diffimgpsf.fits',-26.193888707500783,24.859620130277435,-8.094685463255903e-10,7.682357054515318e-10,2458198.8627083334,2458219.976712963,7941532.0,5.27226,9.3264681984744,1.0188076751843256,0.0,0.0,257.869085600134,p48r
2458257.8853356,b'r',2.21,5.60323828857525,26.275,8.5755e-06,2.0,794.0,15.0,3.0,2.0,112.566,19.3868,0.200674,126.773,1.12,0.0,0.0,4.9941818037033086,-0.32442808151245117,ztf_20180519385313_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519385313_000794_zr_c15_o_q3_diffimgpsf.fits',-13.335783806735598,21.48397410232538,-4.121151178694374e-10,6.639182704145434e-10,2458198.8627083334,2458219.976712963,7941532.0,5.34899,9.3264681984744,1.0188076751843256,0.0,0.0,257.8853356000036,p48r
2458257.88625,b'r',1.976,5.55613634736281,26.275,6.8019e-06,3.0,794.0,15.0,3.0,2.0,112.585,19.385,0.200772,126.759,1.122,0.0,0.0,4.356199002361297,-0.16661453247070312,ztf_20180519386250_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180519386250_000794_zr_c15_o_q3_diffimgpsf.fits',7.279106994161557,17.93445139588082,2.2494591096835203e-10,5.542275323350668e-10,2458198.8627083334,2458219.976712963,7941532.0,5.40258,9.3264681984744,1.0188076751843256,0.0,0.0,257.8862499999814,p48r
2458258.7417477,b'r',2.037,5.40092383191271,26.275,7.7028e-06,2.0,794.0,15.0,3.0,2.0,125.271,18.276,0.287291,115.177,1.141,0.0,0.0,5.633587396669384,-0.3180440664291382,ztf_20180520241713_000794_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180520241713_000794_zr_c15_o_q3_diffimgpsf.fits',41.79608034337211,23.266489004970815,1.2916223618209396e-09,7.190032470852829e-10,2458198.8627083334,2458219.976712963,7941532.0,6.21661,9.3264681984744,1.0188076751843256,0.0,0.0,258.7417477001436,p48r
