jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458255.8491898,b'g',1.944,5.70401299977508,26.325,1.14513e-05,2.0,824.0,4.0,4.0,1.0,81.0479,18.6774,0.0480077,154.687,1.139,0.0,0.0,4.595853821444511,0.13550293445587158,ztf_20180517349178_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180517349178_000824_zg_c04_o_q4_diffimgpsf.fits',5.162599033537182,15.088643213291542,1.523590990135392e-10,4.4529743069233154e-10,2458202.870023148,2458227.870427292,8240441.0,4.28357,5.105983435117267,0.8425685646884087,0.0,0.0,255.8491898002103,p48g
2458255.8501042,b'g',1.993,5.72736076993503,26.325,1.11472e-05,1.0,824.0,4.0,4.0,1.0,81.0667,18.6785,0.04806,154.673,1.139,0.0,0.0,4.661203552055357,0.08693051338195801,ztf_20180517350093_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180517350093_000824_zg_c04_o_q4_diffimgpsf.fits',-5.48566016332057,15.307118680302114,-1.6189330888347922e-10,4.5174509883290844e-10,2458202.870023148,2458227.870427292,8240441.0,4.27386,5.105983435117267,0.8425685646884087,0.0,0.0,255.85010420018807,p48g
2458255.8664931,b'g',1.906,5.70049430895934,26.325,1.18015e-05,2.0,824.0,4.0,4.0,1.0,81.404,18.6998,0.0489252,154.442,1.139,0.0,0.0,5.035120258522033,0.7327538728713989,ztf_20180517366447_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180517366447_000824_zg_c04_o_q4_diffimgpsf.fits',6.356993483584995,16.214381451573242,1.8760817822614154e-10,4.785203214500584e-10,2458202.870023148,2458227.870427292,8240441.0,4.30805,5.105983435117267,0.8425685646884087,0.0,0.0,255.86649309983477,p48g
2458255.8884028,b'g',1.835,5.71257607664415,26.325,9.7958e-06,2.0,824.0,4.0,4.0,1.0,81.8575,18.7317,0.0500371,154.148,1.148,0.0,0.0,4.4976658113241195,0.08737391233444214,ztf_20180517388403_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180517388403_000824_zg_c04_o_q4_diffimgpsf.fits',11.317405028625661,14.158022784716579,3.340003014240065e-10,4.1783287474695204e-10,2458202.870023148,2458227.870427292,8240441.0,4.3506,5.105983435117267,0.8425685646884087,0.0,0.0,255.8884028000757,p48g
2458256.9460301,b'r',1.986,5.25979086245358,26.275,9.9512e-06,2.0,824.0,4.0,4.0,2.0,98.437,19.7314,0.119149,139.615,1.227,0.0,0.0,5.4888863908767656,-0.02685713768005371,ztf_20180518445995_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180518445995_000824_zr_c04_o_q4_diffimgpsf.fits',5.692817563296778,21.999676704802788,1.759248811398919e-10,6.798550043781894e-10,2458187.0077083334,2458222.938888889,8240442.0,5.48377,-7.503480639828933,1.011112686493972,0.0,0.0,256.9460300998762,p48r
2458257.799213,b'r',3.231,5.17479294236093,26.275,1.17611e-05,2.0,824.0,4.0,4.0,2.0,110.932,19.579,0.192524,127.948,1.166,0.0,0.0,5.933533172607422,0.0963144302368164,ztf_20180519299178_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180519299178_000824_zr_c04_o_q4_diffimgpsf.fits',2.701105178975011,30.4605602573375,8.347212997325284e-11,9.413213023509855e-10,2458187.0077083334,2458222.938888889,8240442.0,5.45978,-7.503480639828933,1.011112686493972,0.0,0.0,257.79921300010756,p48r
2458257.8700463,b'r',2.773,5.21225038456927,26.275,1.15365e-05,2.0,824.0,4.0,4.0,2.0,112.264,19.4178,0.19921,126.983,1.142,0.0,0.0,5.933036623764038,0.3356893062591553,ztf_20180519370000_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180519370000_000824_zr_c04_o_q4_diffimgpsf.fits',-42.555797454858265,28.165253675308005,-1.3150998650172203e-09,8.70389547996079e-10,2458187.0077083334,2458222.938888889,8240442.0,5.05978,-7.503480639828933,1.011112686493972,0.0,0.0,257.87004629988223,p48r
2458257.8867361,b'r',2.513,5.16537302431074,26.275,1.31958e-05,2.0,824.0,4.0,4.0,2.0,112.594,19.3841,0.200821,126.752,1.151,0.0,0.0,5.113051881313323,0.1352558135986328,ztf_20180519386701_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180519386701_000824_zr_c04_o_q4_diffimgpsf.fits',19.128584702792782,22.218411144621783,5.91129779374899e-10,6.866145448169255e-10,2458187.0077083334,2458222.938888889,8240442.0,5.13624,-7.503480639828933,1.011112686493972,0.0,0.0,257.8867361000739,p48r
2458257.9042014,b'r',2.579,5.16919833258543,26.275,1.32722e-05,2.0,824.0,4.0,4.0,2.0,112.944,19.351,0.202486,126.515,1.167,0.0,0.0,5.340238538599014,0.15671968460083008,ztf_20180519404155_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180519404155_000824_zr_c04_o_q4_diffimgpsf.fits',30.05847293876535,23.607448482910232,9.288956163099997e-10,7.295399022887416e-10,2458187.0077083334,2458222.938888889,8240442.0,4.99011,-7.503480639828933,1.011112686493972,0.0,0.0,257.9042014000006,p48r
2458258.7412616,b'r',2.302,4.93844572406331,26.275,1.01851e-05,2.0,824.0,4.0,4.0,2.0,125.264,18.2778,0.287236,115.184,1.263,0.0,0.0,6.350864857769012,0.3719998598098755,ztf_20180520241262_000824_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180520241262_000824_zr_c04_o_q4_diffimgpsf.fits',-4.516691419962282,26.6720731210611,-1.3957910865182768e-10,8.242458574178766e-10,2458187.0077083334,2458222.938888889,8240442.0,6.47747,-7.503480639828933,1.011112686493972,0.0,0.0,258.7412616000511,p48r
2458258.7976042,b'g',2.407,5.39983757218443,26.325,1.34426e-05,2.0,824.0,4.0,4.0,1.0,126.124,18.0682,0.293219,114.429,1.165,0.0,0.0,4.582179040575027,0.7019107341766357,ztf_20180520297604_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180520297604_000824_zg_c04_o_q4_diffimgpsf.fits',-6.474355130020939,17.366055230279006,-1.9107176596432672e-10,5.12508624269435e-10,2458202.870023148,2458227.870427292,8240441.0,4.07055,5.105983435117267,0.8425685646884087,0.0,0.0,258.79760419996455,p48g
2458258.8242361,b'g',2.838,5.49465337463538,26.325,1.53304e-05,1.0,824.0,4.0,4.0,1.0,126.565,17.9701,0.296058,114.072,1.145,0.0,0.0,4.265197832489013,-0.09523630142211914,ztf_20180520324236_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180520324236_000824_zg_c04_o_q4_diffimgpsf.fits',5.687529371981212,18.5117220160563,1.6785089159527052e-10,5.463196481578279e-10,2458202.870023148,2458227.870427292,8240441.0,3.81277,5.105983435117267,0.8425685646884087,0.0,0.0,258.8242361000739,p48g
2458258.8251505,b'g',2.635,5.46008409762517,26.325,1.37661e-05,2.0,824.0,4.0,4.0,1.0,126.58,17.9667,0.296113,114.065,1.144,0.0,0.0,4.287599172592163,0.05727875232696533,ztf_20180520325150_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180520325150_000824_zg_c04_o_q4_diffimgpsf.fits',3.8330657204679515,17.15039422631795,1.1312178920663672e-10,5.061440168187873e-10,2458202.870023148,2458227.870427292,8240441.0,3.81926,5.105983435117267,0.8425685646884087,0.0,0.0,258.8251505000517,p48g
2458258.8503472,b'g',2.442,5.47991588494749,26.325,1.46267e-05,2.0,824.0,4.0,4.0,1.0,127.016,17.8758,0.298904,113.715,1.138,0.0,0.0,4.002446983766555,0.11261528730392456,ztf_20180520350336_000824_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180520350336_000824_zg_c04_o_q4_diffimgpsf.fits',5.384312019175766,15.51006241920432,1.5890231310242261e-10,4.5773439318227987e-10,2458202.870023148,2458227.870427292,8240441.0,3.77105,5.105983435117267,0.8425685646884087,0.0,0.0,258.8503471999429,p48g
