jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458256.9455324,b'r',2.074,5.66509636460252,26.275,2.8748e-06,2.0,762.0,3.0,1.0,2.0,98.4265,19.7313,0.119109,139.622,1.095,0.0,0.0,5.214351724004745,-0.21096450090408325,ztf_20180518445509_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180518445509_000762_zr_c03_o_q1_diffimgpsf.fits',37.555008999958325,35.62549611353412,1.1605607278057805e-09,1.1009330792111407e-09,2458186.9107407406,2458219.9994791667,7620312.0,5.24378,12.871806726557352,1.6634840447108887,0.0,0.0,256.945532400161,p48r
2458257.8222569,b'r',2.415,5.52740394272255,26.275,3.4524e-06,2.0,762.0,3.0,1.0,2.0,111.352,19.5238,0.194695,127.634,1.06,0.0,0.0,5.448871808671951,0.18786001205444336,ztf_20180519322222_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180519322222_000762_zr_c03_o_q1_diffimgpsf.fits',46.7852484504797,39.55040915541806,1.4458023959553102e-09,1.222224487678968e-09,2458186.9107407406,2458219.9994791667,7620312.0,5.25964,12.871806726557352,1.6634840447108887,0.0,0.0,257.82225689990446,p48r
2458257.8495139,b'r',2.718,5.61403946340887,26.275,4.3762e-06,2.0,762.0,3.0,1.0,2.0,111.866,19.4617,0.197312,127.256,1.037,0.0,0.0,5.303047154116628,0.20581775903701782,ztf_20180519349514_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180519349514_000762_zr_c03_o_q1_diffimgpsf.fits',-17.04573863748836,42.99944455811886,-5.267636825525073e-10,1.3288098711874576e-09,2458186.9107407406,2458219.9994791667,7620312.0,5.0828,12.871806726557352,1.6634840447108887,0.0,0.0,257.8495139000006,p48r
2458257.8714468,b'r',2.358,5.56100202734886,26.275,3.3938e-06,2.0,762.0,3.0,1.0,2.0,112.292,19.4149,0.199356,126.962,1.031,0.0,0.0,5.3013505435466755,-0.1364912986755371,ztf_20180519371435_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180519371435_000762_zr_c03_o_q1_diffimgpsf.fits',29.432310065330533,40.417575972162986,9.095453336321477e-10,1.2490225042036995e-09,2458186.9107407406,2458219.9994791667,7620312.0,5.06467,12.871806726557352,1.6634840447108887,0.0,0.0,257.87144679995254,p48r
2458257.8876505,b'r',2.184,5.48381364865708,26.275,3.2182e-06,2.0,762.0,3.0,1.0,2.0,112.612,19.3823,0.20087,126.745,1.035,0.0,0.0,4.5138195510864225,0.16971492767333984,ztf_20180519387639_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180519387639_000762_zr_c03_o_q1_diffimgpsf.fits',-3.1603190842990347,31.987564392732903,-9.766319631494845e-11,9.885102414010115e-10,2458186.9107407406,2458219.9994791667,7620312.0,5.09294,12.871806726557352,1.6634840447108887,0.0,0.0,257.8876505000517,p48r
2458257.9051157,b'r',2.421,5.50819172555643,26.275,3.5478e-06,2.0,762.0,3.0,1.0,2.0,112.963,19.3493,0.202585,126.501,1.045,0.0,0.0,5.100652484130859,0.5670202374458313,ztf_20180519405104_000762_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180519405104_000762_zr_c03_o_q1_diffimgpsf.fits',-12.240305135684464,37.43265962466126,-3.782615905337836e-10,1.1567797706499268e-09,2458186.9107407406,2458219.9994791667,7620312.0,4.99924,12.871806726557352,1.6634840447108887,0.0,0.0,257.9051156998612,p48r
2458258.8218981,b'g',2.441,5.94457662093543,26.325,4.3382e-06,2.0,762.0,3.0,1.0,1.0,126.525,17.9786,0.295835,114.1,1.057,0.0,0.0,3.769309273874759,0.3096234202384949,ztf_20180520321898_000762_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180520321898_000762_zg_c03_o_q1_diffimgpsf.fits',1.098543786888515,21.00390712045146,3.2420325597624224e-11,6.198692448992159e-10,2458167.012384259,2458206.023136574,7620311.0,3.79431,-2.3049604114222504,1.2041048011022604,0.0,0.0,258.82189809996635,p48g
2458258.8470833,b'g',2.343,5.97101612373645,26.325,3.8582e-06,1.0,762.0,3.0,1.0,1.0,126.959,17.8874,0.298512,113.764,1.037,0.0,0.0,3.3511180196642876,0.205735981464386,ztf_20180520347049_000762_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180520347049_000762_zg_c03_o_q1_diffimgpsf.fits',-15.007299342898246,19.630268594567944,-4.4289680288105757e-10,5.793302979844217e-10,2458167.012384259,2458206.023136574,7620311.0,3.68498,-2.3049604114222504,1.2041048011022604,0.0,0.0,258.84708329988644,p48g
2458258.8479977,b'g',2.445,5.98669137950866,26.325,3.8076e-06,2.0,762.0,3.0,1.0,1.0,126.975,17.8842,0.298568,113.757,1.036,0.0,0.0,3.814068198549747,-0.01750129461288452,ztf_20180520347986_000762_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180520347986_000762_zg_c03_o_q1_diffimgpsf.fits',-17.294623542039936,21.12166932702617,-5.104005256899002e-10,6.233446540077311e-10,2458167.012384259,2458206.023136574,7620311.0,3.62415,-2.3049604114222504,1.2041048011022604,0.0,0.0,258.8479976998642,p48g
2458258.8737616,b'g',2.321,5.98967050284103,26.325,3.3473e-06,2.0,762.0,3.0,1.0,1.0,127.436,17.7936,0.301365,113.408,1.032,0.0,0.0,3.714066164493561,-0.34205758571624756,ztf_20180520373750_000762_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180520373750_000762_zg_c03_o_q1_diffimgpsf.fits',4.392802697240629,19.875522212065626,1.296407985102155e-10,5.865682453707447e-10,2458167.012384259,2458206.023136574,7620311.0,3.65575,-2.3049604114222504,1.2041048011022604,0.0,0.0,258.87376159988344,p48g
