jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458258.762338,b'r',2.1,5.4774138090659,26.275,4.8926e-06,2.0,824.0,5.0,1.0,2.0,125.575,18.1995,0.289448,114.904,1.217,0.0,0.0,5.552115013360977,-0.07024645805358887,ztf_20180520262303_000824_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180520262303_000824_zr_c05_o_q1_diffimgpsf.fits',31.850242379894368,21.19017379795303,9.84266585510384e-10,6.548389730348552e-10,2458161.0624189815,2458218.97693287,8240512.0,5.97169,-10.838433979911981,0.9456964113507396,0.0,0.0,258.76233799988404,p48r
2458258.7976042,b'g',2.306,5.4224672730137,26.325,8.2581e-06,2.0,824.0,5.0,1.0,1.0,126.124,18.0682,0.293219,114.429,1.165,0.0,0.0,4.446023523855208,0.11930477619171143,ztf_20180520297604_000824_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180520297604_000824_zg_c05_o_q1_diffimgpsf.fits',1.3749680472752543,19.709588655220994,4.0578183874902e-11,5.816711989309559e-10,2458202.870023148,2458231.9715116434,8240511.0,4.28129,0.8250120313173707,1.0004546150469813,0.0,0.0,258.79760419996455,p48g
2458258.8209838,b'g',3.197,5.66529075181053,26.325,1.26726e-05,2.0,825.0,8.0,2.0,1.0,126.51,17.982,0.295723,114.114,1.182,0.0,0.0,4.22866650428772,-0.258148193359375,ztf_20180520320984_000825_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180520320984_000825_zg_c08_o_q2_diffimgpsf.fits',8.426239310360925,24.924426928037803,2.4867595198836204e-10,7.355719871997005e-10,2458202.8464699076,2458229.9910187037,8250821.0,4.10213,8.225008859045085,1.0045313026289415,0.0,0.0,258.82098380010575,p48g
2458258.8242361,b'g',2.649,5.48398692485531,26.325,9.3932e-06,1.0,824.0,5.0,1.0,1.0,126.565,17.9701,0.296058,114.072,1.145,0.0,0.0,4.22261315126419,0.0018494129180908203,ztf_20180520324236_000824_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180520324236_000824_zg_c05_o_q1_diffimgpsf.fits',8.538918713905307,20.798507383725156,2.520013569423165e-10,6.138074689212592e-10,2458202.870023148,2458231.9715116434,8240511.0,4.05201,0.8250120313173707,1.0004546150469813,0.0,0.0,258.8242361000739,p48g
2458258.8251505,b'g',2.658,5.47478993014127,26.325,7.7402e-06,2.0,824.0,5.0,1.0,1.0,126.58,17.9667,0.296113,114.065,1.144,0.0,0.0,4.139272028827666,0.524579644203186,ztf_20180520325150_000824_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180520325150_000824_zg_c05_o_q1_diffimgpsf.fits',17.48381992733825,20.743483231414935,5.159841068693434e-10,6.121835910685643e-10,2458202.870023148,2458231.9715116434,8240511.0,4.05896,0.8250120313173707,1.0004546150469813,0.0,0.0,258.8251505000517,p48g
2458258.8484838,b'g',2.583,5.68676104195924,26.325,7.8611e-06,1.0,825.0,8.0,2.0,1.0,126.983,17.8824,0.298624,113.75,1.153,0.0,0.0,3.970241387844086,0.25838160514831543,ztf_20180520348449_000825_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180520348449_000825_zg_c08_o_q2_diffimgpsf.fits',-5.4155593961042054,20.66115505052199,-1.5982448857342595e-10,6.097539141879518e-10,2458202.8464699076,2458229.9910187037,8250821.0,4.05327,8.225008859045085,1.0045313026289415,0.0,0.0,258.84848379995674,p48g
2458258.8493981,b'g',2.506,5.7114762020416,26.325,7.6002e-06,2.0,825.0,8.0,2.0,1.0,126.999,17.8792,0.298736,113.736,1.152,0.0,0.0,3.834929224538803,-0.19833314418792725,ztf_20180520349398_000825_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180520349398_000825_zg_c08_o_q2_diffimgpsf.fits',-26.58753222438316,19.660420994263767,-7.846537041488955e-10,5.802201584101661e-10,2458202.8464699076,2458229.9910187037,8250821.0,4.02607,8.225008859045085,1.0045313026289415,0.0,0.0,258.84939809981734,p48g
2458258.8503472,b'g',2.234,5.4805848270346,26.325,6.4627e-06,2.0,824.0,5.0,1.0,1.0,127.016,17.8758,0.298904,113.715,1.138,0.0,0.0,3.768397749125957,0.15577518939971924,ztf_20180520350336_000824_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180520350336_000824_zg_c05_o_q1_diffimgpsf.fits',17.561863960121748,17.05802811454762,5.182873495657126e-10,5.034180996133291e-10,2458202.870023148,2458231.9715116434,8240511.0,3.98018,0.8250120313173707,1.0004546150469813,0.0,0.0,258.8503471999429,p48g
2458258.8718634,b'g',2.293,5.69539238055277,26.325,6.8504e-06,2.0,825.0,8.0,2.0,1.0,127.401,17.8001,0.301141,113.436,1.141,0.0,0.0,3.8606724087476727,0.02710968255996704,ztf_20180520371863_000825_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180520371863_000825_zg_c08_o_q2_diffimgpsf.fits',3.9701476378527385,18.73935347013205,1.1716736340058775e-10,5.530375286286595e-10,2458202.8464699076,2458229.9910187037,8250821.0,4.08433,8.225008859045085,1.0045313026289415,0.0,0.0,258.87186340009794,p48g
2458258.8827315,b'r',3.608,5.82989756013358,26.275,8.7409e-06,2.0,825.0,8.0,2.0,2.0,127.6,17.7628,0.302318,113.289,1.139,0.0,0.0,5.232491982984541,-0.34875571727752686,ztf_20180520382731_000825_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180520382731_000825_zr_c08_o_q2_diffimgpsf.fits',66.32815662434979,31.062429624112582,2.049735994632743e-09,9.599208440435386e-10,2458198.888923611,2458220.000451389,8250822.0,5.01603,8.508201399135515,1.0121307955043903,0.0,0.0,258.8827315000817,p48r
