jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458258.8214468,b'g',2.483,5.6689959105577,26.325,4.8102e-06,2.0,796.0,2.0,4.0,1.0,126.518,17.9803,0.295779,114.107,1.112,0.0,0.0,3.6841132828116416,-0.44876325130462646,ztf_20180520321435_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180520321435_000796_zg_c02_o_q4_diffimgpsf.fits',-3.332034563985065,19.201077215351663,-9.833531148804046e-11,5.666639623989637e-10,2458203.894085648,2458228.995320718,7960241.0,3.84767,-20.283014498440398,1.1508846010506606,0.0,0.0,258.8214468001388,p48g
2458258.8475347,b'g',2.629,5.71559623439686,26.325,4.8697e-06,2.0,796.0,2.0,4.0,1.0,126.967,17.8858,0.298568,113.757,1.085,0.0,0.0,3.4155921952724455,-0.045232534408569336,ztf_20180520347535_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180520347535_000796_zg_c02_o_q4_diffimgpsf.fits',0.14659250974842664,18.304652406373297,4.326251673297394e-12,5.402085907261004e-10,2458203.894085648,2458228.995320718,7960241.0,3.73561,-20.283014498440398,1.1508846010506606,0.0,0.0,258.84753469983116,p48g
2458258.871412,b'g',2.326,5.71125204021381,26.325,3.9464e-06,1.0,796.0,2.0,4.0,1.0,127.393,17.8017,0.301141,113.436,1.075,0.0,0.0,3.3883959479570387,0.018024802207946777,ztf_20180520371377_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180520371377_000796_zg_c02_o_q4_diffimgpsf.fits',12.103740710046466,17.17422711636079,3.5720671260666736e-10,5.068473752683438e-10,2458203.894085648,2458228.995320718,7960241.0,3.7402,-20.283014498440398,1.1508846010506606,0.0,0.0,258.8714120001532,p48g
2458258.8728125,b'g',2.472,5.74056254211758,26.325,4.3e-06,2.0,796.0,2.0,4.0,1.0,127.419,17.7969,0.301253,113.422,1.074,0.0,0.0,3.608661448478698,-0.08740401268005371,ztf_20180520372778_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180520372778_000796_zg_c02_o_q4_diffimgpsf.fits',-22.415321879569756,18.43604344913351,-6.615230474968327e-10,5.440862153093605e-10,2458203.894085648,2458228.995320718,7960241.0,3.72788,-20.283014498440398,1.1508846010506606,0.0,0.0,258.8728125002235,p48g
2458259.91125,b'g',2.672,1.03674918138625,26.325,5.26866e-05,2.0,796.0,2.0,4.0,1.0,142.616,14.9009,0.416485,99.6152,1.087,0.0,0.0,24.18439688339233,-0.6458514928817749,ztf_20180521411238_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180521411238_000796_zg_c02_o_q4_diffimgpsf.fits',80.5160484087253,124.16532639864461,2.3761970495854783e-09,3.6643785708114432e-09,2458203.894085648,2458228.995320718,7960241.0,23.9061,-20.283014498440398,1.1508846010506606,0.0,0.0,259.91124999988824,p48g
2458261.9316898,b'g',3.308,5.68585698036762,26.325,5.3166e-06,2.0,796.0,2.0,4.0,1.0,169.924,6.99308,0.641371,73.5761,1.115,0.0,0.0,3.6798922583103177,-0.08222293853759766,ztf_20180523431644_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180523431644_000796_zg_c02_o_q4_diffimgpsf.fits',4.807886909553659,22.983569329242908,1.4189080208243315e-10,6.782932186622391e-10,2458203.894085648,2458228.995320718,7960241.0,3.83169,-20.283014498440398,1.1508846010506606,0.0,0.0,261.9316898002289,p48g
2458261.9514236,b'g',3.262,5.66730990117886,26.325,5.055e-06,2.0,796.0,2.0,4.0,1.0,170.217,6.89523,0.643418,73.3313,1.147,0.0,0.0,3.752510686016083,-0.19498658180236816,ztf_20180523451412_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180523451412_000796_zg_c02_o_q4_diffimgpsf.fits',27.757284782003158,21.668623401192917,8.19175549558543e-10,6.394864131189712e-10,2458203.894085648,2458228.995320718,7960241.0,3.88402,-20.283014498440398,1.1508846010506606,0.0,0.0,261.9514235998504,p48g
2458262.9120949,b'g',2.763,5.97394207940791,26.325,4.5037e-06,2.0,796.0,2.0,4.0,1.0,182.337,2.56896,0.739672,61.3574,1.095,0.0,0.0,4.39492424826622,-0.0046558380126953125,ztf_20180524412060_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180524412060_000796_zg_c02_o_q4_diffimgpsf.fits',-20.064172962912085,24.605564032531266,-5.921357237357647e-10,7.261616760055234e-10,2458203.894085648,2458228.995320718,7960241.0,4.44454,-20.283014498440398,1.1508846010506606,0.0,0.0,262.9120948999189,p48g
2458262.9272338,b'g',3.475,5.95944388635024,26.325,5.5236e-06,2.0,796.0,2.0,4.0,1.0,182.531,2.49586,0.741117,61.1686,1.112,0.0,0.0,3.4884341027379033,0.01055842638015747,ztf_20180524427222_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180524427222_000796_zg_c02_o_q4_diffimgpsf.fits',30.99106327689082,22.685085311445867,9.146111188696212e-10,6.69484330804702e-10,2458203.894085648,2458228.995320718,7960241.0,3.56617,-20.283014498440398,1.1508846010506606,0.0,0.0,262.92723379982635,p48g
2458262.9290625,b'g',3.939,6.01393325300387,26.325,5.843e-06,1.0,796.0,2.0,4.0,1.0,182.555,2.48705,0.741278,61.1476,1.115,0.0,0.0,3.894294132113455,-0.15517544746398926,ztf_20180524429051_000796_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180524429051_000796_zg_c02_o_q4_diffimgpsf.fits',-36.61816766729865,26.72600409081619,-1.0806787428334865e-09,7.887402986688456e-10,2458203.894085648,2458228.995320718,7960241.0,3.51908,-20.283014498440398,1.1508846010506606,0.0,0.0,262.9290625001304,p48g
