jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458262.7888889,b'g',2.779,6.13682200805504,26.325,1.77265e-05,2.0,677.0,15.0,3.0,1.0,181.0,3.16741,0.727966,62.8751,1.0,0.0,0.0,9.506072636938093,0.5695239305496216,ztf_20180524288866_000677_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180524288866_000677_zg_c15_o_q3_diffimgpsf.fits',-69.7465858081189,49.25852333234091,-2.0583676756539958e-09,1.4537220858921084e-09,2458166.9863541666,2458204.9587037037,6771531.0,9.3087,-0.8036451490766437,1.0454963370599548,0.0,0.0,262.7888889000751,p48g
2458262.8023495,b'r',3.293,5.87073145711136,26.275,1.24057e-05,2.0,677.0,15.0,3.0,2.0,181.127,3.10205,0.729214,62.7143,1.004,0.0,0.0,8.577613605499263,0.26687896251678467,ztf_20180524302280_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180524302280_000677_zr_c15_o_q3_diffimgpsf.fits',-87.30636776712092,43.33234775114992,-2.6980246954008568e-09,1.339097563709541e-09,2458155.0582175925,2458214.8501273147,6771532.0,8.99533,-7.160524110700898,1.0104425041748855,0.0,0.0,262.80234949989244,p48r
2458262.8543056,b'r',3.328,5.89905439789892,26.275,1.14205e-05,2.0,677.0,15.0,3.0,2.0,181.658,2.84933,0.73419,62.0708,1.069,0.0,0.0,8.722839473724363,-0.670452356338501,ztf_20180524354294_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180524354294_000677_zr_c15_o_q3_diffimgpsf.fits',19.708046717699233,46.46388796470592,6.090368675547043e-10,1.4358714075558306e-09,2458155.0582175925,2458214.8501273147,6771532.0,8.44285,-7.160524110700898,1.0104425041748855,0.0,0.0,262.85430559981614,p48r
2458266.6965162,b'g',2.286,6.07568916483427,26.325,1.92397e-05,1.0,677.0,15.0,3.0,1.0,229.877,-13.8085,0.979968,16.2733,1.09,6.0,0.0,16.72880389795303,-1.2791994214057922,ztf_20180528196458_000677_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180528196458_000677_zg_c15_o_q3_diffimgpsf.fits',18.94817092234824,621.2559543411184,5.592001685448593e-10,1.83345630457321e-08,2458166.9863541666,2458204.9587037037,6771531.0,15.8431,-0.8036451490766437,1.0454963370599548,0.0,0.0,266.69651619996876,p48g
2458266.7718287,b'r',2.366,5.82070984460612,26.275,1.14135e-05,1.0,677.0,15.0,3.0,2.0,230.458,-14.0991,0.982034,15.4061,1.0,0.0,0.0,13.627878652286526,-0.7817072868347168,ztf_20180528271690_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180528271690_000677_zr_c15_o_q3_diffimgpsf.fits',-20.846208570447367,57.487604393677145,-6.442094313047919e-10,1.7765368128521955e-09,2458155.0582175925,2458214.8501273147,6771532.0,14.1552,-7.160524110700898,1.0104425041748855,0.0,0.0,266.771828699857,p48r
2458269.705463,b'r',2.158,5.92460584777179,26.275,9.1266e-06,2.0,677.0,15.0,3.0,2.0,268.206,-20.8496,-0.976227,342.261,1.053,0.0,0.0,8.146147440719604,-0.760860800743103,ztf_20180531205451_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180531205451_000677_zr_c15_o_q3_diffimgpsf.fits',58.05312577694057,33.91547962264443,1.7940130943161652e-09,1.0480885178021498e-09,2458155.0582175925,2458214.8501273147,6771532.0,9.2418,-7.160524110700898,1.0104425041748855,0.0,0.0,269.70546300010756,p48r
2458269.8602778,b'r',2.007,5.87227422452874,26.275,7.025e-06,2.0,677.0,15.0,3.0,2.0,269.586,-21.1421,-0.971459,340.547,1.135,0.0,0.0,11.53471228480339,-0.11490964889526367,ztf_20180531360255_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180531360255_000677_zr_c15_o_q3_diffimgpsf.fits',21.774509766667464,43.934452814396,6.728966807715507e-10,1.3577043886300997e-09,2458155.0582175925,2458214.8501273147,6771532.0,11.7853,-7.160524110700898,1.0104425041748855,0.0,0.0,269.86027779988945,p48r
2458270.7745718,b'g',2.46,6.0501625240097,26.325,1.6244e-05,2.0,677.0,15.0,3.0,1.0,281.803,-21.4622,-0.935074,330.476,1.002,0.0,0.0,9.506685376167297,0.23544305562973022,ztf_20180601274387_000677_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180601274387_000677_zg_c15_o_q3_diffimgpsf.fits',-35.482731438991394,48.204292719226615,-1.04716964410077e-09,1.4226095344653599e-09,2458166.9863541666,2458204.9587037037,6771531.0,9.92505,-0.8036451490766437,1.0454963370599548,0.0,0.0,270.7745718001388,p48g
2458270.8031944,b'r',1.81,5.84434167278766,26.275,6.3541e-06,2.0,677.0,15.0,3.0,2.0,282.068,-21.4966,-0.933714,330.161,1.022,0.0,0.0,9.694332271814346,0.2671210765838623,ztf_20180601303183_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180601303183_000677_zr_c15_o_q3_diffimgpsf.fits',12.312910761106284,33.55117254535052,3.8050531885994204e-10,1.0368303527261126e-09,2458155.0582175925,2458214.8501273147,6771532.0,10.1431,-7.160524110700898,1.0104425041748855,0.0,0.0,270.8031943999231,p48r
2458270.8208218,b'r',1.984,5.77591707864135,26.275,7.4021e-06,2.0,677.0,15.0,3.0,2.0,282.223,-21.5142,-0.932861,329.965,1.047,0.0,0.0,9.3143454123497,0.5036926865577698,ztf_20180601320799_000677_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180601320799_000677_zr_c15_o_q3_diffimgpsf.fits',-6.833785295247855,34.18078794695148,-2.1118415484682997e-10,1.0562873287227793e-09,2458155.0582175925,2458214.8501273147,6771532.0,10.4454,-7.160524110700898,1.0104425041748855,0.0,0.0,270.8208217998035,p48r
