jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458257.8954167,b'r',3.133,5.96834128756042,26.275,2.038e-06,2.0,682.0,7.0,4.0,2.0,112.768,19.3673,0.201653,126.633,1.002,0.0,0.0,4.23903737282753,0.049109816551208496,ztf_20180519395394_000682_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180519395394_000682_zr_c07_o_q4_diffimgpsf.fits',-110.70482297906793,162.77741655391713,-3.4211060880943936e-09,5.030303068933424e-09,2458158.990821759,2458222.995474537,6820742.0,4.64179,33.77187500633358,2.411267886824936,0.0,0.0,257.89541669981554,p48r
2458257.9147801,b'r',3.685,6.10192076058335,26.275,2.3678e-06,2.0,682.0,7.0,4.0,2.0,113.158,19.332,0.203468,126.375,1.001,0.0,0.0,4.526592738747596,-0.20336079597473145,ztf_20180519414468_000682_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180519414468_000682_zr_c07_o_q4_diffimgpsf.fits',-177.2314942663238,141.40257067888186,-5.4769767722877935e-09,4.3697571831626145e-09,2458158.990821759,2458222.995474537,6820742.0,4.54442,33.77187500633358,2.411267886824936,0.0,0.0,257.9147800998762,p48r
2458257.9445023,b'r',3.698,6.04022370495507,26.275,2.2871e-06,2.0,682.0,7.0,4.0,2.0,113.767,19.2836,0.206326,125.969,1.019,0.0,0.0,4.71867558131218,-0.10810655355453491,ztf_20180519444491_000682_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180519444491_000682_zr_c07_o_q4_diffimgpsf.fits',-236.72632697758903,124.17594486090732,-7.315542870145625e-09,3.837403552348157e-09,2458158.990821759,2458222.995474537,6820742.0,4.62866,33.77187500633358,2.411267886824936,0.0,0.0,257.94450230011716,p48r
2458258.8176852,b'g',2.86,5.36701144582554,26.325,2.6867e-06,2.0,682.0,7.0,4.0,1.0,126.454,17.9941,0.295333,114.163,1.115,0.0,0.0,4.4612219631671906,-0.030757486820220947,ztf_20180520317674_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180520317674_000682_zg_c07_o_q4_diffimgpsf.fits',1.8388696560133795,30.06401911128469,5.4268890954635363e-11,8.872521059189907e-10,2458203.9002314815,2458229.9844867825,6820741.0,4.33309,-25.887027860861917,1.2673421096744055,0.0,0.0,258.81768519990146,p48g
2458258.8400116,b'g',3.241,5.48801030076832,26.325,3.0757e-06,2.0,682.0,7.0,4.0,1.0,126.835,17.9128,0.297731,113.862,1.061,0.0,0.0,3.863147040152547,0.17803049087524414,ztf_20180520340000_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180520340000_000682_zg_c07_o_q4_diffimgpsf.fits',2.1939010617639916,41.72270939621763,6.474661055871081e-11,1.2313244493163933e-09,2458203.9002314815,2458229.9844867825,6820741.0,4.17886,-25.887027860861917,1.2673421096744055,0.0,0.0,258.8400115999393,p48g
2458258.8610417,b'g',3.103,5.55193100964217,26.325,2.8511e-06,2.0,682.0,7.0,4.0,1.0,127.206,17.8379,0.300022,113.575,1.027,0.0,0.0,4.1833187054634084,0.2142183780670166,ztf_20180520360995_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180520360995_000682_zg_c07_o_q4_diffimgpsf.fits',13.002046632292597,31.509205652941883,3.8371759986768574e-10,9.299025844794546e-10,2458203.9002314815,2458229.9844867825,6820741.0,4.08817,-25.887027860861917,1.2673421096744055,0.0,0.0,258.8610417000018,p48g
2458258.8619676,b'g',3.404,5.57043152512912,26.325,3.1089e-06,1.0,682.0,7.0,4.0,1.0,127.223,17.8347,0.300078,113.568,1.026,0.0,0.0,4.0585504130840295,0.04856312274932861,ztf_20180520361956_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180520361956_000682_zg_c07_o_q4_diffimgpsf.fits',-69.26469670054932,29.630331977770503,-2.0441461198491023e-09,8.744530912394343e-10,2458203.9002314815,2458229.9844867825,6820741.0,4.08518,-25.887027860861917,1.2673421096744055,0.0,0.0,258.86196759995073,p48g
2458259.9140394,b'g',3.644,4.53742393711229,26.325,5.3862e-06,2.0,682.0,7.0,4.0,1.0,142.665,14.8889,0.416786,99.5802,1.002,0.0,0.0,4.7071953125,-0.001703798770904541,ztf_20180521414028_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180521414028_000682_zg_c07_o_q4_diffimgpsf.fits',-84.19131972375104,47.55026214667717,-2.484661995739541e-09,1.4033077238309263e-09,2458203.9002314815,2458229.9844867825,6820741.0,5.16751,-25.887027860861917,1.2673421096744055,0.0,0.0,259.9140393999405,p48g
2458261.9260417,b'g',3.532,5.6889013836832,26.325,3.5485e-06,1.0,682.0,7.0,4.0,1.0,169.842,7.02122,0.640785,73.6461,1.012,0.0,0.0,4.025191995620725,-0.05207204818725586,ztf_20180523426018_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180523426018_000682_zg_c07_o_q4_diffimgpsf.fits',-42.501239226191004,30.38519789340912,-1.254300493490904e-09,8.967307637805017e-10,2458203.9002314815,2458229.9844867825,6820741.0,4.02846,-25.887027860861917,1.2673421096744055,0.0,0.0,261.9260416999459,p48g
2458261.9462847,b'g',2.793,5.55656774485795,26.325,2.2599e-06,2.0,682.0,7.0,4.0,1.0,170.14,6.92064,0.642834,73.4013,1.035,0.0,0.0,3.8688038381576524,0.0008611679077148438,ztf_20180523446273_000682_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180523446273_000682_zg_c07_o_q4_diffimgpsf.fits',-15.684142711089134,24.89545931170222,-4.6287186681318663e-10,7.347170922285646e-10,2458203.9002314815,2458229.9844867825,6820741.0,4.09791,-25.887027860861917,1.2673421096744055,0.0,0.0,261.94628470018506,p48g
