jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458261.8125116,b'r',3.943,5.27167208519007,26.275,1.95561e-05,2.0,825.0,4.0,4.0,2.0,168.389,7.59262,0.628677,75.0869,1.182,0.0,0.0,7.88435917124748,-0.009953558444976807,ztf_20180523312465_000825_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180523312465_000825_zr_c04_o_q4_diffimgpsf.fits',96.13302869322972,43.68632406407261,2.970794594843859e-09,1.3500364782455607e-09,2458216.873472222,2458220.000451389,8250442.0,7.54514,-14.729564331880283,0.9323319857695723,0.0,0.0,261.8125116000883,p48r
2458261.9331597,b'g',1.869,5.54405817820199,26.325,5.383e-06,2.0,825.0,4.0,4.0,1.0,169.945,6.98577,0.641488,73.5621,1.17,0.0,0.0,4.073475819635391,-0.08536696434020996,ztf_20180523433160_000825_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180523433160_000825_zg_c04_o_q4_diffimgpsf.fits',-10.139153293705753,15.518191033507126,-2.992276275096934e-10,4.579742855949816e-10,2458202.8464699076,2458229.9910187037,8250441.0,3.82769,-15.31436152211803,0.930552619702858,0.0,0.0,261.9331597001292,p48g
2458261.951875,b'g',2.637,5.48664244739803,26.325,7.133e-06,2.0,825.0,4.0,4.0,1.0,170.224,6.893,0.643418,73.3313,1.196,0.0,0.0,4.322138305449485,0.2490694522857666,ztf_20180523451875_000825_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180523451875_000825_zg_c04_o_q4_diffimgpsf.fits',11.276995956942265,18.695310442915357,3.328077451720759e-10,5.517377267495754e-10,2458202.8464699076,2458229.9910187037,8250441.0,3.90627,-15.31436152211803,0.930552619702858,0.0,0.0,261.9518749997951,p48g
2458262.8256597,b'r',3.137,5.33545135915721,26.275,8.1792e-06,2.0,825.0,4.0,4.0,2.0,181.356,2.9887,0.731489,62.4205,1.163,0.0,0.0,8.279473452949523,0.12691837549209595,ztf_20180524325613_000825_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180524325613_000825_zr_c04_o_q4_diffimgpsf.fits',-15.039763081994845,38.22578911856803,-4.6477311158375214e-10,1.1812898151785743e-09,2458216.873472222,2458220.000451389,8250442.0,8.00666,-14.729564331880283,0.9323319857695723,0.0,0.0,262.8256597002037,p48r
2458262.8624421,b'r',3.973,5.47478325801769,26.275,1.27717e-05,2.0,825.0,4.0,4.0,2.0,181.748,2.80976,0.734999,61.9659,1.14,0.0,0.0,8.021783066272736,-0.1708328127861023,ztf_20180524362442_000825_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180524362442_000825_zr_c04_o_q4_diffimgpsf.fits',-11.121618799777828,44.38576467604107,-3.436908777911072e-10,1.3716512584758868e-09,2458216.873472222,2458220.000451389,8250442.0,7.32578,-14.729564331880283,0.9323319857695723,0.0,0.0,262.86244209995493,p48r
2458262.9153241,b'g',3.016,5.75596546347311,26.325,7.0108e-06,2.0,825.0,4.0,4.0,1.0,182.378,2.55335,0.73994,61.3224,1.155,0.0,0.0,4.483423101997375,-0.0037462711334228516,ztf_20180524415289_000825_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180524415289_000825_zg_c04_o_q4_diffimgpsf.fits',-19.582139002551305,22.170296125350173,-5.77909893021932e-10,6.54291824841237e-10,2458202.8464699076,2458229.9910187037,8250441.0,4.21998,-15.31436152211803,0.930552619702858,0.0,0.0,262.91532409982756,p48g
2458262.9267708,b'g',3.448,5.77985292491686,26.325,7.3413e-06,2.0,825.0,4.0,4.0,1.0,182.525,2.4981,0.741117,61.1686,1.166,0.0,0.0,3.8692682918548584,-0.28848230838775635,ztf_20180524426771_000825_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180524426771_000825_zg_c04_o_q4_diffimgpsf.fits',6.870184582933241,20.7808383743532,2.0275352130053768e-10,6.132860194840738e-10,2458202.8464699076,2458229.9910187037,8250441.0,3.60693,-15.31436152211803,0.930552619702858,0.0,0.0,262.9267707997933,p48g
2458262.9525926,b'g',3.135,5.71303595714098,26.325,7.7954e-06,2.0,825.0,4.0,4.0,1.0,182.871,2.3739,0.743466,60.8608,1.202,0.0,0.0,4.082574712061882,0.06959038972854614,ztf_20180524452593_000825_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180524452593_000825_zg_c04_o_q4_diffimgpsf.fits',-4.706382232999477,20.81099026816698,-1.3889518670246825e-10,6.14175864955598e-10,2458202.8464699076,2458229.9910187037,8250441.0,3.58897,-15.31436152211803,0.930552619702858,0.0,0.0,262.952592600137,p48g
2458266.7915741,b'r',1.887,5.26684163455802,26.275,5.3444e-06,2.0,825.0,4.0,4.0,2.0,230.606,-14.1683,0.982549,15.1823,1.193,0.0,0.0,12.136314175796507,-0.3571438193321228,ztf_20180528291539_000825_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180528291539_000825_zr_c04_o_q4_diffimgpsf.fits',58.37684543315894,43.17085176818164,1.8040169880664301e-09,1.334106860398884e-09,2458216.873472222,2458220.000451389,8250442.0,12.3635,-14.729564331880283,0.9323319857695723,0.0,0.0,266.79157410003245,p48r
2458266.7946296,b'r',1.839,5.22701159725695,26.275,6.9931e-06,2.0,825.0,4.0,4.0,2.0,230.629,-14.1787,0.982629,15.1473,1.188,0.0,0.0,12.875802276420593,0.24363315105438232,ztf_20180528294572_000825_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180528294572_000825_zr_c04_o_q4_diffimgpsf.fits',-56.580420220384156,45.82311150899704,-1.7485021417675284e-09,1.416069522042928e-09,2458216.873472222,2458220.000451389,8250442.0,12.5021,-14.729564331880283,0.9323319857695723,0.0,0.0,266.79462959989905,p48r
