jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458266.821169,b'r',1.852,5.93936406590812,26.275,5.646e-06,1.0,848.0,6.0,1.0,2.0,230.829,-14.2663,0.983339,14.8326,1.263,0.0,0.0,10.375409872531886,0.8158986568450928,ztf_20180528321157_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528321157_000848_zr_c06_o_q1_diffimgpsf.fits',28.70069563856883,37.161979237179395,8.869362864183203e-10,1.148414947007466e-09,2458187.0197453704,2458226.9916435187,8480612.0,12.5282,-999.0,-999.0,0.0,0.0,266.82116900011897,p48r
2458266.8220833,b'r',1.783,5.93915981629268,26.275,5.1555e-06,2.0,848.0,6.0,1.0,2.0,230.836,-14.2692,0.983355,14.8256,1.262,0.0,0.0,10.816132875728606,0.031987011432647705,ztf_20180528322072_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528322072_000848_zr_c06_o_q1_diffimgpsf.fits',14.126384616756155,37.98757349817009,4.3654701859091816e-10,1.1739282487385243e-09,2458187.0197453704,2458226.9916435187,8480612.0,12.827,-999.0,-999.0,0.0,0.0,266.82208329997957,p48r
2458266.8462384,b'r',1.667,5.97496004666546,26.275,6.0137e-06,2.0,848.0,6.0,1.0,2.0,231.023,-14.3439,0.983974,14.5458,1.242,0.0,0.0,11.334521889877319,0.875883936882019,ztf_20180528346192_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528346192_000848_zr_c06_o_q1_diffimgpsf.fits',-37.91640408216099,36.80010309118161,-1.1717289035244182e-09,1.1372319050055972e-09,2458187.0197453704,2458226.9916435187,8480612.0,12.3111,-999.0,-999.0,0.0,0.0,266.8462383998558,p48r
2458266.8685995,b'r',1.713,6.05521601783355,26.275,5.5871e-06,2.0,848.0,6.0,1.0,2.0,231.202,-14.4092,0.984521,14.294,1.234,0.0,0.0,10.51282368211746,0.4088073968887329,ztf_20180528368565_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528368565_000848_zr_c06_o_q1_diffimgpsf.fits',-11.798684990956044,36.85499105687608,-3.6461422337218134e-10,1.1389281052854797e-09,2458187.0197453704,2458226.9916435187,8480612.0,12.0265,-999.0,-999.0,0.0,0.0,266.86859950004146,p48r
2458266.9085185,b'g',2.513,5.67891384109034,26.325,2.46459e-05,2.0,848.0,6.0,1.0,1.0,231.542,-14.517,0.985485,13.8394,1.24,0.0,0.0,14.117699990034103,0.373121440410614,ztf_20180528408484_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528408484_000848_zg_c06_o_q1_diffimgpsf.fits',-98.80074301260262,68.3431212705963,-2.9158166438028776e-09,2.0169485018156545e-09,2458205.979050926,2458261.953277234,8480611.0,14.3942,-999.0,-999.0,0.0,0.0,266.9085185001604,p48g
2458266.9331366,b'g',2.558,5.70732137522579,26.325,2.11207e-05,1.0,848.0,6.0,1.0,1.0,231.768,-14.5785,0.986092,13.5456,1.258,0.0,0.0,13.601153701543808,0.7772606611251831,ztf_20180528433125_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528433125_000848_zg_c06_o_q1_diffimgpsf.fits',-15.688454996380399,67.54195280693968,-4.629991313745826e-10,1.993304343129411e-09,2458205.979050926,2458261.953277234,8480611.0,14.0265,-999.0,-999.0,0.0,0.0,266.9331366000697,p48g
2458266.9340741,b'g',2.643,5.67950329535185,26.325,2.22614e-05,2.0,848.0,6.0,1.0,1.0,231.777,-14.5808,0.986106,13.5386,1.259,0.0,0.0,14.72166232833862,0.02701401710510254,ztf_20180528434051_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528434051_000848_zg_c06_o_q1_diffimgpsf.fits',33.0371297395364,73.50532910809686,9.749948210989441e-10,2.1692960548217614e-09,2458205.979050926,2458261.953277234,8480611.0,14.0727,-999.0,-999.0,0.0,0.0,266.93407410010695,p48g
2458266.9513889,b'g',2.239,5.65834214649245,26.325,1.76456e-05,2.0,848.0,6.0,1.0,1.0,231.945,-14.622,0.986503,13.3428,1.28,0.0,0.0,13.718956041145324,-0.10033690929412842,ztf_20180528451389_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180528451389_000848_zg_c06_o_q1_diffimgpsf.fits',-114.22728449337237,60.84888227972232,-3.371086159338872e-09,1.7957778289982946e-09,2458205.979050926,2458261.953277234,8480611.0,13.6969,-999.0,-999.0,0.0,0.0,266.95138890016824,p48g
2458269.8293981,b'g',2.506,5.46211726931016,26.325,2.28037e-05,1.0,848.0,6.0,1.0,1.0,269.34,-21.102,-0.972426,340.883,1.248,0.0,0.0,15.334975151062011,0.5851303339004517,ztf_20180531329398_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180531329398_000848_zg_c06_o_q1_diffimgpsf.fits',232.48523739143997,75.08933267220783,6.861125776533437e-09,2.2160433187497947e-09,2458205.979050926,2458261.953277234,8480611.0,15.5568,-999.0,-999.0,20.40901154804247,0.3506769210831543,269.8293980997987,p48g
2458269.8890856,b'r',2.612,6.16966607499009,26.275,5.1818e-06,1.0,848.0,6.0,1.0,2.0,269.813,-21.1698,-0.970516,340.226,1.235,0.0,0.0,9.768332600593567,0.531104326248169,ztf_20180531389074_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180531389074_000848_zr_c06_o_q1_diffimgpsf.fits',-7.506157777552003,42.27111921296158,-2.319624509569533e-10,1.3063024663109963e-09,2458187.0197453704,2458226.9916435187,8480612.0,10.7471,-999.0,-999.0,0.0,0.0,269.8890856001526,p48r
2458272.8903819,b'g',1.86,5.69087437033675,26.325,1.01938e-05,1.0,848.0,6.0,1.0,1.0,308.202,-19.5111,-0.80414,307.465,1.239,0.0,0.0,8.653602759551996,-0.0397801399230957,ztf_20180603390370_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180603390370_000848_zg_c06_o_q1_diffimgpsf.fits',-38.67010803289277,30.71748011134083,-1.1412357962285924e-09,9.065371073086265e-10,2458205.979050926,2458261.953277234,8480611.0,9.17856,-999.0,-999.0,0.0,0.0,272.890381900128,p48g
2458272.9506366,b'r',1.651,5.98699848027516,26.275,5.2695e-06,1.0,848.0,6.0,1.0,2.0,308.671,-19.4322,-0.799615,306.815,1.303,0.0,0.0,7.701790466499329,-0.19492703676223755,ztf_20180603450637_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180603450637_000848_zr_c06_o_q1_diffimgpsf.fits',54.69173738205507,26.267764506432144,1.6901362622799765e-09,8.117515268071448e-10,2458187.0197453704,2458226.9916435187,8480612.0,9.44615,-999.0,-999.0,0.0,0.0,272.9506366001442,p48r
2458275.9157407,b'r',2.272,6.17937446882392,26.275,3.1268e-06,1.0,848.0,6.0,1.0,2.0,344.649,-10.5986,-0.5373,274.278,1.266,0.0,0.0,6.148638697910309,-0.049163103103637695,ztf_20180606415706_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180606415706_000848_zr_c06_o_q1_diffimgpsf.fits',51.83221019183764,23.765979247223047,1.601768424129203e-09,7.344389711835486e-10,2458187.0197453704,2458226.9916435187,8480612.0,6.15477,-999.0,-999.0,0.0,0.0,275.91574069997296,p48r
2458278.8076736,b'r',2.287,6.06151331733658,26.275,3.9352e-06,1.0,848.0,6.0,1.0,2.0,19.2947,2.08369,-0.252065,240.273,1.245,0.0,0.0,5.444467942333221,0.09018826484680176,ztf_20180609307674_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180609307674_000848_zr_c06_o_q1_diffimgpsf.fits',199.18593112583977,21.566994560572624,6.155433731791495e-09,6.664838482092379e-10,2458187.0197453704,2458226.9916435187,8480612.0,5.83249,-999.0,-999.0,20.526853349647652,0.11755883913588733,278.80767360003665,p48r
2458278.8709375,b'g',1.969,5.77391231886765,26.325,7.0457e-06,1.0,848.0,6.0,1.0,1.0,20.2225,2.38964,-0.246152,239.489,1.237,0.0,0.0,4.743684746575354,-0.27739036083221436,ztf_20180609370938_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180609370938_000848_zg_c06_o_q1_diffimgpsf.fits',196.95565246793956,18.945825173879868,5.812573388074822e-09,5.591309418719366e-10,2458205.979050926,2458261.953277234,8480611.0,4.83684,-999.0,-999.0,20.589078876938963,0.10444060939279451,278.870937500149,p48g
2458281.782581,b'g',2.109,5.72406046687667,26.325,7.2091e-06,1.0,848.0,6.0,1.0,1.0,58.8794,14.8099,-0.0347383,201.483,1.26,0.0,0.0,4.883571062397957,0.09816098213195801,ztf_20180612282581_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180612282581_000848_zg_c06_o_q1_diffimgpsf.fits',377.41197490983404,22.463286200343276,1.1138217026082864e-08,6.629385790821756e-10,2458205.979050926,2458261.953277234,8480611.0,5.14732,-999.0,-999.0,19.88296081054195,0.0646222294964172,281.7825810001232,p48g
2458281.8422222,b'r',1.86,6.08371820132927,26.275,3.624e-06,1.0,848.0,6.0,1.0,2.0,60.0508,15.0368,-0.0321705,200.665,1.232,0.0,0.0,5.0294598042964935,0.9014284610748291,ztf_20180612342222_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180612342222_000848_zr_c06_o_q1_diffimgpsf.fits',344.11777781156127,20.85355047495753,1.0634255970177949e-08,6.444363188220632e-10,2458187.0197453704,2458226.9916435187,8480612.0,5.85151,-999.0,-999.0,19.933232225698315,0.06579565556521567,281.8422221997753,p48r
2458284.8496181,b'r',2.024,5.84577310079218,26.275,3.5864e-06,1.0,848.0,6.0,1.0,2.0,106.548,19.8096,0.0345086,158.589,1.234,0.0,0.0,6.000462735414505,0.38086557388305664,ztf_20180615349606_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180615349606_000848_zr_c06_o_q1_diffimgpsf.fits',583.4406940044795,25.7722042505863,1.8030041118246034e-08,7.964372530407396e-10,2458187.0197453704,2458226.9916435187,8480612.0,6.65998,-999.0,-999.0,19.36000820712536,0.04795999935737044,284.84961810009554,p48r
2458284.8704051,b'g',2.474,1.99179783332777,26.325,0.0001353448,1.0,848.0,6.0,1.0,1.0,106.992,19.7922,0.0354731,158.288,1.245,0.0,0.0,20.23155892372131,-2.8996468782424927,ztf_20180615370394_000848_zg_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180615370394_000848_zg_c06_o_q1_diffimgpsf.fits',748.0114431556449,92.42923796893001,2.2075382726929813e-08,2.727781587146964e-09,2458205.979050926,2458261.953277234,8480611.0,18.9403,-999.0,-999.0,19.140229395508168,0.13416081000603108,284.87040509982035,p48g
2458287.7677662,b'r',2.248,6.18537023561156,26.275,3.3159e-06,1.0,848.0,6.0,1.0,2.0,150.64,13.0878,0.264066,118.156,1.258,0.0,0.0,5.533971713471413,0.14493173360824585,ztf_20180618267766_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180618267766_000848_zr_c06_o_q1_diffimgpsf.fits',778.9957176510244,25.955145566371925,2.4073269082046086e-08,8.020906813093878e-10,2458187.0197453704,2458226.9916435187,8480612.0,5.77198,-999.0,-999.0,19.046162324386117,0.03617534823495186,287.767766200006,p48r
2458288.7857176,b'r',2.005,6.2,26.279219,3.2881e-06,2.0,848.0,6.0,1.0,2.0,164.765,8.86946,0.373425,104.664,1.241,0.0,0.0,5.890775710344315,0.6088864207267761,ztf_20180619285718_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180619285718_000848_zr_c06_o_q1_diffimgpsf.fits',871.2319139822155,24.80716351118315,2.6819222024268716e-08,7.636414817736565e-10,2458187.0197453704,2458226.9916435187,8480612.0,6.32734,-999.0,-999.0,18.928884560941437,0.030914886474579295,288.78571760002524,p48r
2458288.8219792,b'r',2.173,6.2,26.273931,3.3255e-06,2.0,848.0,6.0,1.0,2.0,165.27,8.68231,0.377445,104.188,1.231,0.0,0.0,5.7844488561153415,0.25211775302886963,ztf_20180619321979_000848_zr_c06_o_q1_scimrefdiffimg.fits,b'ztf_20180619321979_000848_zr_c06_o_q1_diffimgpsf.fits',863.1958256871177,24.98994501654454,2.6701578220429377e-08,7.730238671934906e-10,2458187.0197453704,2458226.9916435187,8480612.0,5.84092,-999.0,-999.0,18.933657671291993,0.03143259895821305,288.8219792000018,p48r
