jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458262.7846296,b'g',2.408,5.98355365016877,26.325,1.25931e-05,2.0,795.0,11.0,2.0,1.0,180.961,3.18807,0.727531,62.9311,1.106,0.0,0.0,9.320087475109101,0.6414213180541992,ztf_20180524284630_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180524284630_000795_zg_c11_o_q2_diffimgpsf.fits',97.79502598537609,44.109445601358395,2.886135830101213e-09,1.3017620288490973e-09,2458203.893587963,2458227.8708859026,7951121.0,9.50951,-8.698670141627316,1.016082288942702,0.0,0.0,262.78462960012257,p48g
2458262.8490972,b'r',3.556,6.51883013726329,26.275,2.60682e-05,2.0,795.0,11.0,2.0,2.0,181.602,2.87467,0.733705,62.1338,1.075,0.0,0.0,7.347886239480973,-0.5517494678497314,ztf_20180524349062_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180524349062_000795_zr_c11_o_q2_diffimgpsf.fits',17.364836275461926,50.24005509355096,5.366247422840632e-10,1.552566127901778e-09,2458198.9,2458219.9999537035,7951122.0,7.31142,3.6996905411502308,1.1623107997811502,0.0,0.0,262.8490972002037,p48r
2458262.8601273,b'r',3.696,6.56214820062126,26.275,3.32909e-05,2.0,795.0,11.0,2.0,2.0,181.722,2.82102,0.734729,62.0009,1.079,0.0,0.0,7.814107755565643,-0.8654083013534546,ztf_20180524360093_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180524360093_000795_zr_c11_o_q2_diffimgpsf.fits',34.23888464216745,55.05976454017549,1.0580826882404985e-09,1.7015093890470797e-09,2458198.9,2458219.9999537035,7951122.0,7.13528,3.6996905411502308,1.1623107997811502,0.0,0.0,262.86012730002403,p48r
2458262.9106944,b'g',3.15,6.10422062205829,26.325,1.04646e-05,2.0,795.0,11.0,2.0,1.0,182.32,2.57573,0.739511,61.3784,1.134,0.0,0.0,5.3569336849212625,-0.47545135021209717,ztf_20180524410648_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180524410648_000795_zg_c11_o_q2_diffimgpsf.fits',-10.903685506072572,30.859872835082733,-3.217905727018996e-10,9.107394144517576e-10,2458203.893587963,2458227.8708859026,7951121.0,5.02008,-8.698670141627316,1.016082288942702,0.0,0.0,262.9106943998486,p48g
2458263.7906366,b'g',3.504,6.29060209216052,26.325,2.17765e-05,2.0,795.0,11.0,2.0,1.0,193.519,-1.50867,0.817268,50.6144,1.096,0.0,0.0,10.075967111206054,-0.29015982151031494,ztf_20180525290625_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180525290625_000795_zg_c11_o_q2_diffimgpsf.fits',84.95679629488917,62.01085937782737,2.507252810934939e-09,1.8300702041844792e-09,2458203.893587963,2458227.8708859026,7951121.0,10.2805,-8.698670141627316,1.016082288942702,0.0,0.0,263.7906365999952,p48g
2458263.7992708,b'g',2.817,6.22439704453758,26.325,1.91592e-05,2.0,795.0,11.0,2.0,1.0,193.592,-1.54813,0.817975,50.5095,1.088,0.0,0.0,10.16802906742096,0.18413960933685303,ztf_20180525299259_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180525299259_000795_zg_c11_o_q2_diffimgpsf.fits',54.000077411605226,55.06374933500308,1.5936552669782866e-09,1.6250464511663958e-09,2458203.893587963,2458227.8708859026,7951121.0,10.3626,-8.698670141627316,1.016082288942702,0.0,0.0,263.7992707998492,p48g
2458263.8681829,b'r',3.83,6.67115128713788,26.275,1.70954e-05,2.0,795.0,11.0,2.0,2.0,194.232,-1.8598,0.823593,49.6702,1.086,0.0,0.0,9.971777879524229,-1.1703904271125793,ztf_20180525368171_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180525368171_000795_zr_c11_o_q2_diffimgpsf.fits',124.35115363288162,73.86791146818953,3.8428180209949e-09,2.2827366949965517e-09,2458198.9,2458219.9999537035,7951122.0,8.54296,3.6996905411502308,1.1623107997811502,0.0,0.0,263.86818289989606,p48r
2458263.8887963,b'r',3.757,6.62992280861336,26.275,1.26364e-05,2.0,795.0,11.0,2.0,2.0,194.447,-1.95188,0.825265,49.4184,1.106,0.0,0.0,8.583353188323974,-0.6267992258071899,ztf_20180525388785_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180525388785_000795_zr_c11_o_q2_diffimgpsf.fits',45.841867910538795,64.57606323292403,1.4166491502182944e-09,1.995591132652252e-09,2458198.9,2458219.9999537035,7951122.0,7.87156,3.6996905411502308,1.1623107997811502,0.0,0.0,263.88879630016163,p48r
2458263.9061921,b'r',3.839,6.60691404031578,26.275,1.00861e-05,2.0,795.0,11.0,2.0,2.0,194.638,-2.02921,0.826653,49.2086,1.131,0.0,0.0,7.8425313598632815,-0.27673429250717163,ztf_20180525406181_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180525406181_000795_zr_c11_o_q2_diffimgpsf.fits',152.44969656665828,59.31851631981378,4.711146009880271e-09,1.8331174009884682e-09,2458198.9,2458219.9999537035,7951122.0,7.90352,3.6996905411502308,1.1623107997811502,0.0,0.0,263.9061921001412,p48r
2458266.7901736,b'r',2.143,6.33122470039564,26.275,1.04629e-05,2.0,795.0,11.0,2.0,2.0,230.595,-14.1635,0.982517,15.1963,1.089,0.0,0.0,11.788423555374145,0.2066727876663208,ztf_20180528290162_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528290162_000795_zr_c11_o_q2_diffimgpsf.fits',-70.0894886571492,57.688472205164295,-2.165972266644014e-09,1.782744221765257e-09,2458198.9,2458219.9999537035,7951122.0,12.1594,3.6996905411502308,1.1623107997811502,0.0,0.0,266.79017359996215,p48r
2458266.7978356,b'r',2.194,6.38445161409152,26.275,8.6237e-06,2.0,795.0,11.0,2.0,2.0,230.653,-14.1896,0.982708,15.1123,1.083,0.0,0.0,12.4392299624443,-0.3580847382545471,ztf_20180528297836_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528297836_000795_zr_c11_o_q2_diffimgpsf.fits',52.62558521775747,62.25982579889509,1.626286056317907e-09,1.924012552997535e-09,2458198.9,2458219.9999537035,7951122.0,11.9992,3.6996905411502308,1.1623107997811502,0.0,0.0,266.79783560009673,p48r
2458266.8248495,b'r',2.059,6.37841371203389,26.275,1.03386e-05,2.0,795.0,11.0,2.0,2.0,230.857,-14.278,0.983417,14.7976,1.074,0.0,0.0,12.539608892440796,0.4123871326446533,ztf_20180528324850_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528324850_000795_zr_c11_o_q2_diffimgpsf.fits',14.246858958127754,60.034130917268975,4.402700316596755e-10,1.85523200569033e-09,2458198.9,2458219.9999537035,7951122.0,12.0806,3.6996905411502308,1.1623107997811502,0.0,0.0,266.8248494998552,p48r
2458266.8286574,b'r',2.272,6.36853231716398,26.275,8.7318e-06,1.0,795.0,11.0,2.0,2.0,230.886,-14.29,0.983526,14.7486,1.074,0.0,0.0,12.700466038799284,-0.021234512329101562,ztf_20180528328600_000795_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528328600_000795_zr_c11_o_q2_diffimgpsf.fits',-90.99348141976881,64.04502075896566,-2.8119674002002196e-09,1.979180351395898e-09,2458198.9,2458219.9999537035,7951122.0,12.3268,3.6996905411502308,1.1623107997811502,0.0,0.0,266.828657399863,p48r
2458266.9042593,b'g',2.646,6.00493371567708,26.325,2.56954e-05,1.0,795.0,11.0,2.0,1.0,231.504,-14.506,0.985397,13.8814,1.142,0.0,0.0,15.151993137359618,0.309920072555542,ztf_20180528404248_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528404248_000795_zg_c11_o_q2_diffimgpsf.fits',-45.14788627397926,76.96003634201737,-1.3324085853625247e-09,2.271251693590322e-09,2458203.893587963,2458227.8708859026,7951121.0,14.4532,-8.698670141627316,1.016082288942702,0.0,0.0,266.9042592998594,p48g
2458266.9108218,b'g',3.551,6.01770018800423,26.325,4.58061e-05,2.0,795.0,11.0,2.0,1.0,231.562,-14.5229,0.985558,13.8044,1.155,0.0,0.0,14.180897622299192,-0.9632886052131653,ztf_20180528410822_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528410822_000795_zg_c11_o_q2_diffimgpsf.fits',140.9436693630015,93.30039584808935,4.159542574643071e-09,2.753489896377188e-09,2458203.893587963,2458227.8708859026,7951121.0,14.5381,-8.698670141627316,1.016082288942702,0.0,0.0,266.9108218001202,p48g
2458266.922338,b'g',3.339,5.96479925462804,26.325,2.94059e-05,2.0,795.0,11.0,2.0,1.0,231.667,-14.5519,0.985833,13.6715,1.18,0.0,0.0,14.593749628734585,0.49771738052368164,ztf_20180528422326_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528422326_000795_zg_c11_o_q2_diffimgpsf.fits',36.995879077282,90.10884126349409,1.0918257968150869e-09,2.6593004375748194e-09,2458203.893587963,2458227.8708859026,7951121.0,14.7364,-8.698670141627316,1.016082288942702,0.0,0.0,266.92233800003305,p48g
2458266.949537,b'g',2.354,5.79438117266112,26.325,2.3703e-05,2.0,795.0,11.0,2.0,1.0,231.927,-14.6176,0.986475,13.3568,1.257,0.0,0.0,14.258156375455851,-0.1501176953315735,ztf_20180528449537_000795_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180528449537_000795_zg_c11_o_q2_diffimgpsf.fits',71.71623201546954,66.01501307423165,2.116496056258013e-09,1.9482411573796722e-09,2458203.893587963,2458227.8708859026,7951121.0,14.836,-8.698670141627316,1.016082288942702,0.0,0.0,266.9495370001532,p48g
