jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458266.8178356,b'r',2.221,5.9788415553736,26.275,1.6588e-06,2.0,798.0,9.0,2.0,2.0,230.803,-14.2556,0.983245,14.8745,1.196,0.0,0.0,11.255489021539688,0.5605583786964417,ztf_20180528317824_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528317824_000798_zr_c09_o_q2_diffimgpsf.fits',3.2429695258593463,56.81290547968361,1.0021733913543906e-10,1.7556866231169334e-09,2458187.0178819443,2458217.9974652776,7980922.0,12.1629,3.350808037249242,1.2239153009936927,0.0,0.0,266.81783560011536,p48r
2458266.8490162,b'r',1.776,6.03770344029649,26.275,1.4963e-06,2.0,798.0,9.0,2.0,2.0,231.044,-14.3522,0.984035,14.5178,1.131,0.0,0.0,10.682716868400574,1.0236376523971558,ztf_20180528349005_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528349005_000798_zr_c09_o_q2_diffimgpsf.fits',12.798712546251073,46.20549287920257,3.95518029237341e-10,1.4278862360164941e-09,2458187.0178819443,2458217.9974652776,7980922.0,11.5905,3.350808037249242,1.2239153009936927,0.0,0.0,266.84901619981974,p48r
2458266.8666782,b'r',1.808,6.07867332446254,26.275,1.5177e-06,2.0,798.0,9.0,2.0,2.0,231.186,-14.4037,0.984476,14.315,1.105,0.0,0.0,9.03025209903717,0.16701143980026245,ztf_20180528366667_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528366667_000798_zr_c09_o_q2_diffimgpsf.fits',47.02272492681181,42.11266701855188,1.4531411206566956e-09,1.301405825385552e-09,2458187.0178819443,2458217.9974652776,7980922.0,11.1798,3.350808037249242,1.2239153009936927,0.0,0.0,266.8666782001965,p48r
2458266.8690972,b'r',1.965,6.10931251755503,26.275,1.5956e-06,1.0,798.0,9.0,2.0,2.0,231.206,-14.4106,0.984536,14.287,1.102,0.0,0.0,9.726477861785888,-0.4073735475540161,ztf_20180528369051_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528369051_000798_zr_c09_o_q2_diffimgpsf.fits',36.21338598677286,46.61656897339736,1.119100613107759e-09,1.4405897017803857e-09,2458187.0178819443,2458217.9974652776,7980922.0,11.1803,3.350808037249242,1.2239153009936927,0.0,0.0,266.8690972002223,p48r
2458266.9298148,b'g',2.859,5.79329176784288,26.325,6.3843e-06,2.0,798.0,9.0,2.0,1.0,231.737,-14.5704,0.986006,13.5876,1.075,0.0,0.0,11.993773014831543,-0.7706590294837952,ztf_20180528429780_000798_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528429780_000798_zg_c09_o_q2_diffimgpsf.fits',-11.414391012723963,66.05645103843882,-3.368625607352888e-10,1.949464077855779e-09,2458204.9812037037,2458231.9921891205,7980921.0,12.7704,-6.93539238758016,0.9952167919364799,0.0,0.0,266.9298148001544,p48g
2458266.9537616,b'g',2.341,5.7307904249101,26.325,5.3187e-06,2.0,798.0,9.0,2.0,1.0,231.969,-14.6275,0.98656,13.3148,1.087,0.0,0.0,11.001744811439512,-0.9841978549957275,ztf_20180528453750_000798_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528453750_000798_zg_c09_o_q2_diffimgpsf.fits',49.69252778145,54.227686131905834,1.4665304648499118e-09,1.6003724765486203e-09,2458204.9812037037,2458231.9921891205,7980921.0,12.4114,-6.93539238758016,0.9952167919364799,0.0,0.0,266.95376159995794,p48g
2458266.9750579,b'g',2.305,5.74008910501944,26.325,4.6446e-06,1.0,798.0,9.0,2.0,1.0,232.188,-14.6761,0.987047,13.07,1.109,0.0,0.0,11.259447101402282,0.09766435623168945,ztf_20180528475046_000798_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528475046_000798_zg_c09_o_q2_diffimgpsf.fits',-139.17000539144826,55.16972369698372,-4.107198039864534e-09,1.6281739761665377e-09,2458204.9812037037,2458231.9921891205,7980921.0,12.0523,-6.93539238758016,0.9952167919364799,0.0,0.0,266.97505789995193,p48g
2458266.9759722,b'g',2.51,5.75517812553667,26.325,5.5412e-06,2.0,798.0,9.0,2.0,1.0,232.197,-14.6781,0.987075,13.0561,1.11,0.0,0.0,10.016825957393644,-0.49679821729660034,ztf_20180528475961_000798_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180528475961_000798_zg_c09_o_q2_diffimgpsf.fits',-8.014415561763746,51.44129837172432,-2.3652217152215866e-10,1.5181403438637958e-09,2458204.9812037037,2458231.9921891205,7980921.0,12.2162,-6.93539238758016,0.9952167919364799,0.0,0.0,266.97597219981253,p48g
2458267.8668519,b'r',2.111,5.47439887034395,26.275,3.6478e-06,2.0,798.0,9.0,2.0,2.0,243.824,-17.5013,0.999369,2.87962,1.102,0.0,0.0,16.399322223949433,-2.5216517448425293,ztf_20180529366840_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180529366840_000798_zr_c09_o_q2_diffimgpsf.fits',-90.88609657761384,81.11872759418434,-2.8086488913278925e-09,2.506808333773982e-09,2458187.0178819443,2458217.9974652776,7980922.0,18.0662,3.350808037249242,1.2239153009936927,0.0,0.0,267.8668518997729,p48r
2458267.8840046,b'r',2.447,6.14535303342889,26.275,2.2458e-06,2.0,798.0,9.0,2.0,2.0,243.961,-17.5387,0.999449,2.69078,1.086,0.0,0.0,11.072000786590575,1.1451935768127441,ztf_20180529383993_000798_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180529383993_000798_zr_c09_o_q2_diffimgpsf.fits',35.59794727423967,62.842576865114864,1.1000817386844254e-09,1.942021282537821e-09,2458187.0178819443,2458217.9974652776,7980922.0,11.7675,3.350808037249242,1.2239153009936927,0.0,0.0,267.8840045998804,p48r
