jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458266.6998264,b'g',2.166,5.77922216841212,26.325,3.21025e-05,1.0,718.0,7.0,1.0,1.0,229.903,-13.8221,0.980036,16.2454,1.015,0.0,0.0,13.13176719055176,0.6759932041168213,ztf_20180528199826_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180528199826_000718_zg_c07_o_q1_diffimgpsf.fits',-36.45941641111318,51.88884355848228,-1.0759936611134923e-09,1.5313483390388973e-09,2458166.9694675924,2458204.897071759,7180711.0,14.7205,-3.3005800020016802,0.9505103148576285,0.0,0.0,266.6998263997957,p48g
2458266.7756829,b'r',2.422,6.06548145268692,26.275,1.73949e-05,1.0,718.0,7.0,1.0,2.0,230.487,-14.1129,0.982131,15.3641,1.042,0.0,0.0,13.573333136558533,-0.8723059892654419,ztf_20180528275660_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180528275660_000718_zr_c07_o_q1_diffimgpsf.fits',92.45215161666825,59.70269986909303,2.8570446186704397e-09,1.8449898077096933e-09,2458155.972800926,2458184.862962963,7180712.0,12.8342,-14.73221772214573,0.9728474499100489,0.0,0.0,266.77568290010095,p48r
2458267.6776852,b'g',2.972,5.82021299706898,26.325,4.93223e-05,2.0,718.0,7.0,1.0,1.0,242.295,-16.9125,0.998072,5.03381,1.033,0.0,0.0,16.488373984146115,0.07171750068664551,ztf_20180529177662_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180529177662_000718_zg_c07_o_q1_diffimgpsf.fits',-97.38901316808688,81.64894132669889,-2.8741535423759254e-09,2.4096310934463097e-09,2458166.9694675924,2458204.897071759,7180711.0,15.7651,-3.3005800020016802,0.9505103148576285,0.0,0.0,267.6776851997711,p48g
2458267.702662,b'g',2.991,5.8118902915137,26.325,5.177e-05,2.0,718.0,7.0,1.0,1.0,242.521,-17.007,0.998285,4.74705,1.012,0.0,0.0,14.564328570985793,1.2563464641571045,ztf_20180529202650_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180529202650_000718_zg_c07_o_q1_diffimgpsf.fits',46.11888926209729,71.44525355969478,1.3610649151390703e-09,2.1084989160676715e-09,2458166.9694675924,2458204.897071759,7180711.0,15.6763,-3.3005800020016802,0.9505103148576285,0.0,0.0,267.70266199996695,p48g
2458267.7244097,b'g',3.157,5.91930288144318,26.325,4.34053e-05,2.0,718.0,7.0,1.0,1.0,242.708,-17.0858,0.998457,4.50225,1.007,0.0,0.0,15.441462814807892,-0.7080895304679871,ztf_20180529224410_000718_zg_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180529224410_000718_zg_c07_o_q1_diffimgpsf.fits',56.695331665153304,78.10909920068151,1.6731978591911157e-09,2.305162943447026e-09,2458166.9694675924,2458204.897071759,7180711.0,15.5893,-3.3005800020016802,0.9505103148576285,0.0,0.0,267.72440969990566,p48g
2458267.8083218,b'r',1.827,6.297834272497,26.275,1.6634e-05,2.0,718.0,7.0,1.0,2.0,243.372,-17.3532,0.999044,3.54406,1.111,0.0,0.0,11.91749739875793,-0.10763657093048096,ztf_20180529308299_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180529308299_000718_zr_c07_o_q1_diffimgpsf.fits',25.735816555407308,42.63823854558497,7.953127635318289e-10,1.3176475383347987e-09,2458155.972800926,2458184.862962963,7180712.0,13.2536,-14.73221772214573,0.9728474499100489,0.0,0.0,267.8083218000829,p48r
2458269.6672338,b'r',2.128,6.35467271147015,26.275,1.00058e-05,2.0,718.0,7.0,1.0,2.0,267.783,-20.7509,-0.97733,342.681,1.039,0.0,0.0,6.857258856296539,-0.6878684163093567,ztf_20180531166968_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180531166968_000718_zr_c07_o_q1_diffimgpsf.fits',10.792411369291246,27.27594374671161,3.33517395603285e-10,8.429072437852094e-10,2458155.972800926,2458184.862962963,7180712.0,7.33394,-14.73221772214573,0.9728474499100489,0.0,0.0,269.66723380004987,p48r
2458269.6691204,b'r',1.932,6.47495752367639,26.275,1.12834e-05,2.0,718.0,7.0,1.0,2.0,267.805,-20.7559,-0.977294,342.667,1.036,0.0,0.0,5.56083863067627,0.013788580894470215,ztf_20180531169097_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180531169097_000718_zr_c07_o_q1_diffimgpsf.fits',15.758227059068103,21.586078644995556,4.869757710515026e-10,6.670736024442869e-10,2458155.972800926,2458184.862962963,7180712.0,7.83678,-14.73221772214573,0.9728474499100489,0.0,0.0,269.6691204002127,p48r
2458269.7022222,b'r',2.557,6.31765410876415,26.275,1.62494e-05,1.0,718.0,7.0,1.0,2.0,268.172,-20.8415,-0.97632,342.296,1.01,0.0,0.0,7.806076057553291,0.032232820987701416,ztf_20180531202222_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180531202222_000718_zr_c07_o_q1_diffimgpsf.fits',25.073236061525638,39.61037524326,7.748370687926776e-10,1.2240776169988882e-09,2458155.972800926,2458184.862962963,7180712.0,8.20137,-14.73221772214573,0.9728474499100489,0.0,0.0,269.70222220011055,p48r
2458269.7031366,b'r',2.556,6.20385860339783,26.275,1.69978e-05,2.0,718.0,7.0,1.0,2.0,268.182,-20.8438,-0.976283,342.282,1.01,0.0,0.0,7.547064735746383,-0.17411518096923828,ztf_20180531203137_000718_zr_c07_o_q1_scimrefdiffimg.fits,b'ztf_20180531203137_000718_zr_c07_o_q1_diffimgpsf.fits',18.076156598418475,33.36443579413634,5.586066417349304e-10,1.0310596354672134e-09,2458155.972800926,2458184.862962963,7180712.0,8.5074,-14.73221772214573,0.9728474499100489,0.0,0.0,269.7031366000883,p48r
