jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458272.7598611,b'g',1.9,5.59017427455806,26.325,3.9454e-06,1.0,762.0,6.0,2.0,1.0,306.944,-19.5847,-0.81388,308.885,1.092,0.0,0.0,4.86100393667221,-0.0040405988693237305,ztf_20180603259838_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603259838_000762_zg_c06_o_q2_diffimgpsf.fits',39.177010528733355,17.5254025617368,1.156195549456042e-09,5.17211297429469e-10,2458167.012384259,2458206.023136574,7620621.0,5.35809,-5.113349178110339,0.9112910424172309,0.0,0.0,272.7598610999994,p48g
2458272.7607755,b'g',1.862,5.57741548178238,26.325,4.0008e-06,2.0,762.0,6.0,2.0,1.0,306.954,-19.5845,-0.813833,308.878,1.091,0.0,0.0,5.172741181325913,0.12133866548538208,ztf_20180603260764_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603260764_000762_zg_c06_o_q2_diffimgpsf.fits',10.935741281044844,18.49989454025748,3.2273660569056076e-10,5.459705945969256e-10,2458167.012384259,2458206.023136574,7620621.0,5.36011,-5.113349178110339,0.9112910424172309,0.0,0.0,272.76077549997717,p48g
2458272.7776852,b'r',1.758,5.86941104934762,26.275,3.4646e-06,2.0,762.0,6.0,2.0,2.0,307.142,-19.58,-0.812548,308.689,1.065,0.0,0.0,6.867691922855377,0.028447329998016357,ztf_20180603277662_000762_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603277662_000762_zr_c06_o_q2_diffimgpsf.fits',5.892332865556224,24.060743949395324,1.8209049341278123e-10,7.435480712971812e-10,2458186.9107407406,2458219.0008449075,7620622.0,7.0302,-8.607414204164465,0.9637821407882932,0.0,0.0,272.7776851998642,p48r
2458272.8056134,b'r',1.814,5.94079344402577,26.275,3.5508e-06,2.0,762.0,6.0,2.0,2.0,307.434,-19.5702,-0.810447,308.381,1.039,0.0,0.0,7.036181952834129,0.19721293449401855,ztf_20180603305602_000762_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603305602_000762_zr_c06_o_q2_diffimgpsf.fits',-9.024500186959015,24.88258949677961,-2.78883717084775e-10,7.689455267106281e-10,2458186.9107407406,2458219.0008449075,7620622.0,7.42225,-8.607414204164465,0.9637821407882932,0.0,0.0,272.8056133999489,p48r
2458272.8065278,b'r',1.645,5.91586053848885,26.275,3.4096e-06,1.0,762.0,6.0,2.0,2.0,307.443,-19.5698,-0.810399,308.374,1.038,0.0,0.0,7.492232430458069,0.06081104278564453,ztf_20180603306528_000762_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603306528_000762_zr_c06_o_q2_diffimgpsf.fits',-23.438862710592183,25.858251109215214,-7.243301037785617e-10,7.990963529592103e-10,2458186.9107407406,2458219.0008449075,7620622.0,7.64715,-8.607414204164465,0.9637821407882932,0.0,0.0,272.8065277999267,p48r
2458272.8252083,b'r',1.608,5.93087933544717,26.275,3.5996e-06,2.0,762.0,6.0,2.0,2.0,307.627,-19.5609,-0.80901,308.172,1.032,0.0,0.0,7.281468359804153,0.2565382719039917,ztf_20180603325208_000762_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603325208_000762_zr_c06_o_q2_diffimgpsf.fits',-4.05167917120667,24.68535662104698,-1.2520885636790428e-10,7.628504481600194e-10,2458186.9107407406,2458219.0008449075,7620622.0,8.29941,-8.607414204164465,0.9637821407882932,0.0,0.0,272.8252082997933,p48r
2458272.8831134,b'g',1.757,5.63079470461454,26.325,5.8965e-06,2.0,762.0,6.0,2.0,1.0,308.142,-19.5184,-0.804721,307.549,1.066,0.0,0.0,8.09317809665203,-0.25752580165863037,ztf_20180603383102_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603383102_000762_zg_c06_o_q2_diffimgpsf.fits',12.551042270889717,27.669419927189427,3.7040751754129613e-10,8.16582473858761e-10,2458167.012384259,2458206.023136574,7620621.0,8.68967,-5.113349178110339,0.9112910424172309,0.0,0.0,272.8831134000793,p48g
2458272.9149074,b'g',1.984,5.62732811019338,26.325,6.7936e-06,2.0,762.0,6.0,2.0,1.0,308.398,-19.4832,-0.802345,307.206,1.122,0.0,0.0,8.885816752910614,-0.25953930616378784,ztf_20180603414850_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180603414850_000762_zg_c06_o_q2_diffimgpsf.fits',14.766545853408282,33.03878967669663,4.3579166368570847e-10,9.750438093213866e-10,2458167.012384259,2458206.023136574,7620621.0,8.98995,-5.113349178110339,0.9112910424172309,0.0,0.0,272.91490740003064,p48g
2458273.7669907,b'g',1.713,5.77174783614784,26.325,3.8058e-06,2.0,762.0,6.0,2.0,1.0,319.25,-17.4021,-0.734429,297.96,1.076,0.0,0.0,4.062173053741455,-0.054280877113342285,ztf_20180604266968_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180604266968_000762_zg_c06_o_q2_diffimgpsf.fits',-1.420113164382939,13.707834536328562,-4.1910510736373337e-11,4.045468776123172e-10,2458167.012384259,2458206.023136574,7620621.0,4.70871,-5.113349178110339,0.9112910424172309,0.0,0.0,273.7669906998053,p48g
2458273.7837616,b'g',1.847,5.76628007602631,26.325,3.4335e-06,2.0,762.0,6.0,2.0,1.0,319.445,-17.3828,-0.733027,297.778,1.054,0.0,0.0,4.278843741965294,0.3055802583694458,ztf_20180604283738_000762_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180604283738_000762_zg_c06_o_q2_diffimgpsf.fits',-1.644111889079519,15.12751721506933,-4.852118176723385e-11,4.46444683816699e-10,2458167.012384259,2458206.023136574,7620621.0,4.76233,-5.113349178110339,0.9112910424172309,0.0,0.0,273.78376160003245,p48g
