jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458268.9020139,b'r',1.603,5.70596039239069,26.275,1.683e-06,2.0,764.0,1.0,2.0,2.0,256.946,-19.8367,-0.994132,351.213,1.032,0.0,0.0,10.624224397993087,1.5168173909187317,ztf_20180530402002_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180530402002_000764_zr_c01_o_q2_diffimgpsf.fits',2.130227963801505,44.61482431661197,6.58303374674852e-11,1.3787298780802269e-09,2458157.0641550925,2458227.007476852,7640122.0,12.8448,-6.408992994082435,1.2498874434855503,0.0,0.0,268.9020139002241,p48r
2458268.9316319,b'r',1.733,5.621857442615,26.275,1.4911e-06,2.0,764.0,1.0,2.0,2.0,257.19,-19.8705,-0.993676,350.878,1.048,0.0,0.0,11.082640735340117,-0.8111753463745117,ztf_20180530431574_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180530431574_000764_zr_c01_o_q2_diffimgpsf.fits',-3.658664634053669,52.509944957195806,-1.1306354607715066e-10,1.6227124306276307e-09,2458157.0641550925,2458227.007476852,7640122.0,12.797,-6.408992994082435,1.2498874434855503,0.0,0.0,268.93163189990446,p48r
2458268.95875,b'r',2.103,5.6239103791352,26.275,1.7697e-06,2.0,764.0,1.0,2.0,2.0,257.425,-19.8941,-0.993243,350.57,1.081,0.0,0.0,11.369442607975003,-0.5976392030715942,ztf_20180530458715_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180530458715_000764_zr_c01_o_q2_diffimgpsf.fits',-66.7616073266251,56.15158076492717,-2.063130901887355e-09,1.7352497356659835e-09,2458157.0641550925,2458227.007476852,7640122.0,12.7549,-6.408992994082435,1.2498874434855503,0.0,0.0,268.9587500002235,p48r
2458268.976169,b'g',2.57,5.81066729095203,26.325,6.7215e-06,2.0,764.0,1.0,2.0,1.0,257.583,-19.9059,-0.99296,350.374,1.114,0.0,0.0,13.742874479103088,-0.9149162769317627,ztf_20180530476134_000764_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180530476134_000764_zg_c01_o_q2_diffimgpsf.fits',-6.327747308227178,74.44739308194231,-1.867450624005346e-10,2.1970983336471816e-09,2458204.9816666665,2458230.9076209953,7640121.0,14.735,1.0325960866431851,1.1556627932058723,0.0,0.0,268.9761689999141,p48g
2458269.7999769,b'g',2.293,5.82383637275812,26.325,4.7376e-06,2.0,764.0,1.0,2.0,1.0,269.096,-21.0544,-0.973358,341.212,1.14,0.0,0.0,13.157974745893476,-0.35227859020233154,ztf_20180531299965_000764_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531299965_000764_zg_c01_o_q2_diffimgpsf.fits',15.7606271670702,68.51254289731597,4.6512908313506546e-10,2.021948487410376e-09,2458204.9816666665,2458230.9076209953,7640121.0,13.1843,1.0325960866431851,1.1556627932058723,0.0,0.0,269.7999769002199,p48g
2458269.8205208,b'g',2.323,5.29314890383325,26.325,6.7651e-06,2.0,764.0,1.0,2.0,1.0,269.267,-21.0886,-0.972705,340.981,1.095,0.0,0.0,14.611332500934598,-0.9035851359367371,ztf_20180531320486_000764_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531320486_000764_zg_c01_o_q2_diffimgpsf.fits',-12.0576451625106,77.06480260329351,-3.5584633655470646e-10,2.2743435649417192e-09,2458204.9816666665,2458230.9076209953,7640121.0,15.5387,1.0325960866431851,1.1556627932058723,0.0,0.0,269.8205208000727,p48g
2458269.8215046,b'g',2.803,5.02969783532047,26.325,1.04167e-05,1.0,764.0,1.0,2.0,1.0,269.276,-21.0901,-0.972666,340.967,1.094,0.0,0.0,17.757763462924956,-1.1859561204910278,ztf_20180531321458_000764_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531321458_000764_zg_c01_o_q2_diffimgpsf.fits',-45.69521984417067,108.67105275210626,-1.3485615441866562e-09,3.207110135561758e-09,2458204.9816666665,2458230.9076209953,7640121.0,16.7312,1.0325960866431851,1.1556627932058723,0.0,0.0,269.8215045998804,p48g
2458269.8738194,b'r',2.35,4.37453557780025,26.275,3.6114e-06,2.0,764.0,1.0,2.0,2.0,269.693,-21.1563,-0.97101,340.394,1.036,0.0,0.0,19.732208425712574,-3.5722336769104004,ztf_20180531373819_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531373819_000764_zr_c01_o_q2_diffimgpsf.fits',-50.267039580143006,92.03512000902258,-1.5534000282049589e-09,2.8441571099519213e-09,2458157.0641550925,2458227.007476852,7640122.0,21.668,-6.408992994082435,1.2498874434855503,0.0,0.0,269.8738194000907,p48r
2458269.8858796,b'r',1.959,5.75184921135909,26.275,1.2953e-06,1.0,764.0,1.0,2.0,2.0,269.788,-21.1672,-0.970619,340.261,1.032,0.0,0.0,10.062226231861114,0.17773663997650146,ztf_20180531385868_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531385868_000764_zr_c01_o_q2_diffimgpsf.fits',-44.016139960382624,46.155211282658385,-1.3602287627644943e-09,1.4263323861359133e-09,2458157.0641550925,2458227.007476852,7640122.0,10.7666,-6.408992994082435,1.2498874434855503,0.0,0.0,269.88587959995493,p48r
2458269.8868056,b'r',2.029,5.77876620325711,26.275,1.3817e-06,2.0,764.0,1.0,2.0,2.0,269.795,-21.168,-0.970578,340.247,1.032,0.0,0.0,10.270693069839478,-1.0740100145339966,ztf_20180531386794_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531386794_000764_zr_c01_o_q2_diffimgpsf.fits',68.91129415434959,47.34794670976329,2.1295625757378714e-09,1.4631914345632942e-09,2458157.0641550925,2458227.007476852,7640122.0,10.6726,-6.408992994082435,1.2498874434855503,0.0,0.0,269.88680560002103,p48r
2458269.905162,b'r',1.765,5.80044386261503,26.275,1.4392e-06,2.0,764.0,1.0,2.0,2.0,269.939,-21.1813,-0.969977,340.044,1.034,0.0,0.0,9.739138472414016,-0.5343004465103149,ztf_20180531405150_000764_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180531405150_000764_zr_c01_o_q2_diffimgpsf.fits',-69.27995120409132,42.74775402215452,-2.1409551677076793e-09,1.3210318900518347e-09,2458157.0641550925,2458227.007476852,7640122.0,10.6567,-6.408992994082435,1.2498874434855503,0.0,0.0,269.90516200009733,p48r
