jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458271.8894792,b'r',3.231,4.67938095833596,26.275,1.144e-05,2.0,761.0,16.0,2.0,2.0,295.612,-20.98,-0.873436,318.32,1.12,0.0,0.0,10.482945469665527,-0.41634106636047363,ztf_20180602389456_000761_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180602389456_000761_zr_c16_o_q2_diffimgpsf.fits',38.96610508269564,83.90520949389948,1.20416776559899e-09,2.5929188566619793e-09,2458186.967349537,2458217.979965278,7611622.0,10.5349,25.125784842423506,1.4058446722971563,0.0,0.0,271.88947919989005,p48r
2458272.711956,b'g',2.344,4.91609748793751,26.325,9.3312e-06,2.0,761.0,16.0,2.0,1.0,306.365,-19.594,-0.817336,309.396,1.137,0.0,0.0,5.114593939304351,0.7190772294998169,ztf_20180603211944_000761_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603211944_000761_zg_c16_o_q2_diffimgpsf.fits',-29.583023789627298,25.317327665626664,-8.73056927606394e-10,7.471673100510126e-10,2458203.8832175927,2458207.0024421294,7611621.0,5.51741,-4.190066257098174,1.1168171068259627,0.0,0.0,272.71195599995553,p48g
2458272.7133565,b'g',2.299,5.50134993632709,26.325,9.4077e-06,2.0,760.0,13.0,2.0,1.0,306.382,-19.5937,-0.817241,309.382,1.079,0.0,0.0,5.124927572250365,0.5639247894287109,ztf_20180603213345_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603213345_000760_zg_c13_o_q2_diffimgpsf.fits',-41.29730551760289,28.521426135873973,-1.2187698908001046e-09,8.417269597649981e-10,2458166.9898148146,2458206.0035416665,7601321.0,4.95583,5.7708548929399575,1.1783094229190345,0.0,0.0,272.71335650002584,p48g
2458272.7435764,b'g',2.386,5.56805010404302,26.325,8.4885e-06,2.0,760.0,13.0,2.0,1.0,306.754,-19.5882,-0.815019,309.053,1.044,0.0,0.0,4.636948493289946,-0.08964550495147705,ztf_20180603243565_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603243565_000760_zg_c13_o_q2_diffimgpsf.fits',30.25520362949038,24.54166162773971,8.928943610602247e-10,7.242757823687412e-10,2458166.9898148146,2458206.0035416665,7601321.0,4.81592,5.7708548929399575,1.1783094229190345,0.0,0.0,272.743576399982,p48g
2458272.7459722,b'g',2.326,4.98047131393347,26.325,1.00033e-05,1.0,761.0,16.0,2.0,1.0,306.783,-19.5877,-0.814877,309.032,1.071,0.0,0.0,5.103534293174743,0.17450273036956787,ztf_20180603245972_000761_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603245972_000761_zg_c16_o_q2_diffimgpsf.fits',-22.074316866164658,25.593118536319928,-6.514592760778265e-10,7.553064756593883e-10,2458203.8832175927,2458207.0024421294,7611621.0,5.34753,-4.190066257098174,1.1168171068259627,0.0,0.0,272.74597219983116,p48g
2458272.7469097,b'g',2.388,4.99034869327069,26.325,9.2173e-06,2.0,761.0,16.0,2.0,1.0,306.794,-19.5875,-0.814829,309.025,1.07,0.0,0.0,5.06571247830391,0.5331052541732788,ztf_20180603246898_000761_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603246898_000761_zg_c16_o_q2_diffimgpsf.fits',-48.306392035736046,25.795664956210246,-1.4256226988282804e-09,7.612840443638289e-10,2458203.8832175927,2458207.0024421294,7611621.0,5.30282,-4.190066257098174,1.1168171068259627,0.0,0.0,272.7469096998684,p48g
2458272.7621991,b'g',2.398,5.00380540110237,26.325,9.666e-06,2.0,761.0,16.0,2.0,1.0,306.97,-19.5841,-0.81369,308.857,1.051,0.0,0.0,5.603568755006786,0.5119036436080933,ztf_20180603262176_000761_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603262176_000761_zg_c16_o_q2_diffimgpsf.fits',-4.95518090760503,31.360518156736006,-1.46237756143251e-10,9.255145053728972e-10,2458203.8832175927,2458207.0024421294,7611621.0,5.58549,-4.190066257098174,1.1168171068259627,0.0,0.0,272.76219910010695,p48g
2458272.7645139,b'g',2.244,5.59164290014917,26.325,8.1839e-06,1.0,760.0,13.0,2.0,1.0,306.996,-19.5836,-0.8135,308.829,1.033,0.0,0.0,5.139841318416595,0.03609323501586914,ztf_20180603264468_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603264468_000760_zg_c13_o_q2_diffimgpsf.fits',2.317100173509508,25.3581916266585,6.838247411171553e-11,7.483732910018671e-10,2458166.9898148146,2458206.0035416665,7601321.0,5.22591,5.7708548929399575,1.1783094229190345,0.0,0.0,272.76451390003785,p48g
2458272.7654282,b'g',2.249,5.59040108104576,26.325,9.3338e-06,2.0,760.0,13.0,2.0,1.0,307.007,-19.5833,-0.813452,308.822,1.033,0.0,0.0,5.330994643187522,0.05580472946166992,ztf_20180603265428_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603265428_000760_zg_c13_o_q2_diffimgpsf.fits',-4.3681599994652816,26.3198273439346,-1.2891354093976992e-10,7.767531730176521e-10,2458166.9898148146,2458206.0035416665,7601321.0,5.3016,5.7708548929399575,1.1783094229190345,0.0,0.0,272.76542819989845,p48g
2458272.7790972,b'r',2.131,4.73402680014776,26.275,6.2045e-06,2.0,761.0,16.0,2.0,2.0,307.157,-19.5796,-0.812453,308.675,1.038,0.0,0.0,7.522645148515702,-0.3452012538909912,ztf_20180603279097_000761_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603279097_000761_zr_c16_o_q2_diffimgpsf.fits',-53.17443309237054,44.2821446492288,-1.6432470771185229e-09,1.3684490935463986e-09,2458186.967349537,2458217.979965278,7611622.0,8.06792,25.125784842423506,1.4058446722971563,0.0,0.0,272.77909719990566,p48r
2458272.7814236,b'r',2.063,5.36363967017162,26.275,5.2226e-06,2.0,760.0,13.0,2.0,2.0,307.182,-19.5789,-0.812262,308.647,1.032,0.0,0.0,7.174010652518271,0.12213754653930664,ztf_20180603281412_000760_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603281412_000760_zr_c13_o_q2_diffimgpsf.fits',18.804425416281838,31.235004937653173,5.811122997497826e-10,9.652539309377384e-10,2458155.05525463,2458198.9819791666,7601322.0,7.51343,10.431278716331661,1.0724583838148687,0.0,0.0,272.7814235999249,p48r
2458272.782338,b'r',2.165,5.37450198354228,26.275,5.0096e-06,1.0,760.0,13.0,2.0,2.0,307.192,-19.5786,-0.812214,308.64,1.032,0.0,0.0,7.658231305193899,-0.20529788732528687,ztf_20180603282338_000760_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603282338_000760_zr_c13_o_q2_diffimgpsf.fits',-1.0102909745914008,35.29514356233027,-3.1220975842895116e-11,1.0907242094058168e-09,2458155.05525463,2458198.9819791666,7601322.0,7.49703,10.431278716331661,1.0724583838148687,0.0,0.0,272.78233799990267,p48r
2458272.8005556,b'r',2.048,5.41338072537331,26.275,5.5686e-06,2.0,760.0,13.0,2.0,2.0,307.383,-19.5722,-0.81083,308.437,1.039,0.0,0.0,7.736369665431976,-0.20290780067443848,ztf_20180603300532_000760_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603300532_000760_zr_c13_o_q2_diffimgpsf.fits',-41.465153038738386,31.43170976137823,-1.2813957304409033e-09,9.71332691139034e-10,2458155.05525463,2458198.9819791666,7601322.0,7.83704,10.431278716331661,1.0724583838148687,0.0,0.0,272.8005555998534,p48r
2458272.8028704,b'r',2.115,4.74799442390922,26.275,6.292e-06,1.0,761.0,16.0,2.0,2.0,307.406,-19.5713,-0.810686,308.416,1.031,0.0,0.0,8.037797600793837,-0.21446764469146729,ztf_20180603302870_000761_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603302870_000761_zr_c16_o_q2_diffimgpsf.fits',60.755836404905985,50.6989765420082,1.87753483740624e-09,1.566748156446598e-09,2458186.967349537,2458217.979965278,7611622.0,8.58313,25.125784842423506,1.4058446722971563,0.0,0.0,272.8028703997843,p48r
2458272.8037847,b'r',2.038,4.7412296707088,26.275,6.7391e-06,2.0,761.0,16.0,2.0,2.0,307.416,-19.5709,-0.810639,308.409,1.031,0.0,0.0,7.712507115697861,-0.438193678855896,ztf_20180603303785_000761_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603303785_000761_zr_c16_o_q2_diffimgpsf.fits',-24.07886513473712,44.166958747577716,-7.44108069459889e-10,1.3648895088643709e-09,2458186.967349537,2458217.979965278,7611622.0,8.67015,25.125784842423506,1.4058446722971563,0.0,0.0,272.80378470011055,p48r
2458272.8176852,b'r',2.114,5.41837344133375,26.275,4.8581e-06,2.0,760.0,13.0,2.0,2.0,307.554,-19.5647,-0.809585,308.256,1.052,0.0,0.0,7.750257924199104,-0.40968799591064453,ztf_20180603317662_000760_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180603317662_000760_zr_c13_o_q2_diffimgpsf.fits',9.475539279485591,36.95059476809944,2.9282215755997455e-10,1.141882542405935e-09,2458155.05525463,2458198.9819791666,7601322.0,8.08702,10.431278716331661,1.0724583838148687,0.0,0.0,272.81768519990146,p48r
2458272.821956,b'r',2.007,4.72196447192186,26.275,6.9481e-06,2.0,761.0,16.0,2.0,2.0,307.595,-19.5626,-0.809298,308.214,1.036,0.0,0.0,8.308122050857541,-0.3594907522201538,ztf_20180603321921_000761_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180603321921_000761_zr_c16_o_q2_diffimgpsf.fits',42.68663775637038,47.93037170753339,1.3191432168787362e-09,1.4811900876887475e-09,2458186.967349537,2458217.979965278,7611622.0,8.88249,25.125784842423506,1.4058446722971563,0.0,0.0,272.82195599982515,p48r
2458273.7641667,b'g',2.152,5.69426050017123,26.325,7.8072e-06,2.0,760.0,13.0,2.0,1.0,319.217,-17.4053,-0.734699,297.995,1.032,0.0,0.0,4.669816976833343,0.2971388101577759,ztf_20180604264167_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180604264167_000760_zg_c13_o_q2_diffimgpsf.fits',-22.778074085978517,22.09191075520799,-6.72228624082304e-10,6.519785085725217e-10,2458166.9898148146,2458206.0035416665,7601321.0,4.48544,5.7708548929399575,1.1783094229190345,0.0,0.0,273.76416670018807,p48g
2458273.7655787,b'g',2.211,5.12257981926305,26.325,8.6798e-06,2.0,761.0,16.0,2.0,1.0,319.233,-17.4037,-0.734537,297.974,1.046,0.0,0.0,4.570463925600052,-0.002627432346343994,ztf_20180604265567_000761_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180604265567_000761_zg_c16_o_q2_diffimgpsf.fits',22.466783326777254,22.992803671707062,6.630417824749964e-10,6.785657434494102e-10,2458203.8832175927,2458207.0024421294,7611621.0,4.90341,-4.190066257098174,1.1168171068259627,0.0,0.0,273.7655787002295,p48g
2458273.7809722,b'g',2.239,5.72370238097311,26.325,8.1492e-06,2.0,760.0,13.0,2.0,1.0,319.413,-17.3861,-0.733297,297.813,1.032,0.0,0.0,4.361521574687954,0.42164504528045654,ztf_20180604280972_000760_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180604280972_000760_zg_c13_o_q2_diffimgpsf.fits',6.542942818850862,21.77218676976,1.9309593216543262e-10,6.425427847978308e-10,2458166.9898148146,2458206.0035416665,7601321.0,4.4897,5.7708548929399575,1.1783094229190345,0.0,0.0,273.78097219998017,p48g
