jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458269.8293981,b'g',2.496,5.89760899302224,26.325,4.41038e-05,1.0,848.0,11.0,2.0,1.0,269.34,-21.102,-0.972426,340.883,1.248,0.0,0.0,13.454360721063612,1.282757818698883,ztf_20180531329398_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180531329398_000848_zg_c11_o_q2_diffimgpsf.fits',-27.367779687230335,83.78613057573621,-8.076804392632717e-10,2.4727040164355374e-09,2458202.8213194446,2458235.969633264,8481121.0,14.6002,1.582177866926299,1.2622543480034591,0.0,0.0,269.8293980997987,p48g
2458269.8890856,b'r',2.263,6.48470015133932,26.275,1.16073e-05,1.0,848.0,11.0,2.0,2.0,269.813,-21.1698,-0.970516,340.226,1.235,0.0,0.0,11.419099037265777,0.25315237045288086,ztf_20180531389074_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180531389074_000848_zr_c11_o_q2_diffimgpsf.fits',-67.26158471552664,80.60382882050382,-2.07858168030018e-09,2.490896440570224e-09,2458187.0197453704,2458227.0065046297,8481122.0,11.4471,-999.0,-999.0,0.0,0.0,269.8890856001526,p48r
2458272.8903819,b'g',1.946,5.95096092396756,26.325,1.78879e-05,1.0,848.0,11.0,2.0,1.0,308.202,-19.5111,-0.80414,307.465,1.239,0.0,0.0,8.509528141784667,-0.22749102115631104,ztf_20180603390370_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180603390370_000848_zg_c11_o_q2_diffimgpsf.fits',18.1093255911511,40.70654096129909,5.344440877331091e-10,1.2013351927388608e-09,2458202.8213194446,2458235.969633264,8481121.0,9.40771,1.582177866926299,1.2622543480034591,0.0,0.0,272.890381900128,p48g
2458272.9506366,b'r',1.887,6.28510625827621,26.275,1.13164e-05,1.0,848.0,11.0,2.0,2.0,308.671,-19.4322,-0.799615,306.815,1.303,0.0,0.0,8.799401350927353,0.2246294617652893,ztf_20180603450637_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180603450637_000848_zr_c11_o_q2_diffimgpsf.fits',-25.871326813377923,31.127492139900152,-7.995004308444822e-10,9.619314678914553e-10,2458187.0197453704,2458227.0065046297,8481122.0,9.36131,-999.0,-999.0,0.0,0.0,272.9506366001442,p48r
2458278.8076736,b'r',2.145,6.39377025259187,26.275,8.5387e-06,1.0,848.0,11.0,2.0,2.0,19.2947,2.08369,-0.252065,240.273,1.245,0.0,0.0,5.566430051231382,0.059398651123046875,ztf_20180609307674_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180609307674_000848_zr_c11_o_q2_diffimgpsf.fits',75.49372807471,57.53519175692799,2.3329792305269947e-09,1.7780074030469483e-09,2458187.0197453704,2458227.0065046297,8481122.0,5.61186,-999.0,-999.0,0.0,0.0,278.80767360003665,p48r
2458278.8709375,b'g',2.108,6.05258094272327,26.325,1.15529e-05,1.0,848.0,11.0,2.0,1.0,20.2225,2.38964,-0.246152,239.489,1.237,0.0,0.0,4.892090484809874,-0.14882636070251465,ztf_20180609370938_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180609370938_000848_zg_c11_o_q2_diffimgpsf.fits',25.87751905061101,24.79020762163615,7.636997298539849e-10,7.316108946846111e-10,2458202.8213194446,2458235.969633264,8481121.0,4.67683,1.582177866926299,1.2622543480034591,0.0,0.0,278.870937500149,p48g
2458281.782581,b'g',2.327,6.08308786227879,26.325,1.33734e-05,1.0,848.0,11.0,2.0,1.0,58.8794,14.8099,-0.0347383,201.483,1.26,0.0,0.0,5.063919003534317,-0.3304487466812134,ztf_20180612282581_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180612282581_000848_zg_c11_o_q2_diffimgpsf.fits',81.7325514274395,28.435880710091013,2.412098598916447e-09,8.392023357259848e-10,2458202.8213194446,2458235.969633264,8481121.0,4.75409,1.582177866926299,1.2622543480034591,0.0,0.0,281.7825810001232,p48g
2458281.8422222,b'r',2.123,6.43915776100909,26.275,8.6037e-06,1.0,848.0,11.0,2.0,2.0,60.0508,15.0368,-0.0321705,200.665,1.232,0.0,0.0,5.436475942611693,-0.39702415466308594,ztf_20180612342222_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180612342222_000848_zr_c11_o_q2_diffimgpsf.fits',21.60112920675538,37.05113473614417,6.675387092477211e-10,1.1449895244577395e-09,2458187.0197453704,2458227.0065046297,8481122.0,5.58582,-999.0,-999.0,0.0,0.0,281.8422221997753,p48r
2458284.8496181,b'r',2.187,6.02256625619574,26.275,1.10791e-05,1.0,848.0,11.0,2.0,2.0,106.548,19.8096,0.0345086,158.589,1.234,0.0,0.0,7.202298612976073,-0.47156858444213867,ztf_20180615349606_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180615349606_000848_zr_c11_o_q2_diffimgpsf.fits',296.3863868863255,35.35598764050482,9.159214976540182e-09,1.0926044751720483e-09,2458187.0197453704,2458227.0065046297,8481122.0,7.09073,-999.0,-999.0,20.095354368768888,0.12951767582849716,284.84961810009554,p48r
2458284.8704051,b'g',2.481,2.48243311566923,26.325,0.0001141637,1.0,848.0,11.0,2.0,1.0,106.992,19.7922,0.0354731,158.288,1.245,0.0,0.0,16.210504742288585,0.43885016441345215,ztf_20180615370394_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180615370394_000848_zg_c11_o_q2_diffimgpsf.fits',350.92273986734625,92.77649898840569,1.0356464277435617e-08,2.7380288148760095e-09,2458202.8213194446,2458235.969633264,8481121.0,15.9507,1.582177866926299,1.2622543480034591,19.961971221247435,0.287045552839774,284.87040509982035,p48g
2458287.7677662,b'r',2.065,6.52109110388368,26.275,9.4834e-06,1.0,848.0,11.0,2.0,2.0,150.64,13.0878,0.264066,118.156,1.258,0.0,0.0,5.197024679517746,0.11525833606719971,ztf_20180618267766_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180618267766_000848_zr_c11_o_q2_diffimgpsf.fits',1023.8654409895977,26.00024089750417,3.164046695798669e-08,8.034843044270158e-10,2458187.0197453704,2458227.0065046297,8481122.0,5.30518,-999.0,-999.0,18.74939278924908,0.027571400903459466,287.767766200006,p48r
2458288.7857176,b'r',1.93,6.2,26.334333,1.03489e-05,2.0,848.0,11.0,2.0,2.0,164.765,8.86946,0.373425,104.664,1.241,0.0,0.0,6.729306382369995,0.047045111656188965,ztf_20180619285718_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180619285718_000848_zr_c11_o_q2_diffimgpsf.fits',1355.4327512467507,44.06350736713716,3.965927541433563e-08,1.2892759510962913e-09,2458187.0197453704,2458227.0065046297,8481122.0,6.38571,-999.0,-999.0,18.504138061839043,0.035295994780661685,288.78571760002524,p48r
2458288.8219792,b'r',2.417,6.2,26.340012,9.7789e-06,2.0,848.0,11.0,2.0,2.0,165.27,8.68231,0.377445,104.188,1.231,0.0,0.0,6.102020740532875,0.37158381938934326,ztf_20180619321979_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180619321979_000848_zr_c11_o_q2_diffimgpsf.fits',1422.522007183363,42.38330127982306,4.14051339423697e-08,1.2336444271030706e-09,2458187.0197453704,2458227.0065046297,8481122.0,5.8634,-999.0,-999.0,18.457364515277106,0.03234894542711018,288.8219792000018,p48r
2458288.8453935,b'g',2.083,6.2,26.322487,1.51038e-05,2.0,848.0,11.0,2.0,1.0,165.616,8.56237,0.38005,103.881,1.237,0.0,0.0,4.313723475265501,0.31833386421203613,ztf_20180619345359_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180619345359_000848_zg_c11_o_q2_diffimgpsf.fits',1506.5700423487685,35.95019096741891,4.456506326403481e-08,1.0634240440411822e-09,2458202.8213194446,2458235.969633264,8481121.0,4.50845,1.582177866926299,1.2622543480034591,18.377513681552315,0.025908141962800856,288.84539349982515,p48g
2458288.8625231,b'g',2.257,6.2,26.306953,1.59191e-05,2.0,848.0,11.0,2.0,1.0,165.879,8.47529,0.381888,103.664,1.248,0.0,0.0,4.37938655257225,0.06332695484161377,ztf_20180619362512_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180619362512_000848_zg_c11_o_q2_diffimgpsf.fits',1427.6348715584493,32.886202541853265,4.283866690110122e-08,9.868078944926648e-10,2458202.8213194446,2458235.969633264,8481121.0,4.5255,1.582177866926299,1.2622543480034591,18.420410131161134,0.025010420157688996,288.8625230998732,p48g
2458288.9034954,b'g',2.969,6.2,26.298196,2.09549e-05,2.0,848.0,11.0,2.0,1.0,166.538,8.26996,0.3864,103.132,1.296,0.0,0.0,4.982679174518585,0.09528481960296631,ztf_20180619403426_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180619403426_000848_zg_c11_o_q2_diffimgpsf.fits',1282.5867606926665,47.73234154096536,3.879791191168239e-08,1.4438909617937223e-09,2458202.8213194446,2458235.969633264,8481121.0,4.62032,1.582177866926299,1.2622543480034591,18.527979118336432,0.040406419203978805,288.9034954002127,p48g
2458290.7030208,b'g',2.131,6.2,26.230174,1.91741e-05,2.0,848.0,11.0,2.0,1.0,189.826,0.053244,0.583734,80.3594,1.346,0.0,0.0,6.71040649342537,-0.1007533073425293,ztf_20180621202951_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621202951_000848_zg_c11_o_q2_diffimgpsf.fits',1884.3099026964433,60.57991540823871,6.068519202331152e-08,1.951008349891216e-09,2458202.8213194446,2458235.969633264,8481121.0,7.44403,1.582177866926299,1.2622543480034591,18.042293173758594,0.034906050893743504,290.70302079990506,p48g
2458290.7219444,b'g',2.079,6.2,26.250892,1.69168e-05,2.0,848.0,11.0,2.0,1.0,189.989,-0.0355593,0.585779,80.1216,1.309,0.0,0.0,7.0552292821884155,-0.29103946685791016,ztf_20180621221944_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621221944_000848_zg_c11_o_q2_diffimgpsf.fits',1962.930188467188,57.77421877875321,6.202232668826466e-08,1.8254811069684955e-09,2458202.8213194446,2458235.969633264,8481121.0,7.31612,1.582177866926299,1.2622543480034591,18.018629864477585,0.03195608798907989,290.72194440010935,p48g
2458290.7425579,b'g',2.128,6.2,26.261236,2.0585e-05,2.0,848.0,11.0,2.0,1.0,190.175,-0.132026,0.587883,79.8768,1.277,0.0,0.0,7.059634369659421,0.09417068958282471,ztf_20180621242546_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621242546_000848_zg_c11_o_q2_diffimgpsf.fits',1995.8615050821593,50.521167686330855,6.246489321091895e-08,1.5811719508553803e-09,2458202.8213194446,2458235.969633264,8481121.0,7.20072,1.582177866926299,1.2622543480034591,18.010909995378878,0.02748320768267383,290.74255790002644,p48g
2458290.7434722,b'g',2.113,6.2,26.263185,1.9018e-05,1.0,848.0,11.0,2.0,1.0,190.183,-0.136298,0.588003,79.8628,1.276,0.0,0.0,6.92601082496643,-0.32908546924591064,ztf_20180621243461_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621243461_000848_zg_c11_o_q2_diffimgpsf.fits',2002.0474781090888,58.40512078764031,6.254611981538826e-08,1.8246392161269986e-09,2458202.8213194446,2458235.969633264,8481121.0,7.2019,1.582177866926299,1.2622543480034591,18.009499068844683,0.031673857042098554,290.74347219988704,p48g
2458290.7650116,b'r',1.917,6.2,26.302493,9.3222e-06,2.0,848.0,11.0,2.0,2.0,190.388,-0.236741,0.590285,79.597,1.252,0.0,0.0,6.755293719148634,0.21562910079956055,ztf_20180621264965_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621264965_000848_zr_c11_o_q2_diffimgpsf.fits',1887.4532344367576,48.917343739547505,5.686944630696343e-08,1.4738920971285112e-09,2458187.0197453704,2458227.0065046297,8481122.0,7.29666,-999.0,-999.0,18.11280250027696,0.02813915231601903,290.7650116002187,p48r
2458290.8320139,b'r',2.043,6.2,26.307176,9.561e-06,1.0,848.0,11.0,2.0,2.0,191.103,-0.546599,0.597359,78.7717,1.233,0.0,0.0,7.05576061925888,0.3492756485939026,ztf_20180621332002_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621332002_000848_zr_c11_o_q2_diffimgpsf.fits',1871.5330705758238,47.10237012827281,5.614707101319783e-08,1.4130983437838154e-09,2458187.0197453704,2458227.0065046297,8481122.0,6.6575,-999.0,-999.0,18.126682235905424,0.027325593393272455,290.8320138999261,p48r
2458290.8503704,b'r',2.065,6.2,26.310331,9.2732e-06,2.0,848.0,11.0,2.0,2.0,191.321,-0.630769,0.599274,78.5479,1.242,0.0,0.0,6.696199226856232,-0.13922691345214844,ztf_20180621350370_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180621350370_000848_zr_c11_o_q2_diffimgpsf.fits',1855.672981697277,44.38105172983467,5.550972100324615e-08,1.3275938059909566e-09,2458187.0197453704,2458227.0065046297,8481122.0,6.25297,-999.0,-999.0,18.139077388662564,0.025966923168155163,290.8503704001196,p48r
2458291.7683218,b'r',2.066,6.2,26.323641,9.614e-06,2.0,848.0,11.0,2.0,2.0,202.763,-4.8502,0.691702,67.4552,1.246,0.0,0.0,8.086764807748795,0.2514740824699402,ztf_20180622268252_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180622268252_000848_zr_c11_o_q2_diffimgpsf.fits',2122.4694802706485,41.125486310870656,6.271696792967276e-08,1.2152193938983124e-09,2458187.0197453704,2458227.0065046297,8481122.0,7.94508,-999.0,-999.0,18.00653736477756,0.021037491706536845,291.76832180004567,p48r
2458291.7841204,b'r',1.971,6.2,26.327237,1.09289e-05,2.0,848.0,11.0,2.0,2.0,202.905,-4.91599,0.693223,67.2664,1.236,0.0,0.0,7.746066144943237,0.09080398082733154,ztf_20180622284120_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180622284120_000848_zr_c11_o_q2_diffimgpsf.fits',2113.6201197539112,36.82062461514147,6.224896492450492e-08,1.0844172665494948e-09,2458187.0197453704,2458227.0065046297,8481122.0,7.80718,-999.0,-999.0,18.01466966404696,0.01891422755037878,291.78412039997056,p48r
2458291.8053472,b'r',2.523,6.2,26.326975,1.37278e-05,2.0,848.0,11.0,2.0,2.0,203.106,-5.00348,0.695304,67.0076,1.23,0.0,0.0,7.965779649162292,-0.27974510192871094,ztf_20180622305347_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180622305347_000848_zr_c11_o_q2_diffimgpsf.fits',2091.0255485093003,55.40574542355819,6.159838687920399e-08,1.6321679727551012e-09,2458187.0197453704,2458227.0065046297,8481122.0,7.72748,-999.0,-999.0,18.026076652163347,0.028768673175517314,291.8053472000174,p48r
2458291.8430671,b'g',2.022,6.2,26.291815,1.80846e-05,2.0,848.0,11.0,2.0,1.0,203.493,-5.15663,0.698894,66.56,1.238,0.0,0.0,6.329496697235102,0.12107110023498535,ztf_20180622343056_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180622343056_000848_zg_c11_o_q2_diffimgpsf.fits',2313.2283266401,48.01545894645449,7.038700753719446e-08,1.4610168481819156e-09,2458202.8213194446,2458235.969633264,8481121.0,7.37637,1.582177866926299,1.2622543480034591,17.881268745455777,0.022536529728082035,291.8430670998059,p48g
2458291.9302546,b'g',2.012,6.2,26.280299,1.1598e-05,2.0,848.0,11.0,2.0,1.0,204.541,-5.50296,0.707149,65.5249,1.364,0.0,0.0,4.060725091314316,0.11751401424407959,ztf_20180622430231_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180622430231_000848_zg_c11_o_q2_diffimgpsf.fits',2316.775424668247,42.036123275661375,7.12466317897224e-08,1.292716024192471e-09,2458202.8213194446,2458235.969633264,8481121.0,4.36232,1.582177866926299,1.2622543480034591,17.868089155657017,0.019699858851983217,291.9302546000108,p48g
2458292.7798611,b'r',2.425,6.2,26.34264,1.08667e-05,2.0,848.0,11.0,2.0,2.0,215.06,-9.22645,0.783036,55.5233,1.237,0.0,0.0,7.861850827932358,-0.18447673320770264,ztf_20180623279850_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180623279850_000848_zr_c11_o_q2_diffimgpsf.fits',2315.199155112767,64.18719117203841,6.722523905888515e-08,1.8637703554379207e-09,2458187.0197453704,2458227.0065046297,8481122.0,8.14606,-999.0,-999.0,17.93116911178099,0.030101238472076863,292.779861100018,p48r
2458292.8030208,b'r',2.076,6.2,26.337969,9.7445e-06,2.0,848.0,11.0,2.0,2.0,215.259,-9.30934,0.784944,55.2575,1.23,0.0,0.0,7.6834497775316235,0.27809828519821167,ztf_20180623303021_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180623303021_000848_zr_c11_o_q2_diffimgpsf.fits',2437.6080336601362,38.36939279620651,7.108472252695872e-08,1.1189157756893095e-09,2458187.0197453704,2458227.0065046297,8481122.0,8.08792,-999.0,-999.0,17.87055931868101,0.017090133077190827,292.8030207999982,p48r
2458292.8221181,b'r',1.953,6.2,26.341346,8.3279e-06,2.0,848.0,11.0,2.0,2.0,215.432,-9.37606,0.786547,55.0337,1.231,0.0,0.0,7.945003494024277,-0.1874253749847412,ztf_20180623322083_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180623322083_000848_zr_c11_o_q2_diffimgpsf.fits',2457.1190275323906,46.14859257848684,7.143117516046319e-08,1.3415908785228226e-09,2458187.0197453704,2458227.0065046297,8481122.0,8.39517,-999.0,-999.0,17.86528051239317,0.020391849714264856,292.8221180997789,p48r
2458292.8465394,b'g',2.018,6.2,26.302603,1.81217e-05,2.0,848.0,11.0,2.0,1.0,215.667,-9.45947,0.788594,54.7469,1.242,0.0,0.0,7.01555816655159,-0.25465458631515503,ztf_20180623346458_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180623346458_000848_zg_c11_o_q2_diffimgpsf.fits',2551.641340167709,52.30270294756004,7.687381419880364e-08,1.5757346215311721e-09,2458202.8213194446,2458235.969633264,8481121.0,8.55867,1.582177866926299,1.2622543480034591,17.785553925712474,0.022255070149932374,292.8465394000523,p48g
2458292.9314815,b'g',2.134,6.2,26.288783,9.8618e-06,2.0,848.0,11.0,2.0,1.0,216.612,-9.73796,0.79553,53.7678,1.373,0.0,0.0,3.7681030950784677,0.27740222215652466,ztf_20180623431470_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180623431470_000848_zg_c11_o_q2_diffimgpsf.fits',2440.5036397942026,37.07819460942127,7.44674117999994e-08,1.131372080420208e-09,2458202.8213194446,2458235.969633264,8481121.0,4.25742,1.582177866926299,1.2622543480034591,17.82008435073842,0.01649542530179296,292.9314815001562,p48g
2458293.7252662,b'g',3.39,6.2,26.305718,3.79372e-05,2.0,848.0,11.0,2.0,1.0,226.875,-12.9455,0.855894,44.6195,1.289,0.0,0.0,9.969753480434417,0.4735186696052551,ztf_20180624225266_000848_zg_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180624225266_000848_zg_c11_o_q2_diffimgpsf.fits',2683.940348751686,84.96560051243466,8.062795770141304e-08,2.5524438426128527e-09,2458202.8213194446,2458235.969633264,8481121.0,10.0844,1.582177866926299,1.2622543480034591,17.73378585174929,0.03437121278452234,293.72526620002463,p48g
2458293.7823148,b'r',2.879,6.2,26.340193,1.69488e-05,2.0,848.0,11.0,2.0,2.0,227.308,-13.1321,0.8599,43.962,1.234,0.0,0.0,9.273240176486969,0.6498857140541077,ztf_20180624282303_000848_zr_c11_o_q2_scimrefdiffimg.fits,b'ztf_20180624282303_000848_zr_c11_o_q2_diffimgpsf.fits',2236.4795566889197,85.56603908811371,6.50860226068963e-08,2.4901428682347155e-09,2458187.0197453704,2458227.0065046297,8481122.0,8.9414,-999.0,-999.0,17.96628066822839,0.04153946052890646,293.78231480019167,p48r
