jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458272.7668056,b'g',1.808,5.83857008245353,26.325,1.00223e-05,1.0,846.0,11.0,4.0,1.0,307.022,-19.583,-0.813357,308.808,1.232,0.0,0.0,5.737131424903865,-0.025077223777770996,ztf_20180603266794_000846_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180603266794_000846_zg_c11_o_q4_diffimgpsf.fits',28.603658451692077,22.989549430123535,8.441538073904772e-10,6.784697039955837e-10,2458202.8068634258,2458232.7846535994,8461141.0,5.90682,-5.522269132764925,1.0922078343968393,0.0,0.0,272.7668055999093,p48g
2458272.8195718,b'r',1.688,6.26477249095874,26.275,9.7632e-06,1.0,846.0,11.0,4.0,2.0,307.572,-19.5638,-0.809441,308.235,1.255,0.0,0.0,8.09867098484039,0.25844264030456543,ztf_20180603319560_000846_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180603319560_000846_zr_c11_o_q4_diffimgpsf.fits',24.597010905647743,26.46531726273926,7.601203045521023e-10,8.178564905992247e-10,2458187.014664352,2458229.8845808334,8461142.0,8.30686,13.452607604144179,1.0041495775420708,0.0,0.0,272.8195718000643,p48r
2458278.7213426,b'g',2.122,5.80762728603795,26.325,1.02942e-05,1.0,846.0,11.0,4.0,1.0,17.8931,1.6746,-0.260217,241.343,1.239,0.0,0.0,5.27077255103588,0.6030451655387878,ztf_20180609221331_000846_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180609221331_000846_zg_c11_o_q4_diffimgpsf.fits',17.11921247845254,23.59550279335439,5.052237781967154e-10,6.963526555322764e-10,2458202.8068634258,2458232.7846535994,8461141.0,5.25541,-5.522269132764925,1.0922078343968393,0.0,0.0,278.72134259995073,p48g
2458278.761169,b'r',1.897,6.30862154973567,26.275,6.5826e-06,1.0,846.0,11.0,4.0,2.0,18.5549,1.86214,-0.256476,240.853,1.231,0.0,0.0,6.036511873197556,-0.1999843716621399,ztf_20180609261157_000846_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180609261157_000846_zr_c11_o_q4_diffimgpsf.fits',14.769588159322877,20.921143976182876,4.564239082886232e-10,6.465251567314939e-10,2458187.014664352,2458229.8845808334,8461142.0,6.09421,13.452607604144179,1.0041495775420708,0.0,0.0,278.7611690000631,p48r
2458281.7238773,b'r',1.587,6.26296822000365,26.275,7.4645e-06,1.0,846.0,11.0,4.0,2.0,57.7183,14.6096,-0.0373315,202.281,1.234,0.0,0.0,5.522453454637527,0.2595634460449219,ztf_20180612223877_000846_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180612223877_000846_zr_c11_o_q4_diffimgpsf.fits',14.170300835142468,18.131441764341375,4.379041594818431e-10,5.603151167003915e-10,2458187.014664352,2458229.8845808334,8461142.0,5.97772,13.452607604144179,1.0041495775420708,0.0,0.0,281.72387730004266,p48r
2458284.7432176,b'g',1.99,5.82156182165335,26.325,1.21437e-05,1.0,846.0,11.0,4.0,1.0,104.359,19.9516,0.0298996,160.085,1.231,0.0,0.0,5.412852963829037,0.15586376190185547,ztf_20180615243183_000846_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180615243183_000846_zg_c11_o_q4_diffimgpsf.fits',47.65311943537199,22.24672962879313,1.406343257571053e-09,6.56547537624894e-10,2458202.8068634258,2458232.7846535994,8461141.0,5.19159,-5.522269132764925,1.0922078343968393,0.0,0.0,284.74321760004386,p48g
2458284.7824421,b'r',1.901,6.15879103800194,26.275,6.3099e-06,1.0,846.0,11.0,4.0,2.0,105.143,19.8899,0.0315639,159.533,1.25,0.0,0.0,6.159288194560998,0.3140455484390259,ztf_20180615282431_000846_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180615282431_000846_zr_c11_o_q4_diffimgpsf.fits',45.64947437298091,21.30586008878974,1.4107036215146919e-09,6.584140212326489e-10,2458187.014664352,2458229.8845808334,8461142.0,6.65086,13.452607604144179,1.0041495775420708,0.0,0.0,284.7824420998804,p48r
2458287.7626157,b'r',2.153,6.54665638508255,26.275,6.1568e-06,1.0,846.0,11.0,4.0,2.0,150.564,13.1136,0.263528,118.226,1.241,0.0,0.0,5.561120495629311,-0.30199146270751953,ztf_20180618262604_000846_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180618262604_000846_zr_c11_o_q4_diffimgpsf.fits',190.64879041767637,21.892156217531905,5.891610862419864e-09,6.765323044940473e-10,2458187.014664352,2458229.8845808334,8461142.0,5.26681,13.452607604144179,1.0041495775420708,20.574414864470334,0.12467483576740197,287.7626156997867,p48r
2458288.7069792,b'g',1.922,6.2,26.299322,1.13921e-05,2.0,846.0,11.0,4.0,1.0,163.803,9.27584,0.364766,105.692,1.233,0.0,0.0,5.752968589305877,0.26886844635009766,ztf_20180619206910_000846_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180619206910_000846_zg_c11_o_q4_diffimgpsf.fits',216.18269131327386,25.357574858659802,6.532691043360991e-09,7.662648744770704e-10,2458202.8068634258,2458232.7846535994,8461141.0,5.94933,-5.522269132764925,1.0922078343968393,20.462269702044345,0.12735356855727936,288.7069791997783,p48g
2458288.7284375,b'g',1.863,6.2,26.308054,9.8797e-06,2.0,846.0,11.0,4.0,1.0,164.048,9.16566,0.367118,105.412,1.23,0.0,0.0,5.314648360013962,0.00876927375793457,ztf_20180619228391_000846_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180619228391_000846_zg_c11_o_q4_diffimgpsf.fits',246.862277639601,22.958517836194734,7.400024057580295e-09,6.882120134023775e-10,2458202.8068634258,2458232.7846535994,8461141.0,5.88321,-5.522269132764925,1.0922078343968393,20.326917170923444,0.10097490139035813,288.7284375000745,p48g
