jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458276.8290162,b'r',1.903,6.05120305949972,26.275,1.0438e-06,2.0,684.0,15.0,4.0,2.0,355.53,-6.82867,-0.446798,263.892,1.072,0.0,0.0,4.660770854568481,-0.13365447521209717,ztf_20180607328993_000684_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180607328993_000684_zr_c15_o_q4_diffimgpsf.fits',3.3498487966408432,16.27918831054424,1.0352022435870351e-10,5.03075012811045e-10,2458187.0239814813,2458231.7988875927,6841542.0,5.64875,2.754156391932232,0.9247492337051938,0.0,0.0,276.8290161998011,p48r
2458276.8721181,b'g',1.849,6.1961943676795,26.325,1.356e-06,2.0,684.0,15.0,4.0,1.0,356.042,-6.66995,-0.44243,263.388,1.01,0.0,0.0,3.970518154120445,0.2874707579612732,ztf_20180607372060_000684_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180607372060_000684_zg_c15_o_q4_diffimgpsf.fits',-4.642688234642747,15.760188276858734,-1.3701544354613167e-10,4.651161305666812e-10,2458204.9755092594,2458231.985901539,6841541.0,4.68283,-1.3137592160438603,1.0519148342348545,0.0,0.0,276.8721181000583,p48g
2458276.8909144,b'g',2.271,6.25174367671496,26.325,1.395e-06,2.0,684.0,15.0,4.0,1.0,356.249,-6.60004,-0.440551,263.172,1.001,0.0,0.0,4.506317251348495,0.39958810806274414,ztf_20180607390822_000684_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180607390822_000684_zg_c15_o_q4_diffimgpsf.fits',9.716378817261834,21.14973960391215,2.8675066815288993e-10,6.241730666066798e-10,2458204.9755092594,2458231.985901539,6841541.0,5.12422,-1.3137592160438603,1.0519148342348545,0.0,0.0,276.89091440010816,p48g
2458276.9322338,b'r',1.983,6.03083949629927,26.275,1.0432e-06,2.0,684.0,15.0,4.0,2.0,356.669,-6.44401,-0.436432,262.696,1.015,0.0,0.0,5.216491934204101,0.2950345277786255,ztf_20180607432153_000684_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180607432153_000684_zr_c15_o_q4_diffimgpsf.fits',17.25341493743947,19.53019231385844,5.331814937643098e-10,6.035406410365054e-10,2458187.0239814813,2458231.7988875927,6841542.0,6.15419,2.754156391932232,0.9247492337051938,0.0,0.0,276.93223380018026,p48r
2458277.8524884,b'g',1.794,5.97104892338439,26.325,1.5222e-06,2.0,684.0,15.0,4.0,1.0,7.7361,-2.32664,-0.344521,251.883,1.028,0.0,0.0,4.506020178937912,0.5794929265975952,ztf_20180608352431_000684_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180608352431_000684_zg_c15_o_q4_diffimgpsf.fits',7.038811554211157,17.71902259762627,2.077300560355396e-10,5.229254297763303e-10,2458204.9755092594,2458231.985901539,6841541.0,4.83624,-1.3137592160438603,1.0519148342348545,0.0,0.0,277.8524883999489,p48g
2458277.8712384,b'g',1.813,6.00523478518781,26.325,1.4022e-06,2.0,684.0,15.0,4.0,1.0,7.9746,-2.24485,-0.342666,251.659,1.009,0.0,0.0,4.39640361149311,0.1685665249824524,ztf_20180608371181_000684_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180608371181_000684_zg_c15_o_q4_diffimgpsf.fits',8.864916521316063,17.63870967241798,2.616222343133528e-10,5.205552273174062e-10,2458204.9755092594,2458231.985901539,6841541.0,4.79613,-1.3137592160438603,1.0519148342348545,0.0,0.0,277.8712384002283,p48g
2458277.8931366,b'r',1.574,5.82077896164241,26.275,1.5172e-06,2.0,684.0,15.0,4.0,2.0,8.24038,-2.14895,-0.340524,251.4,1.0,0.0,0.0,4.905774020195006,0.7000857591629028,ztf_20180608393079_000684_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180608393079_000684_zr_c15_o_q4_diffimgpsf.fits',1.5531099990617592,16.82848393219691,4.7995687362917436e-11,5.200498703179692e-10,2458187.0239814813,2458231.7988875927,6841542.0,6.32633,2.754156391932232,0.9247492337051938,0.0,0.0,277.89313660003245,p48r
2458277.909838,b'r',1.547,5.82952480625062,26.275,1.5067e-06,2.0,684.0,15.0,4.0,2.0,8.43378,-2.07548,-0.338847,251.198,1.002,0.0,0.0,4.957916537427902,0.21840107440948486,ztf_20180608409745_000684_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180608409745_000684_zr_c15_o_q4_diffimgpsf.fits',-25.322513990599216,16.756007773844267,-7.825404932491029e-10,5.178101429078705e-10,2458187.0239814813,2458231.7988875927,6841542.0,6.50776,2.754156391932232,0.9247492337051938,0.0,0.0,277.9098379998468,p48r
2458277.9545949,b'g',1.775,5.80832657480282,26.325,1.6365e-06,2.0,684.0,15.0,4.0,1.0,8.913,-1.87698,-0.334463,250.666,1.048,0.0,0.0,5.006200522184372,0.15399926900863647,ztf_20180608454444_000684_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180608454444_000684_zg_c15_o_q4_diffimgpsf.fits',-3.6630325925949494,19.464198404320644,-1.0810375584845922e-10,5.744292192049862e-10,2458204.9755092594,2458231.985901539,6841541.0,5.97846,-1.3137592160438603,1.0519148342348545,0.0,0.0,277.95459489990026,p48g
2458278.7987847,b'r',2.187,5.94028655163713,26.275,1.4917e-06,2.0,684.0,15.0,4.0,2.0,19.1566,2.04112,-0.252966,240.392,1.139,0.0,0.0,5.833571711635589,-0.07682645320892334,ztf_20180609298762_000684_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180609298762_000684_zr_c15_o_q4_diffimgpsf.fits',1.8351135183210832,21.508035040311515,5.6710429238115913e-11,6.646618244741742e-10,2458187.0239814813,2458231.7988875927,6841542.0,6.27558,2.754156391932232,0.9247492337051938,0.0,0.0,278.7987847002223,p48r
