jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458273.7618403,b'g',1.941,5.73819503017413,26.325,9.9428e-06,2.0,759.0,7.0,4.0,1.0,319.189,-17.4079,-0.734861,298.016,1.034,0.0,0.0,3.863278216171264,0.2552049160003662,ztf_20180604261840_000759_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180604261840_000759_zg_c07_o_q4_diffimgpsf.fits',-30.73324969415353,17.54834922369072,-9.070025006282791e-10,5.178885014838073e-10,2458166.9917939813,2458204.9383449075,7590741.0,4.32266,-1.4581756499217702,1.1053092731151737,0.0,0.0,273.76184030016884,p48g
2458273.7795718,b'g',1.956,5.70859918608942,26.325,7.6815e-06,2.0,759.0,7.0,4.0,1.0,319.397,-17.3877,-0.733351,297.82,1.045,0.0,0.0,4.6144608253479005,0.0009096860885620117,ztf_20180604279537_000759_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180604279537_000759_zg_c07_o_q4_diffimgpsf.fits',5.776743796011646,20.960302758242022,1.7048379590877396e-10,6.185823889396244e-10,2458166.9917939813,2458204.9383449075,7590741.0,4.37748,-1.4581756499217702,1.1053092731151737,0.0,0.0,273.77957180002704,p48g
2458273.821331,b'r',1.883,6.05739367031308,26.275,1.14651e-05,2.0,759.0,7.0,4.0,2.0,319.851,-17.3372,-0.729835,297.366,1.102,0.0,0.0,5.626857934546471,-0.06098330020904541,ztf_20180604321296_000759_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180604321296_000759_zr_c07_o_q4_diffimgpsf.fits',-24.058790832095813,24.103112393224464,-7.434877142022557e-10,7.448573814228094e-10,2458155.9713194445,2458199.836111111,7590742.0,6.4966,-6.9316548104160445,1.1366267149932294,0.0,0.0,273.82133099995553,p48r
2458273.8426736,b'r',1.567,5.94243041963242,26.275,8.8159e-06,2.0,759.0,7.0,4.0,2.0,320.064,-17.309,-0.728098,297.142,1.151,0.0,0.0,7.279261443614961,0.9088805913925171,ztf_20180604342650_000759_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180604342650_000759_zr_c07_o_q4_diffimgpsf.fits',0.20790142174651027,28.438792999238128,6.424768140363226e-12,8.788427211174526e-10,2458155.9713194445,2458199.836111111,7590742.0,7.23778,-6.9316548104160445,1.1366267149932294,0.0,0.0,273.84267360018566,p48r
2458273.8666204,b'r',1.615,5.96776648877441,26.275,7.5941e-06,2.0,759.0,7.0,4.0,2.0,320.289,-17.2745,-0.726032,296.876,1.227,0.0,0.0,7.0064512377977355,0.35140460729599,ztf_20180604366574_000759_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180604366574_000759_zr_c07_o_q4_diffimgpsf.fits',11.16389683215673,29.173816412039223,3.44997393894669e-10,9.015571160743781e-10,2458155.9713194445,2458199.836111111,7590742.0,7.27845,-6.9316548104160445,1.1366267149932294,0.0,0.0,273.8666203999892,p48r
2458274.7442824,b'g',1.769,5.76282221969657,26.325,8.0682e-06,2.0,759.0,7.0,4.0,1.0,330.915,-14.5657,-0.648581,287.287,1.031,0.0,0.0,4.140955692005157,0.17077136039733887,ztf_20180605244271_000759_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180605244271_000759_zg_c07_o_q4_diffimgpsf.fits',-0.40648363776030894,18.109116633533795,-1.1996182622471423e-11,5.344379209566348e-10,2458166.9917939813,2458204.9383449075,7590741.0,3.98378,-1.4581756499217702,1.1053092731151737,0.0,0.0,274.7442823997699,p48g
2458274.7638889,b'g',1.911,5.73836022658894,26.325,9.5604e-06,2.0,759.0,7.0,4.0,1.0,331.168,-14.5259,-0.646832,287.077,1.036,0.0,0.0,4.303617507219315,-0.09451490640640259,ztf_20180605263889_000759_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180605263889_000759_zg_c07_o_q4_diffimgpsf.fits',0.5546574705188492,19.530411561160324,1.636910244634669e-11,5.763833079989009e-10,2458166.9917939813,2458204.9383449075,7590741.0,3.94132,-1.4581756499217702,1.1053092731151737,0.0,0.0,274.76388890016824,p48g
2458274.7804398,b'g',1.971,5.78451659955766,26.325,6.8155e-06,2.0,759.0,7.0,4.0,1.0,331.374,-14.4924,-0.645256,286.889,1.048,0.0,0.0,3.9065845252990723,0.0657651424407959,ztf_20180605280405_000759_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180605280405_000759_zg_c07_o_q4_diffimgpsf.fits',-12.517780796761972,17.09753725915997,-3.694259018479129e-10,5.045840971303818e-10,2458166.9917939813,2458204.9383449075,7590741.0,3.86774,-1.4581756499217702,1.1053092731151737,0.0,0.0,274.78043980011716,p48g
2458274.8087731,b'r',1.745,6.04687031386049,26.275,7.4415e-06,2.0,759.0,7.0,4.0,2.0,331.707,-14.4348,-0.642684,286.581,1.084,0.0,0.0,4.737534496498107,0.1130681037902832,ztf_20180605308738_000759_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180605308738_000759_zr_c07_o_q4_diffimgpsf.fits',9.49739764067059,19.67595781596505,2.9349764549729687e-10,6.080452256933965e-10,2458155.9713194445,2458199.836111111,7590742.0,4.84087,-6.9316548104160445,1.1366267149932294,0.0,0.0,274.80877309991047,p48r
2458274.8200116,b'r',1.817,6.0343415483076,26.275,8.4807e-06,2.0,759.0,7.0,4.0,2.0,331.832,-14.4115,-0.641689,286.462,1.105,0.0,0.0,5.003072501087189,0.3939605951309204,ztf_20180605319977_000759_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180605319977_000759_zr_c07_o_q4_diffimgpsf.fits',-21.26919395413181,20.968441726849576,-6.572809292969925e-10,6.479867969744452e-10,2458155.9713194445,2458199.836111111,7590742.0,5.23647,-6.9316548104160445,1.1366267149932294,0.0,0.0,274.8200115999207,p48r
