jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458270.8805671,b'r',2.094,5.91851242139428,26.275,6.1365e-06,2.0,824.0,10.0,4.0,2.0,282.714,-21.5508,-0.930023,329.322,1.181,0.0,0.0,11.24587108411789,0.41262149810791016,ztf_20180601380475_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180601380475_000824_zr_c10_o_q4_diffimgpsf.fits',-18.506254418409505,39.40800540704255,-5.718979350214537e-10,1.217823791142835e-09,2458161.0624189815,2458222.938888889,8241042.0,11.0122,0.5630098705884531,0.9146176834998394,0.0,0.0,270.88056709989905,p48r
2458271.8880556,b'r',2.054,6.0045926469013,26.275,4.8456e-06,2.0,824.0,10.0,4.0,2.0,295.601,-20.9806,-0.873517,318.334,1.196,0.0,0.0,9.126357301235197,0.07751023769378662,ztf_20180602388044_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180602388044_000824_zr_c10_o_q4_diffimgpsf.fits',30.00085794909686,31.50663128323724,9.271151429158312e-10,9.736479874935708e-10,2458161.0624189815,2458222.938888889,8241042.0,9.26611,0.5630098705884531,0.9146176834998394,0.0,0.0,271.8880556002259,p48r
2458272.7450579,b'g',1.866,5.64817939751897,26.325,8.6328e-06,2.0,824.0,10.0,4.0,1.0,306.772,-19.5879,-0.814924,309.039,1.183,0.0,0.0,5.369786395573616,0.02371913194656372,ztf_20180603245012_000824_zg_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603245012_000824_zg_c10_o_q4_diffimgpsf.fits',-15.358571450276028,20.865711878348563,-4.532635777246961e-10,6.157908141739939e-10,2458203.891724537,2458231.9715116434,8241041.0,5.32868,-1.9948687199147452,1.0537871873571578,0.0,0.0,272.74505789997056,p48g
2458272.7631134,b'g',1.887,5.66221144182938,26.325,7.6904e-06,2.0,824.0,10.0,4.0,1.0,306.981,-19.5839,-0.813595,308.843,1.161,0.0,0.0,5.321773072433471,-0.3511539101600647,ztf_20180603263102_000824_zg_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603263102_000824_zg_c10_o_q4_diffimgpsf.fits',14.797525591279065,21.817151557077302,4.3670594056814807e-10,6.438697897556854e-10,2458203.891724537,2458231.9715116434,8241041.0,5.70941,-1.9948687199147452,1.0537871873571578,0.0,0.0,272.76311339996755,p48g
2458272.7640162,b'g',1.938,5.66210644601038,26.325,9.5072e-06,1.0,824.0,10.0,4.0,1.0,306.991,-19.5837,-0.813547,308.836,1.161,0.0,0.0,5.19817338180542,-0.277349591255188,ztf_20180603264016_000824_zg_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603264016_000824_zg_c10_o_q4_diffimgpsf.fits',18.6990333251648,21.69769055427513,5.518475967896867e-10,6.403442456295222e-10,2458203.891724537,2458231.9715116434,8241041.0,5.75033,-1.9948687199147452,1.0537871873571578,0.0,0.0,272.764016199857,p48g
2458272.7800116,b'r',1.811,5.92700986456782,26.275,6.1661e-06,2.0,824.0,10.0,4.0,2.0,307.167,-19.5793,-0.812357,308.661,1.148,0.0,0.0,6.857190945005417,-0.255812406539917,ztf_20180603280012_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603280012_000824_zr_c10_o_q4_diffimgpsf.fits',10.270522550545978,22.35488678355227,3.1738948927480086e-10,6.90832045218052e-10,2458161.0624189815,2458222.938888889,8241042.0,7.57219,0.5630098705884531,0.9146176834998394,0.0,0.0,272.78001159988344,p48r
2458272.8046991,b'r',1.608,5.98776343482369,26.275,5.7104e-06,2.0,824.0,10.0,4.0,2.0,307.425,-19.5705,-0.810543,308.395,1.139,0.0,0.0,7.2188608402252195,-0.20998084545135498,ztf_20180603304688_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603304688_000824_zr_c10_o_q4_diffimgpsf.fits',24.95306333057494,22.595772072506392,7.711233763769814e-10,6.98276112309625e-10,2458161.0624189815,2458222.938888889,8241042.0,7.9766,0.5630098705884531,0.9146176834998394,0.0,0.0,272.8046991000883,p48r
2458272.8224421,b'r',1.49,6.02390842938178,26.275,7.4558e-06,1.0,824.0,10.0,4.0,2.0,307.6,-19.5623,-0.809202,308.2,1.14,0.0,0.0,7.178056636047359,0.001278996467590332,ztf_20180603322407_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603322407_000824_zr_c10_o_q4_diffimgpsf.fits',-8.956117884150597,21.704589430021212,-2.767705019044389e-10,6.707359358044662e-10,2458161.0624189815,2458222.938888889,8241042.0,8.21426,0.5630098705884531,0.9146176834998394,0.0,0.0,272.8224420999177,p48r
2458272.8233565,b'r',1.483,5.99727058355575,26.275,6.2801e-06,2.0,824.0,10.0,4.0,2.0,307.609,-19.5619,-0.809154,308.193,1.14,0.0,0.0,7.039403705596924,-0.5102348327636719,ztf_20180603323356_000824_zr_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603323356_000824_zr_c10_o_q4_diffimgpsf.fits',-0.7857871603890941,20.945605624732284,-2.428314472678243e-11,6.47281093933427e-10,2458161.0624189815,2458222.938888889,8241042.0,8.26764,0.5630098705884531,0.9146176834998394,0.0,0.0,272.82335649989545,p48r
2458272.8852778,b'g',1.61,5.76022566871512,26.325,1.31444e-05,2.0,824.0,10.0,4.0,1.0,308.16,-19.5163,-0.804528,307.521,1.196,0.0,0.0,7.792644673967359,-0.30301982164382935,ztf_20180603385208_000824_zg_c10_o_q4_scimrefdiffimg.fits,b'ztf_20180603385208_000824_zg_c10_o_q4_diffimgpsf.fits',7.765941572910309,27.964705240990547,2.2918918423725004e-10,8.252969612868369e-10,2458203.891724537,2458231.9715116434,8241041.0,8.84625,-1.9948687199147452,1.0537871873571578,0.0,0.0,272.8852777997963,p48g
