jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458273.8509375,b'r',1.733,6.55876954556593,26.275,3.1395e-06,2.0,797.0,11.0,3.0,2.0,320.144,-17.2974,-0.727337,297.044,1.078,0.0,0.0,6.046959295654296,0.07983529567718506,ztf_20180604350926_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180604350926_000797_zr_c11_o_q3_diffimgpsf.fits',30.421819768621013,55.558336169926356,9.401241067972123e-10,1.7169167250419332e-09,2458216.8910300927,2458223.00150463,7971132.0,6.68351,6.6660933050460836,2.4075000361542753,0.0,0.0,273.8509375001304,p48r
2458273.8743403,b'r',1.574,6.54917299588937,26.275,2.7361e-06,2.0,797.0,11.0,3.0,2.0,320.359,-17.2627,-0.725433,296.799,1.074,0.0,0.0,6.774980844879149,0.154144287109375,ztf_20180604374340_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180604374340_000797_zr_c11_o_q3_diffimgpsf.fits',-76.48590802501162,68.6105990423357,-2.3636405222134813e-09,2.1202702084338816e-09,2458216.8910300927,2458223.00150463,7971132.0,6.78606,6.6660933050460836,2.4075000361542753,0.0,0.0,273.8743402999826,p48r
2458274.7855671,b'g',2.012,6.23826005033797,26.325,3.6344e-06,2.0,797.0,11.0,3.0,1.0,331.436,-14.4821,-0.644788,286.833,1.15,0.0,0.0,3.8827426783084866,0.5724002122879028,ztf_20180605285532_000797_zg_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605285532_000797_zg_c11_o_q3_diffimgpsf.fits',2.430249483160228,21.581407988375823,7.172174697803691e-11,6.3691250379751e-10,2458203.9012152776,2458229.9919706946,7971131.0,3.86536,15.673588197155134,1.3707454327034736,0.0,0.0,274.7855671001598,p48g
2458274.80125,b'r',1.73,6.56141544310471,26.275,2.3645e-06,2.0,797.0,11.0,3.0,2.0,331.62,-14.4502,-0.643386,286.665,1.123,0.0,0.0,4.766003369235991,0.243740975856781,ztf_20180605301215_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605301215_000797_zr_c11_o_q3_diffimgpsf.fits',-19.159616283269056,47.72126430744307,-5.920887468889941e-10,1.474728051231216e-09,2458216.8910300927,2458223.00150463,7971132.0,4.76061,6.6660933050460836,2.4075000361542753,0.0,0.0,274.8012500000186,p48r
2458274.8252199,b'r',1.842,6.60472516218275,26.275,2.2423e-06,2.0,797.0,11.0,3.0,2.0,331.889,-14.4007,-0.641162,286.399,1.093,0.0,0.0,5.760531850004195,0.022600412368774414,ztf_20180605325185_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605325185_000797_zr_c11_o_q3_diffimgpsf.fits',-16.122192917863423,77.82076069690643,-4.982233913617631e-10,2.404891413364052e-09,2458216.8910300927,2458223.00150463,7971132.0,5.32113,6.6660933050460836,2.4075000361542753,0.0,0.0,274.82521989988163,p48r
2458274.8426505,b'r',1.684,6.44538070907904,26.275,3.0298e-06,2.0,797.0,11.0,3.0,2.0,332.074,-14.3639,-0.639581,286.21,1.08,0.0,0.0,6.219114612746238,-0.8301566243171692,ztf_20180605342616_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605342616_000797_zr_c11_o_q3_diffimgpsf.fits',-24.93563095238462,57.00821927637045,-7.705846643899874e-10,1.7617223964563214e-09,2458216.8910300927,2458223.00150463,7971132.0,5.80936,6.6660933050460836,2.4075000361542753,0.0,0.0,274.8426505001262,p48r
2458274.8860995,b'g',1.977,6.1137124506163,26.325,6.637e-06,2.0,797.0,11.0,3.0,1.0,332.499,-14.2677,-0.63559,285.735,1.078,0.0,0.0,5.711147793388367,0.5172501802444458,ztf_20180605386065_000797_zg_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605386065_000797_zg_c11_o_q3_diffimgpsf.fits',1.475176746341134,31.01189633397119,4.35355522476566e-11,9.152259459724124e-10,2458203.9012152776,2458229.9919706946,7971131.0,6.17744,15.673588197155134,1.3707454327034736,0.0,0.0,274.88609950011596,p48g
2458274.9053472,b'g',1.795,6.03299536914262,26.325,4.0484e-06,2.0,797.0,11.0,3.0,1.0,332.672,-14.2223,-0.633768,285.518,1.091,0.0,0.0,6.2060138256072985,0.5920529365539551,ztf_20180605405312_000797_zg_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180605405312_000797_zg_c11_o_q3_diffimgpsf.fits',-1.7223094525522882,32.22863044398224,-5.082895547547052e-11,9.511343152910361e-10,2458203.9012152776,2458229.9919706946,7971131.0,6.57148,15.673588197155134,1.3707454327034736,0.0,0.0,274.90534720011055,p48g
2458276.8091551,b'r',1.783,6.55975352498764,26.275,2.066e-06,2.0,797.0,11.0,3.0,2.0,355.276,-6.9014,-0.44874,264.116,1.104,0.0,0.0,5.143109838914871,0.1928991675376892,ztf_20180607309144_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180607309144_000797_zr_c11_o_q3_diffimgpsf.fits',-98.94565982032275,45.48759783626104,-3.0577132060978704e-09,1.4057011583061678e-09,2458216.8910300927,2458223.00150463,7971132.0,5.17683,6.6660933050460836,2.4075000361542753,0.0,0.0,276.80915510002524,p48r
2458276.8256944,b'r',1.814,6.60148227411938,26.275,2.1576e-06,2.0,797.0,11.0,3.0,2.0,355.488,-6.84084,-0.447101,263.927,1.088,0.0,0.0,5.064480140638351,0.2011968493461609,ztf_20180607325671_000797_zr_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180607325671_000797_zr_c11_o_q3_diffimgpsf.fits',-92.44386045314569,59.816114433595196,-2.8567883972228e-09,1.8484946522572135e-09,2458216.8910300927,2458223.00150463,7971132.0,5.04675,6.6660933050460836,2.4075000361542753,0.0,0.0,276.82569439988583,p48r
2458276.8520486,b'g',2.047,6.23319099618055,26.325,3.4568e-06,2.0,797.0,11.0,3.0,1.0,355.81,-6.74407,-0.444492,263.626,1.074,0.0,0.0,3.705791985273361,0.2569088935852051,ztf_20180607352025_000797_zg_c11_o_q3_scimrefdiffimg.fits,b'ztf_20180607352025_000797_zg_c11_o_q3_diffimgpsf.fits',-16.44799149352749,20.030770735016933,-4.854146425582863e-10,5.91149954106231e-10,2458203.9012152776,2458229.9919706946,7971131.0,4.07894,15.673588197155134,1.3707454327034736,0.0,0.0,276.85204860009253,p48g
