jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458277.8179977,b'g',1.879,5.61865763906165,26.325,2.3551e-06,2.0,683.0,3.0,3.0,1.0,7.27184,-2.47647,-0.347948,252.296,1.046,0.0,0.0,4.31002102150917,0.01465606689453125,ztf_20180608317986_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608317986_000683_zg_c03_o_q3_diffimgpsf.fits',4.789006770352573,19.51054033024918,1.4133360967232325e-10,5.757968663988626e-10,2458204.928298611,2458229.997302755,6830331.0,4.80827,9.300870541755163,1.1169983575252895,0.0,0.0,277.8179977000691,p48g
2458277.852963,b'g',1.82,5.76277068361743,26.325,2.1976e-06,2.0,683.0,3.0,3.0,1.0,7.74225,-2.32457,-0.344463,251.876,1.007,0.0,0.0,4.020039048624039,0.08404791355133057,ztf_20180608352940_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608352940_000683_zg_c03_o_q3_diffimgpsf.fits',-0.05199581416367671,17.439365120429116,-1.5345052650787368e-12,5.146721525061443e-10,2458204.928298611,2458229.997302755,6830331.0,4.57677,9.300870541755163,1.1169983575252895,0.0,0.0,277.8529630000703,p48g
2458277.871713,b'g',1.792,5.75586586103007,26.325,2.0138e-06,2.0,683.0,3.0,3.0,1.0,7.9805,-2.24278,-0.342666,251.659,1.0,0.0,0.0,3.631290254592896,0.21529865264892578,ztf_20180608371690_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608371690_000683_zg_c03_o_q3_diffimgpsf.fits',2.9635400911830345,15.87518515003423,8.746026860695127e-11,4.685099288982109e-10,2458204.928298611,2458229.997302755,6830331.0,4.57661,9.300870541755163,1.1169983575252895,0.0,0.0,277.87171299988404,p48g
2458277.8816204,b'r',2.233,5.52877385889273,26.275,2.0924e-06,2.0,683.0,3.0,3.0,2.0,8.10233,-2.19944,-0.341624,251.533,1.001,0.0,0.0,5.13770267367363,-0.1920192837715149,ztf_20180608381597_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608381597_000683_zr_c03_o_q3_diffimgpsf.fits',14.726001023061375,25.37135487449017,4.550769370075705e-10,7.840498208536748e-10,2458187.0233680555,2458222.995949074,6830332.0,6.7027,28.320504211985803,1.2357496755699189,0.0,0.0,277.8816204001196,p48r
2458277.9103009,b'r',1.623,5.47582018128072,26.275,2.003e-06,2.0,683.0,3.0,3.0,2.0,8.43903,-2.07344,-0.338847,251.198,1.018,0.0,0.0,5.082519514942169,0.14359509944915771,ztf_20180608410278_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608410278_000683_zr_c03_o_q3_diffimgpsf.fits',-29.931757559823932,22.840965227190335,-9.249797367422808e-10,7.058533051599434e-10,2458187.0233680555,2458222.995949074,6830332.0,7.18073,28.320504211985803,1.2357496755699189,0.0,0.0,277.9103009002283,p48r
2458277.9378356,b'r',2.037,5.43366008428069,26.275,2.5583e-06,2.0,683.0,3.0,3.0,2.0,8.7401,-1.9516,-0.336077,250.862,1.057,0.0,0.0,5.698392638015747,0.1537480354309082,ztf_20180608437824_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180608437824_000683_zr_c03_o_q3_diffimgpsf.fits',-33.40611371206587,27.019564793144042,-1.0323476062242683e-09,8.349843766911241e-10,2458187.0233680555,2458222.995949074,6830332.0,7.5991,28.320504211985803,1.2357496755699189,0.0,0.0,277.9378356002271,p48r
2458278.7775463,b'r',2.546,5.52893085694803,26.275,3.1111e-06,2.0,683.0,3.0,3.0,2.0,18.8201,1.93984,-0.254932,240.65,1.137,0.0,0.0,5.651823829388616,0.06902110576629639,ztf_20180609277535_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609277535_000683_zr_c03_o_q3_diffimgpsf.fits',15.267612985165325,32.760192415961995,4.718143467344161e-10,1.0123867299140404e-09,2458187.0233680555,2458222.995949074,6830332.0,6.61307,28.320504211985803,1.2357496755699189,0.0,0.0,278.7775463000871,p48r
2458278.7983102,b'r',1.915,5.55341000360343,26.275,1.6608e-06,2.0,683.0,3.0,3.0,2.0,19.1492,2.03885,-0.252966,240.392,1.08,0.0,0.0,5.3372282199382735,0.47518813610076904,ztf_20180609298299_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609298299_000683_zr_c03_o_q3_diffimgpsf.fits',-14.244717419329383,25.250836741465708,-4.4020385178400393e-10,7.803254544932692e-10,2458187.0233680555,2458222.995949074,6830332.0,6.27358,28.320504211985803,1.2357496755699189,0.0,0.0,278.7983102002181,p48r
2458278.8185301,b'r',2.333,5.6142713767211,26.275,1.7939e-06,2.0,683.0,3.0,3.0,2.0,19.4609,2.13583,-0.251058,240.14,1.041,0.0,0.0,4.958941103935241,0.35335081815719604,ztf_20180609318519_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609318519_000683_zr_c03_o_q3_diffimgpsf.fits',7.394313044267395,24.734792556554243,2.2850611827275207e-10,7.64378164617001e-10,2458187.0233680555,2458222.995949074,6830332.0,6.42082,28.320504211985803,1.2357496755699189,0.0,0.0,278.8185300999321,p48r
2458278.8313194,b'r',1.637,5.58872710687812,26.275,2.1612e-06,1.0,683.0,3.0,3.0,2.0,19.6532,2.19744,-0.249895,239.986,1.024,0.0,0.0,4.560201209974288,0.6383789777755737,ztf_20180609331296_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609331296_000683_zr_c03_o_q3_diffimgpsf.fits',26.628058777624037,20.776076825542795,8.228856841719503e-10,6.420421531973533e-10,2458187.0233680555,2458222.995949074,6830332.0,6.29182,28.320504211985803,1.2357496755699189,0.0,0.0,278.83131940010935,p48r
2458278.8985532,b'g',1.918,5.92761384195508,26.325,1.985e-06,1.0,683.0,3.0,3.0,1.0,20.5941,2.5247,-0.24358,239.147,1.01,0.0,0.0,4.316458985137939,-0.02353888750076294,ztf_20180609398519_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609398519_000683_zg_c03_o_q3_diffimgpsf.fits',21.365149393572526,19.610490079475362,6.305302601941707e-10,5.787465926211221e-10,2458204.928298611,2458229.997302755,6830331.0,4.33221,9.300870541755163,1.1169983575252895,0.0,0.0,278.8985532000661,p48g
2458278.8994907,b'g',1.936,5.90859965405588,26.325,2.2185e-06,2.0,683.0,3.0,3.0,1.0,20.6063,2.5293,-0.243527,239.14,1.01,0.0,0.0,3.8944349561691274,0.09761285781860352,ztf_20180609399479_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180609399479_000683_zg_c03_o_q3_diffimgpsf.fits',-4.792015661133487,17.157291367007062,-1.4142240833466987e-10,5.063475658692309e-10,2458204.928298611,2458229.997302755,6830331.0,4.33529,9.300870541755163,1.1169983575252895,0.0,0.0,278.89949070010334,p48g
2458279.8323611,b'g',2.11,5.89951911812917,26.325,2.1369e-06,2.0,683.0,3.0,3.0,1.0,32.3604,6.82796,-0.161316,227.362,1.019,0.0,0.0,3.651319794356823,0.11487323045730591,ztf_20180610332350_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180610332350_000683_zg_c03_o_q3_diffimgpsf.fits',8.579316476654416,19.347245619788787,2.5319357944393497e-10,5.709776978372331e-10,2458204.928298611,2458229.997302755,6830331.0,4.50783,9.300870541755163,1.1169983575252895,0.0,0.0,279.8323610997759,p48g
2458279.8535301,b'g',2.117,5.93566974699656,26.325,2.1215e-06,2.0,683.0,3.0,3.0,1.0,32.7013,6.93444,-0.159569,227.089,1.004,0.0,0.0,3.911188523769378,-0.30219918489456177,ztf_20180610353507_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180610353507_000683_zg_c03_o_q3_diffimgpsf.fits',-1.9126294283487333,18.690604203968118,-5.644569616136445e-11,5.515988357872144e-10,2458204.928298611,2458229.997302755,6830331.0,4.39859,9.300870541755163,1.1169983575252895,0.0,0.0,279.8535301000811,p48g
2458279.8713889,b'g',2.3,5.74506963095185,26.325,2.2707e-06,2.0,683.0,3.0,3.0,1.0,32.9808,7.02513,-0.158096,226.858,1.0,0.0,0.0,4.13002524189949,0.1752077341079712,ztf_20180610371366_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180610371366_000683_zg_c03_o_q3_diffimgpsf.fits',29.883117580333714,20.88689469160277,8.819133232463747e-10,6.164159633054329e-10,2458204.928298611,2458229.997302755,6830331.0,4.60379,9.300870541755163,1.1169983575252895,0.0,0.0,279.87138890009373,p48g
2458279.8857523,b'r',2.516,5.40910121163203,26.275,1.9561e-06,2.0,683.0,3.0,3.0,2.0,33.1997,7.09858,-0.156896,226.669,1.004,0.0,0.0,6.000896674132346,-0.17128288745880127,ztf_20180610385729_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180610385729_000683_zr_c03_o_q3_diffimgpsf.fits',-9.78021112577466,35.630100550495804,-3.022374177100005e-10,1.1010753699121066e-09,2458187.0233680555,2458222.995949074,6830332.0,6.69238,28.320504211985803,1.2357496755699189,0.0,0.0,279.8857522998005,p48r
2458280.7870602,b'g',1.958,5.98563588878008,26.325,1.8769e-06,2.0,683.0,3.0,3.0,1.0,44.8908,10.9888,-0.08988,214.891,1.094,0.0,0.0,4.4060711600065225,-0.07839477062225342,ztf_20180611287049_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611287049_000683_zg_c03_o_q3_diffimgpsf.fits',-3.823920617377887,19.010363556527047,-1.1285189808045459e-10,5.61035603303085e-10,2458204.928298611,2458229.997302755,6830331.0,4.44497,9.300870541755163,1.1169983575252895,0.0,0.0,280.7870601997711,p48g
2458280.8310764,b'r',1.883,5.67412215226554,26.275,1.8939e-06,2.0,683.0,3.0,3.0,2.0,45.6951,11.1924,-0.0869689,214.304,1.018,0.0,0.0,5.056575718593598,0.5491544008255005,ztf_20180611331065_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611331065_000683_zr_c03_o_q3_diffimgpsf.fits',-3.6102638281419352,23.21623338229988,-1.1156781818276058e-10,7.174501998149354e-10,2458187.0233680555,2458222.995949074,6830332.0,5.89522,28.320504211985803,1.2357496755699189,0.0,0.0,280.83107639988884,p48r
2458280.8495602,b'r',1.745,5.67575845376439,26.275,2.2711e-06,2.0,683.0,3.0,3.0,2.0,46.0241,11.2806,-0.0858029,214.066,1.004,0.0,0.0,4.602102665710449,0.3063387870788574,ztf_20180611349537_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611349537_000683_zr_c03_o_q3_diffimgpsf.fits',16.134257333603987,20.974888221614187,4.985962174503533e-10,6.481860126882137e-10,2458187.0233680555,2458222.995949074,6830332.0,5.86927,28.320504211985803,1.2357496755699189,0.0,0.0,280.8495601997711,p48r
2458280.8619097,b'r',2.046,5.6694131609978,26.275,3.0366e-06,2.0,683.0,3.0,3.0,2.0,46.2402,11.3404,-0.0849841,213.898,1.0,0.0,0.0,5.095803069686889,0.27495336532592773,ztf_20180611361829_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611361829_000683_zr_c03_o_q3_diffimgpsf.fits',1.6855856869194348,24.814136803015096,5.208957749397415e-11,7.668301362412636e-10,2458187.0233680555,2458222.995949074,6830332.0,5.96109,28.320504211985803,1.2357496755699189,0.0,0.0,280.8619097000919,p48r
2458280.9006597,b'g',1.744,5.98678725848508,26.325,2.2182e-06,2.0,683.0,3.0,3.0,1.0,46.8968,11.5317,-0.0824821,213.38,1.016,0.0,0.0,3.845499861717224,0.32990503311157227,ztf_20180611400637_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611400637_000683_zg_c03_o_q3_diffimgpsf.fits',-7.514118332521827,16.44468408654446,-2.2175735353201484e-10,4.853170340584511e-10,2458204.928298611,2458229.997302755,6830331.0,4.38868,9.300870541755163,1.1169983575252895,0.0,0.0,280.9006596999243,p48g
2458280.9348264,b'g',1.714,5.90910544304584,26.325,2.2548e-06,2.0,683.0,3.0,3.0,1.0,47.4445,11.7044,-0.0802793,212.919,1.067,0.0,0.0,3.732263021707534,0.309800386428833,ztf_20180611434803_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180611434803_000683_zg_c03_o_q3_diffimgpsf.fits',-10.454745134671194,16.04211548911845,-3.085414030388718e-10,4.734363924677755e-10,2458204.928298611,2458229.997302755,6830331.0,4.55979,9.300870541755163,1.1169983575252895,0.0,0.0,280.934826400131,p48g
2458281.7760532,b'g',1.856,5.90253207199714,26.325,1.9317e-06,2.0,683.0,3.0,3.0,1.0,58.7501,14.7865,-0.035007,201.567,1.117,0.0,0.0,4.051915335893631,-0.2832590341567993,ztf_20180612276042_000683_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180612276042_000683_zg_c03_o_q3_diffimgpsf.fits',-9.452458027760864,17.204717519293375,-2.789618134620465e-10,5.077472108515175e-10,2458204.928298611,2458229.997302755,6830331.0,4.52202,9.300870541755163,1.1169983575252895,0.0,0.0,281.7760532000102,p48g
2458281.8342593,b'r',1.869,5.61763181965228,26.275,1.5427e-06,1.0,683.0,3.0,3.0,2.0,59.8963,15.0052,-0.0324944,200.77,1.012,0.0,0.0,5.0160870550155625,0.49047064781188965,ztf_20180612334155_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180612334155_000683_zr_c03_o_q3_diffimgpsf.fits',23.082897846096063,23.788618449366407,7.13329737829685e-10,7.351385893995544e-10,2458187.0233680555,2458222.995949074,6830332.0,5.84246,28.320504211985803,1.2357496755699189,0.0,0.0,281.83425930002704,p48r
2458281.8351968,b'r',1.675,5.62628629223222,26.275,1.6936e-06,2.0,683.0,3.0,3.0,2.0,59.9145,15.0089,-0.0324728,200.763,1.012,0.0,0.0,4.793649387836455,0.6031265258789062,ztf_20180612335174_000683_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180612335174_000683_zr_c03_o_q3_diffimgpsf.fits',-1.6937006412805324,21.548065149916816,-5.234035355794571e-11,6.658988731229375e-10,2458187.0233680555,2458222.995949074,6830332.0,5.81197,28.320504211985803,1.2357496755699189,0.0,0.0,281.8351968000643,p48r
