jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458278.7812963,b'r',2.155,4.65433274938174,26.275,3.3844e-06,2.0,796.0,4.0,3.0,2.0,18.8802,1.95768,-0.25456,240.602,1.095,0.0,0.0,6.3223182507753375,-0.12171316146850586,ztf_20180609281285_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609281285_000796_zr_c04_o_q3_diffimgpsf.fits',26.9379797888464,37.82361675715162,8.324631590261548e-10,1.1688615010605825e-09,2458187.006458333,2458218.9794560187,7960432.0,6.39554,-8.003284583374404,1.476279645505324,0.0,0.0,278.7812962997705,p48r
2458278.8058449,b'r',2.028,4.69725791444294,26.275,3.4195e-06,2.0,796.0,4.0,3.0,2.0,19.2664,2.07492,-0.252224,240.294,1.078,0.0,0.0,6.286754602575302,0.28301846981048584,ztf_20180609305845_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609305845_000796_zr_c04_o_q3_diffimgpsf.fits',21.82141826088912,36.04348593801825,6.743462918259435e-10,1.1138501996632818e-09,2458187.006458333,2458218.9794560187,7960432.0,6.16957,-8.003284583374404,1.476279645505324,0.0,0.0,278.8058449001983,p48r
2458278.8067593,b'r',1.919,4.68792750077994,26.275,3.8073e-06,1.0,796.0,4.0,3.0,2.0,19.2805,2.07931,-0.252171,240.287,1.077,0.0,0.0,5.974933517265319,0.15185558795928955,ztf_20180609306759_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609306759_000796_zr_c04_o_q3_diffimgpsf.fits',21.20469469112328,33.43255992506672,6.552877115182349e-10,1.0331648723392618e-09,2458187.006458333,2458218.9794560187,7960432.0,0.0,-8.003284583374404,1.476279645505324,0.0,0.0,278.80675930017605,p48r
2458278.8261806,b'r',1.911,4.70375013596166,26.275,3.7643e-06,2.0,796.0,4.0,3.0,2.0,19.5764,2.17266,-0.25037,240.049,1.073,0.0,0.0,5.929721065807342,0.015438437461853027,ztf_20180609326181_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609326181_000796_zr_c04_o_q3_diffimgpsf.fits',-40.05955730575,30.93068256287656,-1.2379586697047571e-09,9.558494704954885e-10,2458187.006458333,2458218.9794560187,7960432.0,6.01602,-8.003284583374404,1.476279645505324,0.0,0.0,278.82618060009554,p48r
2458278.853912,b'g',1.837,5.08764345209805,26.325,4.4441e-06,2.0,796.0,4.0,3.0,1.0,19.9829,2.3068,-0.247784,239.706,1.083,0.0,0.0,4.268684243535994,0.6606910824775696,ztf_20180609353912_000796_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609353912_000796_zg_c04_o_q3_diffimgpsf.fits',-36.751401041333864,22.047178984249868,-1.0846107384610127e-09,6.506583804179809e-10,2458203.894085648,2458227.8690166436,7960431.0,4.66858,11.757690892232073,1.371536107401243,0.0,0.0,278.8539120000787,p48g
2458278.8700347,b'g',1.818,5.05556895533988,26.325,3.6584e-06,1.0,796.0,4.0,3.0,1.0,20.21,2.38524,-0.246309,239.51,1.096,0.0,0.0,4.565592803764343,0.05131983757019043,ztf_20180609369988_000796_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609369988_000796_zg_c04_o_q3_diffimgpsf.fits',-8.103758303882302,23.49650480479089,-2.391588627709182e-10,6.934310177435688e-10,2458203.894085648,2458227.8690166436,7960431.0,0.0,11.757690892232073,1.371536107401243,0.0,0.0,278.8700346997939,p48g
2458278.8876273,b'g',2.029,5.04668331614235,26.325,4.5756e-06,2.0,796.0,4.0,3.0,1.0,20.4497,2.47116,-0.244628,239.287,1.118,0.0,0.0,5.025045979619026,-0.11094582080841064,ztf_20180609387616_000796_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180609387616_000796_zg_c04_o_q3_diffimgpsf.fits',6.5349331515378175,27.27215445631714,1.9285955012466478e-10,8.048583386259508e-10,2458203.894085648,2458227.8690166436,7960431.0,4.79637,11.757690892232073,1.371536107401243,0.0,0.0,278.887627299875,p48g
2458279.7683218,b'r',1.868,4.74461739446995,26.275,3.5092e-06,2.0,796.0,4.0,3.0,2.0,31.2758,6.51358,-0.166604,228.18,1.106,0.0,0.0,6.692838622641563,0.08264213800430298,ztf_20180610268264_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180610268264_000796_zr_c04_o_q3_diffimgpsf.fits',-50.09178952727091,36.012495143112055,-1.5479842838255748e-09,1.1128924925530175e-09,2458187.006458333,2458218.9794560187,7960432.0,6.25842,-8.003284583374404,1.476279645505324,0.0,0.0,279.76832180004567,p48r
2458279.7839583,b'r',2.02,4.72841346508641,26.275,3.3235e-06,2.0,796.0,4.0,3.0,2.0,31.5468,6.5892,-0.165287,227.977,1.09,0.0,0.0,6.632136718082427,0.1559327244758606,ztf_20180610283958_000796_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180610283958_000796_zr_c04_o_q3_diffimgpsf.fits',-0.8188777692104718,40.83821793506478,-2.5305742299780405e-11,1.2620215835672558e-09,2458187.006458333,2458218.9794560187,7960432.0,6.25388,-8.003284583374404,1.476279645505324,0.0,0.0,279.7839583000168,p48r
2458279.8030556,b'g',2.059,4.09877062390248,26.325,1.22793e-05,2.0,796.0,4.0,3.0,1.0,31.8728,6.68258,-0.163703,227.732,1.078,0.0,0.0,5.835295485877989,-0.13104480504989624,ztf_20180610303044_000796_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180610303044_000796_zg_c04_o_q3_diffimgpsf.fits',-25.184817414268263,33.27334051995108,-7.432566552489687e-10,9.819658954809018e-10,2458203.894085648,2458227.8690166436,7960431.0,6.21278,11.757690892232073,1.371536107401243,0.0,0.0,279.8030555997975,p48g
