jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458278.8076736,b'r',2.025,6.26041648885794,26.275,4.2008e-06,1.0,848.0,6.0,3.0,2.0,19.2947,2.08369,-0.252065,240.273,1.245,0.0,0.0,5.055056380367278,-0.22434687614440918,ztf_20180609307674_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180609307674_000848_zr_c06_o_q3_diffimgpsf.fits',-41.79784954293042,17.76724462759974,-1.291677035314082e-09,5.490603492329758e-10,2458187.0197453704,2458229.95104081,8480632.0,5.7939,-999.0,-999.0,0.0,0.0,278.80767360003665,p48r
2458278.8709375,b'g',1.928,6.01787217875127,26.325,6.7495e-06,1.0,848.0,6.0,3.0,1.0,20.2225,2.38964,-0.246152,239.489,1.237,0.0,0.0,5.01604466073513,0.3744838237762451,ztf_20180609370938_000848_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180609370938_000848_zg_c06_o_q3_diffimgpsf.fits',-26.53349307953718,18.35940720430162,-7.830588959201893e-10,5.418245193964706e-10,2458205.979050926,2458261.953277234,8480631.0,5.10882,-999.0,-999.0,0.0,0.0,278.870937500149,p48g
2458281.782581,b'g',2.108,5.97361323320142,26.325,6.2392e-06,1.0,848.0,6.0,3.0,1.0,58.8794,14.8099,-0.0347383,201.483,1.26,0.0,0.0,4.684141713428497,-0.26917433738708496,ztf_20180612282581_000848_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180612282581_000848_zg_c06_o_q3_diffimgpsf.fits',-16.86100894863316,19.13304958593692,-4.976036518011075e-10,5.646563247300663e-10,2458205.979050926,2458261.953277234,8480631.0,4.79071,-999.0,-999.0,0.0,0.0,281.7825810001232,p48g
2458281.8422222,b'r',1.831,6.30809714815613,26.275,3.7591e-06,1.0,848.0,6.0,3.0,2.0,60.0508,15.0368,-0.0321705,200.665,1.232,0.0,0.0,4.836627803254127,0.2675797939300537,ztf_20180612342222_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180612342222_000848_zr_c06_o_q3_diffimgpsf.fits',-19.713244686228194,17.45155864569454,-6.091975001387383e-10,5.393047197344536e-10,2458187.0197453704,2458229.95104081,8480632.0,5.56498,-999.0,-999.0,0.0,0.0,281.8422221997753,p48r
2458284.8496181,b'r',1.964,6.02738269669676,26.275,4.2326e-06,1.0,848.0,6.0,3.0,2.0,106.548,19.8096,0.0345086,158.589,1.234,0.0,0.0,5.985076360607145,-0.37590599060058594,ztf_20180615349606_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180615349606_000848_zr_c06_o_q3_diffimgpsf.fits',10.37267140315996,21.8650064475844,3.2054619060149574e-10,6.756932955696586e-10,2458187.0197453704,2458229.95104081,8480632.0,6.48608,-999.0,-999.0,0.0,0.0,284.84961810009554,p48r
2458284.8704051,b'g',2.464,1.81916784094251,26.325,3.77528e-05,1.0,848.0,6.0,3.0,1.0,106.992,19.7922,0.0354731,158.288,1.245,0.0,0.0,21.63589509239196,-1.819640040397644,ztf_20180615370394_000848_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180615370394_000848_zg_c06_o_q3_diffimgpsf.fits',12.88828384138538,95.43713748764677,3.803602218859188e-10,2.8165496072327718e-09,2458205.979050926,2458261.953277234,8480631.0,21.8541,-999.0,-999.0,0.0,0.0,284.87040509982035,p48g
2458287.7677662,b'r',2.279,6.39271573227785,26.275,3.3611e-06,1.0,848.0,6.0,3.0,2.0,150.64,13.0878,0.264066,118.156,1.258,0.0,0.0,4.935213445734978,-0.022211313247680664,ztf_20180618267766_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180618267766_000848_zr_c06_o_q3_diffimgpsf.fits',21.53127895166559,21.656323650479298,6.653801300050822e-10,6.692443806242924e-10,2458187.0197453704,2458229.95104081,8480632.0,5.47565,-999.0,-999.0,0.0,0.0,287.767766200006,p48r
2458288.7857176,b'r',2.01,6.2,26.314025,3.4986e-06,2.0,848.0,6.0,3.0,2.0,164.765,8.86946,0.373425,104.664,1.241,0.0,0.0,5.254583888530728,-0.1701143980026245,ztf_20180619285718_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180619285718_000848_zr_c06_o_q3_diffimgpsf.fits',56.97904784581175,18.681902162286143,1.6986550228273475e-09,5.5694344053174e-10,2458187.0197453704,2458229.95104081,8480632.0,6.29589,-999.0,-999.0,21.924737030895308,0.3559837926251655,288.78571760002524,p48r
2458288.8219792,b'r',2.247,6.2,26.314404,3.8659e-06,2.0,848.0,6.0,3.0,2.0,165.27,8.68231,0.377445,104.188,1.231,0.0,0.0,5.253635847282409,0.24482488632202148,ztf_20180619321979_000848_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180619321979_000848_zr_c06_o_q3_diffimgpsf.fits',9.83530943983154,18.89081088517705,2.9310716055368285e-10,5.62974858390953e-10,2458187.0197453704,2458229.95104081,8480632.0,5.82549,-999.0,-999.0,0.0,0.0,288.8219792000018,p48r
2458288.8453935,b'g',2.111,6.2,26.32286,7.2709e-06,2.0,848.0,6.0,3.0,1.0,165.616,8.56237,0.38005,103.881,1.237,0.0,0.0,4.484126554775235,0.3216315507888794,ztf_20180619345359_000848_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180619345359_000848_zg_c06_o_q3_diffimgpsf.fits',3.740559495139055,16.91851713706093,1.106095350513206e-10,5.002859376309942e-10,2458205.979050926,2458261.953277234,8480631.0,4.50808,-999.0,-999.0,0.0,0.0,288.84539349982515,p48g
