jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458281.7196759,b'r',2.532,5.64094633917484,26.275,7.3599e-06,2.0,824.0,15.0,1.0,2.0,57.6358,14.5961,-0.0375401,202.344,1.183,0.0,0.0,6.030028995466232,-0.07055628299713135,ztf_20180612219664_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612219664_000824_zr_c15_o_q1_diffimgpsf.fits',-14.69890340016868,53.09982476275865,-4.542395404049978e-10,1.640941459319141e-09,2458161.0624189815,2458218.97693287,8241512.0,6.29309,-3.1320883045282724,2.174619729274269,0.0,0.0,281.7196758999489,p48r
2458281.7643056,b'g',1.876,5.86662074650308,26.325,8.439e-06,1.0,847.0,3.0,3.0,1.0,58.5171,14.7451,-0.0355475,201.735,1.237,0.0,0.0,4.477044095516205,-0.2786271572113037,ztf_20180612264294_000847_zg_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180612264294_000847_zg_c03_o_q3_diffimgpsf.fits',-18.418582765185093,22.03408798138947,-5.43570913987328e-10,6.502720375322813e-10,2458202.8207986113,2458231.995896331,8470331.0,4.44201,-0.8248450915861848,1.2752294075593966,0.0,0.0,281.76430559996516,p48g
2458281.7647569,b'g',2.36,5.92844157945962,26.325,1.11136e-05,2.0,824.0,15.0,1.0,1.0,58.5261,14.7466,-0.0355249,201.728,1.142,0.0,0.0,4.919666342449188,0.2459566593170166,ztf_20180612264757_000824_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612264757_000824_zg_c15_o_q1_diffimgpsf.fits',-5.577026428215712,23.06898510647829,-1.645897185231251e-10,6.808140169627672e-10,2458202.870023148,2458228.967640822,8241511.0,4.69743,0.9380548582188042,1.1041949240543805,0.0,0.0,281.7647568997927,p48g
2458281.7665856,b'g',2.327,5.94129872574943,26.325,1.00642e-05,1.0,824.0,15.0,1.0,1.0,58.5623,14.753,-0.0354346,201.7,1.142,0.0,0.0,5.078317793607711,0.27766120433807373,ztf_20180612266574_000824_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612266574_000824_zg_c15_o_q1_diffimgpsf.fits',5.394965485384514,24.037357691098297,1.5921671918013496e-10,7.093927180280314e-10,2458202.870023148,2458228.967640822,8241511.0,4.68002,0.9380548582188042,1.1041949240543805,0.0,0.0,281.76658560009673,p48g
2458281.7835417,b'g',2.451,5.9466563971637,26.325,1.10679e-05,2.0,824.0,15.0,1.0,1.0,58.8985,14.8133,-0.0346936,201.469,1.138,0.0,0.0,4.6169726954698564,-0.09879225492477417,ztf_20180612283484_000824_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612283484_000824_zg_c15_o_q1_diffimgpsf.fits',-5.8152760495522084,23.08528539724136,-1.7162096333050554e-10,6.81295072647902e-10,2458202.870023148,2458228.967640822,8241511.0,4.71454,0.9380548582188042,1.1041949240543805,0.0,0.0,281.7835416998714,p48g
2458281.828125,b'r',2.396,5.6791404885188,26.275,6.2444e-06,2.0,824.0,15.0,1.0,2.0,59.7767,14.9811,-0.0327764,200.861,1.156,0.0,0.0,5.665991457080841,0.08630990982055664,ztf_20180612328090_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612328090_000824_zr_c15_o_q1_diffimgpsf.fits',8.308595741642531,51.65697899238646,2.5676015470999794e-10,1.5963532623769074e-09,2458161.0624189815,2458218.97693287,8241512.0,5.95048,-3.1320883045282724,2.174619729274269,0.0,0.0,281.828125,p48r
2458281.8290394,b'r',2.176,5.67355340293718,26.275,4.9218e-06,1.0,824.0,15.0,1.0,2.0,59.7945,14.9847,-0.0327329,200.847,1.157,0.0,0.0,5.913324340867996,0.03167164325714111,ztf_20180612329028_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612329028_000824_zr_c15_o_q1_diffimgpsf.fits',81.05903801080133,52.4295155533214,2.50496374928725e-09,1.6202269244730867e-09,2458161.0624189815,2458218.97693287,8241512.0,5.95218,-3.1320883045282724,2.174619729274269,0.0,0.0,281.8290393999778,p48r
2458281.8436343,b'r',1.808,5.46867539502914,26.275,5.872e-06,1.0,847.0,3.0,3.0,2.0,60.0782,15.0425,-0.0321275,200.651,1.256,0.0,0.0,5.860079440975188,0.24522745609283447,ztf_20180612343623_000847_zr_c03_o_q3_scimrefdiffimg.fits,b'ztf_20180612343623_000847_zr_c03_o_q3_diffimgpsf.fits',-19.498540121797483,36.55458113300838,-6.025624947907378e-10,1.1296445511325338e-09,2458218.8441435187,2458226.9948958335,8470332.0,6.11504,32.94275909191966,1.6312890895816055,0.0,0.0,281.8436342999339,p48r
2458281.8440856,b'r',2.275,5.66072963182891,26.275,5.3261e-06,2.0,824.0,15.0,1.0,2.0,60.0869,15.0443,-0.0320844,200.637,1.172,0.0,0.0,6.150772516775131,0.06775790452957153,ztf_20180612344074_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180612344074_000824_zr_c15_o_q1_diffimgpsf.fits',43.6965129178235,56.71047677295673,1.3503513428672112e-09,1.7525212734838824e-09,2458161.0624189815,2458218.97693287,8241512.0,5.95477,-3.1320883045282724,2.174619729274269,0.0,0.0,281.8440856002271,p48r
2458282.7777199,b'g',2.333,5.46133028863435,26.325,1.0361e-05,2.0,824.0,15.0,1.0,1.0,73.6535,17.7563,-0.00455531,187.74,1.138,0.0,0.0,4.9988789354324314,0.5296614170074463,ztf_20180613277685_000824_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180613277685_000824_zg_c15_o_q1_diffimgpsf.fits',12.941370911736945,23.90996168052383,3.81926932404301e-10,7.056329952174301e-10,2458202.870023148,2458228.967640822,8241511.0,5.10164,0.9380548582188042,1.1041949240543805,0.0,0.0,282.777719900012,p48g
2458282.8065278,b'r',2.321,5.24120530950221,26.275,5.7445e-06,2.0,824.0,15.0,1.0,2.0,74.2508,17.8219,-0.00409876,187.341,1.143,0.0,0.0,6.49065640964508,-0.17223775386810303,ztf_20180613306516_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180613306516_000824_zr_c15_o_q1_diffimgpsf.fits',36.305869508309414,58.72518478854257,1.1219586271496308e-09,1.8147817032652065e-09,2458161.0624189815,2458218.97693287,8241512.0,6.61235,-3.1320883045282724,2.174619729274269,0.0,0.0,282.8065277999267,p48r
2458282.8230208,b'r',2.938,5.22269688232811,26.275,7.3795e-06,2.0,824.0,15.0,1.0,2.0,74.5932,17.8623,-0.00385297,187.118,1.154,0.0,0.0,6.854803142309185,-0.3901093006134033,ztf_20180613323009_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180613323009_000824_zr_c15_o_q1_diffimgpsf.fits',-22.295468368817097,63.273530485138046,-6.889958406590674e-10,1.9553390225779243e-09,2458161.0624189815,2458218.97693287,8241512.0,6.69873,-3.1320883045282724,2.174619729274269,0.0,0.0,282.8230208000168,p48r
2458282.8443171,b'r',2.244,5.241301214982,26.275,6.2811e-06,2.0,824.0,15.0,1.0,2.0,75.0341,17.9178,-0.00354187,186.824,1.176,0.0,0.0,6.210121288895607,-0.17649435997009277,ztf_20180613344317_000824_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180613344317_000824_zr_c15_o_q1_diffimgpsf.fits',-3.602889781169596,52.49693559116612,-1.1133993834598298e-10,1.6223104027835367e-09,2458161.0624189815,2458218.97693287,8241512.0,6.62851,-3.1320883045282724,2.174619729274269,0.0,0.0,282.8443171000108,p48r
