jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458282.7705324,b'g',2.279,6.07494096476228,26.325,5.4736e-06,2.0,796.0,15.0,3.0,1.0,73.5051,17.741,-0.00467944,187.845,1.095,0.0,0.0,4.2958726901531215,-0.18919730186462402,ztf_20180613270486_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613270486_000796_zg_c15_o_q3_diffimgpsf.fits',39.0877494999223,20.774801063819954,1.1535612697379529e-09,6.131078458446229e-10,2458203.894085648,2458227.8690166436,7961531.0,4.36388,0.1366533268758353,1.0796704887180795,0.0,0.0,282.77053239988163,p48g
2458282.7772338,b'g',2.39,5.8093299172581,26.325,5.4115e-06,2.0,796.0,15.0,3.0,1.0,73.6434,17.7553,-0.00456353,187.747,1.089,0.0,0.0,4.501967519521713,0.0823742151260376,ztf_20180613277234_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613277234_000796_zg_c15_o_q3_diffimgpsf.fits',-24.73467833664688,21.52822969394996,-7.299721092573756e-10,6.353431010762022e-10,2458203.894085648,2458227.8690166436,7961531.0,4.60853,0.1366533268758353,1.0796704887180795,0.0,0.0,282.7772337999195,p48g
2458282.8046644,b'r',2.223,5.47632377151891,26.275,3.7323e-06,2.0,796.0,15.0,3.0,2.0,74.2121,17.8174,-0.00413002,187.369,1.074,0.0,0.0,6.178916023254395,0.05535304546356201,ztf_20180613304653_000796_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613304653_000796_zr_c15_o_q3_diffimgpsf.fits',23.138268445872768,28.02715959572824,7.150408529455398e-10,8.661220328535726e-10,2458186.9113425924,2458220.000914352,7961532.0,6.22821,-4.785854704709548,1.08006405201891,0.0,0.0,282.8046643999405,p48r
2458282.8239699,b'r',1.905,5.47742835976059,26.275,3.2745e-06,2.0,796.0,15.0,3.0,2.0,74.6128,17.8647,-0.00383786,187.104,1.074,0.0,0.0,5.4606137070655825,0.29091739654541016,ztf_20180613323970_000796_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613323970_000796_zr_c15_o_q3_diffimgpsf.fits',30.15318597023156,22.269385043964622,9.318225287953952e-10,6.881897888682418e-10,2458186.9113425924,2458220.000914352,7961532.0,6.1246,-4.785854704709548,1.08006405201891,0.0,0.0,282.8239699001424,p48r
2458282.8452778,b'r',2.024,5.46200788791406,26.275,3.1906e-06,2.0,796.0,15.0,3.0,2.0,75.054,17.9204,-0.00352015,186.803,1.084,0.0,0.0,5.6293223089694955,0.15410351753234863,ztf_20180613345266_000796_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613345266_000796_zr_c15_o_q3_diffimgpsf.fits',5.738819689155651,23.34348377235281,1.773464827341678e-10,7.213826128067586e-10,2458186.9113425924,2458220.000914352,7961532.0,6.13186,-4.785854704709548,1.08006405201891,0.0,0.0,282.8452778002247,p48r
2458282.8711111,b'g',2.29,5.4245927785696,26.325,5.3721e-06,2.0,796.0,15.0,3.0,1.0,75.5846,17.9926,-0.00316105,186.446,1.11,0.0,0.0,4.817635255193709,0.19765383005142212,ztf_20180613371100_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180613371100_000796_zg_c15_o_q3_diffimgpsf.fits',-13.863842655671549,21.506172292040944,-4.0915100362468946e-10,6.346921409887115e-10,2458203.894085648,2458227.8690166436,7961531.0,4.88029,0.1366533268758353,1.0796704887180795,0.0,0.0,282.8711111000739,p48g
2458283.7691551,b'g',1.85,6.3848926786903,26.325,4.035e-06,2.0,796.0,15.0,3.0,1.0,89.0029,19.5239,0.00289095,173.836,1.093,0.0,0.0,3.8689564476847647,-0.030241191387176514,ztf_20180614269109_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180614269109_000796_zg_c15_o_q3_diffimgpsf.fits',15.755869471358777,16.184059181593554,4.649886735802532e-10,4.776254478194642e-10,2458203.894085648,2458227.8690166436,7961531.0,4.19363,0.1366533268758353,1.0796704887180795,0.0,0.0,283.769155099988,p48g
2458283.7837153,b'g',1.92,6.37713524606995,26.325,4.0913e-06,2.0,796.0,15.0,3.0,1.0,89.3069,19.5294,0.00308413,173.633,1.082,0.0,0.0,3.8537035305976852,0.030414462089538574,ztf_20180614283715_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180614283715_000796_zg_c15_o_q3_diffimgpsf.fits',3.6492988390639396,16.368462595857498,1.0769844404708445e-10,4.830675783925539e-10,2458203.894085648,2458227.8690166436,7961531.0,4.15638,0.1366533268758353,1.0796704887180795,0.0,0.0,283.7837152997963,p48g
2458283.8038657,b'g',1.956,6.37733886653719,26.325,5.0515e-06,2.0,796.0,15.0,3.0,1.0,89.7317,19.5398,0.0033608,173.353,1.074,0.0,0.0,4.105519829583167,0.18495124578475952,ztf_20180614303866_000796_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180614303866_000796_zg_c15_o_q3_diffimgpsf.fits',1.7148803510772184,17.394428930458954,5.060970714727985e-11,5.133459915216866e-10,2458203.894085648,2458227.8690166436,7961531.0,4.10145,0.1366533268758353,1.0796704887180795,0.0,0.0,283.80386570002884,p48g
2458283.830463,b'r',1.787,6.01075791166448,26.275,2.9857e-06,2.0,796.0,15.0,3.0,2.0,90.2972,19.5586,0.00375309,172.975,1.077,0.0,0.0,4.900713613963126,0.16974645853042603,ztf_20180614330451_000796_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180614330451_000796_zr_c15_o_q3_diffimgpsf.fits',19.368526042063067,19.55356973768805,5.985446756230805e-10,6.042630724993754e-10,2458186.9113425924,2458220.000914352,7961532.0,5.76003,-4.785854704709548,1.08006405201891,0.0,0.0,283.83046300010756,p48r
