jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458284.762662,b'g',2.066,5.88344681646133,26.325,9.3583e-06,1.0,824.0,6.0,3.0,1.0,104.744,19.9198,0.0307158,159.813,1.14,0.0,0.0,4.33348340640068,0.28213679790496826,ztf_20180615262650_000824_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180615262650_000824_zg_c06_o_q3_diffimgpsf.fits',-6.125593434857231,19.561110674591255,-1.8077907863757726e-10,5.772893030690642e-10,2458203.891724537,2458231.9715116434,8240631.0,5.06602,-5.3535243801680235,1.1155961893066437,0.0,0.0,284.76266200002283,p48g
2458284.8031713,b'r',2.007,6.11815059550035,26.275,5.9829e-06,1.0,824.0,6.0,3.0,2.0,105.57,19.8614,0.0324664,159.239,1.144,0.0,0.0,5.657294030857086,0.21887362003326416,ztf_20180615303160_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180615303160_000824_zr_c06_o_q3_diffimgpsf.fits',7.865397385075234,23.449565114394016,2.4306401614002346e-10,7.246608396756567e-10,2458161.0624189815,2458222.938888889,8240632.0,6.49735,-8.662424533266192,1.1306709974520783,0.0,0.0,284.8031712998636,p48r
2458285.8087616,b'r',2.029,6.33681616804803,26.275,4.8168e-06,2.0,824.0,6.0,3.0,2.0,121.433,18.7306,0.0899395,145.097,1.149,0.0,0.0,5.738915151572226,0.7106991410255432,ztf_20180616308762_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180616308762_000824_zr_c06_o_q3_diffimgpsf.fits',-17.49169363942771,24.324565309843784,-5.40545009608505e-10,7.517009307527134e-10,2458161.0624189815,2458222.938888889,8240632.0,5.32581,-8.662424533266192,1.1306709974520783,0.0,0.0,285.8087615999393,p48r
2458285.8224769,b'r',1.965,6.3961859584017,26.275,4.4238e-06,2.0,824.0,6.0,3.0,2.0,121.705,18.6907,0.0908847,144.908,1.16,0.0,0.0,5.054440269947053,0.7037116289138794,ztf_20180616322465_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180616322465_000824_zr_c06_o_q3_diffimgpsf.fits',6.862484924928807,20.098362447475168,2.120710581920087e-10,6.210987767249531e-10,2458161.0624189815,2458222.938888889,8240632.0,5.15052,-8.662424533266192,1.1306709974520783,0.0,0.0,285.82247690018266,p48r
2458287.763588,b'r',2.075,6.4709254308444,26.275,5.7005e-06,1.0,824.0,6.0,3.0,2.0,150.578,13.1087,0.263636,118.212,1.138,0.0,0.0,5.445520579814911,-0.24820441007614136,ztf_20180618263518_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180618263518_000824_zr_c06_o_q3_diffimgpsf.fits',12.894444464133052,22.968605993285834,3.984764283231054e-10,7.097977819256386e-10,2458161.0624189815,2458222.938888889,8240632.0,5.46445,-8.662424533266192,1.1306709974520783,0.0,0.0,287.76358800008893,p48r
2458287.7659144,b'r',1.976,6.40369017243394,26.275,4.9389e-06,2.0,824.0,6.0,3.0,2.0,150.612,13.0971,0.263905,118.177,1.138,0.0,0.0,5.198202101349828,-0.40114253759384155,ztf_20180618265903_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180618265903_000824_zr_c06_o_q3_diffimgpsf.fits',-35.70258555070728,21.0907748973716,-1.1033153705627648e-09,6.517672533545214e-10,2458161.0624189815,2458222.938888889,8240632.0,5.53179,-8.662424533266192,1.1306709974520783,0.0,0.0,287.76591440010816,p48r
2458287.7853472,b'r',2.264,6.43750725685861,26.275,5.2628e-06,2.0,824.0,6.0,3.0,2.0,150.904,13.0001,0.265844,117.925,1.14,0.0,0.0,5.193196531748771,-0.21239548921585083,ztf_20180618285336_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180618285336_000824_zr_c06_o_q3_diffimgpsf.fits',16.243404763903357,23.12746196579957,5.019691955036006e-10,7.14706900789564e-10,2458161.0624189815,2458222.938888889,8240632.0,5.3537,-8.662424533266192,1.1306709974520783,0.0,0.0,287.7853471999988,p48r
2458287.8056829,b'r',2.118,6.44235409901284,26.275,4.9224e-06,2.0,824.0,6.0,3.0,2.0,151.221,12.8993,0.268004,117.645,1.151,0.0,0.0,5.007621998596191,-0.012604117393493652,ztf_20180618305683_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180618305683_000824_zr_c06_o_q3_diffimgpsf.fits',-31.440240285950736,21.162536610934048,-9.715963095280338e-10,6.539849023065463e-10,2458161.0624189815,2458222.938888889,8240632.0,5.17179,-8.662424533266192,1.1306709974520783,0.0,0.0,287.80568289989606,p48r
2458288.7704051,b'r',1.615,6.2,26.311375,7.9496e-06,2.0,824.0,6.0,3.0,2.0,164.564,8.94873,0.371714,104.867,1.138,0.0,0.0,5.720754144668579,0.5210698843002319,ztf_20180619270394_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180619270394_000824_zr_c06_o_q3_diffimgpsf.fits',5.818162161050226,20.396629904338088,1.738744709340516e-10,6.095487089039834e-10,2458161.0624189815,2458222.938888889,8240632.0,6.50628,-8.662424533266192,1.1306709974520783,0.0,0.0,288.7704051001929,p48r
2458288.7829514,b'r',1.745,6.2,26.321106,8.0629e-06,2.0,824.0,6.0,3.0,2.0,164.728,8.88377,0.373071,104.706,1.14,0.0,0.0,5.131037842369079,0.401317834854126,ztf_20180619282940_000824_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180619282940_000824_zr_c06_o_q3_diffimgpsf.fits',-10.62491785411091,18.889399872429987,-3.1469017288264364e-10,5.594686559629553e-10,2458161.0624189815,2458222.938888889,8240632.0,6.49093,-8.662424533266192,1.1306709974520783,0.0,0.0,288.7829514001496,p48r
