jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458282.7757986,b'g',1.889,5.58119358279936,26.325,2.7048e-06,2.0,680.0,11.0,4.0,1.0,73.6138,17.7522,-0.0045965,187.775,1.006,0.0,0.0,4.331640446925164,0.08203268051147461,ztf_20180613275787_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180613275787_000680_zg_c11_o_q4_diffimgpsf.fits',-3.1264546269366846,17.908343328297367,-9.22682174176937e-11,5.285126806478568e-10,2458203.8992824075,2458207.0067476854,6801141.0,4.94469,13.126423152165255,1.0095215038167247,0.0,0.0,282.77579860016704,p48g
2458282.8178935,b'r',1.79,6.08408279757188,26.275,2.0956e-06,2.0,680.0,11.0,4.0,2.0,74.4868,17.8495,-0.00392897,187.187,1.007,0.0,0.0,4.256894729495048,-0.12849998474121094,ztf_20180613317604_000680_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180613317604_000680_zr_c11_o_q4_diffimgpsf.fits',-2.420210299834799,17.098194497479128,-7.479164835301832e-11,5.283847235979075e-10,2458155.066736111,2458217.981921296,6801142.0,5.74922,3.0469163796218686,1.058863611787899,0.0,0.0,282.81789349997416,p48r
2458282.8400694,b'r',1.976,6.14784592922826,26.275,2.1937e-06,2.0,680.0,11.0,4.0,2.0,74.9463,17.9065,-0.00359281,186.873,1.027,0.0,0.0,4.351870077729226,-0.20261096954345703,ztf_20180613340058_000680_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180613340058_000680_zr_c11_o_q4_diffimgpsf.fits',20.619685440831866,19.094689775346904,6.372091973766973e-10,5.900823259815897e-10,2458155.066736111,2458217.981921296,6801142.0,5.6159,3.0469163796218686,1.058863611787899,0.0,0.0,282.8400694001466,p48r
2458282.8659606,b'g',1.835,5.21744408827338,26.325,3.0402e-06,2.0,680.0,11.0,4.0,1.0,75.4793,17.9778,-0.00322994,186.516,1.071,0.0,0.0,5.0256444353103635,0.19128954410552979,ztf_20180613365938_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180613365938_000680_zg_c11_o_q4_diffimgpsf.fits',7.857781161654852,20.447688882978948,2.3189956265401145e-10,6.034540809548618e-10,2458203.8992824075,2458207.0067476854,6801141.0,5.37666,13.126423152165255,1.0095215038167247,0.0,0.0,282.8659605998546,p48g
2458282.8830903,b'g',1.915,5.40877176197483,26.325,2.5135e-06,2.0,680.0,11.0,4.0,1.0,75.8283,18.0278,-0.00299206,186.271,1.114,0.0,0.0,4.438737705612182,-0.09817302227020264,ztf_20180613383067_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180613383067_000680_zg_c11_o_q4_diffimgpsf.fits',16.31938343702677,18.007452200030865,4.816191497286007e-10,5.314375908160203e-10,2458203.8992824075,2458207.0067476854,6801141.0,5.14326,13.126423152165255,1.0095215038167247,0.0,0.0,282.88309030001983,p48g
2458283.770544,b'g',1.656,6.1522746448138,26.325,2.7541e-06,2.0,680.0,11.0,4.0,1.0,89.0318,19.5244,0.00290407,173.822,1.007,0.0,0.0,4.17714610042572,0.08684694766998291,ztf_20180614270521_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180614270521_000680_zg_c11_o_q4_diffimgpsf.fits',6.804870591017078,16.421220066754994,2.0082596874480373e-10,4.846245617415339e-10,2458203.8992824075,2458207.0067476854,6801141.0,4.48373,13.126423152165255,1.0095215038167247,0.0,0.0,283.77054399996996,p48g
2458283.7884144,b'g',1.698,6.15716290282273,26.325,2.2865e-06,2.0,680.0,11.0,4.0,1.0,89.4056,19.5316,0.00314535,173.57,1.0,0.0,0.0,4.1221551268816,0.3009776473045349,ztf_20180614288391_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180614288391_000680_zg_c11_o_q4_diffimgpsf.fits',-32.81049292297293,15.963811573538615,-9.683062944574999e-10,4.711254800903218e-10,2458203.8992824075,2458207.0067476854,6801141.0,4.41212,13.126423152165255,1.0095215038167247,0.0,0.0,283.7884144000709,p48g
2458283.7958681,b'g',1.878,6.16706929774148,26.325,2.4816e-06,2.0,680.0,11.0,4.0,1.0,89.5626,19.5353,0.00325566,173.458,1.0,0.0,0.0,4.4514038742542255,0.030707597732543945,ztf_20180614295810_000680_zg_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180614295810_000680_zg_c11_o_q4_diffimgpsf.fits',-25.359267610214854,18.321457458011228,-7.484050455276821e-10,5.407045429632907e-10,2458203.8992824075,2458207.0067476854,6801141.0,4.38626,13.126423152165255,1.0095215038167247,0.0,0.0,283.7958681001328,p48g
2458283.8185185,b'r',1.9,6.67779643626174,26.275,2.3454e-06,2.0,680.0,11.0,4.0,2.0,90.0427,19.5495,0.00357607,173.143,1.009,0.0,0.0,4.064552385926246,0.06754475831985474,ztf_20180614318495_000680_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180614318495_000680_zr_c11_o_q4_diffimgpsf.fits',11.151565990765238,17.038580314028437,3.4461633446635725e-10,5.265424692101071e-10,2458155.066736111,2458217.981921296,6801142.0,5.1682,3.0469163796218686,1.058863611787899,0.0,0.0,283.8185184998438,p48r
2458283.8398611,b'r',1.841,6.65478600632273,26.275,2.1515e-06,2.0,680.0,11.0,4.0,2.0,90.4978,19.5667,0.00389624,172.843,1.031,0.0,0.0,4.30789923582077,0.024078369140625,ztf_20180614339850_000680_zr_c11_o_q4_scimrefdiffimg.fits,b'ztf_20180614339850_000680_zr_c11_o_q4_diffimgpsf.fits',-12.17010549795068,17.571296659819595,-3.760922143352554e-10,5.430049781123298e-10,2458155.066736111,2458217.981921296,6801142.0,5.19049,3.0469163796218686,1.058863611787899,0.0,0.0,283.8398611000739,p48r
