jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458286.7284722,b'g',2.359,5.8206768693771,26.325,7.1942e-06,2.0,794.0,5.0,1.0,1.0,135.353,16.6653,0.163418,132.312,1.075,0.0,0.0,4.149873107147215,0.15061771869659424,ztf_20180617228414_000794_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617228414_000794_zg_c05_o_q1_diffimgpsf.fits',30.83277368122767,20.051373881852065,9.099396617175574e-10,5.91757996105309e-10,2458203.8690046296,2458229.847460972,7940511.0,3.90553,-6.09360016241881,1.0712147428361491,0.0,0.0,286.7284722002223,p48g
2458286.7444444,b'g',2.138,5.81461575742918,26.325,6.9153e-06,2.0,794.0,5.0,1.0,1.0,135.606,16.5949,0.16482,132.095,1.073,0.0,0.0,4.078493662178516,-0.03358638286590576,ztf_20180617244387_000794_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617244387_000794_zg_c05_o_q1_diffimgpsf.fits',-17.2970892898459,18.21913464089832,-5.104732950666562e-10,5.37684782550794e-10,2458203.8690046296,2458229.847460972,7940511.0,3.78369,-6.09360016241881,1.0712147428361491,0.0,0.0,286.7444444000721,p48g
2458286.7458449,b'g',2.4,6.01006619067205,26.325,6.9704e-06,2.0,795.0,8.0,2.0,1.0,135.629,16.5888,0.165001,132.067,1.081,0.0,0.0,3.9635805692195882,0.20321327447891235,ztf_20180617245810_000795_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180617245810_000795_zg_c08_o_q2_diffimgpsf.fits',-0.1252734357612475,21.306687542070446,-3.697081194747929e-12,6.288049286385617e-10,2458203.893587963,2458227.8708859026,7950821.0,3.81731,-10.897895520194684,1.2043555864978368,0.0,0.0,286.7458449001424,p48g
2458286.7599884,b'g',2.294,5.83380230904531,26.325,7.4155e-06,2.0,794.0,5.0,1.0,1.0,135.86,16.5268,0.166181,131.885,1.077,0.0,0.0,3.8151462110519407,-0.11850082874298096,ztf_20180617259977_000794_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617259977_000794_zg_c05_o_q1_diffimgpsf.fits',-0.4231869078948636,18.118414347748377,-1.2489131071837413e-11,5.34712315956404e-10,2458203.8690046296,2458229.847460972,7940511.0,3.69671,-6.09360016241881,1.0712147428361491,0.0,0.0,286.7599884001538,p48g
2458286.7604745,b'g',2.23,6.01529389692481,26.325,6.078e-06,2.0,795.0,8.0,2.0,1.0,135.868,16.5247,0.166226,131.878,1.075,0.0,0.0,3.510091833221912,-0.14505726099014282,ztf_20180617260440_000795_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180617260440_000795_zg_c08_o_q2_diffimgpsf.fits',52.182803631304026,18.68862298295858,1.5400237155002486e-09,5.515403658773475e-10,2458203.893587963,2458227.8708859026,7950821.0,3.75828,-10.897895520194684,1.2043555864978368,0.0,0.0,286.7604744997807,p48g
2458286.7920833,b'r',2.095,5.87086091001276,26.275,4.9204e-06,2.0,794.0,5.0,1.0,2.0,136.407,16.388,0.169099,131.437,1.101,0.0,0.0,4.756089584112167,0.1615346074104309,ztf_20180617292049_000794_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617292049_000794_zr_c05_o_q1_diffimgpsf.fits',16.72685096547888,24.90997560526494,5.169091113895496e-10,7.697918383733168e-10,2458186.908900463,2458218.9598842594,7940512.0,4.50873,-5.4728910974497404,1.2799068260752218,0.0,0.0,286.79208330018446,p48r
2458286.8040741,b'r',2.061,5.91864487328394,26.275,5.027e-06,2.0,794.0,5.0,1.0,2.0,136.619,16.337,0.170153,131.277,1.117,0.0,0.0,4.981935313463211,-0.2706928253173828,ztf_20180617304039_000794_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617304039_000794_zr_c05_o_q1_diffimgpsf.fits',40.00802123806758,24.380532839997908,1.2363660529590702e-09,7.534304927986783e-10,2458186.908900463,2458218.9598842594,7940512.0,4.46837,-5.4728910974497404,1.2799068260752218,0.0,0.0,286.8040741002187,p48r
2458286.8055093,b'r',2.055,5.9684278055022,26.275,6.6522e-06,2.0,795.0,8.0,2.0,2.0,136.645,16.3309,0.170337,131.249,1.085,0.0,0.0,4.92111934776306,0.3562610149383545,ztf_20180617305463_000795_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180617305463_000795_zr_c08_o_q2_diffimgpsf.fits',-14.065689084179674,28.267829271759048,-4.3467134731996736e-10,8.735594368599697e-10,2458198.9,2458219.9999537035,7950822.0,4.87432,-23.102804481960142,1.3821158548402874,0.0,0.0,286.80550929997116,p48r
2458286.8266204,b'r',2.318,5.86560954218448,26.275,5.5846e-06,2.0,794.0,5.0,1.0,2.0,137.027,16.2427,0.172222,130.962,1.156,0.0,0.0,4.786138635540009,0.17524194717407227,ztf_20180617326609_000794_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180617326609_000794_zr_c05_o_q1_diffimgpsf.fits',-44.834149656537015,27.199621312684187,-1.3855076790422716e-09,8.405486551170837e-10,2458186.908900463,2458218.9598842594,7940512.0,4.56251,-5.4728910974497404,1.2799068260752218,0.0,0.0,286.82662039995193,p48r
2458286.8271065,b'r',2.865,5.97157771466141,26.275,6.5233e-06,2.0,795.0,8.0,2.0,2.0,137.036,16.2407,0.172268,130.955,1.106,0.0,0.0,5.066451370716095,0.23990601301193237,ztf_20180617327072_000795_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180617327072_000795_zr_c08_o_q2_diffimgpsf.fits',-19.409766628925645,37.298832418870916,-5.998191315952366e-10,1.1526441146269005e-09,2458198.9,2458219.9999537035,7950822.0,4.88875,-23.102804481960142,1.3821158548402874,0.0,0.0,286.82710650004447,p48r
