jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458290.7121528,b'g',2.072,6.2,26.212607,2.4545e-06,2.0,587.0,14.0,4.0,1.0,189.904,0.0103636,0.584696,80.2475,1.255,0.0,0.0,6.512909173965454,1.1597504615783691,ztf_20180621212118_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621212118_000587_zg_c14_o_q4_diffimgpsf.fits',-25.194327701833743,32.880043074731226,-8.246316017139614e-10,1.0761915501800382e-09,2458204.0027546296,2458231.979209792,5871441.0,7.35606,12.20641452172712,1.228642176665638,0.0,0.0,290.7121528000571,p48g
2458290.7331481,b'g',2.297,6.2,26.23286,2.4053e-06,1.0,587.0,14.0,4.0,1.0,190.089,-0.0880278,0.586921,79.9887,1.168,0.0,0.0,6.315447799396514,-0.3419349193572998,ztf_20180621233137_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621233137_000587_zg_c14_o_q4_diffimgpsf.fits',7.994581561200169,35.75861646272283,2.5683353986642474e-10,1.1487795798369855e-09,2458204.0027546296,2458231.979209792,5871441.0,7.17564,12.20641452172712,1.228642176665638,0.0,0.0,290.7331480998546,p48g
2458290.7340625,b'g',2.076,6.2,26.234048,2.5189e-06,2.0,587.0,14.0,4.0,1.0,190.097,-0.092306,0.587041,79.9747,1.165,0.0,0.0,5.8493098248481745,0.2959563732147217,ztf_20180621234051_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621234051_000587_zg_c14_o_q4_diffimgpsf.fits',-39.0332865777094,30.703537988163006,-1.2526101316429836e-09,9.85301677962943e-10,2458204.0027546296,2458231.979209792,5871441.0,7.15976,12.20641452172712,1.228642176665638,0.0,0.0,290.73406249983236,p48g
2458290.8358449,b'r',2.077,6.2,26.193631,1.4503e-06,2.0,587.0,14.0,4.0,2.0,191.148,-0.564191,0.597718,78.7298,1.039,0.0,0.0,5.287909621858597,0.36365199089050293,ztf_20180621335845_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621335845_000587_zr_c14_o_q4_diffimgpsf.fits',-17.85944380113456,48.87475044931172,-5.948610446949932e-10,1.6279166045272447e-09,2458186.9993055556,2458227.0113657406,5871442.0,6.33931,7.4397789324437,1.475813315778667,0.0,0.0,290.8358448999934,p48r
2458290.8733912,b'r',1.936,6.2,26.214465,1.3217e-06,1.0,587.0,14.0,4.0,2.0,191.608,-0.735897,0.601666,78.2682,1.086,0.0,0.0,4.478086544656754,0.15344834327697754,ztf_20180621373368_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621373368_000587_zr_c14_o_q4_diffimgpsf.fits',-48.94041779527139,36.35121143166911,-1.599122273863937e-09,1.1877714678605384e-09,2458186.9993055556,2458227.0113657406,5871442.0,5.22804,7.4397789324437,1.475813315778667,0.0,0.0,290.873391199857,p48r
2458290.874294,b'r',1.879,6.2,26.210666,1.2672e-06,2.0,587.0,14.0,4.0,2.0,191.62,-0.74001,0.601726,78.2612,1.088,0.0,0.0,4.848419890165328,0.15064024925231934,ztf_20180621374294_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621374294_000587_zr_c14_o_q4_diffimgpsf.fits',6.944797396330202,36.98137982749777,2.277158080352563e-10,1.2125976193528082e-09,2458186.9993055556,2458227.0113657406,5871442.0,5.21766,7.4397789324437,1.475813315778667,0.0,0.0,290.8742940002121,p48r
2458290.9033102,b'g',2.076,6.2,26.274198,1.9348e-06,2.0,587.0,14.0,4.0,1.0,192.005,-0.871861,0.604831,77.8975,1.167,0.0,0.0,3.7364898267269115,0.029794812202453613,ztf_20180621403299_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180621403299_000587_zg_c14_o_q4_diffimgpsf.fits',-19.867102447452012,20.2042699830304,-6.144058346542952e-10,6.248330069952218e-10,2458204.0027546296,2458231.979209792,5871441.0,4.34224,12.20641452172712,1.228642176665638,0.0,0.0,290.9033102001995,p48g
2458291.7921065,b'r',1.869,6.2,26.200251,1.6624e-06,2.0,587.0,14.0,4.0,2.0,202.98,-4.94903,0.694067,67.1615,1.044,0.0,0.0,6.8984480512619015,0.36438363790512085,ztf_20180622292106_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180622292106_000587_zr_c14_o_q4_diffimgpsf.fits',-2.7526973333652,43.242672357177874,-9.112930584328182e-11,1.4315684717507957e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.56712,7.4397789324437,1.475813315778667,0.0,0.0,291.79210649989545,p48r
2458291.7946065,b'r',2.073,6.2,26.208365,1.4942e-06,2.0,587.0,14.0,4.0,2.0,203.003,-4.95934,0.694236,67.1405,1.042,0.0,0.0,7.114865258336067,0.29446303844451904,ztf_20180622294572_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180622294572_000587_zr_c14_o_q4_diffimgpsf.fits',29.65541227661725,45.15368043416126,9.7444642376306e-10,1.4837036156640972e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.58725,7.4397789324437,1.475813315778667,0.0,0.0,291.7946064998396,p48r
2458291.8313773,b'r',1.963,6.2,26.206512,1.3989e-06,2.0,587.0,14.0,4.0,2.0,203.369,-5.10946,0.69783,66.6929,1.038,0.0,0.0,6.047134748458862,0.886622428894043,ztf_20180622331343_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180622331343_000587_zr_c14_o_q4_diffimgpsf.fits',11.932678090386448,42.42833116608554,3.927653117236521e-10,1.3965328311159813e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.10378,7.4397789324437,1.475813315778667,0.0,0.0,291.83137729996815,p48r
2458291.8506829,b'g',2.034,6.2,26.290933,2.0748e-06,2.0,587.0,14.0,4.0,1.0,203.576,-5.18724,0.699622,66.4691,1.055,0.0,0.0,5.964173695087433,0.1714247465133667,ztf_20180622350648_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180622350648_000587_zg_c14_o_q4_diffimgpsf.fits',-16.934552402484577,30.144870318196116,-5.157040264916105e-10,9.179947973640744e-10,2458204.0027546296,2458231.979209792,5871441.0,6.55633,12.20641452172712,1.228642176665638,0.0,0.0,291.85068289982155,p48g
2458291.934919,b'g',2.032,6.2,26.252102,1.7266e-06,2.0,587.0,14.0,4.0,1.0,204.603,-5.52133,0.707593,65.4689,1.325,0.0,0.0,3.734262459897993,0.14969861507415771,ztf_20180622434907_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180622434907_000587_zg_c14_o_q4_diffimgpsf.fits',12.492787430324688,19.6935186357256,3.94292530949838e-10,6.215592276342915e-10,2458204.0027546296,2458231.979209792,5871441.0,4.21552,12.20641452172712,1.228642176665638,0.0,0.0,291.9349190001376,p48g
2458292.715706,b'g',1.984,6.2,26.263669,2.523e-06,2.0,587.0,14.0,4.0,1.0,214.557,-8.984,0.777628,56.2717,1.215,0.0,0.0,8.332388946866985,0.09423351287841797,ztf_20180623215613_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623215613_000587_zg_c14_o_q4_diffimgpsf.fits',-31.233386335006934,41.90117220968949,-9.753297537281521e-10,1.3084543422194882e-09,2458204.0027546296,2458231.979209792,5871441.0,9.40432,12.20641452172712,1.228642176665638,0.0,0.0,292.71570600010455,p48g
2458292.7718866,b'r',1.726,6.2,26.219202,1.7835e-06,2.0,587.0,14.0,4.0,2.0,214.994,-9.19737,0.782381,55.6142,1.063,0.0,0.0,6.449527561664581,-0.004539787769317627,ztf_20180623271562_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623271562_000587_zr_c14_o_q4_diffimgpsf.fits',8.630458491995087,51.87141485257181,2.8077152972589597e-10,1.687513648401425e-09,2458186.9993055556,2458227.0113657406,5871442.0,8.11635,7.4397789324437,1.475813315778667,0.0,0.0,292.77188660018146,p48r
2458292.8112731,b'r',1.709,6.2,26.224604,1.439e-06,2.0,587.0,14.0,4.0,2.0,215.333,-9.33834,0.785646,55.1596,1.034,0.0,0.0,7.033995067381857,0.1853654384613037,ztf_20180623311181_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623311181_000587_zr_c14_o_q4_diffimgpsf.fits',4.783882455021976,44.998177169802034,1.5485987345606083e-10,1.4566436545600713e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.85969,7.4397789324437,1.475813315778667,0.0,0.0,292.8112730998546,p48r
2458292.8160185,b'r',2.196,6.2,26.220921,1.7593e-06,2.0,587.0,14.0,4.0,2.0,215.376,-9.3549,0.786047,55.1036,1.034,0.0,0.0,6.660853669047356,1.1808260679244995,ztf_20180623315949_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623315949_000587_zr_c14_o_q4_diffimgpsf.fits',-35.11966622310062,49.38382717005737,-1.1407276794767496e-09,1.604044247276e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.98779,7.4397789324437,1.475813315778667,0.0,0.0,292.81601849989966,p48r
2458292.8540972,b'g',1.896,6.2,26.29736,2.2267e-06,2.0,587.0,14.0,4.0,1.0,215.743,-9.4849,0.789192,54.663,1.063,0.0,0.0,7.129213276576994,0.41197216510772705,ztf_20180623354074_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623354074_000587_zg_c14_o_q4_diffimgpsf.fits',-37.940371400581455,35.653593044770126,-1.1485702891738798e-09,1.0793425620759578e-09,2458204.0027546296,2458231.979209792,5871441.0,8.05761,12.20641452172712,1.228642176665638,0.0,0.0,292.8540972000919,p48g
2458292.916331,b'g',1.994,6.2,26.262825,1.716e-06,2.0,587.0,14.0,4.0,1.0,216.428,-9.68916,0.794347,53.9356,1.241,0.0,0.0,3.8616742425680153,0.49227309226989746,ztf_20180623416238_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180623416238_000587_zg_c14_o_q4_diffimgpsf.fits',-26.66930440618387,20.322735354853254,-8.33454102184979e-10,6.35114695576054e-10,2458204.0027546296,2458231.979209792,5871441.0,4.18865,12.20641452172712,1.228642176665638,0.0,0.0,292.9163310001604,p48g
2458293.7957523,b'r',2.347,6.2,26.22282,1.9994e-06,1.0,587.0,14.0,4.0,2.0,227.416,-13.1729,0.860789,43.8151,1.038,0.0,0.0,8.22717717056274,0.6785062551498413,ztf_20180624295752_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180624295752_000587_zr_c14_o_q4_diffimgpsf.fits',-26.387021527543304,58.53141892306085,-8.555834424878087e-10,1.8978463652531895e-09,2458186.9993055556,2458227.0113657406,5871442.0,9.0686,7.4397789324437,1.475813315778667,0.0,0.0,293.7957522999495,p48r
2458293.8400116,b'g',1.901,6.2,26.298933,2.7213e-06,1.0,587.0,14.0,4.0,1.0,227.796,-13.2993,0.863859,43.3046,1.049,0.0,0.0,8.45752495126724,0.3622455596923828,ztf_20180624339988_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180624339988_000587_zg_c14_o_q4_diffimgpsf.fits',27.323762831192887,42.97059603293544,8.259757691402306e-10,1.2989671784240687e-09,2458204.0027546296,2458231.979209792,5871441.0,9.89268,12.20641452172712,1.228642176665638,0.0,0.0,293.8400115999393,p48g
2458296.8116551,b'r',1.987,6.2,26.224473,1.6092e-06,1.0,587.0,14.0,4.0,2.0,265.368,-20.7742,0.992364,10.0266,1.036,0.0,0.0,11.304552085876463,0.6786859035491943,ztf_20180627311620_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180627311620_000587_zr_c14_o_q4_diffimgpsf.fits',-76.32389380872547,68.80500508149716,-2.4709918820739565e-09,2.2275672861862037e-09,2458186.9993055556,2458227.0113657406,5871442.0,13.1021,7.4397789324437,1.475813315778667,0.0,0.0,296.81165509996936,p48r
2458299.710544,b'g',2.227,6.2,26.243158,3.1548e-06,1.0,587.0,14.0,4.0,1.0,303.002,-20.2169,-0.964503,338.28,1.162,0.0,0.0,9.933415830135345,-0.32274484634399414,ztf_20180630210532_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180630210532_000587_zg_c14_o_q4_diffimgpsf.fits',23.983707087784566,52.30150507492506,7.632259207786378e-10,1.664374244683999e-09,2458204.0027546296,2458231.979209792,5871441.0,10.6498,12.20641452172712,1.228642176665638,0.0,0.0,299.7105439999141,p48g
2458299.8547338,b'r',2.778,6.2,26.1782,2.8775e-06,1.0,587.0,14.0,4.0,2.0,304.278,-20.1399,-0.959294,336.721,1.099,0.0,0.0,10.658121518182753,-0.2257634401321411,ztf_20180630354699_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180630354699_000587_zr_c14_o_q4_diffimgpsf.fits',-27.71828770539578,84.60704527202864,-9.364538904991267e-10,2.8584232024272336e-09,2458186.9993055556,2458227.0113657406,5871442.0,11.0496,7.4397789324437,1.475813315778667,0.0,0.0,299.85473380004987,p48r
2458302.7083449,b'g',2.739,6.2,26.247185,2.5117e-06,2.0,587.0,14.0,4.0,1.0,339.193,-12.3866,-0.791237,305.625,1.143,0.0,0.0,4.594358144569397,0.11024510860443115,ztf_20180703208345_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180703208345_000587_zg_c14_o_q4_diffimgpsf.fits',60.3413876853891,30.802823884473725,1.9131159544635332e-09,9.76599579110959e-10,2458204.0027546296,2458231.979209792,5871441.0,4.47295,12.20641452172712,1.228642176665638,0.0,0.0,302.70834490004927,p48g
2458302.7108218,b'g',2.238,6.2,26.250004,2.0804e-06,1.0,587.0,14.0,4.0,1.0,339.224,-12.3803,-0.791089,305.604,1.136,0.0,0.0,3.972905507898329,0.11471235752105713,ztf_20180703210775_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180703210775_000587_zg_c14_o_q4_diffimgpsf.fits',13.650557979974023,23.09214997595052,4.3166695516628636e-10,7.302352096516392e-10,2458204.0027546296,2458231.979209792,5871441.0,4.40364,12.20641452172712,1.228642176665638,0.0,0.0,302.7108217999339,p48g
2458302.712662,b'g',2.044,6.2,26.251494,2.3235e-06,2.0,587.0,14.0,4.0,1.0,339.247,-12.3756,-0.79089,305.576,1.131,0.0,0.0,3.9316255574584007,-0.03199756145477295,ztf_20180703212650_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180703212650_000587_zg_c14_o_q4_diffimgpsf.fits',6.94718418511709,21.88548933896912,2.1938716351360094e-10,6.911282758949584e-10,2458204.0027546296,2458231.979209792,5871441.0,4.37195,12.20641452172712,1.228642176665638,0.0,0.0,302.7126620002091,p48g
2458302.7941898,b'r',3.477,6.2,26.31601,1.489e-05,2.0,587.0,14.0,4.0,2.0,340.159,-12.1662,-0.784551,304.688,1.036,0.0,0.0,7.333313724422453,-1.5705790519714355,ztf_20180703293507_000587_zr_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180703293507_000587_zr_c14_o_q4_diffimgpsf.fits',3.2753633890519467,110.6947852696684,9.746652679323701e-11,3.293996718172247e-09,2458186.9993055556,2458227.0113657406,5871442.0,7.01184,7.4397789324437,1.475813315778667,0.0,0.0,302.79418980004266,p48r
2458303.7856134,b'g',2.036,6.2,26.239102,1.8888e-06,2.0,587.0,14.0,4.0,1.0,351.71,-8.37197,-0.700917,293.693,1.035,0.0,0.0,4.101860613441468,0.24583172798156738,ztf_20180704285613_000587_zg_c14_o_q4_scimrefdiffimg.fits,b'ztf_20180704285613_000587_zg_c14_o_q4_diffimgpsf.fits',132.71215401704166,22.228031330277563,4.239063265008021e-09,7.100030269918605e-10,2458204.0027546296,2458231.979209792,5871441.0,4.67711,12.20641452172712,1.228642176665638,20.931825254616925,0.18185055133671557,303.7856133999303,p48g
