jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458284.8087616,b'r',1.822,5.10160279495173,26.275,4.8083e-06,2.0,765.0,6.0,4.0,2.0,105.686,19.8542,0.0327048,159.162,1.091,0.0,0.0,7.96802047433853,0.1817765235900879,ztf_20180615308762_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615308762_000765_zr_c06_o_q4_diffimgpsf.fits',6.820160161445005,24.739971745473497,2.1076309795924662e-10,7.645382168560904e-10,2458158.9898263887,2458231.799380961,7650642.0,8.77737,-5.953482484406068,0.8707736967157368,0.0,0.0,284.8087615999393,p48r
2458284.8265741,b'r',1.803,5.1920622704379,26.275,9.5687e-06,2.0,765.0,6.0,4.0,2.0,106.06,19.8331,0.033469,158.917,1.064,0.0,0.0,7.3459229289531685,-1.2551118731498718,ztf_20180615326528_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615326528_000765_zr_c06_o_q4_diffimgpsf.fits',-19.311325597102403,22.66252386292091,-5.967770128850838e-10,7.003389398478967e-10,2458158.9898263887,2458231.799380961,7650642.0,8.24428,-5.953482484406068,0.8707736967157368,0.0,0.0,284.82657410018146,p48r
2458284.8444792,b'r',2.043,6.21133222337912,26.275,8.267e-07,2.0,765.0,6.0,4.0,2.0,106.438,19.8145,0.0342861,158.658,1.045,0.0,0.0,5.9712427740097045,0.5987622737884521,ztf_20180615344444_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615344444_000765_zr_c06_o_q4_diffimgpsf.fits',-16.197462835398262,21.03893221536312,-5.005494541853991e-10,6.501651613011088e-10,2458158.9898263887,2458231.799380961,7650642.0,6.0997,-5.953482484406068,0.8707736967157368,0.0,0.0,284.84447919996455,p48r
2458284.8453935,b'r',1.86,6.05803601840011,26.275,1.9639e-06,1.0,765.0,6.0,4.0,2.0,106.458,19.8136,0.0343083,158.652,1.044,0.0,0.0,6.129815942573547,0.40575307607650757,ztf_20180615345382_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615345382_000765_zr_c06_o_q4_diffimgpsf.fits',2.255137503154601,20.335196436038906,6.96904112568877e-11,6.284176466555896e-10,2458158.9898263887,2458231.799380961,7650642.0,6.39638,-5.953482484406068,0.8707736967157368,0.0,0.0,284.84539349982515,p48r
2458284.8736227,b'g',1.741,5.66175311998334,26.325,1.3147e-06,2.0,765.0,6.0,4.0,1.0,107.06,19.7899,0.0355861,158.253,1.031,0.0,0.0,5.094328763079643,0.6928011178970337,ztf_20180615373611_000765_zg_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615373611_000765_zg_c06_o_q4_diffimgpsf.fits',17.73330276082343,16.364869959395268,5.233468672701068e-10,4.829615521740452e-10,2458204.976423611,2458231.991231331,7650641.0,5.04068,-6.832019842101077,0.8889126670930787,0.0,0.0,284.87362270010635,p48g
2458284.8870255,b'g',2.103,3.8923538068437,26.325,2.1063e-06,1.0,765.0,6.0,4.0,1.0,107.348,19.781,0.036222,158.057,1.032,0.0,0.0,7.782507647323605,0.8161653280258179,ztf_20180615386979_000765_zg_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615386979_000765_zg_c06_o_q4_diffimgpsf.fits',21.05883918920004,26.0195837086947,6.214904051805091e-10,7.678923551521294e-10,2458204.976423611,2458231.991231331,7650641.0,8.31164,-6.832019842101077,0.8889126670930787,0.0,0.0,284.88702550018206,p48g
2458284.8879282,b'g',1.883,4.30457409938516,26.325,3.8064e-06,2.0,765.0,6.0,4.0,1.0,107.367,19.7805,0.0362448,158.05,1.032,0.0,0.0,6.92545790798664,0.3218224048614502,ztf_20180615387928_000765_zg_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180615387928_000765_zg_c06_o_q4_diffimgpsf.fits',-23.265304259624248,21.58085634315104,-6.866078059220395e-10,6.368962235972413e-10,2458204.976423611,2458231.991231331,7650641.0,7.321,-6.832019842101077,0.8889126670930787,0.0,0.0,284.88792819995433,p48g
2458285.7837847,b'g',1.787,2.32572704629565,26.325,5.11705e-05,2.0,765.0,6.0,4.0,1.0,120.949,18.8062,0.088201,145.447,1.139,0.0,0.0,11.372904241085052,2.0726053714752197,ztf_20180616283762_000765_zg_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180616283762_000765_zg_c06_o_q4_diffimgpsf.fits',-4.069896545937435,37.39524611312507,-1.201111623794823e-10,1.1036119536396696e-09,2458204.976423611,2458231.991231331,7650641.0,13.2719,-6.832019842101077,0.8889126670930787,0.0,0.0,285.7837847000919,p48g
2458285.8154282,b'r',1.955,6.47357716476211,26.275,8.09e-07,2.0,765.0,6.0,4.0,2.0,121.565,18.7111,0.090429,144.999,1.076,0.0,0.0,4.637257800292964,0.023923873901367188,ztf_20180616315428_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180616315428_000765_zr_c06_o_q4_diffimgpsf.fits',-10.339460893483748,14.375626842450828,-3.195198877378573e-10,4.4424933970751963e-10,2458158.9898263887,2458231.799380961,7650642.0,4.96624,-5.953482484406068,0.8707736967157368,0.0,0.0,285.81542820017785,p48r
2458285.8853125,b'r',1.654,6.49699560638953,26.275,9.76e-07,2.0,765.0,6.0,4.0,2.0,122.987,18.5248,0.0953541,144.027,1.032,0.0,0.0,4.491381124615669,0.2623966932296753,ztf_20180616385278_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180616385278_000765_zr_c06_o_q4_diffimgpsf.fits',-15.498400417358416,14.04118902731338,-4.789463602102946e-10,4.3391422318187863e-10,2458158.9898263887,2458231.799380961,7650642.0,4.6931,-5.953482484406068,0.8707736967157368,0.0,0.0,285.8853124999441,p48r
2458285.9159491,b'r',1.657,6.44460664404125,26.275,1.0276e-06,2.0,765.0,6.0,4.0,2.0,123.627,18.455,0.0975885,143.593,1.051,0.0,0.0,4.611212658286094,0.10545182228088379,ztf_20180616415949_000765_zr_c06_o_q4_scimrefdiffimg.fits,b'ztf_20180616415949_000765_zr_c06_o_q4_diffimgpsf.fits',25.432004757413956,15.081379191845407,7.85924081415003e-10,4.660591723262475e-10,2458158.9898263887,2458231.799380961,7650642.0,4.75035,-5.953482484406068,0.8707736967157368,0.0,0.0,285.91594910016283,p48r
