jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458288.7577546,b'r',2.053,6.2,26.200162,4.9244e-06,2.0,678.0,3.0,2.0,2.0,164.403,9.01423,0.370299,105.035,1.007,0.0,0.0,5.150774642133712,0.5005418658256531,ztf_20180619257731_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619257731_000678_zr_c03_o_q2_diffimgpsf.fits',7.4947814212691775,34.172986058862406,2.481385108365629e-10,1.1314050930724788e-09,2458160.9891319443,2458217.9673263887,6780322.0,5.72357,9.474718579820504,1.0633228400382642,0.0,0.0,288.7577546001412,p48r
2458288.7740046,b'r',1.934,6.2,26.201745,4.7771e-06,1.0,678.0,3.0,2.0,2.0,164.611,8.93009,0.372127,104.818,1.02,0.0,0.0,4.980933905172346,-0.11881470680236816,ztf_20180619273993_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619273993_000678_zr_c03_o_q2_diffimgpsf.fits',41.40419606890514,19.940722272405466,1.3688200453942437e-09,6.592389892517695e-10,2458160.9891319443,2458217.9673263887,6780322.0,5.72704,9.474718579820504,1.0633228400382642,0.0,0.0,288.7740046000108,p48r
2458288.7749306,b'r',1.713,6.2,26.201183,4.1822e-06,2.0,678.0,3.0,2.0,2.0,164.623,8.9253,0.372245,104.804,1.021,0.0,0.0,5.235106554031372,0.23070645332336426,ztf_20180619274919_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619274919_000678_zr_c03_o_q2_diffimgpsf.fits',21.611226510800996,36.54288617433812,7.148356696523479e-10,1.2087309573325141e-09,2458160.9891319443,2458217.9673263887,6780322.0,5.70671,9.474718579820504,1.0633228400382642,0.0,0.0,288.7749306000769,p48r
2458288.8014468,b'r',1.65,6.2,26.194104,5.5506e-06,2.0,678.0,3.0,2.0,2.0,164.979,8.78813,0.375139,104.461,1.062,0.0,0.0,4.618714856338499,0.0067185163497924805,ztf_20180619301435_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619301435_000678_zr_c03_o_q2_diffimgpsf.fits',0.7939942020120245,27.386211755470704,2.64347818680916e-11,9.117806302800661e-10,2458160.9891319443,2458217.9673263887,6780322.0,5.50593,9.474718579820504,1.0633228400382642,0.0,0.0,288.8014468001202,p48r
2458288.8401852,b'g',1.966,6.2,26.286592,5.3683e-06,2.0,678.0,3.0,2.0,1.0,165.538,8.58897,0.379458,103.951,1.169,0.0,0.0,3.9109485136985773,-0.11267614364624023,ztf_20180619340174_000678_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619340174_000678_zg_c03_o_q2_diffimgpsf.fits',4.058810978514549,17.831613571769857,1.2409721250673594e-10,5.451974852904301e-10,2458166.987847222,2458204.959409722,6780321.0,4.36574,-11.745964988632432,1.162938530045649,0.0,0.0,288.8401851998642,p48g
2458288.8515046,b'g',1.936,6.2,26.272014,6.2621e-06,1.0,678.0,3.0,2.0,1.0,165.709,8.53123,0.380702,103.804,1.214,0.0,0.0,3.8037927856445313,0.013825774192810059,ztf_20180619351493_000678_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180619351493_000678_zg_c03_o_q2_diffimgpsf.fits',-16.55418250244643,17.54101040091134,-5.129820145873267e-10,5.435618975543047e-10,2458166.987847222,2458204.959409722,6780321.0,4.50026,-11.745964988632432,1.162938530045649,0.0,0.0,288.8515046001412,p48g
2458289.7038889,b'g',1.927,6.2,26.279919,5.9388e-06,2.0,678.0,3.0,2.0,1.0,177.077,4.747,0.475193,92.8439,1.012,0.0,0.0,5.642132711219787,-0.02097111940383911,ztf_20180620203877_000678_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180620203877_000678_zg_c03_o_q2_diffimgpsf.fits',0.8801443227994898,25.110496012034517,2.707611138304359e-11,7.724807958117355e-10,2458166.987847222,2458204.959409722,6780321.0,6.17237,-11.745964988632432,1.162938530045649,0.0,0.0,289.70388890011236,p48g
2458289.7335185,b'r',2.651,6.2,26.177139,5.6597e-06,2.0,678.0,3.0,2.0,2.0,177.369,4.59905,0.478485,92.4662,1.0,0.0,0.0,6.661738462567329,-0.16791731119155884,ztf_20180620233368_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180620233368_000678_zr_c03_o_q2_diffimgpsf.fits',-33.103660383953425,35.44833110010635,-1.1194905137591498e-09,1.198781945421028e-09,2458160.9891319443,2458217.9673263887,6780322.0,6.38559,9.474718579820504,1.0633228400382642,0.0,0.0,289.73351849988103,p48r
2458289.7529167,b'r',2.023,6.2,26.182897,5.5319e-06,2.0,678.0,3.0,2.0,2.0,177.573,4.50185,0.480619,92.2214,1.005,0.0,0.0,5.808358659219742,-0.9207680821418762,ztf_20180620252477_000678_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180620252477_000678_zr_c03_o_q2_diffimgpsf.fits',-5.415772384037258,27.221283328462192,-1.82180379903684e-10,9.156927925672389e-10,2458160.9891319443,2458217.9673263887,6780322.0,6.37342,9.474718579820504,1.0633228400382642,0.0,0.0,289.7529167002067,p48r
2458289.8745833,b'g',2.651,6.2,26.257547,9.2167e-06,2.0,678.0,3.0,2.0,1.0,179.096,3.89396,0.494042,90.6827,1.349,0.0,0.0,4.76100467891693,-0.22441613674163818,ztf_20180620374560_000678_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180620374560_000678_zg_c03_o_q2_diffimgpsf.fits',-48.50178065945368,36.10081380544621,-1.5231367024127197e-09,1.1337001188409233e-09,2458166.987847222,2458204.959409722,6780321.0,4.86817,-11.745964988632432,1.162938530045649,0.0,0.0,289.8745833002031,p48g
