jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458292.7775116,b'r',2.01,6.2,26.221438,1.6859e-06,2.0,797.0,5.0,1.0,2.0,215.04,-9.21791,0.782834,55.5513,1.091,0.0,0.0,7.4301538967132545,0.03379809856414795,ztf_20180623277512_000797_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623277512_000797_zr_c05_o_q1_diffimgpsf.fits',27.15538561772437,31.844825293296935,8.816186612580838e-10,1.0338646130207787e-09,2458197.9309375,2458220.002326389,7970512.0,7.24214,-4.976745695548937,1.1025600558192141,0.0,0.0,292.7775115999393,p48r
2458292.7780093,b'r',1.993,6.2,26.244222,2.311e-06,2.0,798.0,8.0,2.0,2.0,215.044,-9.21972,0.782885,55.5443,1.129,0.0,0.0,6.948280731678006,0.35815250873565674,ztf_20180623277963_000798_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623277963_000798_zr_c08_o_q2_diffimgpsf.fits',-22.80139450115078,30.540172533390106,-7.248908346198005e-10,9.709182987063576e-10,2458198.9242824074,2458255.828057755,7980822.0,7.45424,-4.3520101701655935,1.1214605560505206,0.0,0.0,292.7780093001202,p48r
2458292.8039468,b'r',1.767,6.2,26.216407,1.9928e-06,2.0,797.0,5.0,1.0,2.0,215.267,-9.3126,0.785045,55.2435,1.075,0.0,0.0,6.3693226565361,0.3225148320198059,ztf_20180623303947_000797_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623303947_000797_zr_c05_o_q1_diffimgpsf.fits',2.7448969485795542,26.546856237518003,8.952889914698973e-11,8.658652252822613e-10,2458197.9309375,2458220.002326389,7970512.0,7.32049,-4.976745695548937,1.1025600558192141,0.0,0.0,292.8039468000643,p48r
2458292.8053472,b'r',1.94,6.2,26.242573,2.4754e-06,2.0,798.0,8.0,2.0,2.0,215.28,-9.31754,0.785145,55.2295,1.093,0.0,0.0,6.968688717031479,0.14166474342346191,ztf_20180623305312_000798_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623305312_000798_zr_c08_o_q2_diffimgpsf.fits',66.13799214817995,30.81822501199628,2.105822716130812e-09,9.812471802359561e-10,2458198.9242824074,2458255.828057755,7980822.0,7.40902,-4.3520101701655935,1.1214605560505206,0.0,0.0,292.8053472000174,p48r
2458292.8216319,b'r',1.873,6.2,26.212966,2.1528e-06,2.0,797.0,5.0,1.0,2.0,215.428,-9.37437,0.786497,55.0407,1.073,0.0,0.0,6.065977988076206,-0.32980793714523315,ztf_20180623321632_000797_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623321632_000797_zr_c05_o_q1_diffimgpsf.fits',17.039346238196202,25.91301435489206,5.575278004598965e-10,8.478744251463938e-10,2458197.9309375,2458220.002326389,7970512.0,7.30643,-4.976745695548937,1.1025600558192141,0.0,0.0,292.82163190003484,p48r
2458292.8239815,b'r',1.791,6.2,26.241825,2.6109e-06,2.0,798.0,8.0,2.0,2.0,215.45,-9.38249,0.786697,55.0127,1.079,0.0,0.0,6.411791908073425,0.26375752687454224,ztf_20180623323970_000798_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623323970_000798_zr_c08_o_q2_diffimgpsf.fits',11.737830260986575,27.313557143914572,3.739881356816245e-10,8.702584794604967e-10,2458198.9242824074,2458255.828057755,7980822.0,7.34138,-4.3520101701655935,1.1214605560505206,0.0,0.0,292.82398150023073,p48r
2458292.8484491,b'g',1.946,6.2,26.237511,3.5722e-06,2.0,797.0,5.0,1.0,1.0,215.686,-9.46592,0.788744,54.726,1.083,0.0,0.0,6.3403979257345195,0.3224062919616699,ztf_20180623348449_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623348449_000797_zg_c05_o_q1_diffimgpsf.fits',-4.384814225893356,28.858017030284717,-1.4026418676496398e-10,9.231283429295549e-10,2458203.9012152776,2458231.993111007,7970511.0,7.32829,11.012437781694416,1.1098178428991516,0.0,0.0,292.84844909980893,p48g
2458292.9296296,b'g',2.113,6.2,26.257463,2.2762e-06,2.0,798.0,8.0,2.0,1.0,216.589,-9.73201,0.795431,53.7818,1.149,0.0,0.0,3.550898378324508,0.047881364822387695,ztf_20180623429618_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623429618_000798_zg_c08_o_q2_diffimgpsf.fits',-1.1203198452543788,15.766843323075129,-3.518494116055487e-11,4.951759597582865e-10,2458203.8741782405,2458231.9921891205,7980821.0,3.90979,-8.888963913588979,1.0563672415051855,0.0,0.0,292.9296296001412,p48g
2458292.932419,b'g',2.013,6.2,26.220152,2.2655e-06,2.0,797.0,5.0,1.0,1.0,216.624,-9.74097,0.795677,53.7468,1.232,0.0,0.0,3.2553831041216847,0.08375900983810425,ztf_20180623432396_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623432396_000797_zg_c05_o_q1_diffimgpsf.fits',-6.826162948797986,15.648667096343896,-2.218788218713509e-10,5.08647075265995e-10,2458203.9012152776,2458231.993111007,7970511.0,3.72677,11.012437781694416,1.1098178428991516,0.0,0.0,292.9324190001935,p48g
2458292.9575231,b'g',1.961,6.2,26.23791,2.2691e-06,2.0,798.0,8.0,2.0,1.0,216.944,-9.82154,0.797692,53.46,1.216,0.0,0.0,3.8060252640843384,-0.13246256113052368,ztf_20180623457512_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623457512_000798_zg_c08_o_q2_diffimgpsf.fits',25.46859165871888,16.129482406992494,8.144059358129771e-10,5.157704198936441e-10,2458203.8741782405,2458231.9921891205,7980821.0,4.0806,-8.888963913588979,1.0563672415051855,0.0,0.0,292.9575231000781,p48g
2458293.7262847,b'g',3.101,6.2,26.22538,7.3744e-06,2.0,797.0,5.0,1.0,1.0,226.882,-12.9491,0.856022,44.5985,1.164,0.0,0.0,8.8658754737854,-0.005479097366333008,ztf_20180624226238_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180624226238_000797_zg_c05_o_q1_diffimgpsf.fits',5.352393952816904,56.29478039575699,1.7313946505701376e-10,1.8210259276778024e-09,2458203.9012152776,2458231.993111007,7970511.0,9.33825,11.012437781694416,1.1098178428991516,0.0,0.0,293.72628469998017,p48g
