jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458291.7832176,b'r',1.997,6.2,26.197604,3.2192e-06,2.0,796.0,5.0,1.0,2.0,202.897,-4.91225,0.693167,67.2734,1.073,0.0,0.0,5.993197653102874,0.6527377367019653,ztf_20180622283171_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180622283171_000796_zr_c05_o_q1_diffimgpsf.fits',-16.72230500581458,23.203188849291106,-5.549508749683652e-10,7.700272151191076e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.02734,-3.3640237883012563,0.994192157867731,0.0,0.0,291.7832176000811,p48r
2458291.7864699,b'r',2.046,6.2,26.232738,3.7543e-06,2.0,797.0,8.0,2.0,2.0,202.927,-4.92573,0.693505,67.2314,1.085,0.0,0.0,6.554200443935394,0.4423365592956543,ztf_20180622286435_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180622286435_000797_zr_c08_o_q2_diffimgpsf.fits',2.903935572217535,27.936046406811855,9.330217690368354e-11,8.975729244046699e-10,2458183.0114814816,2458223.00150463,7970822.0,7.02473,-1.9268557841844687,1.0386779756458804,0.0,0.0,291.78646990004927,p48r
2458291.8044329,b'r',2.071,6.2,26.20361,3.3793e-06,2.0,796.0,5.0,1.0,2.0,203.098,-4.99973,0.695192,67.0216,1.075,0.0,0.0,6.524984150266647,0.3810432553291321,ztf_20180622304433_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180622304433_000796_zr_c05_o_q1_diffimgpsf.fits',-23.086405902525208,26.0943310771778,-7.619251813860712e-10,8.611963258008718e-10,2458186.9113425924,2458218.0008333335,7960512.0,6.87955,-3.3640237883012563,0.994192157867731,0.0,0.0,291.8044329001568,p48r
2458291.8062731,b'r',1.9,6.2,26.232314,3.618e-06,2.0,797.0,8.0,2.0,2.0,203.115,-5.00728,0.69536,67.0006,1.075,0.0,0.0,6.684008878946303,-0.26391279697418213,ztf_20180622306262_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180622306262_000797_zr_c08_o_q2_diffimgpsf.fits',15.589512516452622,27.44989624539463,5.010798457115724e-10,8.822976190531637e-10,2458183.0114814816,2458223.00150463,7970822.0,6.8718,-1.9268557841844687,1.0386779756458804,0.0,0.0,291.80627309996635,p48r
2458291.8247569,b'r',2.331,6.2,26.227358,3.8037e-06,2.0,797.0,8.0,2.0,2.0,203.3,-5.08263,0.697157,66.7768,1.073,0.0,0.0,6.704201523971557,-0.21534371376037598,ztf_20180622324757_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180622324757_000797_zr_c08_o_q2_diffimgpsf.fits',33.19360882212371,31.38953312368993,1.0717938769674272e-09,1.0135417809902213e-09,2458183.0114814816,2458223.00150463,7970822.0,6.79014,-1.9268557841844687,1.0386779756458804,0.0,0.0,291.8247568998486,p48r
2458291.8275579,b'r',1.905,6.2,26.18687,3.8221e-06,2.0,796.0,5.0,1.0,2.0,203.329,-5.09399,0.697437,66.7419,1.088,0.0,0.0,6.029963808226585,0.27221423387527466,ztf_20180622327558_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180622327558_000796_zr_c05_o_q1_diffimgpsf.fits',-4.210524499237058,23.042113124878984,-1.411198800589204e-10,7.722791403011369e-10,2458186.9113425924,2458218.0008333335,7960512.0,6.79577,-3.3640237883012563,0.994192157867731,0.0,0.0,291.8275578999892,p48r
2458291.8459028,b'g',1.962,6.2,26.260076,5.4008e-06,2.0,797.0,8.0,2.0,1.0,203.523,-5.16804,0.699174,66.525,1.08,0.0,0.0,5.997193837356567,-0.07370221614837646,ztf_20180622345891_000797_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180622345891_000797_zg_c08_o_q2_diffimgpsf.fits',4.377359948912719,22.600293463281623,1.3714559404741597e-10,7.080822022504713e-10,2458203.9012152776,2458229.9919706946,7970821.0,6.25429,5.833755717019198,0.9506120289486301,0.0,0.0,291.84590280009434,p48g
2458291.8463889,b'g',1.933,6.2,26.223905,5.1687e-06,2.0,796.0,5.0,1.0,1.0,203.529,-5.17,0.699174,66.525,1.109,0.0,0.0,5.616277271413804,0.07972931861877441,ztf_20180622346354_000796_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180622346354_000796_zg_c05_o_q1_diffimgpsf.fits',15.796136935880572,24.0218232441191,5.116687459552616e-10,7.78115321792278e-10,2458203.894085648,2458228.995320718,7960511.0,6.21889,-3.918706492590302,1.0615068824721143,0.0,0.0,291.84638890018687,p48g
2458291.9311806,b'g',2.221,6.2,26.247635,4.4121e-06,2.0,797.0,8.0,2.0,1.0,204.553,-5.5066,0.70726,65.5109,1.22,0.0,0.0,3.7939747986078265,0.30323708057403564,ztf_20180622431157_000797_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180622431157_000797_zg_c08_o_q2_diffimgpsf.fits',-13.267037984472733,15.43939872466099,-4.2045543675641287e-10,4.893013151594824e-10,2458203.9012152776,2458229.9919706946,7970821.0,3.94659,5.833755717019198,0.9506120289486301,0.0,0.0,291.9311806000769,p48g
2458292.7189931,b'g',1.937,6.2,26.231844,7.3312e-06,2.0,796.0,5.0,1.0,1.0,214.581,-8.99691,0.777882,56.2367,1.125,0.0,0.0,6.852708638882637,0.15074652433395386,ztf_20180623218981_000796_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623218981_000796_zg_c05_o_q1_diffimgpsf.fits',-22.47210972560167,28.682741360820845,-7.226137926266458e-10,9.223230382481149e-10,2458203.894085648,2458228.995320718,7960511.0,8.23706,-3.918706492590302,1.0615068824721143,0.0,0.0,292.718993099872,p48g
2458292.762338,b'r',1.847,6.2,26.215236,3.1352e-06,2.0,796.0,5.0,1.0,2.0,214.916,-9.16217,0.781575,55.7261,1.079,0.0,0.0,5.796518151283262,0.8778474926948547,ztf_20180623262338_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623262338_000796_zr_c05_o_q1_diffimgpsf.fits',28.474270918795114,21.761517189329368,9.297329287417138e-10,7.105502075239401e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.34792,-3.3640237883012563,0.994192157867731,0.0,0.0,292.76233799988404,p48r
2458292.7775116,b'r',1.927,6.2,26.239949,4.4778e-06,2.0,797.0,8.0,2.0,2.0,215.04,-9.21791,0.782834,55.5513,1.091,0.0,0.0,6.484308076381682,0.2863079309463501,ztf_20180623277512_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623277512_000797_zr_c08_o_q2_diffimgpsf.fits',-5.852538227006754,27.005148140180303,-1.8679474705341148e-10,8.619200115104313e-10,2458183.0114814816,2458223.00150463,7970822.0,7.2608,-1.9268557841844687,1.0386779756458804,0.0,0.0,292.7775115999393,p48r
2458292.7807755,b'r',1.768,6.2,26.214074,3.3841e-06,2.0,796.0,5.0,1.0,2.0,215.067,-9.22976,0.783086,55.5163,1.073,0.0,0.0,6.223302972579001,0.5214358568191528,ztf_20180623280775_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623280775_000796_zr_c05_o_q1_diffimgpsf.fits',-24.31679101658011,23.039165260355112,-7.948344137525054e-10,7.53073109057626e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.31307,-3.3640237883012563,0.994192157867731,0.0,0.0,292.7807754999958,p48r
2458292.8021181,b'r',1.731,6.2,26.217957,3.6274e-06,2.0,796.0,5.0,1.0,2.0,215.251,-9.30615,0.784894,55.2645,1.075,0.0,0.0,6.510260859727859,0.5426546335220337,ztf_20180623302106_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623302106_000796_zr_c05_o_q1_diffimgpsf.fits',23.2492911730285,23.037473171109383,7.572284396007422e-10,7.503295361554846e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.24684,-3.3640237883012563,0.994192157867731,0.0,0.0,292.8021181002259,p48r
2458292.8039468,b'r',1.814,6.2,26.245031,3.9873e-06,2.0,797.0,8.0,2.0,2.0,215.267,-9.3126,0.785045,55.2435,1.075,0.0,0.0,6.603751014709473,-0.20496952533721924,ztf_20180623303947_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623303947_000797_zr_c08_o_q2_diffimgpsf.fits',25.23285164664427,26.880454617745908,8.015930337925134e-10,8.539338109156809e-10,2458183.0114814816,2458223.00150463,7970822.0,7.24555,-1.9268557841844687,1.0386779756458804,0.0,0.0,292.8039468000643,p48r
2458292.8216319,b'r',1.848,6.2,26.242371,4.6739e-06,2.0,797.0,8.0,2.0,2.0,215.428,-9.37437,0.786497,55.0407,1.073,0.0,0.0,6.599453502798081,0.19668281078338623,ztf_20180623321632_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623321632_000797_zr_c08_o_q2_diffimgpsf.fits',22.816124093351817,27.068777702029863,7.265967822335649e-10,8.620257628749025e-10,2458183.0114814816,2458223.00150463,7970822.0,7.2298,-1.9268557841844687,1.0386779756458804,0.0,0.0,292.82163190003484,p48r
2458292.8484491,b'g',1.937,6.2,26.268155,6.5534e-06,2.0,797.0,8.0,2.0,1.0,215.686,-9.46592,0.788744,54.726,1.083,0.0,0.0,6.629217985963818,-0.2660106420516968,ztf_20180623348449_000797_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623348449_000797_zg_c08_o_q2_diffimgpsf.fits',38.072359960891305,28.463760445433284,1.1839893554340166e-09,8.851773154785588e-10,2458203.9012152776,2458229.9919706946,7970821.0,7.35117,5.833755717019198,0.9506120289486301,0.0,0.0,292.84844909980893,p48g
2458292.8489352,b'g',2.044,6.2,26.231989,7.409e-06,2.0,796.0,5.0,1.0,1.0,215.691,-9.46755,0.788794,54.719,1.116,0.0,0.0,6.072852476239204,-0.7654496431350708,ztf_20180623348900_000796_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180623348900_000796_zg_c05_o_q1_diffimgpsf.fits',26.782929844378128,27.75138203123022,8.611176357738857e-10,8.922550528849348e-10,2458203.894085648,2458228.995320718,7960511.0,7.30964,-3.918706492590302,1.0615068824721143,0.0,0.0,292.84893519990146,p48g
2458292.932419,b'g',2.218,6.2,26.25373,3.8816e-06,2.0,797.0,8.0,2.0,1.0,216.624,-9.74097,0.795677,53.7468,1.232,0.0,0.0,3.339821072566509,0.003882288932800293,ztf_20180623432396_000797_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180623432396_000797_zg_c08_o_q2_diffimgpsf.fits',-0.6104319546134942,13.357819534632824,-1.9237350588100967e-11,4.209626569156644e-10,2458203.9012152776,2458229.9919706946,7970821.0,3.84121,5.833755717019198,0.9506120289486301,0.0,0.0,292.9324190001935,p48g
2458293.7262847,b'g',3.15,6.2,26.275514,1.21753e-05,2.0,797.0,8.0,2.0,1.0,226.882,-12.9491,0.856022,44.5985,1.164,0.0,0.0,9.983318180322646,-0.027103841304779053,ztf_20180624226238_000797_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180624226238_000797_zg_c08_o_q2_diffimgpsf.fits',-40.12424622106036,55.370970112288504,-1.2393708769752015e-09,1.710316685108979e-09,2458203.9012152776,2458229.9919706946,7970821.0,9.4187,5.833755717019198,0.9506120289486301,0.0,0.0,293.72628469998017,p48g
2458293.7561574,b'r',2.014,6.2,26.223658,3.6423e-06,2.0,796.0,5.0,1.0,2.0,227.105,-13.0494,0.858073,44.2628,1.081,0.0,0.0,7.470503700470923,-0.13384753465652466,ztf_20180624256146_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180624256146_000796_zr_c05_o_q1_diffimgpsf.fits',39.22639546305564,29.059368513336914,1.270911186582009e-09,9.415057407905574e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.9344,-3.3640237883012563,0.994192157867731,0.0,0.0,293.7561574000865,p48r
2458293.7584722,b'r',2.121,6.2,26.221269,3.4442e-06,1.0,796.0,5.0,1.0,2.0,227.123,-13.0569,0.858244,44.2348,1.08,0.0,0.0,7.488896198654174,0.4206291437149048,ztf_20180624258461_000796_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180624258461_000796_zr_c05_o_q1_diffimgpsf.fits',26.0643032187802,29.888519828212722,8.463276297373723e-10,9.705028340999456e-10,2458186.9113425924,2458218.0008333335,7960512.0,7.98955,-3.3640237883012563,0.994192157867731,0.0,0.0,293.7584722000174,p48r
2458293.7813889,b'r',2.296,6.2,26.250283,4.2525e-06,2.0,797.0,8.0,2.0,2.0,227.301,-13.1293,0.859815,43.976,1.085,0.0,0.0,7.59782311143875,-0.4941178560256958,ztf_20180624281389_000797_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180624281389_000797_zr_c08_o_q2_diffimgpsf.fits',33.765736306335725,36.62088384927972,1.0674880561689776e-09,1.1577522184338454e-09,2458183.0114814816,2458223.00150463,7970822.0,7.96862,-1.9268557841844687,1.0386779756458804,0.0,0.0,293.7813888997771,p48r
