jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458294.7181944,b'g',2.792,6.2,26.282766,1.24191e-05,2.0,849.0,14.0,2.0,1.0,239.218,-16.2618,0.917655,33.352,1.398,0.0,0.0,11.05532994813919,-0.22518664598464966,ztf_20180625218171_000849_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180625218171_000849_zg_c14_o_q2_diffimgpsf.fits',45.136046033767805,46.04614533153667,1.3848958432690266e-09,1.4128201487677322e-09,2458203.902199074,2458278.8830295485,8491421.0,10.7837,4.899687980582108,0.925036641523653,0.0,0.0,294.71819439996034,p48g
2458294.7865972,b'r',2.288,6.2,26.178015,3.4496e-06,2.0,849.0,14.0,2.0,2.0,239.733,-16.4531,0.921341,32.5756,1.267,0.0,0.0,9.175572903871535,-0.6040398478507996,ztf_20180625286574_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180625286574_000849_zr_c14_o_q2_diffimgpsf.fits',-32.49529264763501,33.08188216810897,-1.0980306234528782e-09,1.1178517484397527e-09,2458187.019085648,2458272.9715192593,8491422.0,9.12655,-10.684751167910067,0.8646326554913413,0.0,0.0,294.7865972002037,p48r
2458294.7969213,b'r',2.73,6.2,26.195031,4.2175e-06,2.0,849.0,14.0,2.0,2.0,239.813,-16.4784,0.921866,32.4637,1.256,0.0,0.0,9.039888887548447,-0.10154688358306885,ztf_20180625296852_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180625296852_000849_zr_c14_o_q2_diffimgpsf.fits',4.531725242197231,35.26104044712683,1.5074786524923955e-10,1.1729587055226813e-09,2458187.019085648,2458272.9715192593,8491422.0,9.03912,-10.684751167910067,0.8646326554913413,0.0,0.0,294.7969212997705,p48r
2458294.8247685,b'r',2.419,6.2,26.181905,3.6504e-06,2.0,849.0,14.0,2.0,2.0,240.038,-16.5422,0.923334,32.149,1.236,0.0,0.0,9.224296761560435,-0.4905157685279846,ztf_20180625324745_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180625324745_000849_zr_c14_o_q2_diffimgpsf.fits',-25.142933704862223,33.903036388695504,-8.465526046163496e-10,1.1415017871916848e-09,2458187.019085648,2458272.9715192593,8491422.0,9.00972,-10.684751167910067,0.8646326554913413,0.0,0.0,294.8247684999369,p48r
2458294.8746875,b'g',2.262,6.2,26.275443,1.01765e-05,2.0,849.0,14.0,2.0,1.0,240.475,-16.6421,0.925912,31.5894,1.235,0.0,0.0,9.40136033272743,-0.7509362101554871,ztf_20180625374676_000849_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180625374676_000849_zg_c14_o_q2_diffimgpsf.fits',-36.52839198634226,34.26405136834551,-1.1283747378942526e-09,1.058428468418155e-09,2458203.902199074,2458278.8830295485,8491421.0,9.93891,4.899687980582108,0.925036641523653,0.0,0.0,294.87468749983236,p48g
2458296.8229514,b'r',2.745,6.2,26.174216,4.4921e-06,1.0,849.0,14.0,2.0,2.0,265.456,-20.7858,0.992554,9.90069,1.234,0.0,0.0,9.65514347476958,-1.3343796730041504,ztf_20180627322940_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180627322940_000849_zr_c14_o_q2_diffimgpsf.fits',67.02068391002277,38.508339063591116,2.2725971372198144e-09,1.3057751131690329e-09,2458187.019085648,2458272.9715192593,8491422.0,10.6383,-10.684751167910067,0.8646326554913413,0.0,0.0,296.82295140018687,p48r
2458296.8238657,b'r',2.578,6.2,26.174311,4.5775e-06,2.0,849.0,14.0,2.0,2.0,265.463,-20.7866,0.992585,9.87971,1.234,0.0,0.0,10.66180650844574,-0.2657521367073059,ztf_20180627323866_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180627323866_000849_zr_c14_o_q2_diffimgpsf.fits',-24.574509273969063,41.25595887284625,-8.332214740684655e-10,1.3988214569420506e-09,2458187.019085648,2458272.9715192593,8491422.0,10.5903,-10.684751167910067,0.8646326554913413,0.0,0.0,296.82386570004746,p48r
2458296.8401852,b'r',2.437,6.2,26.170188,4.5404e-06,2.0,849.0,14.0,2.0,2.0,265.592,-20.8006,0.992845,9.70485,1.23,0.0,0.0,10.067175122642515,0.5485949516296387,ztf_20180627340162_000849_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180627340162_000849_zr_c14_o_q2_diffimgpsf.fits',-62.7259446602593,37.12243946869972,-2.1348728322800035e-09,1.2634594492105789e-09,2458187.019085648,2458272.9715192593,8491422.0,10.5838,-10.684751167910067,0.8646326554913413,0.0,0.0,296.8401851998642,p48r
2458296.8854398,b'g',2.583,6.2,26.269627,1.41742e-05,2.0,849.0,14.0,2.0,1.0,265.963,-20.8248,0.993566,9.20128,1.244,0.0,0.0,12.59742139997482,-0.23703241348266602,ztf_20180627385428_000849_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180627385428_000849_zg_c14_o_q2_diffimgpsf.fits',-72.98662311642963,53.849433214337864,-2.266691784472356e-09,1.672362176420027e-09,2458203.902199074,2458278.8830295485,8491421.0,13.1385,4.899687980582108,0.925036641523653,0.0,0.0,296.88543980009854,p48g
2458296.9571644,b'g',2.653,6.2,26.259105,1.29727e-05,2.0,849.0,14.0,2.0,1.0,266.624,-20.8245,0.994622,8.41094,1.348,0.0,0.0,12.458221482992172,0.005587577819824219,ztf_20180627457095_000849_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180627457095_000849_zg_c14_o_q2_diffimgpsf.fits',-0.6602145181051498,52.47713771903343,-2.0703466608151605e-11,1.6456146277661194e-09,2458203.902199074,2458278.8830295485,8491421.0,12.9295,4.899687980582108,0.925036641523653,0.0,0.0,296.9571643997915,p48g
