jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458294.8663079,b'g',2.005,6.2,26.302478,7.2449e-06,2.0,723.0,3.0,1.0,1.0,240.397,-16.6265,0.925496,31.6804,1.146,0.0,0.0,10.744845926761627,0.07676565647125244,ztf_20180625366285_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180625366285_000723_zg_c03_o_q1_diffimgpsf.fits',-61.11652899253138,40.03731160637473,-1.841482013427881e-09,1.2063510544255705e-09,2458203.9998726854,2458227.865695081,7230311.0,11.1775,0.4668146739937726,0.9608685081013223,0.0,0.0,294.86630789982155,p48g
2458295.7086343,b'g',1.926,6.2,26.2851,7.2512e-06,2.0,723.0,3.0,1.0,1.0,251.75,-18.8457,0.962763,22.2523,1.048,0.0,0.0,11.294399589347835,0.5160778760910034,ztf_20180626208634_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626208634_000723_zg_c03_o_q1_diffimgpsf.fits',-27.49950408106642,43.5912834397594,-8.419472096335262e-10,1.3346262299342542e-09,2458203.9998726854,2458227.865695081,7230311.0,11.839,0.4668146739937726,0.9608685081013223,0.0,0.0,295.7086343001574,p48g
2458295.7152778,b'g',2.146,6.2,26.278377,8.5851e-06,2.0,723.0,3.0,1.0,1.0,251.802,-18.8635,0.962993,22.1824,1.039,0.0,0.0,11.086742385339734,-1.1480046510696411,ztf_20180626215255_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626215255_000723_zg_c03_o_q1_diffimgpsf.fits',84.72555741234858,45.73104090218811,2.6101389936389413e-09,1.4088355006078695e-09,2458203.9998726854,2458227.865695081,7230311.0,11.7751,0.4668146739937726,0.9608685081013223,0.0,0.0,295.7152777998708,p48g
2458295.7658449,b'r',1.516,6.2,26.224191,3.9235e-06,2.0,723.0,3.0,1.0,2.0,252.191,-18.9851,0.964837,21.6158,1.007,0.0,0.0,6.900719149589537,0.07395720481872559,ztf_20180626265799_000723_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626265799_000723_zr_c03_o_q1_diffimgpsf.fits',76.24990565501187,26.41182551357955,2.469237765746721e-09,8.553069864645238e-10,2458155.059236111,2458219.0018171296,7230312.0,10.6616,4.228143273337086,1.073365536690063,0.0,0.0,295.765844900161,p48r
2458295.7819329,b'r',1.588,6.2,26.220493,3.51e-06,2.0,723.0,3.0,1.0,2.0,252.314,-19.0183,0.965397,21.441,1.011,0.0,0.0,7.863037227630614,0.04040193557739258,ztf_20180626281852_000723_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626281852_000723_zr_c03_o_q1_diffimgpsf.fits',3.674369899632884,30.3602179058439,1.1939487211300785e-10,9.86524066222546e-10,2458155.059236111,2458219.0018171296,7230312.0,10.5517,4.228143273337086,1.073365536690063,0.0,0.0,295.7819329001941,p48r
2458295.8083912,b'r',1.618,6.2,26.213388,3.1062e-06,2.0,723.0,3.0,1.0,2.0,252.518,-19.0672,0.96635,21.1402,1.032,0.0,0.0,7.457518950653077,0.19760441780090332,ztf_20180626308368_000723_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626308368_000723_zr_c03_o_q1_diffimgpsf.fits',45.01094342947576,28.921190405276203,1.4721867878932879e-09,9.459342808916479e-10,2458155.059236111,2458219.0018171296,7230312.0,10.8228,4.228143273337086,1.073365536690063,0.0,0.0,295.8083911999129,p48r
2458295.8649653,b'g',2.032,6.2,26.261926,8.4001e-06,2.0,723.0,3.0,1.0,1.0,252.98,-19.1489,0.968282,20.5178,1.15,0.0,0.0,11.176104124355314,0.2485640048980713,ztf_20180626364907_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180626364907_000723_zg_c03_o_q1_diffimgpsf.fits',-97.33133823637577,44.25686738605015,-3.0442638787519986e-09,1.384236415843505e-09,2458203.9998726854,2458227.865695081,7230311.0,12.6524,0.4668146739937726,0.9608685081013223,0.0,0.0,295.8649653000757,p48g
2458296.72875,b'g',2.584,6.2,26.347654,1.02946e-05,2.0,723.0,3.0,1.0,1.0,264.714,-20.6469,0.99092,10.9358,1.021,0.0,0.0,12.420987682151793,-0.3127225637435913,ztf_20180627228738_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180627228738_000723_zg_c03_o_q1_diffimgpsf.fits',-12.799262697333962,50.61262446070585,-3.699332371116965e-10,1.4628414501892644e-09,2458203.9998726854,2458227.865695081,7230311.0,12.9005,0.4668146739937726,0.9608685081013223,0.0,0.0,296.7287499997765,p48g
2458296.7835532,b'r',1.62,6.2,26.231229,3.4887e-06,2.0,723.0,3.0,1.0,2.0,265.149,-20.7395,0.9919,10.3273,1.013,0.0,0.0,7.571682986736297,-0.8245503902435303,ztf_20180627283484_000723_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180627283484_000723_zr_c03_o_q1_diffimgpsf.fits',20.623157512714858,28.86370411269235,6.635345766453015e-10,9.286679635295012e-10,2458155.059236111,2458219.0018171296,7230312.0,11.421,4.228143273337086,1.073365536690063,0.0,0.0,296.7835531998426,p48r
2458297.7417361,b'g',1.709,6.2,26.305706,8.0542e-06,2.0,723.0,3.0,1.0,1.0,277.738,-21.4735,-0.999996,359.78,1.011,0.0,0.0,13.295397675704955,0.6461832523345947,ztf_20180628241701_000723_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180628241701_000723_zg_c03_o_q1_diffimgpsf.fits',-50.37327939552858,45.51383152405066,-1.5132748877294946e-09,1.3672911336825132e-09,2458203.9998726854,2458227.865695081,7230311.0,14.8671,0.4668146739937726,0.9608685081013223,0.0,0.0,297.7417361000553,p48g
