jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458293.7724421,b'r',2.108,6.2,26.22712,1.8151e-06,1.0,634.0,5.0,2.0,2.0,227.23,-13.1014,0.859179,44.0809,1.01,0.0,0.0,8.35370894958973,-0.7843890190124512,ztf_20180624272292_000634_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180624272292_000634_zr_c05_o_q2_diffimgpsf.fits',-36.20331735674672,54.276593049449495,-1.169231123755063e-09,1.752930021840029e-09,2458158.9918055558,2458219.003761574,6340522.0,8.83432,17.184815645352234,1.4409543998850565,0.0,0.0,293.77244210010394,p48r
2458293.841875,b'g',2.068,6.2,26.234582,3.9214e-06,1.0,634.0,5.0,2.0,1.0,227.813,-13.3044,0.863985,43.2836,1.072,0.0,0.0,7.884807798004149,-0.34445929527282715,ztf_20180624341852_000634_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180624341852_000634_zg_c05_o_q2_diffimgpsf.fits',-19.351615730632155,45.818185642902044,-6.207038391269534e-10,1.469620114737821e-09,2458203.8988310187,2458206.0258101854,6340521.0,9.64705,25.961903725829117,1.3522559996617765,0.0,0.0,293.8418749999255,p48g
2458296.7258912,b'g',2.643,6.2,26.244534,6.9902e-06,1.0,634.0,5.0,2.0,1.0,264.691,-20.6412,0.990862,10.9708,1.04,0.0,0.0,13.747800410461423,0.14177191257476807,ztf_20180627225880_000634_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180627225880_000634_zg_c05_o_q2_diffimgpsf.fits',64.21533882777642,86.27597342342875,2.04091622568639e-09,2.7420556717925578e-09,2458203.8988310187,2458206.0258101854,6340521.0,13.395,25.961903725829117,1.3522559996617765,0.0,0.0,296.72589119989425,p48g
2458296.7716435,b'r',1.863,6.2,26.223388,1.795e-06,1.0,634.0,5.0,2.0,2.0,265.057,-20.7221,0.991691,10.4602,1.009,0.0,0.0,9.432483538818358,-0.40292787551879883,ztf_20180627271331_000634_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180627271331_000634_zr_c05_o_q2_diffimgpsf.fits',32.97984065310898,53.13784841888877,1.068792390175844e-09,1.7220619292198389e-09,2458158.9918055558,2458219.003761574,6340522.0,11.8903,17.184815645352234,1.4409543998850565,0.0,0.0,296.7716434998438,p48r
2458298.6912384,b'g',2.85,6.2,26.229724,6.9293e-06,2.0,634.0,5.0,2.0,1.0,290.131,-21.2723,-0.991458,349.394,1.098,0.0,0.0,10.185891970825196,0.24791938066482544,ztf_20180629191227_000634_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629191227_000634_zg_c05_o_q2_diffimgpsf.fits',-95.02520473613964,65.75198351806702,-3.06160539130189e-09,2.1184550751060857e-09,2458203.8988310187,2458206.0258101854,6340521.0,11.2804,25.961903725829117,1.3522559996617765,0.0,0.0,298.6912384000607,p48g
2458298.7112731,b'g',2.523,6.2,26.225536,5.9677e-06,2.0,634.0,5.0,2.0,1.0,290.332,-21.2892,-0.991095,349.17,1.055,0.0,0.0,11.801066683959956,0.4005763530731201,ztf_20180629211262_000634_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629211262_000634_zg_c05_o_q2_diffimgpsf.fits',-71.74504151436335,74.57469943776566,-2.320478191889773e-09,2.411998934864993e-09,2458203.8988310187,2458206.0258101854,6340521.0,11.6989,25.961903725829117,1.3522559996617765,0.0,0.0,298.7112731002271,p48g
2458298.7480903,b'g',1.92,6.2,26.210765,4.6799e-06,2.0,634.0,5.0,2.0,1.0,290.677,-21.3126,-0.990417,348.764,1.013,0.0,0.0,9.456135476112365,-0.060498952865600586,ztf_20180629248021_000634_zg_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629248021_000634_zg_c05_o_q2_diffimgpsf.fits',-26.116269426351142,54.3684061480342,-8.562589822463132e-10,1.7825454070326614e-09,2458203.8988310187,2458206.0258101854,6340521.0,12.017,25.961903725829117,1.3522559996617765,0.0,0.0,298.7480902997777,p48g
2458298.7760185,b'r',2.189,6.2,26.20674,2.0456e-06,2.0,634.0,5.0,2.0,2.0,290.919,-21.3228,-0.989899,348.464,1.011,0.0,0.0,9.91239595994949,0.9606380462646484,ztf_20180629275961_000634_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629275961_000634_zr_c05_o_q2_diffimgpsf.fits',16.982565404399,63.80449628463986,5.588654940329753e-10,2.099690505440853e-09,2458158.9918055558,2458219.003761574,6340522.0,10.3237,17.184815645352234,1.4409543998850565,0.0,0.0,298.7760184998624,p48r
2458298.8126852,b'r',2.695,6.2,26.198645,2.759e-06,2.0,634.0,5.0,2.0,2.0,291.22,-21.3244,-0.989192,348.065,1.044,0.0,0.0,9.696464864301682,-0.06791234016418457,ztf_20180629312674_000634_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629312674_000634_zr_c05_o_q2_diffimgpsf.fits',-186.80642084252392,71.62004216855205,-6.1934665954463495e-09,2.3745240487159707e-09,2458158.9918055558,2458219.003761574,6340522.0,10.6903,17.184815645352234,1.4409543998850565,0.0,0.0,298.8126852000132,p48r
2458298.8167593,b'r',2.523,6.2,26.194379,2.5835e-06,2.0,634.0,5.0,2.0,2.0,291.252,-21.3238,-0.989116,348.023,1.05,0.0,0.0,10.471312987327575,-0.15623629093170166,ztf_20180629316609_000634_zr_c05_o_q2_scimrefdiffimg.fits,b'ztf_20180629316609_000634_zr_c05_o_q2_diffimgpsf.fits',47.28158179058936,75.02713143541409,1.5737668654362716e-09,2.4972771423950233e-09,2458158.9918055558,2458219.003761574,6340522.0,10.7339,17.184815645352234,1.4409543998850565,0.0,0.0,298.81675929995254,p48r
