jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458299.6854977,b'g',2.658,6.2,26.232761,5.5234e-06,2.0,797.0,9.0,4.0,1.0,302.731,-20.216,-0.965378,338.553,1.227,0.0,0.0,6.5612452439308155,0.1453913450241089,ztf_20180630185463_000797_zg_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630185463_000797_zg_c09_o_q4_diffimgpsf.fits',28.52288975058876,33.899306588700156,9.164085305739529e-10,1.0891467873822278e-09,2458203.9012152776,2458229.9919706946,7970941.0,7.13132,4.815430392288532,1.1484261170278076,0.0,0.0,299.6854976997711,p48g
2458299.6964005,b'g',2.451,6.2,26.228469,5.2472e-06,2.0,797.0,9.0,4.0,1.0,302.851,-20.2167,-0.964998,338.434,1.196,0.0,0.0,7.818595062446593,0.4316903352737427,ztf_20180630196389_000797_zg_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630196389_000797_zg_c09_o_q4_diffimgpsf.fits',-43.35984157879062,38.394270762491374,-1.398621135208829e-09,1.2384509860944101e-09,2458203.9012152776,2458229.9919706946,7970941.0,8.23755,4.815430392288532,1.1484261170278076,0.0,0.0,299.69640049990267,p48g
2458299.6973148,b'g',2.516,6.2,26.229856,5.0765e-06,1.0,797.0,9.0,4.0,1.0,302.861,-20.2168,-0.964976,338.427,1.194,0.0,0.0,7.074919922661781,0.4013861417770386,ztf_20180630197303_000797_zg_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630197303_000797_zg_c09_o_q4_diffimgpsf.fits',-52.726645869966276,34.78802520780552,-1.6985868015705948e-09,1.1206948497709393e-09,2458203.9012152776,2458229.9919706946,7970941.0,0.0,4.815430392288532,1.1484261170278076,0.0,0.0,299.6973148002289,p48g
2458299.7170602,b'g',2.031,6.2,26.215846,5.2555e-06,2.0,798.0,12.0,3.0,1.0,303.07,-20.2167,-0.964276,338.21,1.225,0.0,0.0,8.730522321510314,-0.10153770446777344,ztf_20180630217049_000798_zg_c12_o_q3_scimrefdiffimg.fits,b'ztf_20180630217049_000798_zg_c12_o_q3_diffimgpsf.fits',51.122394341502236,41.911964036053305,1.6682947611702558e-09,1.3677276061414608e-09,2458203.8741782405,2458231.9921891205,7981231.0,9.35344,-9.782088107505508,1.1716932493454926,0.0,0.0,299.7170601999387,p48g
2458299.7208102,b'g',2.145,6.2,26.222072,5.1208e-06,2.0,797.0,9.0,4.0,1.0,303.108,-20.2164,-0.96414,338.168,1.142,0.0,0.0,8.446074385929105,0.4871269464492798,ztf_20180630220810_000797_zg_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630220810_000797_zg_c09_o_q4_diffimgpsf.fits',-33.97989729731402,39.294795882728295,-1.1025372260503406e-09,1.2749884107078372e-09,2458203.9012152776,2458229.9919706946,7970941.0,9.73523,4.815430392288532,1.1484261170278076,0.0,0.0,299.7208102000877,p48g
2458299.8387616,b'r',2.409,6.2,26.214774,3.1727e-06,2.0,797.0,9.0,4.0,2.0,304.154,-20.1575,-0.959871,336.888,1.09,0.0,0.0,9.475979839849469,0.982560396194458,ztf_20180630338762_000797_zr_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630338762_000797_zr_c09_o_q4_diffimgpsf.fits',31.70009416397817,56.003118700390246,1.035502024405592e-09,1.8293744645483581e-09,2458197.9309375,2458220.002326389,7970942.0,9.60207,3.6547708487603643,1.2415149507201246,0.0,0.0,299.8387616002001,p48r
2458299.8392477,b'r',3.675,6.2,26.184421,4.8788e-06,2.0,798.0,12.0,3.0,2.0,304.158,-20.157,-0.959847,336.882,1.074,0.0,0.0,10.584418404960632,0.06637263298034668,ztf_20180630339213_000798_zr_c12_o_q3_scimrefdiffimg.fits,b'ztf_20180630339213_000798_zr_c12_o_q3_diffimgpsf.fits',-214.816316853043,70.63592085566633,-7.216038906082788e-09,2.3727785699713103e-09,2458216.8901041667,2458257.976529803,7981232.0,9.57614,0.6854137438179956,1.08515394510052,0.0,0.0,299.83924769982696,p48r
2458299.8651042,b'r',2.253,6.2,26.208828,3.0923e-06,2.0,797.0,9.0,4.0,2.0,304.358,-20.1271,-0.958883,336.602,1.123,0.0,0.0,9.819282190895079,0.9019533395767212,ztf_20180630365081_000797_zr_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630365081_000797_zr_c09_o_q4_diffimgpsf.fits',55.658730882791815,56.349039774146675,1.828109053416949e-09,1.8507822246217534e-09,2458197.9309375,2458220.002326389,7970942.0,9.73563,3.6547708487603643,1.2415149507201246,0.0,0.0,299.8651041998528,p48r
2458299.8670486,b'r',3.308,6.2,26.187416,4.7914e-06,2.0,798.0,12.0,3.0,2.0,304.373,-20.1246,-0.958811,336.581,1.088,0.0,0.0,9.411943486142157,-1.4908871054649353,ztf_20180630367002_000798_zr_c12_o_q3_scimrefdiffimg.fits,b'ztf_20180630367002_000798_zr_c12_o_q3_diffimgpsf.fits',49.23916401455808,59.45565880688171,1.6494694291225996e-09,1.991713172911601e-09,2458216.8901041667,2458257.976529803,7981232.0,9.70767,0.6854137438179956,1.08515394510052,0.0,0.0,299.8670486002229,p48r
2458299.8680093,b'r',2.343,6.2,26.206338,3.4876e-06,1.0,797.0,9.0,4.0,2.0,304.38,-20.1233,-0.958786,336.574,1.127,0.0,0.0,9.483280705356595,1.0172488689422607,ztf_20180630367963_000797_zr_c09_o_q4_scimrefdiffimg.fits,b'ztf_20180630367963_000797_zr_c09_o_q4_diffimgpsf.fits',-56.23527015763791,56.63162979288925,-1.8512862940549479e-09,1.864334602682858e-09,2458197.9309375,2458220.002326389,7970942.0,0.0,3.6547708487603643,1.2415149507201246,0.0,0.0,299.86800929997116,p48r
